'll	ʊ BA
creep	kʰ AD ɹ AB iː AN p AH
crikey	k AC ɹ AB ɑ AM e̯ AB k AC ɪ AM i̯ AB
cryptography	k AC ɹ̥ AB ɪ AM p AH tʰ AD ɒ BA ɡ AC ɹ AB ə AM f BE iː AN
cuba	k AC j AB uː BB b AH ə AM
cuban	k AC j AB ʉː BB b AH ə AM n AG
cue	k AC j̥ AB ʉː BB
culprit	kʰ AD ʌ AM ɫ AE p AH ɹ AB ɪ AM t AC
cum	kʰ AD ʌ AM m AF
cunt	kʰ AD ʌ̃ BJ n AG t AC
cur	k AC ɜː AN
cursor	kʰ AD ɜː AN s AJ ə AM
curve	kʰ AD ɜː AN v BE
cymbal	s AJ ɪ AM m AF b AH ɫ̩
dance	d AC ɛ AM ə AM n AG s AJ
dandle	d AC æ AM n AG d AC ə AM ɫ AE
dangleberry	d AC æ AM ŋ AG ɡ AC ə AM ɫ AE b AH ɛ AM ɹ AB i AM
daniel	d AC a AM n AG j AB ə AM l AE
dapple	d AC æ AM p AH ə AM ɫ AE
dappled	d AC æ AM p AH ə AM ɫ AE d AC
dardanelles	d AC ɑː AN d AC ə AM n AG ɛ AM ɫ AE z AJ
daredevil	d AC ɛ AM ə AM d AC ɛ AM v BE ə AM ɫ AE
data	d AC æ AM ɾ BI ə AM
dayouth	d AC æ AM jː BF uː BB θ AJ
dayum	d AC æ̙ j AB ə AM m AF
deacetyltransferase	d AC iː AN ə AM s AJ iː AN t AC a AM ɪ AM ɫ AE t AC ɹ AB ɑː AN n AG s AJ f BE ə AM ɹ AB e AM ɪ AM z AJ
dealkylate	d AC iː AN æ AM ɫ AE k AC ɪ AM l AE e AM ɪ AM t AC
dealkylated	d AC iː AN æ AM ɫ AE k AC ɪ AM l AE e AM ɪ AM t AC ə AM d AC
dealkylating	d AC iː AN æ AM ɫ AE k AC ɪ AM l AE e AM ɪ AM t AC ɪ AM ŋ AG ɡ AC
dealkylation	d AC iː AN æ AM ɫ AE k AC ɪ AM l AE e AM ɪ AM ʃ AJ ə AM n AG
dealkylative	d AC iː AN æ AM ɫ AE k AC ɪ AM l AE ə AM t AC ɪ AM v BE
dean	d AC ĩː n AG
debatable	d AC ɪ AM b AH e AM ɪ AM t AC ə AM b AH ə AM ɫ AE
debateful	d AC ɪ AM b AH e AM ɪ AM t AC f BE ə AM ɫ AE
debuggable	d AC iː AN b AH ʌ AM ɡ AC ə AM b AH ə AM ɫ AE
debulk	d AC iː AN b AH ʌ AM ɫ AE k AC
debunkable	d AC iː AN b AH ʌ AM ŋ AG k AC ə AM b AH ə AM ɫ AE
decadal	d AC ɪ AM k AC e AM ɪ AM d AC ə AM ɫ AE
decagonal	d AC ɪ AM k AC æ AM ɡ AC ə AM n AG ə AM ɫ AE
decahedral	d AC ɛ AM k AC ə AM h AA iː AN d AC ɹ AB ə AM ɫ AE
decalcification	d AC iː AN k AC æ AM ɫ AE s AJ ɪ AM f BE ɪ AM k AC e AM ɪ AM ʃ AJ ə AM n AG
decalcifier	d AC iː AN k AC æ AM ɫ AE s AJ ɪ AM f BE a AM ɪ AM ə AM ɹ AB
decalcify	d AC iː AN k AC æ AM ɫ AE s AJ ɪ AM f BE a AM ɪ AM
decalcifying	d AC iː AN k AC æ AM ɫ AE s AJ ɪ AM f BE a AM ɪ AM j AB ɪ AM ŋ AG ɡ AC
decalcomania	d AC iː AN k AC æ AM ɫ AE k AC ə AM m AF e AM ɪ AM n AG ɪ AM ə AM
decanormal	d AC ɛ AM k AC ə AM n AG ɔː BB m AF ə AM ɫ AE
decaprenyl	d AC ɛ AM k AC ə AM p AH ɹ AB iː AN n AG a AM ɪ AM ɫ AE
decasulfide	d AC ɛ AM k AC ə AM s AJ ʌ AM ɫ AE f BE a AM ɪ AM d AC
decasyllable	d AC ɛ AM k AC ə AM s AJ ɪ AM l AE ə AM b AH ə AM ɫ AE
decidable	d AC ɪ AM s AJ a AM ɪ AM d AC ə AM b AH ə AM ɫ AE
decidual	d AC ɪ AM s AJ ɪ AM d AC ʒ AJ ʊ BA ə AM ɫ AE
decile	d AC ɛ AM s AJ a AM ɪ AM ɫ AE
decimal	d AC ɛ AM s AJ ɪ AM m AF ə AM ɫ AE
decimole	d AC ɛ AM s AJ ɪ AM m AF ə AM ʊ BA ɫ AE
decinormal	d AC ɛ AM s AJ ɪ AM n AG ɔː BB m AF ə AM ɫ AE
decipherable	d AC ɪ AM s AJ a AM ɪ AM f BE ə AM ɹ AB ə AM b AH ə AM ɫ AE
decisional	d AC ɪ AM s AJ ɪ AM ʒ AJ ə AM n AG ə AM ɫ AE
declarable	d AC ɪ AM k AC l AE æ AM ɹ AB ə AM b AH ə AM ɫ AE
decodable	d AC ɪ AM k AC ə AM ʊ BA d AC ə AM b AH ə AM ɫ AE
decomposable	d AC iː AN k AC ə AM m AF p AH ə AM ʊ BA z AJ ə AM b AH ə AM ɫ AE
decompositional	d AC iː AN k AC ɒ BA m AF p AH ə AM z AJ ɪ AM ʃ AJ ə AM n AG ə AM ɫ AE
deconstructable	d AC iː AN k AC ə AM n AG s AJ t AC ɹ AB ʌ AM k AC t AC ə AM b AH ə AM ɫ AE
deconstructional	d AC iː AN k AC ə AM n AG s AJ t AC ɹ AB ʌ AM k AC ʃ AJ ə AM n AG ə AM ɫ AE
decouplable	d AC ɪ AM k AC ʌ AM p AH ə AM l AE ə AM b AH ə AM ɫ AE
decouple	d AC iː AN k AC ʌ AM p AH ə AM ɫ AE
decoupler	d AC iː AN k AC ʌ AM p AH ə AM l AE ə AM ɹ AB
decoupling	d AC iː AN k AC ʌ AM p AH ə AM l AE ɪ AM ŋ AG
decremental	d AC ɛ AM k AC ɹ AB ə AM m AF ə AM n AG t AC ə AM ɫ AE
decryptable	d AC ɪ AM k AC ɹ AB ɪ AM p AH t AC ə AM b AH ə AM ɫ AE
deducible	d AC ɪ AM d AC j AB uː BB s AJ ɪ AM b AH ə AM ɫ AE
deductable	d AC ɪ AM d AC ʌ AM k AC t AC ə AM b AH ə AM ɫ AE
deductible	d AC ɪ AM d AC ʌ AM k AC t AC ə AM b AH ə AM ɫ AE
defalcate	d AC ɛ AM f BE ə AM ɫ AE k AC e AM ɪ AM t AC
defalcation	d AC ɛ AM f BE ə AM ɫ AE k AC e AM ɪ AM ʃ AJ ə AM n AG
defalcator	d AC ɛ AM f BE ə AM ɫ AE k AC e AM ɪ AM t AC ə AM ɹ AB
defatigable	d AC ɪ AM f BE æ AM t AC ɪ AM ɡ AC ə AM b AH ə AM ɫ AE
defaultable	d AC ɪ AM f BE ɔː BB ɫ AE t AC ə AM b AH ə AM ɫ AE
defaulter	d AC ɪ AM f BE ɔː BB ɫ AE t AC ə AM ɹ AB
defeasible	d AC ɪ AM f BE iː AN z AJ ɪ AM b AH ə AM ɫ AE
defeatable	d AC ɪ AM f BE iː AN t AC ə AM b AH ə AM ɫ AE
defendable	d AC ɪ AM f BE ɛ AM n AG d AC ə AM b AH ə AM ɫ AE
defensible	d AC ɪ AM f BE ɛ AM n AG s AJ ɪ AM b AH ə AM ɫ AE
deferential	d AC ɛ AM f BE ə AM ɹ AB ɛ AM n AG ʃ AJ ə AM ɫ AE
deferrable	d AC ɪ AM f BE ɜː AN ɹ AB ə AM b AH ə AM ɫ AE
deferral	d AC ɪ AM f BE ɜː AN ɹ AB ə AM ɫ AE
defiable	d AC ɪ AM f BE a AM ɪ AM j AB ə AM b AH ə AM ɫ AE
defiled	d AC ɪ AM f BE a AM ɪ AM j AB ə AM ɫ AE d AC
definable	d AC ɪ AM f BE a AM ɪ AM n AG ə AM b AH ə AM ɫ AE
definitional	d AC ɛ AM f BE ɪ AM n AG ɪ AM ʃ AJ ə AM n AG ə AM ɫ AE
deflectable	d AC ɪ AM f BE l AE ɛ AM k AC t AC ə AM b AH ə AM ɫ AE
deformable	d AC ɪ AM f BE ɔː BB m AF ə AM b AH ə AM ɫ AE
defoul	d AC ɪ AM f BE a AM ʊ BA ɫ AE
deglucosyl	d AC iː AN ɡ AC l AE uː BB k AC ə AM s AJ ɪ AM ɫ AE
degradable	d AC ɪ AM ɡ AC ɹ AB e AM ɪ AM d AC ə AM b AH ə AM ɫ AE
dehydrocholesterol	d AC iː AN h AA a AM ɪ AM d AC ɹ AB ə AM k AC ə AM l AE ɛ AM s AJ t AC ə AM ɹ AB ɒ BA ɫ AE
dehydroretinol	d AC iː AN h AA a AM ɪ AM d AC ɹ AB ə AM ɹ AB ɛ AM t AC ɪ AM n AG ɒ BA ɫ AE
deicidal	d AC e AM ɪ AM j AB ɪ AM s AJ a AM ɪ AM d AC ə AM ɫ AE
delectable	d AC ɪ AM l AE ɛ AM k AC t AC ə AM b AH ə AM ɫ AE
delft	d AC ɛ AM ɫ AE f BE t AC
delphi	d AC ɛ AM ɫ AE f BE i AM
delphine	d AC ɛ AM ɫ AE f BE iː AN n AG
delphinium	d AC ɛ AM ɫ AE f BE ɪ AM n AG ɪ AM ə AM m AF
delta	d AC ɛ AM ɫ AE t AC ə AM
demicircle	d AC ɛ AM m AF ɪ AM s AJ ɜː AN k AC ə AM ɫ AE
demographical	d AC ɛ AM m AF ə AM ɡ AC ɹ AB æ AM f BE ɪ AM k AC ə AM ɫ AE
dendrological	d AC ɛ AM n AG d AC ɹ AB ə AM l AE ɒ BA d AC ʒ AJ ɪ AM k AC ə AM ɫ AE
dendrophile	d AC ɛ AM n AG d AC ɹ AB ə AM f BE a AM ɪ AM ɫ AE
denton	d AC ɪ AM n AG ʔ AL n̩ BM
dependable	d AC ɪ AM p AH ɛ AM n AG d AC ə AM b AH ə AM ɫ AE
derivable	d AC ɪ AM ɹ AB a AM ɪ AM v BE ə AM b AH ə AM ɫ AE
derival	d AC ɪ AM ɹ AB a AM ɪ AM v BE ə AM ɫ AE
dermal	d AC ɜː AN m AF ə AM ɫ AE
dermatological	d AC ɜː AN m AF ə AM t AC ə AM l AE ɒ BA d AC ʒ AJ ɪ AM k AC ə AM ɫ AE
dermoneural	d AC ɜː AN m AF ə AM n AG j AB ʊ BA ə AM ɹ AB ə AM ɫ AE
desirable	d AC ɪ AM z AJ a AM ɪ AM j AB ə AM ɹ AB ə AM b AH ə AM ɫ AE
desktop	d AC ɛ AM s AJ k AC t AC ɒ BA p AH
desktops	d AC ɛ AM s AJ k AC t AC ɒ BA p AH s AJ
despeckle	d AC iː AN s AJ p AH ɛ AM k AC ə AM ɫ AE
diabolical	d AC a AM ɪ AM ə AM b AH ɒ BA l AE ɪ AM k AC ə AM ɫ AE
diasporan	d AC ʌ AM ɪ AM a AM s AJ p AH ə AM ɹ AB n̩ BM
dibutyl	d AC a AM ɪ AM b AH j AB uː BB t AC a AM ɪ AM ɫ AE
dictatorial	d AC ɪ AM k AC t AC ə AM t AC ɔː BB ɹ AB ɪ AM ə AM ɫ AE
diddle	d AC ɪ AM d AC ə AM ɫ AE
differential	d AC ɪ AM f BE ə AM ɹ AB ə AM n AG ʃ AJ ə AM ɫ AE
diggle	d AC ɪ AM ɡ AC ə AM ɫ AE
diggles	d AC ɪ AM ɡ AC ə AM ɫ AE z AJ
diisopropyl	d AC a AM ɪ AM a AM ɪ AM s AJ ə AM ʊ BA p AH ɹ AB ə AM ʊ BA p AH a AM ɪ AM ɫ AE
dildo	d AC ɪ AM ɫ AE d AC ə AM ʊ BA
dimethylbenzene	d AC a AM ɪ AM m AF iː AN θ AJ a AM ɪ AM ɫ AE b AH ɛ AM n AG z AJ iː AN n AG
dingaling	d AC ɪ AM ŋ AG ə AM l AE ɪ AM ŋ AG
diphenol	d AC a AM ɪ AM f BE iː AN n AG ɒ BA ɫ AE
diphenyl	d AC a AM ɪ AM f BE iː AN n AG a AM ɪ AM ɫ AE
dirgeful	d AC ɜː AN d AC ʒ AJ f BE ə AM ɫ AE
dirndl	d AC ɪ AM ə AM n AG d AC ə AM ɫ AE
disable	d AC ɪ AM s AJ e AM ɪ AM b AH ə AM ɫ AE
disabled	d AC ɪ AM s AJ e AM ɪ AM b AH ə AM ɫ AE d AC
disagreeable	d AC ɪ AM s AJ ə AM ɡ AC ɹ AB i AM ə AM b AH ə AM ɫ AE
disapproval	d AC ɪ AM s AJ ə AM p AH ɹ AB uː BB v BE ə AM ɫ AE
disavail	d AC ɪ AM s AJ ə AM v BE e AM ɪ AM ɫ AE
disavowal	d AC ɪ AM s AJ ə AM v BE a AM ʊ BA ə AM ɫ AE
disbursal	d AC ɪ AM s AJ b AH ɜː AN s AJ ə AM ɫ AE
disculpate	d AC ɪ AM s AJ k AC ʌ AM ɫ AE p AH e AM ɪ AM t AC
disembowel	d AC ɪ AM s AJ ɪ AM m AF b AH a AM ʊ BA ə AM ɫ AE
disentangle	d AC ɪ AM s AJ ɪ AM n AG t AC æ AM ŋ AG ɡ AC ə AM ɫ AE
disentitle	d AC ɪ AM s AJ ɪ AM n AG t AC a AM ɪ AM t AC ə AM ɫ AE
disfavourable	d AC ɪ AM s AJ f BE e AM ɪ AM v BE ɹ AB ə AM b AH ə AM ɫ AE
disgraceful	d AC ɪ AM z AJ ɡ AC ɹ AB e AM ɪ AM s AJ f BE ə AM ɫ AE
disgust	d AC ɪ AM s AJ k AC ʌ AM s AJ t AC
dishevel	d AC ɪ AM s AJ ʃ AJ ɛ AM v BE ə AM ɫ AE
disloyal	d AC ɪ AM s AJ l AE ɔ BA ɪ AM j AB ə AM ɫ AE
dismal	d AC ɪ AM z AJ m AF ə AM ɫ AE
dismantle	d AC ɪ AM s AJ m AF æ AM n AG tʰ AD ə AM ɫ AE
dismissal	d AC ɪ AM z AJ m AF ɪ AM s AJ ə AM ɫ AE
dispel	d AC ɪ AM s AJ p AH ɛ AM ɫ AE
dispellable	d AC ɪ AM s AJ p AH ɛ AM l AE ə AM b AH ə AM ɫ AE
dispensable	d AC ɪ AM s AJ pʰ AI ɛ AM n AG s AJ ə AM b AH ɫ̩
disposal	d AC ɪ AM s AJ p AH ə AM ʊ BA z AJ ə AM ɫ AE
disproportional	d AC ɪ AM s AJ p AH ɹ AB ə AM p AH ɔː BB ʃ AJ ə AM n AG ə AM ɫ AE
disrespectful	d AC ɪ AM s AJ ɹ AB ɪ AM s AJ p AH ɛ AM k AC t AC f BE ə AM ɫ AE
dissemble	d AC ɪ AM s AJ ɛ AM m AF b AH ə AM ɫ AE
distil	d AC ɪ AM s AJ t AC ɪ AM ɫ AE
distill	d AC ɪ AM s AJ t AC ɪ AM ɫ AE
divinyl	d AC a AM ɪ AM v BE a AM ɪ AM n AG ɪ AM ɫ AE
divisible	d AC ɪ AM v BE ɪ AM z AJ ɪ AM b AH ə AM ɫ AE
dna	d AC i AM ɛ AM n AG e AM ɪ AM
dniester	n AG iː AN s AJ t AC ə AM
