a	a AK
alemania	a AK l AE e AK m AF a AK n AG j AB a AK
alemaniar	a AK l AE e AK m AF a AK n AG j AB a AK r AM
alkandora	a AK l AE k AC a AK n AG d AC o AL ɾ BC a AK
alkandorak	a AK l AE k AC a AK n AG d AC o AL ɾ BC a AK k AC
alkandorek	a AK l AE k AC a AK n AG d AC o AL ɾ BC e AK k AC
alkate	a AK l AE k AC a AK t AC e AK
alkohol	a AK l AE k AC o AL ɦ AA o AL l AE
alkohola	a AK l AE k AC o AL ɦ AA o AL l AE a AK
alkoholan	a AK l AE k AC o AL ɦ AA o AL l AE a AK n AG
alkoholen	a AK l AE k AC o AL ɦ AA o AL l AE e AK n AG
alkoholi	a AK l AE k AC o AL ɦ AA o AL l AE i AK
alkoholik	a AK l AE k AC o AL ɦ AA o AL l AE i AK k AC
altxoin	a AK l AE t AC ʃ AI o AL i AK ɲ AG
altxor	a AK l AE t AC ʃ AI o AL r AM
aluminio	a AK l AE u AL m AF i AK n AG j AB o AL
ama	a AK m AF a AK
amaraun	a AK m AF a AK ɾ BC a AK u AL n AG
amatasun	a AK m AF a AK t AC a AK s̺ AI u AL n AG
amesgaizto	a AK m AF e AK s̺ AI ɡ AC a AK i AK s̻ AI t AC o AL
amets	a AK m AF e AK t AC s̺ AI
ametz	a AK m AF e AK t AC s̻ AI
anana	a AK n AG a AK n AG a AK
andaia	a AK n AG d AC a AK j AB a AK
ander	a AK n AG d AC e AK r AM
andereño	a AK n AG d AC e AK ɾ BC e AK ɲ AG o AL
andorra	a AK n AG d AC o AL r AM a AK
andorratar	a AK n AG d AC o AL r AM a AK t AC a AK r AM
andorratarra	a AK n AG d AC o AL r AM a AK t AC a AK r AM a AK
andorratarrak	a AK n AG d AC o AL r AM a AK t AC a AK r AM a AK k AC
andorratarraren	a AK n AG d AC o AL r AM a AK t AC a AK r AM a AK ɾ BC e AK n AG
andorratarrari	a AK n AG d AC o AL r AM a AK t AC a AK r AM a AK ɾ BC i AK
andorratarrei	a AK n AG d AC o AL r AM a AK t AC a AK r AM e AK i AK
andorratarrek	a AK n AG d AC o AL r AM a AK t AC a AK r AM e AK k AC
andorratarren	a AK n AG d AC o AL r AM a AK t AC a AK r AM e AK n AG
andorratarri	a AK n AG d AC o AL r AM a AK t AC a AK r AM i AK
angola	a AK n AG ɡ AC o AL l AE a AK
animalia	a AK n AG i AK m AF a AK l AE i AK a AK
anime	a AK n AG i AK m AF e AK
anker	a AK n AG k AC e AK r AM
antartika	a AK n AG t AC a AK r AM t AC i AK k AC a AK
antigua	a AK n AG t AC i AK ɡ AC w AJ a AK
antton	a AK n AG t AC ʃ AI o AL n AG
antxeta	a AK n AG t AC ʃ AI e AK t AC a AK
antxieta	a AK n AG t AC ʃ AI j AB e AK t AC a AK
antzara	a AK n AG t AC s̻ AI a AK ɾ BC a AK
apaiz	a AK p AH a AK i AK s̻ AI
apaizgai	a AK p AH a AK i AK s̻ AI ɡ AC a AK i AK
apar	a AK p AH a AK r AM
apez	a AK p AH e AK s̻ AI
apiril	a AK p AH i AK ɾ BC i AK ʎ AE
apo	a AK p AH o AL
aprobetxategi	a AK p AH r AM o AL b AH e AK t AC ʃ AI a AK t AC e AK ɡ AC i AK
araba	a AK ɾ BC a AK b AH a AK
arabiera	a AK ɾ BC a AK b AH j AB e AK ɾ BC a AK
arabisagar	a AK ɾ BC a AK b AH i AK s̺ AI a AK ɡ AC a AK r AM
aramu	a AK ɾ BC a AK m AF u AL
aran	a AK ɾ BC a AK n AG
aranondo	a AK ɾ BC a AK n AG o AL n AG d AC o AL
arbola	a AK r AM b AH o AL l AE a AK
ardi	a AK r AM d AC i AK
ardo	a AK r AM d AC o AL
arellano	a AK ɾ BC e AK ʎ AE a AK n AG o AL
argi	a AK r AM ɡ AC i AK
argitsu	a AK r AM ɡ AC i AK t AC s̺ AI u AL
aristotele	a AK ɾ BC i AK s̺ AI t AC o AL t AC e AK l AE e AK
aritz	a AK ɾ BC i AK t AC s̻ AI
armenia	a AK r AM m AF e AK n AG j AB a AK
armeniar	a AK r AM m AF e AK n AG j AB a AK r AM
armeniera	a AK r AM m AF e AK n AG j AB e AK ɾ BC a AK
armiarma	a AK r AM m AF i AK a AK r AM m AF a AK
arotz	a AK ɾ BC o AL t AC s̻ AI
aroztegi	a AK ɾ BC o AL s̻ AI t AC e AK ɡ AC i AK
arrain	a AK r AM a AK i AK ɲ AG
arrano	a AK r AM a AK n AG o AL
arrantzale	a AK r AM a AK n AG t AC s̻ AI a AK l AE e AK
arratoi	a AK r AM a AK t AC o AL i AK
arraun	a AK r AM a AK u AL n AG
arrigorriaga	a AK r AM i AK ɡ AC o AL r AM j AB a AK ɡ AC a AK
arroda	a AK r AM o AL d AC a AK
arrosa	a AK r AM o AL s̺ AI a AK
arrunt	a AK r AM u AL n AG t AC
artaburu	a AK r AM t AC a AK b AH u AL ɾ BC u AL
arte	a AK r AM t AC e AK
arto	a AK r AM t AC o AL
artseniko	a AK r AM t AC s̺ AI e AK n AG i AK k AC o AL
artxipelago	a AK r AM t AC ʃ AI i AK p AH e AK l AE a AK ɡ AC o AL
artzain	a AK r AM t AC s̻ AI a AK i AK ɲ AG
askatasun	a AK s̺ AI k AC a AK t AC a AK s̺ AI u AL n AG
aske	a AK s̺ AI k AC e AK
asko	a AK s̺ AI k AC o AL
aste	a AK s̺ AI t AC e AK
astearte	a AK s̺ AI t AC e AK a AK r AM t AC e AK
asteazken	a AK s̺ AI t AC e AK a AK s̻ AI k AC e AK n AG
asteburu	a AK s̺ AI t AC e AK b AH u AL ɾ BC u AL
astelehen	a AK s̺ AI t AC e AK l AE e AK n AG
asto	a AK s̺ AI t AC o AL
asturiera	a AK s̺ AI t AC u AL ɾ BC j AB e AK ɾ BC a AK
asun	a AK s̺ AI u AL n AG
atena	a AK t AC e AK n AG a AK
atxeki	a AK t AC ʃ AI e AK k AC i AK
atxekiko	a AK t AC ʃ AI e AK k AC i AK k AC o AL
atxekitzen	a AK t AC ʃ AI e AK k AC i AK t AC s̻ AI e AK n AG
atzelari	a AK t AC s̻ AI e AK l AE a AK ɾ BC i AK
atzo	a AK t AC s̻ AI o AL
aukera	a AK u AL k AC e AK ɾ BC a AK
aukeratu	a AK u AL k AC e AK ɾ BC a AK t AC u AL
aukeratuko	a AK u AL k AC e AK ɾ BC a AK t AC u AL k AC o AL
aukeratze	a AK u AL k AC e AK ɾ BC a AK t AC s̻ AI e AK
aukeratzen	a AK u AL k AC e AK ɾ BC a AK t AC s̻ AI e AK n AG
aurki	a AK u AL r AM k AC i AK
aurkitu	a AK u AL r AM k AC i AK t AC u AL
aurkituko	a AK u AL r AM k AC i AK t AC u AL k AC o AL
aurkitze	a AK u AL r AM k AC i AK t AC s̻ AI e AK
aurkitzen	a AK u AL r AM k AC i AK t AC s̻ AI e AK n AG
aurpegi	a AK u AL r AM p AH e AK ɡ AC i AK
aurre	a AK u AL r AM e AK
australia	a AK u AL s̺ AI t AC r AM a AK l AE j AB a AK
austria	a AK u AL s̺ AI t AC r AM j AB a AK
austriar	a AK u AL s̺ AI t AC r AM j AB a AK r AM
azaro	a AK s̻ AI a AK ɾ BC o AL
azerbaijan	a AK s̻ AI e AK r AM b AH a AK i AK j AB a AK n AG
azerbaijandar	a AK s̻ AI e AK r AM b AH a AK i AK j AB a AK n AG d AC a AK r AM
azerbaijanera	a AK s̻ AI e AK r AM b AH a AK i AK j AB a AK n AG e AK ɾ BC a AK
azeri	a AK s̻ AI e AK ɾ BC i AK
azkar	a AK s̻ AI k AC a AK r AM
azkonar	a AK s̻ AI k AC o AL n AG a AK r AM
azoka	a AK s̻ AI o AL k AC a AK
azukre	a AK s̻ AI u AL k AC r AM e AK
b	b AH e AK
badia	b AH a AK d AC i AK a AK
bagenbiltza	b AH a AK ɡ AC e AK n AG b AH i AK l AE t AC s̻ AI a AK
bagentoz	b AH a AK ɡ AC e AK n AG t AC o AL s̻ AI
bageunde	b AH a AK ɡ AC e AK u AL n AG d AC e AK
bagil	b AH a AK ɡ AC i AK ʎ AE
bagina	b AH a AK ɡ AC i AK ɲ AG a AK
bagintez	b AH a AK ɡ AC i AK n AG t AC e AK s̻ AI
bahenbil	b AH a AK h AA e AK n AG b AH i AK l AE
bahendi	b AH a AK h AA e AK n AG d AC i AK
bahengo	b AH a AK h AA e AK n AG ɡ AC o AL
bahentor	b AH a AK h AA e AK n AG t AC o AL r AM
bai	b AH a AK i AK
baita	b AH a AK i AK t AC a AK
bakarrik	b AH a AK k AC a AK r AM i AK k AC
bake	b AH a AK k AC e AK
baketu	b AH a AK k AC e AK t AC u AL
baketuko	b AH a AK k AC e AK t AC u AL k AC o AL
baketze	b AH a AK k AC e AK t AC s̪ AI e AK
baketzen	b AH a AK k AC e AK t AC s̻ AI e AK n AG
bakteriofago	b AH a AK k AC t AC e AK ɾ BC j AB o AL f AN a AK ɡ AC o AL
balebil	b AH a AK l AE e AK b AH i AK l AE
balebiltza	b AH a AK l AE e AK b AH i AK l AE t AC s̪ AI a AK
baledi	b AH a AK l AE e AK d AC i AK
balego	b AH a AK l AE e AK ɡ AC o AL
baletor	b AH a AK l AE e AK t AC o AL r AM
baletoz	b AH a AK l AE e AK t AC o AL s̻ AI
baleude	b AH a AK l AE e AK u AL d AC e AK
balitez	b AH a AK l AE i AK t AC e AK s̻ AI
bana	b AH a AK n AG a AK
banatu	b AH a AK n AG a AK t AC u AL
banatuko	b AH a AK n AG a AK t AC u AL k AC o AL
banatze	b AH a AK n AG a AK t AC s̪ AI e AK
banatzen	b AH a AK n AG a AK t AC s̻ AI e AK n AG
banenbil	b AH a AK n AG e AK n AG b AH i AK l AE
banendi	b AH a AK n AG e AK n AG d AC i AK
banengo	b AH a AK n AG e AK n AG ɡ AC o AL
banentor	b AH a AK n AG e AK n AG t AC o AL r AM
banentorkio	b AH a AK n AG e AK n AG t AC o AL r AM k AC i AK o AL
banintz	b AH a AK n AG i AK n AG t AC s̻ AI
banpiro	b AH a AK m AF p AH i AK ɾ BC o AL
barantaila	b AH a AK ɾ BC a AK n AG t AC a AK ʎ AE a AK
barazkari	b AH a AK ɾ BC a AK s̻ AI k AC a AK ɾ BC i AK
barbuda	b AH a AK r AM b AH u AL d AC a AK
bare	b AH a AK ɾ BC e AK
bariku	b AH a AK ɾ BC i AK k AC u AL
barna	b AH a AK r AM n AG a AK
barrabil	b AH a AK r AM a AK b AH i AK ʎ AE
barre	b AH a AK r AM e AK
barren	b AH a AK r AM e AK n AG
barrena	b AH a AK r AM e AK n AG a AK
bart	b AH a AK r AM t AC
basajaun	b AH a AK s̺ AI a AK x AI a AK u AL n AG
baserri	b AH a AK s̺ AI e AK r AM i AK
baserritar	b AH a AK s̺ AI e AK r AM i AK t AC a AK r AM
baserritartu	b AH a AK s̺ AI e AK r AM i AK t AC a AK r AM t AC u AL
baserritartuko	b AH a AK s̺ AI e AK r AM i AK t AC a AK r AM t AC u AL k AC o AL
baserritartze	b AH a AK s̺ AI e AK r AM i AK t AC a AK r AM t AC s̪ AI e AK
baserritartzen	b AH a AK s̺ AI e AK r AM i AK t AC a AK r AM t AC s̻ AI e AK n AG
baso	b AH a AK s̺ AI o AL
basurde	b AH a AK s̺ AI u AL r AM d AC e AK
bat	b AH a AK t AC
bata	b AH a AK t AC a AK
batak	b AH a AK t AC a AK k AC
batean	b AH a AK t AC e AK a AK n AG
batek	b AH a AK t AC e AK k AC
baten	b AH a AK t AC e AK n AG
batera	b AH a AK t AC e AK ɾ BC a AK
batez	b AH a AK t AC e AK s̪ AI
bati	b AH a AK t AC i AK
batzuetan	b AH a AK t AC s̻ AI u AL e AK t AC a AK n AG
bazenbiltza	b AH a AK s̻ AI e AK n AG b AH i AK l AE t AC s̻ AI a AK
bazenbiltzate	b AH a AK s̻ AI e AK n AG b AH i AK l AE t AC s̻ AI a AK t AC e AK
bazentoz	b AH a AK s̻ AI e AK n AG t AC o AL s̻ AI
bazentozte	b AH a AK s̻ AI e AK n AG t AC o AL s̻ AI t AC e AK
bazeunde	b AH a AK s̻ AI e AK u AL n AG d AC e AK
bazeundete	b AH a AK s̻ AI e AK u AL n AG d AC e AK t AC e AK
bazintez	b AH a AK s̻ AI i AK n AG t AC e AK s̻ AI
bazintezte	b AH a AK s̻ AI i AK n AG t AC e AK s̻ AI t AC e AK
be	b AH e AK
bebil	b AH e AK b AH i AK l AE
bebiltza	b AH e AK b AH i AK l AE t AC s̻ AI a AK
bederatzi	b AH e AK d AC e AK ɾ BC a AK t AC s̻ AI i AK
bedi	b AH e AK d AC i AK
begi	b AH e AK ɡ AC i AK
begira	b AH e AK ɡ AC i AK ɾ BC a AK
begiratu	b AH e AK ɡ AC i AK ɾ BC a AK t AC u AL
begiratuko	b AH e AK ɡ AC i AK ɾ BC a AK t AC u AL k AC o AL
begiratze	b AH e AK ɡ AC i AK ɾ BC a AK t AC s̪ AI e AK
begiratzen	b AH e AK ɡ AC i AK ɾ BC a AK t AC s̻ AI e AK n AG
bego	b AH e AK ɡ AC o AL
behar	b AH e AK ɦ AA a AK r AM
behartsu	b AH e AK ɦ AA a AK r AM t AC s̺ AI u AL
behi	b AH e AK ɦ AA i AK
beki	b AH e AK k AC i AK
bekie	b AH e AK k AC i AK e AK
bele	b AH e AK l AE e AK
belgika	b AH e AK l AE ɡ AC i AK k AC a AK
belgikar	b AH e AK l AE ɡ AC i AK k AC a AK r AM
beltx	b AH e AK l AE t AC ʃ AI
beltz	b AH e AK l AE t AC s̻ AI
belz	b AH e AK l AE s̻ AI
berde	b AH e AK r AM d AC e AK
berilio	b AH e AK ɾ BC i AK l AE j AB o AL
bero	b AH e AK ɾ BC o AL
berpiztu	b AH e AK r AM p AH i AK s̻ AI t AC u AL
berri	b AH e AK r AM i AK
berriro	b AH e AK r AM i AK ɾ BC o AL
besape	b AH e AK s̺ AI a AK p AH e AK
beso	b AH e AK s̺ AI o AL
beti	b AH e AK t AC i AK
betor	b AH e AK t AC o AL r AM
betoz	b AH e AK t AC o AL s̻ AI
beude	b AH e AK u AL d AC e AK
bi	b AH i AK
bide	b AH i AK d AC e AK
bidegorri	b AH i AK d AC e AK ɡ AC o AL r AM i AK
bielorrusia	b AH j AB e AK l AE o AL r AM u AL s̺ AI j AB a AK
bielorrusiera	b AH j AB e AK l AE o AL r AM u AL s̺ AI j AB e AK ɾ BC a AK
bigarren	b AH i AK ɡ AC a AK r AM e AK n AG
bihar	b AH i AK h AA a AK r AM
bihotz	b AH i AK ɦ AA o AL t AC s̻ AI
bikoitz	b AH i AK k AC o AL i AK t AC s̻ AI
bikote	b AH i AK k AC o AL t AC e AK
bilatu	b AH i AK ʎ AE a AK t AC u AL
bilbo	b AH i AK l AE b AH o AL
bildil	b AH i AK l AE d AC i AK ʎ AE
bira	b AH i AK ɾ BC a AK
birika	b AH i AK ɾ BC i AK k AC a AK
bitez	b AH i AK t AC e AK s̻ AI
bizar	b AH i AK s AI a AK r AM
boro	b AH o AL ɾ BC o AL
bosgarren	b AH o AL s̺ AI ɡ AC a AK r AM e AK n AG
boskoitz	b AH o AL s̺ AI k AC o AL i AK t AC s̻ AI
bosniera	b AH o AL s̺ AI n AG j AB e AK ɾ BC a AK
bost	b AH o AL s̺ AI t AC
bosten	b AH o AL s̺ AI t AC e AK n AG
bozkatu	b AH o AL s̻ AI k AC a AK t AC u AL
bretoiera	b AH r AM e AK t AC o AL i AK e AK ɾ BC a AK
bulgaria	b AH u AL l AE ɡ AC a AK ɾ BC j AB a AK
bulgarian	b AH u AL l AE ɡ AC a AK ɾ BC j AB a AK n AG
bulgariera	b AH u AL l AE ɡ AC a AK ɾ BC j AB e AK ɾ BC a AK
burdina	b AH u AL r AM d AC i AK ɲ AG a AK
burdinbide	b AH u AL r AM d AC i AK m AF b AH i AK d AC e AK
burdingintza	b AH u AL r AM d AC i AK n AG ɡ AC i AK n AG t AC s̻ AI a AK
buru	b AH u AL ɾ BC u AL
buruil	b AH u AL ɾ BC u AL ʎ AE
burukomin	b AH u AL ɾ BC u AL k AC o AL m AF i AK ɲ AG
burumuin	b AH u AL ɾ BC u AL m AF u AL ɲ AG
büü	b AH y AL y AL
c	s̻ AI e AK
d	d AC e AK
da	d AC a AK
dabil	d AC a AK b AH i AK l AE
dabilela	d AC a AK b AH i AK ʎ AE e AK l AE a AK
dabilke	d AC a AK b AH i AK l AE k AC e AK
dabiltza	d AC a AK b AH i AK l AE t AC s̻ AI a AK
dabiltzala	d AC a AK b AH i AK l AE t AC s̻ AI a AK l AE a AK
dabilzke	d AC a AK b AH i AK l AE s̻ AI k AC e AK
dadila	d AC a AK d AC i AK ʎ AE a AK
dadin	d AC a AK d AC i AK ɲ AG
dagi	d AC a AK ɡ AC i AK
dagit	d AC a AK ɡ AC i AK t AC
dago	d AC a AK ɡ AC o AL
dagoela	d AC a AK ɡ AC o AL e AK l AE a AK
dagoke	d AC a AK ɡ AC o AL k AC e AK
dagonil	d AC a AK ɡ AC o AL n AG i AK ʎ AE
daiteke	d AC a AK i AK t AC e AK k AC e AK
daitez	d AC a AK i AK t AC e AK s̻ AI
daitezela	d AC a AK i AK t AC e AK s̻ AI e AK l AE a AK
daitezke	d AC a AK i AK t AC e AK s̻ AI k AC e AK
daki	d AC a AK k AC i AK
dakik	d AC a AK k AC i AK k AC
dakin	d AC a AK k AC i AK n AG
dakit	d AC a AK k AC i AK t AC
daniera	d AC a AK n AG j AB e AK ɾ BC a AK
danimarka	d AC a AK n AG i AK m AF a AK r AM k AC a AK
darama	d AC a AK ɾ BC a AK m AF a AK
darik	d AC a AK ɾ BC i AK k AC
darin	d AC a AK ɾ BC i AK n AG
dator	d AC a AK t AC o AL r AM
datorke	d AC a AK t AC o AL r AM k AC e AK
datorrela	d AC a AK t AC o AL r AM e AK l AE a AK
datoz	d AC a AK t AC o AL s̻ AI
datozela	d AC a AK t AC o AL s̻ AI e AK l AE a AK
datozke	d AC a AK t AC o AL s̻ AI k AC e AK
datxekie	d AC a AK t AC ʃ AI e AK k AC i AK e AK
datxekigu	d AC a AK t AC ʃ AI e AK k AC i AK ɡ AC u AL
datxekik	d AC a AK t AC ʃ AI e AK k AC i AK k AC
datxekin	d AC a AK t AC ʃ AI e AK k AC i AK n AG
datxekio	d AC a AK t AC ʃ AI e AK k AC i AK o AL
datxekit	d AC a AK t AC ʃ AI e AK k AC i AK t AC
datxekizu	d AC a AK t AC ʃ AI e AK k AC i AK s̻ AI u AL
datxekizue	d AC a AK t AC ʃ AI e AK k AC i AK s̻ AI u AL e AK
datxezkie	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK e AK
datxezkigu	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK ɡ AC u AL
datxezkik	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK k AC
datxezkin	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK n AG
datxezkio	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK o AL
datxezkit	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK t AC
datxezkizu	d AC a AK t AC ʃ AI e AK k AC i AK s̻ AI u AL
datxezkizue	d AC a AK t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL e AK
datza	d AC a AK t AC s̻ AI a AK
daude	d AC a AK u AL d AC e AK
daudeke	d AC a AK u AL d AC e AK k AC e AK
daudela	d AC a AK u AL d AC e AK l AE a AK
dautza	d AC a AK u AL t AC s̻ AI a AK
de	d AC e AK
deabru	d AC e AK a AK b AH r AM u AL
dei	d AC e AK i AK
deia	d AC e AK i AK a AK
deien	d AC e AK i AK e AK n AG
deira	d AC e AK i AK ɾ BC a AK
deiri	d AC e AK i AK ɾ BC i AK
deitara	d AC e AK i AK t AC a AK ɾ BC a AK
deitura	d AC e AK i AK t AC u AL ɾ BC a AK
deiz	d AC e AK i AK s̻ AI
dira	d AC i AK ɾ BC a AK
doa	d AC o AL a AK
domeka	d AC o AL m AF e AK k AC a AK
donostia	d AC o AL n AG o AL s̺ AI t AC j AB a AK
dortoka	d AC o AL r AM t AC o AL k AC a AK
dromedario	d AC r AM o AL m AF e AK d AC a AK ɾ BC j AB o AL
e	e AK
ebiakoitz	e AK b AH i AK a AK k AC o AL i AK t AC s̻ AI
edan	e AK d AC a AK n AG
edari	e AK d AC a AK ɾ BC i AK
eder	e AK d AC e AK r AM
edin	e AK d AC i AK n AG
eduki	e AK d AC u AL k AC i AK
edukiko	e AK d AC u AL k AC i AK k AC o AL
edukitze	e AK d AC u AL k AC i AK t AC s̪ AI e AK
edukitzen	e AK d AC u AL k AC i AK t AC s̻ AI e AK n AG
edun	e AK d AC u AL n AG
efe	e AK f AN e AK
egin	e AK ɡ AC i AK ɲ AG
egingo	e AK ɡ AC i AK n AG ɡ AC o AL
egitasmo	e AK ɡ AC i AK t AC a AK s̺ AI m AF o AL
egite	e AK ɡ AC i AK t AC e AK
egiten	e AK ɡ AC i AK t AC e AK n AG
egon	e AK ɡ AC o AL n AG
egongo	e AK ɡ AC o AL n AG ɡ AC o AL
egote	e AK ɡ AC o AL t AC e AK
egoten	e AK ɡ AC o AL t AC e AK n AG
eguazten	e AK ɡ AC u AL a AK s̻ AI t AC e AK n AG
egubakoitz	e AK ɡ AC u AL b AH a AK k AC o AL i AK t AC s̻ AI
eguen	e AK ɡ AC u AL e AK n AG
egun	e AK ɡ AC u AL n AG
egur	e AK ɡ AC u AL r AM
eguzkitsu	e AK ɡ AC u AL s̻ AI k AC i AK t AC s̺ AI u AL
ehe	e AK h̃ BD e AK
ehiza	e AK ɦ AA i AK s̻ AI a AK
ekain	e AK k AC a AK i AK ɲ AG
ekaiztsu	e AK k AC a AK i AK s̻ AI t AC s̺ AI u AL
ekark	e AK k AC a AK r AM k AC
ekarna	e AK k AC a AK r AM n AG a AK
