'n	ə AL n AG
aasjägerei	aː AM s AJ j AB ɛː AM ɡ AC ə AL ʁ AJ a AL ɪ̯ AB
aaskäfer	aː AM s AJ k AC ɛː AM f BC ɐ AN
aasseite	aː AM s AJ z AJ a AL ɪ̯ AB t AC ə AL
aasvogel	aː AM s AJ f BC oː BA ɡ AC l̩ BI
ab	a AL p AH
abarbeiten	a AL b AH a AL ʁ AJ b AH a AL ɪ̯ AB t AC ə AL n AG
abartig	a AL p AH a AL ʁ AJ t AC ɪ AL ç
abartung	a AL p AH ʔ AK aː AM ɐ̯ t AC ʊ AN ŋ AG
abbaggerung	a AL p AH b AH a AL ɡ AC ə AL ʀ BB ʊ AN ŋ AG
abbaubar	a AL p AH b AH a AL ʊ̯ BF b AH aː AM ʁ AJ
abbaubarkeit	a AL p AH b AH a AL ʊ̯ BF b AH aː AM ɐ̯ k AC a AL ɪ̯ AB t AC
abbauprodukt	a AL p AH b AH a AL ʊ̯ BF p AH r BB o AN d AC ʊ AN k AC t AC
abbeissen	a AL p AH b AH a AL ɪ̯ AB s AJ ə AL n AG
abbekommen	ʔ AK a AL p AH b AH ə AL k AC ɔ AN m AF ə AL n AG
abberufung	a AL p AH b AH ə AL ʁ AJ uː BA f BC ʊ AN ŋ AG
abbestellen	a AL b AH ə AL ʃ AJ t AC ɛ AL l AE ə AL n AG
abbestellung	a AL p AH b AH ə AL ʃ AJ t AC ɛ AL l AE ʊ AN ŋ AG
abbezahlen	a AL b AH ə AL t AC s AJ aː AM l AE ə AL n AG
abbezahlung	a AL p AH b AH ə AL t AC s AJ aː AM l AE ʊ AN ŋ AG
abbiegung	a AL p AH b AH iː AM ɡ AC ʊ AN ŋ AG
abbilden	a AL p AH b AH ɪ AL l AE d AC ə AL n AG
abbildung	a AL p AH b AH ɪ AL l AE d AC ʊ AN ŋ AG
abbildungstechnologie	a AL p AH b AH ɪ AL l AE d AC ʊ AN ŋ AG s AJ t AC ɛ AL ç n AG o AN l AE o AN ɡ AC iː AM
abbinden	ʔ AK a AL p AH b AH ɪ AL n AG d AC ə AL n AG
abbitte	ʔ AK a AL p AH b AH ɪ AL t AC ə AL
abbitten	ʔ AK a AL p AH b AH ɪ AL t AC ə AL n AG
abblasen	a AL p AH b AH l AE aː AM z AJ n̩ BH
abbleiben	a AL p AH b AH l AE a AL ɪ̯ AB b AH n̩ BH
abblendlicht	a AL p AH b AH l AE ɛ AL n AG t AC l AE ɪ AL ç t AC
abblocken	a AL b AH l AE ɔ AN k AC ə AL n AG
abblättern	ʔ AK a AL p AH b AH l AE ɛ AL t AC ɐ AN n AG
abbrecher	a AL p AH b AH ʀ BB ɛ AL ç ɐ AN
abbremsen	a AL b AH ʁ AJ ɛ AL m AF z AJ ə AL n AG
abbrennen	a AL p AH b AH ʁ AJ ɛ AL n AG ə AL n AG
abbruch	a AL p AH ʁ AJ ʊ AN χ AJ
abbruchbirne	a AL p AH b AH ʁ AJ ʊ AN x AJ b AH ɪ AL ʁ AJ n AG ə AL
abbuchen	a AL b AH uː BA χ AJ ə AL n AG
abchasisch	a AL p AH χ AJ aː AM z AJ ɪ AL ʃ AJ
abchecken	a AL p AH t AC ʃ AJ ɛ AL k AC n̩ BH
abdampfen	a AL p AH d AC a AL m AF p AH f BC n̩ BH
abdanken	ʔ AK a AL p AH d AC a AL ŋ AG k AC ə AL n AG
abdankung	a AL p AH d AC a AL ŋ AG k AC ʊ AN ŋ AG
abdecken	a AL p AH d AC ɛ AL k AC ə AL n AG
abdeckung	a AL p AH d AC ɛ AL k AC ʊ AN ŋ AG
abdestillieren	a AL p AH d AC ɛ AL s AJ t AC i AL l AE iː AM ʁ AJ ə AL n AG
abdirigieren	a AL p AH d AC i AL ʁ AJ i AL ɡ AC iː AM ʁ AJ ə AL n AG
abdominal	a AL p AH d AC o AN m AF i AL n AG aː AM l AE
abdringen	a AL p AH d AC ʁ AJ ɪ AL ŋ AG ə AL n AG
abdruck	a AL p AH d AC ʁ AJ ʊ AN k AC
abduktor	a AL p AH d AC ʊ AN k AC t AC oː BA ɐ̯
abdämpfen	a AL p AH d AC ɛ AL m AF p AH f BC ə AL n AG
abend	aː AM m AF t AC
abendbrot	aː AM m AF b AH r BB oː BA t AC
abendessen	ʔ AK aː AM b AH ə AL n AG t AC ʔ AK ɛ AL s AJ ə AL n AG
abendkasse	aː AM b AH ə AL n AG t AC k AC a AL s AJ ə AL
abendkleider	aː AM b AH ə AL n AG t AC k AC l AE a AL ɪ̯ AB d AC ɐ AN
abendlich	aː AM b AH n̩ BH t AC l AE ɪ AL ç
abendlied	aː AM b AH ə AL n AG t AC l AE iː AM t AC
abendluft	aː AM b AH ə AL n AG t AC l AE ʊ AN f BC t AC
abends	aː AM b AH ə AL n AG t AC s AJ
abendwärts	aː AM b AH n̩ BH t AC v BC ɛ AL ʁ AJ t AC s AJ
abenteuer	aː AM b AH ə AL n AG t AC ɔ AN ʏ̯ ɐ AN
abenteuerdurstig	aː AM b AH n̩ BH t AC ɔ AN ɪ̯ AB ɐ AN d AC ʊ AN ʁ AJ s AJ t AC ɪ AL ç
abenteuerhungrig	aː AM b AH n̩ BH t AC ɔ AN ɪ̯ AB ɐ AN h AA ʊ AN ŋ AG ʁ AJ ɪ AL ç
abenteuerlich	ʔ AK aː AM b AH ə AL n AG t AC ɔ AN ɪ̯ AB ɐ AN l AE ɪ AL ç
abenteuerlustig	ʔ AK aː AM b AH ə AL n AG t AC ɔ AN ɪ̯ AB ɐ AN l AE ʊ AN s AJ t AC ɪ AL ç
abenteuerspielplatz	aː AM b AH n̩ BH t AC ɔ AN ɪ̯ AB ɐ AN ʃ AJ p AH iː AM l AE p AH l AE a AL t AC s AJ
abenteuersüchtig	aː AM b AH n̩ BH t AC ɔ AN ɪ̯ AB ɐ AN z AJ ʏ AN ç t AC ɪ AL ç
aber	aː AM b AH ɐ AN
aberglaube	aː AM b AH ɐ AN ɡ AC l AE a AL ʊ̯ BF b AH ə AL
aberglaubens	ʔ AK aː AM b AH ɐ AN ɡ AC l AE a AL ʊ̯ BF b AH ə AL n AG s AJ
abergläubisch	ʔ AK aː AM b AH ɐ AN ɡ AC l AE ɔ AN ɪ̯ AB b AH ɪ AL ʃ AJ
aberhundert	aː AM b AH ɐ AN h AA ʊ AN n AG d AC ɐ AN t AC
abertausend	aː AM b AH ɐ AN t AC a AL ʊ̯ BF z AJ n̩ BH t AC
aberwitz	aː AM b AH ɐ AN v BC ɪ AL t AC s AJ
aberwitzig	aː AM b AH ɐ AN v BC ɪ AL t AC s AJ ɪ AL ç
abfackeln	a AL p AH f BC a AL k AC ə AL l AE n AG
abfahrt	a AL p AH f BC aː AM r BB t AC
abfallbehälter	a AL p AH f BC a AL l AE b AH ə AL h AA ɛ AL l AE t AC ɐ AN
abfallbehälters	a AL p AH f BC a AL l AE b AH ə AL h AA ɛ AL l AE t AC ɐ AN s AJ
abfalleimer	a AL p AH f BC a AL l AE ʔ AK a AL ɪ̯ AB m AF ɐ AN
abfallen	ʔ AK a AL p AH f BC a AL l AE ə AL n AG
abfallkorb	a AL p AH f BC a AL l AE k AC ɔ AN ʁ AJ p AH
abfalltonne	a AL p AH f BC a AL l AE t AC ɔ AN n AG ə AL
abfangen	ʔ AK a AL p AH f BC a AL ŋ AG ə AL n AG
abfassen	a AL p AH f BC a AL s AJ n̩ BH
abfassung	a AL p AH f BC a AL s AJ ʊ AN ŋ AG
abfedern	a AL p AH f BC eː AM d AC ə AL ʁ AJ n AG
abfertigen	a AL p AH f BC ɛ AL ʁ AJ t AC i AL ɡ AC ə AL n AG
abfertigung	a AL p AH f BC ɛ AL ʁ AJ t AC i AL ɡ AC ʊ AN ŋ AG
abfeuern	ʔ AK a AL p AH f BC ɔ AN ɪ̯ AB ɐ AN n AG
abfeuerung	a AL p AH f BC ɔ AN ʏ̯ ə AL ʁ AJ ʊ AN ŋ AG
abfiltern	a AL p AH f BC ɪ AL l AE t AC ɐ AN n AG
abfinden	a AL p AH f BC ɪ AL n AG d AC ə AL n AG
abfindung	a AL p AH f BC ɪ AL n AG d AC ʊ AN ŋ AG
abflachen	a AL p AH f BC l AE a AL χ AJ ə AL n AG
abflaken	a AL p AH f BC l AE a AL k AC ə AL n AG
abflauen	a AL p AH f BC l AE a AL ʊ̯ BF ə AL n AG
abfliegen	ʔ AK a AL p AH f BC l AE iː AM ɡ AC ə AL n AG
abflug	ʔ AK a AL p AH f BC l AE uː BA k AC
abfluges	ʔ AK a AL p AH f BC l AE uː BA ɡ AC ə AL s AJ
abflugs	ʔ AK a AL p AH f BC l AE uː BA k AC s AJ
abflugzeit	a AL p AH f BC l AE uː BA k AC t AC s AJ a AL ɪ̯ AB t AC
abfluss	a AL p AH f BC l AE ʊ AN s AJ
abflüge	ʔ AK a AL p AH f BC l AE yː BA ɡ AC ə AL
abfolge	a AL p AH f BC ɔ AN l AE ɡ AC ə AL
abfrage	ʔ AK a AL p AH f BC ʀ BB aː AM ɡ AC ə AL
abfragen	ʔ AK a AL p AH f BC ʀ BB aː AM ɡ AC ə AL n AG
abfräsen	a AL p AH f BC ʁ AJ ɛː AM z AJ ə AL n AG
abfrühstücken	a AL p AH f BC ʁ AJ yː BA ʃ AJ t AC ʏ AN k AC n̩ BH
abfuhr	a AL p AH f BC uː BA ɐ̯
abfällig	a AL p AH f BC ɛ AL l AE ɪ AL ç
abführmittel	a AL p AH f BC yː BA ɐ̯ m AF ɪ AL t AC l̩ BI
abgabe	a AL p AH ɡ AC aː AM b AH ə AL
abgabeleistung	ʔ AK a AL p AH ɡ AC aː AM b AH ə AL l AE a AL ɪ̯ AB s AJ t AC ʊ AN ŋ AG
abgang	a AL p AH ɡ AC a AL ŋ AG
abganges	ʔ AK a AL p AH ɡ AC a AL ŋ AG ə AL s AJ
abgangs	ʔ AK a AL p AH ɡ AC a AL ŋ AG s AJ
abgassonderuntersuchung	a AL p AH ɡ AC aː AM s AJ z AJ ɔ AN n AG d AC ɐ AN ʊ AN n AG t AC ɐ AN z AJ uː BA x AJ ʊ AN ŋ AG
abgasstrom	a AL p AH ɡ AC aː AM s AJ ʃ AJ t AC r BB oː BA m AF
abgebrüht	a AL p AH ɡ AC ə AL b AH ʁ AJ yː BA t AC
abgefahren	ʔ AK a AL p AH ɡ AC ə AL f BC aː AM ʀ BB ə AL n AG
abgefeimt	a AL p AH ɡ AC ə AL f BC a AL ɪ̯ AB m AF t AC
abgefüllt	ʔ AK a AL p AH ɡ AC ə AL f BC ʏ AN l AE t AC
abgehen	ʔ AK a AL p AH ɡ AC eː AM ə AL n AG
abgelegen	ʔ AK a AL p AH ɡ AC ə AL l AE eː AM ɡ AC ə AL n AG
abgelöst	ʔ AK a AL p AH ɡ AC ə AL l AE œ AN s AJ t AC
abgeneigt	a AL p AH ɡ AC ə AL n AG a AL ɪ̯ AB k AC t AC
abgesandte	a AL p AH ɡ AC ə AL z AJ a AL n AG t AC ə AL
abgesandter	a AL p AH ɡ AC ə AL z AJ a AL n AG t AC ɐ AN
abgeschieden	ʔ AK a AL p AH ɡ AC ə AL ʃ AJ iː AM d AC ə AL n AG
abgeschiedenheit	ʔ AK a AL p AH ɡ AC ə AL ʃ AJ iː AM d AC ə AL n AG h AA a AL ɪ̯ AB t AC
abgeschlossen	ʔ AK a AL p AH ɡ AC ə AL ʃ AJ l AE ɔ AN s AJ ə AL n AG
abgeschmackt	a AL p AH ɡ AC ə AL ʃ AJ m AF a AL k AC t AC
abgeschrägte	a AL p AH ɡ AC ə AL ʃ AJ ʁ AJ ɛː AM k AC t AC ə AL
abgeschrägten	a AL p AH ɡ AC ə AL ʃ AJ ʁ AJ ɛː AM k AC t AC ə AL n AG
abgespannt	ʔ AK a AL p AH ɡ AC ə AL ʃ AJ p AH a AL n AG t AC
abgesperrt	ʔ AK a AL p AH ɡ AC ə AL ʃ AJ p AH ɛ AL ɐ̯ t AC
abgewaschen	a AL p AH ɡ AC ə AL v BC a AL ʃ AJ n̩ BH
abgezockt	a AL p AH ɡ AC ə AL t AC s AJ ɔ AN k AC t AC
abgeändert	a AL p AH ɡ AC ə AL ɛ AL n AG d AC ɐ AN t AC
abgott	a AL p AH ɡ AC ɔ AN t AC
abgrenzen	a AL p AH ɡ AC ʁ AJ ɛ AL n AG t AC s AJ ə AL n AG
abgrenzung	a AL p AH ɡ AC ʁ AJ ɛ AL n AG t AC s AJ ʊ AN ŋ AG
abgrund	a AL p AH ɡ AC ʁ AJ ʊ AN n AG t AC
abgrundtief	a AL p AH ɡ AC ʁ AJ ʊ AN n AG t AC t AC iː AM f BC
abgründig	ʔ AK a AL p AH ɡ AC ʀ BB ʏ AN n AG d AC ɪ AL ç
abguss	a AL p AH ɡ AC ʊ AN s AJ
abgänger	a AL p AH ɡ AC ɛ AL ŋ AG ɐ AN
abgängig	a AL p AH ɡ AC ɛ AL ŋ AG ɪ AL ç
abgötterei	a AL p AH ɡ AC œ AN t AC ə AL ʁ AJ a AL ɪ̯ AB
abgöttisch	ʔ AK a AL p AH ɡ AC œ AN t AC ɪ AL ʃ AJ
abgünstig	a AL p AH ɡ AC ʏ AN n AG s AJ t AC ɪ AL ç
abhaken	ʔ AK a AL p AH h AA aː AM k AC ə AL n AG
abhandlung	a AL p AH h AA a AL n AG d AC l AE ʊ AN ŋ AG
abhandlungen	a AL p AH h AA a AL n AG d AC l AE ʊ AN ŋ AG ə AL n AG
abheben	ʔ AK a AL p AH h AA eː AM b AH ə AL n AG
abhelfen	a AL p AH h AA ɛ AL l AE f BC n̩ BH
abhocken	a AL p AH h AA ɔ AN k AC ə AL n AG
abhold	a AL p AH h AA ɔ AN l AE t AC
abholen	ʔ AK a AL p AH h AA oː BA l AE ə AL n AG
abholung	a AL p AH h AA oː BA l AE ʊ AN ŋ AG
abholzen	a AL p AH h AA ɔ AN l AE t AC s AJ ə AL n AG
abholzung	a AL p AH h AA ɔ AN l AE t AC s AJ ʊ AN ŋ AG
abhängen	ʔ AK a AL p AH h AA ɛ AL ŋ AG ə AL n AG
abhängig	a AL p AH h AA ɛ AL ŋ AG ɪ AL ç
abhängigkeit	a AL p AH h AA ɛ AL ŋ AG ɪ AL ç k AC a AL ɪ̯ AB t AC
abhören	a AL p AH h AA øː BA ʁ AJ ə AL n AG
abi	a AL b AH i AL
abirren	a AL p AH ɪ AL ʁ AJ ə AL n AG
abkacken	ʔ AK a AL p AH k AC a AL k AC ə AL n AG
abkaufen	a AL p AH k AC a AL ʊ̯ BF f BC ə AL n AG
abkehren	a AL p AH k AC eː AM ʁ AJ ə AL n AG
abklingen	a AL p AH k AC l AE ɪ AL ŋ AG ə AL n AG
abklären	a AL p AH k AC l AE ɛː AM ʁ AJ ə AL n AG
abklärung	ʔ AK a AL p AH k AC l AE ɛː AM ʁ AJ ʊ AN ŋ AG
abknipsen	a AL p AH k AC n AG ɪ AL p AH s AJ n̩ BH
abkommandieren	a AL p AH k AC ɔ AN m AF a AL n AG d AC iː AM ʁ AJ ə AL n AG
abkommen	ʔ AK a AL p AH k AC ɔ AN m AF ə AL n AG
abkupfern	ʔ AK a AL p AH k AC ʊ AN p AH f BC ɐ AN n AG
abkämmen	a AL p AH k AC ɛ AL m AF ə AL n AG
abkömmlich	a AL p AH k AC œ AN m AF l AE ɪ AL ç
abkömmling	a AL p AH k AC œ AN m AF l AE ɪ AL ŋ AG
abkönnen	a AL p AH k AC œ AN n AG ə AL n AG
abkühlen	a AL p AH k AC yː BA l AE ə AL n AG
abkühlung	ʔ AK a AL p AH k AC yː BA l AE ʊ AN ŋ AG
abkürzung	a AL p AH k AC ʏ AN ʁ AJ t AC s AJ ʊ AN ŋ AG
abkürzungsverzeichnis	a AL p AH k AC ʏ AN ʁ AJ t AC s AJ ʊ AN ŋ AG s AJ f BC ɛ AL ɐ̯ t AC s AJ a AL ɪ̯ AB ç n AG ɪ AL s AJ
abladen	a AL p AH l AE aː AM d AC ə AL n AG
ablage	a AL p AH l AE aː AM ɡ AC ə AL
ablass	a AL p AH l AE a AL s AJ
ablassbrief	a AL p AH l AE a AL s AJ b AH ʁ AJ iː AM f BC
ablassen	ʔ AK a AL p AH l AE a AL s AJ ə AL n AG
ablativ	a AL p AH l AE a AL t AC iː AM f BC
ablaufen	ʔ AK a AL p AH l AE a AL ʊ̯ BF f BC ɱ̩
ablaut	a AL p AH l AE a AL ʊ̯ BF t AC
ableben	a AL p AH l AE eː AM b AH ə AL n AG
ablecken	a AL p AH l AE ɛ AL k AC n̩ BH
ableger	a AL p AH l AE eː AM ɡ AC ɐ AN
ablehnen	a AL p AH l AE eː AM n AG ə AL n AG
ableitbar	a AL p AH l AE a AL ɪ̯ AB t AC b AH aː AM ɐ̯
ableitungsmorphem	a AL p AH l AE a AL ɪ̯ AB t AC ʊ AN ŋ AG s AJ m AF ɔ AN ʁ AJ f BC eː AM m AF
ablenken	a AL p AH l AE ɛ AL ŋ AG k AC ə AL n AG
ablenkung	a AL p AH l AE ɛ AL ŋ AG k AC ʊ AN ŋ AG
ablenkungsmanöver	a AL p AH l AE ɛ AL ŋ AG k AC ʊ AN ŋ AG s AJ m AF a AL n AG øː BA v BC ɐ AN
ablenkungstaktik	a AL p AH l AE ɛ AL ŋ AG k AC ʊ AN ŋ AG s AJ t AC a AL k AC t AC ɪ AL k AC
ablichtung	a AL p AH l AE ɪ AL ç t AC ʊ AN ŋ AG
abliefern	a AL p AH l AE iː AM f BC ɐ AN n AG
abliegen	a AL p AH l AE iː AM ɡ AC n̩ BH
abluchsen	a AL p AH l AE ʊ AN k AC s AJ ə AL n AG
abluft	a AL p AH l AE ʊ AN f BC t AC
ablösen	a AL p AH l AE øː BA z AJ ə AL n AG
ablösung	a AL p AH l AE øː BA z AJ ʊ AN ŋ AG
abmachung	a AL p AH m AF a AL χ AJ ʊ AN ŋ AG
abmagern	ʔ AK a AL p AH m AF aː AM ɡ AC ɐ AN n AG
abmatten	a AL p AH m AF a AL t AC n̩ BH
abmeiern	a AL p AH m AF a AL ɪ̯ AB ə AL ʁ AJ n AG
abmelden	a AL p AH m AF ɛ AL l AE d AC ə AL n AG
abmessen	ʔ AK a AL p AH m AF ɛ AL s AJ ə AL n AG
abmessung	a AL p AH m AF ɛ AL s AJ ʊ AN ŋ AG
abmähen	a AL p AH m AF ɛː AM ə AL n AG
abmühen	a AL p AH m AF yː BA ə AL n AG
abnahme	a AL p AH n AG aː AM m AF ə AL
abnehmen	a AL p AH n AG eː AM m AF ə AL n AG
abnehmer	a AL p AH n AG eː AM m AF ɐ AN
abneigung	ʔ AK a AL p AH n AG a AL ɪ̯ AB ɡ AC ʊ AN ŋ AG
abneigungen	ʔ AK a AL p AH n AG a AL ɪ̯ AB ɡ AC ʊ AN ŋ AG ə AL n AG
abnutzen	ʔ AK a AL p AH n AG ʊ AN t AC s AJ ə AL n AG
abnutzung	a AL p AH n AG ʊ AN t AC s AJ ʊ AN ŋ AG
abnötigen	a AL p AH n AG øː BA t AC ɪ AL ɡ AC n̩ BH
abo	a AL b AH o AN
abonnieren	a AL b AH ɔ AN n AG iː AM ʁ AJ ə AL n AG
abordnung	a AL p AH ʔ AK ɔ AN ʁ AJ t AC n AG ʊ AN ŋ AG
abort	a AL p AH ʔ AK ɔ AN ʁ AJ t AC
abpfiff	ʔ AK a AL p AH p AH f BC ɪ AL f BC
abpfiffe	ʔ AK a AL p AH p AH f BC ɪ AL f BC ə AL
abpfiffes	ʔ AK a AL p AH p AH f BC ɪ AL f BC ə AL s AJ
abpfiffs	ʔ AK a AL p AH p AH f BC ɪ AL f BC s AJ
abprallen	a AL p AH p AH ʁ AJ a AL l AE ə AL n AG
abrackern	a AL p AH ʁ AJ a AL k AC ɐ AN n AG
abraham	aː AM b AH ʁ AJ aː AM m AF
abrasiv	a AL b AH ʁ AJ a AL z AJ iː AM f BC
abreagieren	a AL p AH ʁ AJ e AL a AL ɡ AC iː AM ʁ AJ ə AL n AG
abrechnen	a AL p AH ʁ AJ ɛ AL ç n AG ə AL n AG
abrechnung	a AL p AH ʁ AJ ɛ AL ç n AG ʊ AN ŋ AG
abrede	ʔ AK a AL p AH ʀ BB eː AM d AC ə AL
abreiben	ʔ AK a AL p AH ʀ BB a AL ɪ̯ AB b AH ə AL n AG
abreise	ʔ AK a AL p AH ʀ BB a AL ɪ̯ AB z AJ ə AL
abreisen	ʔ AK a AL p AH ʀ BB a AL ɪ̯ AB z AJ ə AL n AG
abreissen	ʔ AK a AL p AH ʀ BB a AL ɪ̯ AB s AJ ə AL n AG
abringen	a AL p AH ʁ AJ ɪ AL ŋ AG ə AL n AG
abrissbirne	a AL p AH ʁ AJ ɪ AL s AJ b AH ɪ AL ʁ AJ n AG ə AL
abrissparty	a AL p AH r BB ɪ AL s AJ p AH aː AM ɐ̯ t AC i AL
abrufen	a AL p AH ʁ AJ uː BA f BC ə AL n AG
abrunden	a AL p AH r BB ʊ AN n AG d AC ə AL n AG
abrüsten	a AL p AH ʁ AJ ʏ AN s AJ t AC n̩ BH
abrüstung	a AL p AH ʀ BB ʏ AN s AJ t AC ʊ AN ŋ AG
abrüstungskonferenz	a AL p AH ʁ AJ ʏ AN s AJ t AC ʊ AN ŋ AG s AJ k AC ɔ AN n AG f BC e AL ʁ AJ ɛ AL n AG t AC s AJ
absage	a AL p AH s AJ aː AM ɡ AC ə AL
absagen	a AL p AH z AJ aː AM ɡ AC n̩ BH
absahnen	a AL p AH z AJ aː AM n AG ə AL n AG
absatteln	a AL p AH z AJ a AL t AC ə AL l AE n AG
absatz	a AL p AH z AJ a AL t AC s AJ
absatzmarkt	a AL p AH z AJ a AL t AC s AJ m AF a AL ʁ AJ k AC t AC
absatzzeichen	a AL p AH z AJ a AL t AC s AJ t AC s AJ a AL ɪ̯ AB ç ə AL n AG
absaufen	a AL p AH s AJ a AL ʊ̯ BF f BC ə AL n AG
absaugen	a AL p AH s AJ a AL ʊ̯ BF ɡ AC ə AL n AG
abschaffen	a AL p AH ʃ AJ a AL f BC ə AL n AG
abschaffung	a AL p AH ʃ AJ a AL f BC ʊ AN ŋ AG
abschalten	ʔ AK a AL p AH ʃ AJ a AL l AE t AC ə AL n AG
abschaum	a AL p AH ʃ AJ a AL ʊ̯ BF m AF
abscheu	ʔ AK a AL p AH ʃ AJ ɔ AN ʏ̯
abscheulich	ʔ AK a AL b AH ʃ AJ ɔ AN ʏ̯ l AE ɪ AL ç
abscheulicher	ʔ AK a AL p AH ʃ AJ ɔ AN ɪ̯ AB l AE ɪ AL ç ɐ AN
abscheulichkeit	ʔ AK a AL p AH ʃ AJ ɔ AN ɪ̯ AB l AE ɪ AL ç k AC a AL ɪ̯ AB t AC
abscheulichsten	a AL p AH ʃ AJ ɔ AN ɪ̯ AB l AE ɪ AL ç s AJ t AC ə AL n AG
abschieben	ʔ AK a AL p AH ʃ AJ iː AM b AH ə AL n AG
abschied	a AL p AH ʃ AJ iː AM t AC
abschiedsfeier	a AL p AH ʃ AJ iː AM t AC s AJ f BC a AL ɪ̯ AB ɐ AN
abschiessen	a AL p AH ʃ AJ iː AM s AJ ə AL n AG
abschirmen	a AL p AH ʃ AJ ɪ AL ʁ AJ m AF ə AL n AG
abschirmung	a AL p AH ʃ AJ ɪ AL ʁ AJ m AF ʊ AN ŋ AG
abschlachten	a AL p AH ʃ AJ l AE a AL χ AJ t AC ə AL n AG
abschlag	a AL p AH ʃ AJ l AE aː AM k AC
abschlagen	a AL p AH ʃ AJ l AE aː AM ɡ AC ŋ AG
abschleppen	a AL p AH ʃ AJ l AE ɛ AL p AH ə AL n AG
abschleppwagen	a AL p AH ʃ AJ l AE ɛ AL p AH v BC aː AM ɡ AC ə AL n AG
abschliessen	ʔ AK a AL p AH ʃ AJ l AE iː AM s AJ ə AL n AG
abschluss	a AL p AH ʃ AJ l AE ʊ AN s AJ
abschlussfeier	a AL p AH ʃ AJ l AE ʊ AN s AJ f BC a AL ɪ̯ AB ɐ AN
abschmelzung	a AL p AH ʃ AJ m AF ɛ AL l AE t AC s AJ ʊ AN ŋ AG
abschnallen	a AL p AH ʃ AJ n AG a AL l AE ə AL n AG
abschneiden	ʔ AK a AL p AH ʃ AJ n AG a AL ɪ̯ AB d AC ə AL n AG
abschnitt	a AL p AH ʃ AJ n AG ɪ AL t AC
abschnittsende	a AL p AH ʃ AJ n AG ɪ AL t AC s AJ ɛ AL n AG d AC ə AL
abschnittweise	a AL p AH ʃ AJ n AG ɪ AL t AC v BC a AL ɪ̯ AB z AJ ə AL
abschottung	a AL p AH ʃ AJ ɔ AN t AC ʊ AN ŋ AG
