က	k a̰ AG
ကပ်ရောဂါ	k a AD ʔ j AB ɔ AE ɡ a AD
ကပွဲရုံ	k a̰ AG b w AC ɛ AD j AB o AE ʊ AE ɴ
ကဖီး	k ə AD pʰ i AD
ကဗျာ	ɡ ə AD b j AB a AD
ကဘီလူး	k a̰ AG b ə AD l u AE
ကမန်	k a̰ AG m a AD ɴ
ကမာ	k ə AD m a AD
ကမာရွတ်	k ə AD m a AD j AB ʊ AE ʔ
ကမ္ဗလာ	ɡ ə AD b ə AD l a AD
ကမ္ဗောဇ	k a AD ɴ b ɔ AE z a̰ AG
ကမ္ဘာ	ɡ ə AD b a AD
ကမ္ဘာဂြိုဟ်	ɡ ə AD b a AD d ʑ o AE
ကမ္ဘာလုံးခြမ်း	ɡ ə AD b a AD l o AE ʊ AE ɴ d ʑ a AD ɴ
ကမ္ဘောဒီးယား	k a AD ɴ b ɔ AE d i AD j AB a AD
ကမ်စော်	k a AD ɴ z ɔ AE
ကမ်း	k a AD ɴ
ကမ်းခြေ	k a AD ɴ d ʑ e AD
ကယား	k ə AD j AB a AD
ကယ်တင်ရှင်	k ɛ AD t ɪ AD ɴ ʃ ɪ AD ɴ
ကယ်လဆီယမ်	k ɛ AD l ə AD sʰ i AD j AB a AD ɴ
ကရင်	k ə AD j AB ɪ AD ɴ
ကရစ်ကက်	k ə AD ɹ AI ɪ AD ʔ k ɛ AD ʔ
ကရဝိက်	k ə AD ɹ AI a̰ AG w AC e AD ɪ AD ʔ
ကရိန်း	k ə AD ɹ AI e AD ɪ AD ɴ
ကလပ်	k ə AD l a AD ʔ
ကလမောင်း	k ə AD l ə AD m a AD ʊ AE ɴ
ကလာပ်စည်း	k ə AD l a AD ʔ s i AD
ကလိုရင်း	k ə AD l o AE ɹ AI ɪ AD ɴ
ကလီစာ	k ə AD l i AD z a AD
ကလောင်	k ə AD l a AD ʊ AE ɴ
ကလေး	kʰ ə AD l e AD
ကလျာ	k ə AD l ə AD j AB a AD
ကလျာဏမိတ္တ	k ə AD l ə AD j AB a AD n a̰ AG m e AD ɪ AD ʔ t a̰ AG
ကလျာဏီ	k ə AD l ə AD j AB a AD n i AD
ကဝိ	k ə AD w AC ḭ
ကဝေ	k ə AD w AC e AD
ကသည်း	k ə AD θ i AD
ကာ	k a AD
ကာကွယ်	k a AD ɡ w AC ɛ AD
ကာကွယ်ဆေး	k a AD ɡ w AC ɛ AD z e AD
ကာကွယ်ရေး	k a AD ɡ w AC ɛ AD j AB e AD
ကာဂစ်စတန်	k ə AD ɡ ɪ AD ʔ s ə AD t a AD ɴ
ကာဂျစ္စတန်	k ə AD d ʑ ɪ AD ʔ s ə AD t a AD ɴ
ကာဇက်စတန်	k a AD z ɛ AD ʔ s ə AD t a AD ɴ
ကာတာ	k a AD t a AD
ကာတွန်း	k a AD t ʊ AE ɴ
ကာဗွန်	k a AD b ʊ AE ɴ
ကာမ	k a AD m a̰ AG
ကာယ	k ə AD j AB a̰ AG
ကာယကံ	k a AD j AB ə AD ɡ a AD ɴ
ကာယပညာ	k a AD j AB a̰ AG p a̰ AG ɲ a AD
ကာရန်	k ə AD j AB a AD ɴ
ကာလ	k a AD l a̰ AG
ကာလဝမ်း	k a AD l ə AD w AC ʊ AE ɴ
ကာလသား	k a AD l ə AD ð a AD
ကာလသားရောဂါ	k a AD l a̰ AG θ a AD j AB ɔ AE ɡ a AD
ကာလာမသုတ်	k a AD l a AD m a̰ AG θ o AE ʊ AE ʔ
ကာလီဖိုးနီးယား	k a AD l i AD pʰ o AE n i AD j AB a AD
ကား	k a AD
ကားဂိတ်	k a AD ɡ e AD ɪ AD ʔ
ကားမှတ်တိုင်	k a AD m̥ a AD ʔ t a AD ɪ AD ɴ
ကားရုံ	k a AD j AB o AE ʊ AE ɴ
ကိစ္စ	k e AD ɪ AD ʔ s a̰ AG
ကိတ်	k e AD ɪ AD ʔ
ကိတ်ဗာဒီ	k e AD ɪ AD ʔ b ə AD d i AD
ကိတ်မုန့်	k e AD ɪ AD ʔ m o̰ AH ʊ AE ɴ
ကိန္နရာ	k e AD ɪ AD ɴ n ə AD j AB a AD
ကိန္နရီ	k e AD ɪ AD ɴ n ə AD j AB i AD
ကိန်း	k e AD ɪ AD ɴ
ကိမိလဗေဒ	k ḭ m ḭ l a̰ AG b e AD d a̰ AG
ကိရိယာ	k ə AD ɹ AI ḭ j AB a AD
ကိလေသာ	k ḭ l e AD θ a AD
ကို	ʔ
ကိုကာကိုလာ	k o AE k a AD k o AE l a AD
ကိုက်	k a AD ɪ AD ʔ
ကိုက်လန်	k a AD ɪ AD ʔ l a AD ɴ
ကိုင်	k a AD ɪ AD ɴ
ကိုဆိုဗို	k o AE sʰ o AE b o AE
ကိုဘော့	k o AE b ɔ̰ AH
ကိုမိုရို	k o AE m o AE ɹ AI o AE
ကိုယ့်ဥမှဥထင်	k o̰ AH j AB ʔ ṵ m̥ a̰ AG ʔ ṵ tʰ ɪ AD ɴ
ကိုယ်	k o AE
ကိုယ်စားလှယ်	k o AE j AB z ə AD l̥ ɛ AD
ကိုယ်လုပ်တော်	k o AE l o AE ʊ AE ʔ t ɔ AE
ကိုယ်ဝန်	k o AE j AB w AC ʊ AE ɴ
ကိုယ်ဝန်ဆောင်	k o AE j AB w AC ʊ AE ɴ sʰ a AD ʊ AE ɴ
ကိုယ်ဝန်ရှိ	k o AE j AB w AC ʊ AE ɴ ʃ ḭ
ကိုရမ်ကျမ်း	k o AE ɹ AI a AD ɴ t ɕ a AD ɴ
ကိုရီးယား	k o AE ɹ AI i AD j AB a AD
ကိုလိုနီ	k o AE l o AE n i AD
ကိုလံဘီယာ	k o AE l a AD ɴ b i AD j AB a AD
ကိုး	k o AE
ကိုးကန့်	k o AE ɡ a̰ AG ɴ
ကိုးလ	k o AE l a̰ AG
ကီလိုဂရမ်	k i AD l o AE ɡ ə AD ɹ AI a AD ɴ
ကီးမား	k i AD m a AD
ကီးယက်	k i AD j AB ɛ AD ʔ
ကုဋေ	ɡ ə AD d e AD
ကုတ်	k o AE ʊ AE ʔ
ကုတ်ဟီးနာ	k o AE ʊ AE ʔ h AA i AD n a AD
ကုန်	k o AE ʊ AE ɴ
ကုန်ကား	k o AE ʊ AE ɴ ɡ a AD
ကုန်ကုန်	k o AE ʊ AE ɴ ɡ o AE ʊ AE ɴ
ကုန်စည်	k o AE ʊ AE ɴ z i AD
ကုန်တင်ကား	k o AE ʊ AE ɴ d ɪ AD ɴ ɡ a AD
ကုန်သည်	k o AE ʊ AE ɴ ð e AD
ကုန်း	k o AE ʊ AE ɴ
ကုန်းနှီး	k o AE ʊ AE ɴ n̥ i AD
ကုဗ	k ṵ b a̰ AG
ကုမ္ပဏီ	k o AE ʊ AE ɴ p ə AD n i AD
ကုလသမဂ္ဂ	k ṵ l a̰ AG θ a̰ AG m ɛ AD ʔ ɡ a̰ AG
ကုလား	k ə AD l a AD
ကုလားထိုင်	k ə AD l ə AD tʰ a AD ɪ AD ɴ
ကုလားနို့	k ə AD l ə AD n o̰ AH
ကုလားပဲ	k ə AD l ə AD p ɛ AD
ကုလားဖြူ	k ə AD l ə AD pʰ j AB u AE
ကုလားအုတ်	k ə AD l ə AD ʔ o AE ʊ AE ʔ
ကုသိုလ်	k ṵ θ o AE
ကုသိုလ်ကံ	k ṵ ð o AE ɡ a AD ɴ
ကုသိုလ်ရှင်	k ṵ θ o AE ʃ ɪ AD ɴ
ကုံကုမံ	ɡ o AE ʊ AE ɴ ɡ ə AD m a AD ɴ
ကူ	k u AE
ကူညီ	k u AE ɲ i AD
ကူဖီ	k u AE pʰ i AD
ကူလီ	k u AE l i AD
ကူဝိတ်	k u AE w AC e AD ɪ AD ʔ
ကူး	k u AE
ကူးစက်ရောဂါ	k u AE z ɛ AD ʔ j AB ɔ AE ɡ a AD
ကူးတို့	ɡ ə AD d o̰ AH
ကူးတို့ဆိပ်	ɡ ə AD d o̰ AH z e AD ɪ AD ʔ
ကူးပြောင်း	k u AE p j AB a AD ʊ AE ɴ
ကေ	k e AD
ကေတုမဒီ	k e AD t ṵ m ə AD d i AD
ကေသ	k e AD θ a̰ AG
ကေသာ	k e AD θ a AD
ကော	ɡ ɔ AE
ကောက်	k a AD ʊ AE ʔ
ကောက်ညှင်း	k a AD ʊ AE ʔ ɲ̊ ɪ AD ɴ
ကောက်ညှင်းပေါင်း	k a AD ʊ AE ʔ ɲ̊ ɪ AD ɴ b a AD ʊ AE ɴ
ကောက်ရိုး	k a AD ʊ AE ʔ j AB o AE
ကောင်	k a AD ʊ AE ɴ
ကောင်ငယ်	k a AD ʊ AE ɴ ŋ ɛ AD
ကောင်စစ်ဝန်	k a AD ʊ AE ɴ s ɪ AD ʔ w AC ʊ AE ɴ
ကောင်စစ်ဝန်ရုံး	k a AD ʊ AE ɴ s ɪ AD ʔ w AC ʊ AE ɴ j AB o AE ʊ AE ɴ
ကောင်စီ	k a AD ʊ AE ɴ s i AD
ကောင်တာ	k a AD ʊ AE ɴ t a AD
ကောင်မငယ်	k a AD ʊ AE ɴ m a̰ AG ŋ ɛ AD
ကောင်မလေး	k a AD ʊ AE ɴ m a̰ AG l e AD
ကောင်း	k a AD ʊ AE ɴ
ကောင်းကင်	k a AD ʊ AE ɴ ɡ ɪ AD ɴ
ကောင်းကင်ကြိုး	k a AD ʊ AE ɴ ɡ ɪ AD ɴ d ʑ o AE
ကောင်းကင်တမန်	k a AD ʊ AE ɴ ɡ ɪ AD ɴ t ə AD m a AD ɴ
ကောင်းကင်ဘုံ	k a AD ʊ AE ɴ ɡ ɪ AD ɴ b o AE ʊ AE ɴ
ကောင်းကောင်း	k a AD ʊ AE ɴ ɡ a AD ʊ AE ɴ
ကောဏဂုံ	k ɔ AE n ə AD ɡ o AE ʊ AE ɴ
ကောဏဂုံဘုရား	k ɔ AE n ə AD ɡ o AE ʊ AE ɴ pʰ ə AD j AB a AD
ကောဏ္ဍည	k ɔ AE n d ə AD ɲ a̰ AG
ကောဏ္ဍညဘုရား	k ɔ AE n d ə AD ɲ a̰ AG pʰ ə AD j AB a AD
ကောလာဟလ	k ɔ AE l a AD h AA a̰ AG l a̰ AG
ကောလိပ်	k ɔ AE l e AD ɪ AD ʔ
ကောလိသိန်	k ɔ AE l ḭ θ e AD ɪ AD ɴ
ကော့စတာရီကာ	k ɔ̰ AH s ə AD t a AD ɹ AI i AD k a AD
ကော်	k ɔ AE
ကော်ဇော	k ɔ AE z ɔ AE
ကော်တွန်	k ɔ AE t ʊ AE ɴ
ကော်ပီ	k ɔ AE p i AD
ကော်ပီစာအုပ်	k ɔ AE p i AD s a AD ʔ o AE ʊ AE ʔ
ကော်ပြန့်	k ɔ AE p j AB a̰ AG ɴ
ကော်ပြန့်ကြော်	k ɔ AE p j AB a̰ AG ɴ d ʑ ɔ AE
ကော်ပြန့်စိမ်း	k ɔ AE p j AB a̰ AG ɴ z e AD ɪ AD ɴ
ကော်ဖီ	k ɔ AE pʰ i AD
ကော်မတီ	k ɔ AE m ə AD t i AD
ကော်ရည်ခေါက်ဆွဲ	k ɔ AE j AB i AD kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
ကော်လာ	k ɔ AE l a AD
ကဲ့	k ɛ̰ AG
ကံ	k a AD ɴ
ကံကြမ္မာ	k a AD ɴ t ɕ ə AD m a AD
ကံသုံးပါး	k a AD ɴ θ o AE ʊ AE ɴ b a AD
ကံ့ကူတံ	k a̰ AG ɴ ɡ u AE d a AD ɴ
ကံ့ကော်	ɡ a̰ AG ɴ ɡ ɔ AE
ကျ	t ɕ a̰ AG
ကျက်သရေ	t ɕ ɛ AD ʔ θ ə AD j AB e AD
ကျင်ကြီး	t ɕ ɪ AD ɴ d ʑ i AD
ကျင်ချောင်း	t ɕ ɪ AD ɴ t ɕʰ a AD ʊ AE ɴ
ကျင်စွယ်	t ɕ ɪ AD ɴ z w AC ɛ AD
ကျဉ်း	t ɕ ɪ AD ɴ
ကျဉ်းကျပ်	t ɕ ɪ AD ɴ t ɕ a AD ʔ
ကျည်	t ɕ i AD
ကျည်ကပ်	t ɕ i AD ɡ a AD ʔ
ကျည်ဖူး	t ɕ i AD b u AE
ကျနော်	t ɕ ə AD n ɔ AE
ကျန်	t ɕ a AD ɴ
ကျန်း	t ɕ a AD ɴ
ကျန်းမာရေး	t ɕ a AD ɴ m a AD j AB e AD
ကျပ်	t ɕ a AD ʔ
ကျပ်သား	t ɕ a AD ʔ θ a AD
ကျမ	t ɕ ə AD m a̰ AG
ကျယ်	t ɕ ɛ AD
ကျယ်ဝန်း	t ɕ ɛ AD w AC ʊ AE ɴ
ကျား	t ɕ a AD
ကျားကျားလျားလျား	t ɕ a AD d ʑ a AD j AB a AD j AB a AD
ကျားမ	t ɕ a AD m a̰ AG
ကျားမျက်လုံး	t ɕ a AD m j AB ɛ AD ʔ l o AE ʊ AE ɴ
ကျားလက်သည်း	t ɕ a AD l ɛ AD ʔ θ ɛ AD
ကျားလျှာ	t ɕ a AD ʃ a AD
ကျားသစ်	t ɕ ə AD θ ɪ AD ʔ
ကျိန္တလီ	t ɕ e AD ɪ AD ɴ t a̰ AG l i AD
ကျိန်း	t ɕ e AD ɪ AD ɴ
ကျို	t ɕ o AE
ကျိုက္ခမီ	t ɕ a AD ɪ AD ʔ kʰ ə AD m i AD
ကျိုက်ထို	t ɕ a AD ɪ AD ʔ tʰ o AE
ကျိုက်ထီးရိုး	t ɕ a AD ɪ AD ʔ tʰ i AD j AB o AE
ကျိုက်မရော	t ɕ a AD ɪ AD ʔ m ə AD ɹ AI ɔ AE
ကျိုင်းတုံ	t ɕ a AD ɪ AD ɴ t o AE ʊ AE ɴ
ကျီး	t ɕ i AD
ကျီးအ	t ɕ i AD ʔ a̰ AG
ကျုပ်	t ɕ o AE ʊ AE ʔ
ကျုပ်တို့	t ɕ o AE ʊ AE ʔ t o̰ AH
ကျူးဘား	t ɕ u AE b a AD
ကျော	t ɕ ɔ AE
ကျောက်	t ɕ a AD ʊ AE ʔ
ကျောက်ကပ်	t ɕ a AD ʊ AE ʔ k a AD ʔ
ကျောက်ကြီး	t ɕ a AD ʊ AE ʔ t ɕ i AD
ကျောက်ဂွမ်း	t ɕ a AD ʊ AE ʔ ɡ ʊ AE ɴ
ကျောက်စိမ်း	t ɕ a AD ʊ AE ʔ s e AD ɪ AD ɴ
ကျောက်နီ	t ɕ a AD ʊ AE ʔ n i AD
ကျောက်ပွင့်သုပ်	t ɕ a AD ʊ AE ʔ p w AC ɪ̰ AG ɴ θ o AE ʊ AE ʔ
ကျောက်ဖရုံ	t ɕ a AD ʊ AE ʔ pʰ ə AD j AB o AE ʊ AE ɴ
ကျောက်ဖြူ	t ɕ a AD ʊ AE ʔ pʰ j AB u AE
ကျောက်မီး	t ɕ a AD ʊ AE ʔ m i AD
ကျောက်မီးသွေး	t ɕ a AD ʊ AE ʔ m i AD ð w AC e AD
ကျောက်သင်ပုန်း	t ɕ a AD ʊ AE ʔ θ ɪ AD ɴ b o AE ʊ AE ɴ
ကျောင်း	t ɕ a AD ʊ AE ɴ
ကျောင်းနေဖက်	t ɕ a AD ʊ AE ɴ n e AD b ɛ AD ʔ
ကျောင်းသား	t ɕ a AD ʊ AE ɴ ð a AD
ကျောင်းသုံးစာအုပ်	t ɕ a AD ʊ AE ɴ ð o AE ʊ AE ɴ s a AD ʔ o AE ʊ AE ʔ
ကျောင်းသူ	t ɕ a AD ʊ AE ɴ ð u AE
ကျောပိုးအိတ်	t ɕ ɔ AE b o AE ʔ e AD ɪ AD ʔ
ကျောရိုး	t ɕ ɔ AE j AB o AE
ကျေးဇူး	t ɕ e AD z u AE
ကျေးဇူးတင်	t ɕ e AD z u AE t ɪ AD ɴ
ကျေးဇူးတင်ပါတယ်	t ɕ e AD z u AE t ɪ AD ɴ b a AD d ɛ AD
ကျေးဇူးပြု၍	t ɕ e AD z u AE p j AB ṵ j AB w AC ḛ
ကျေးဇူးရှင်	t ɕ e AD z u AE ʃ ɪ AD ɴ
ကျဲ	t ɕ ɛ AD
ကျွန်	t ɕ ʊ AE ɴ
ကျွန်တော့်	t ɕ ʊ AE ɴ d ɔ̰ AH
ကျွန်တော်	t ɕ ʊ AE ɴ d ɔ AE
ကျွန်တော်တို့	t ɕ ʊ AE ɴ d ɔ AE d o̰ AH
ကျွန်မ	t ɕ ʊ AE ɴ m a̰ AG
ကျွန်မတို့	t ɕ ʊ AE ɴ m a̰ AG d o̰ AH
ကျွန်း	t ɕ ʊ AE ɴ
ကျွန်းကလေး	t ɕ ʊ AE ɴ ɡ ə AD l e AD
ကျွန်းကိုင်းမှီကိုင်းကျွန်းမှီ	t ɕ ʊ AE ɴ k a AD ɪ AD ɴ m̥ i AD k a AD ɪ AD ɴ t ɕ ʊ AE ɴ m̥ i AD
ကျွန်းဆွယ်	t ɕ ʊ AE ɴ z w AC ɛ AD
ကျွဲ	t ɕ w AC ɛ AD
ကျွဲကော	t ɕ w AC ɛ AD ɡ ɔ AE
ကျွဲပြည့်စင်	t ɕ w AC ɛ AD p j AB ḭ z ɪ AD ɴ
ကြက်	t ɕ ɛ AD ʔ
ကြက်ခြေ	t ɕ ɛ AD ʔ t ɕʰ e AD
ကြက်ခြေနီ	t ɕ ɛ AD ʔ t ɕʰ e AD n i AD
ကြက်ခြေနီအသင်း	t ɕ ɛ AD ʔ t ɕʰ e AD n i AD ʔ ə AD θ ɪ AD ɴ
ကြက်ဆင်	t ɕ ɛ AD ʔ sʰ ɪ AD ɴ
ကြက်ဆီထမင်း	t ɕ ɛ AD ʔ sʰ i AD tʰ ə AD m ɪ AD ɴ
ကြက်ဆူ	t ɕ ɛ AD ʔ sʰ u AE
ကြက်တူရွေး	t ɕ ɛ AD ʔ t u AE j AB w AC e AD
ကြက်ဖ	t ɕ ɛ AD ʔ pʰ a̰ AG
ကြက်မ	t ɕ ɛ AD ʔ m a̰ AG
ကြက်မောက်	t ɕ ɛ AD ʔ m a AD ʊ AE ʔ
ကြက်မောက်သီး	t ɕ ɛ AD ʔ m a AD ʊ AE ʔ θ i AD
ကြက်သား	t ɕ ɛ AD ʔ θ a AD
ကြက်သီးထ	t ɕ ɛ AD ʔ θ e AD ɪ AD ɴ tʰ a̰ AG
ကြက်သီးမွေးညင်းထ	t ɕ ɛ AD ʔ θ e AD ɪ AD ɴ m w AC e AD ɲ ɪ AD ɴ tʰ a̰ AG
ကြက်သွန်	t ɕ ɛ AD ʔ θ ʊ AE ɴ
ကြက်သွန်နီ	t ɕ ɛ AD ʔ θ ʊ AE ɴ n i AD
ကြက်သွန်ဖြူ	t ɕ ɛ AD ʔ θ ʊ AE ɴ b j AB u AE
ကြက်သွန်မြိတ်	t ɕ ɛ AD ʔ θ ʊ AE ɴ m j AB e AD ɪ AD ʔ
ကြက်ဟင်းခါးသီး	t ɕ ɛ AD ʔ h AA ɪ AD ɴ ɡ a AD ð i AD
ကြက်အူချောင်း	t ɕ ɛ AD ʔ ʔ u AE d ʑ a AD ʊ AE ɴ
ကြခတ်ဝါး	t ɕ ə AD kʰ a AD ʔ w AC a AD
ကြငှန်း	t ɕ ə AD ŋ̊ a AD ɴ
ကြဉ်	t ɕ ɪ AD ɴ
ကြည့်	t ɕ ḭ
ကြည့်မြင်တိုင်	t ɕ ḭ m j AB ɪ AD ɴ d a AD ɪ AD ɴ
ကြည်	t ɕ ɪ AD ɴ
ကြည်းတပ်	t ɕ i AD d a AD ʔ
ကြမ္မာ	t ɕ ə AD m a AD
ကြမ်း	t ɕ a AD ɴ
ကြယ်	t ɕ ɛ AD
ကြယ်စု	t ɕ ɛ AD z ṵ
ကြယ်တံခွန်	t ɕ ɛ AD d ə AD ɡ ʊ AE ɴ
ကြယ်သီး	t ɕ ɛ AD θ i AD
ကြာ	t ɕ a AD
ကြာကြာ	t ɕ a AD d ʑ a AD
ကြာချည်	t ɕ a AD t ɕʰ i AD
ကြာဆံ	t ɕ a AD z a AD ɴ
ကြာဆံသုပ်	t ɕ a AD z a AD ɴ θ o AE ʊ AE ʔ
ကြာညို့	t ɕ a AD ɲ o̰ AH
ကြာသပတေး	t ɕ a AD θ a̰ AG p a̰ AG d e AD
ကြား	t ɕ a AD
ကြိမ်	t ɕ e AD ɪ AD ɴ
ကြိယာ	k ə AD ɹ AI ḭ j AB a AD
ကြိယာဝိသေသန	k ə AD ɹ AI ḭ j AB a AD w AC ḭ θ e AD θ ə AD n a̰ AG
ကြိုက်	t ɕ a AD ɪ AD ʔ
ကြိုဆိုပါ၏	t ɕ o AE z o AE b a AD ʔ ɛ̰ AG
ကြို့	t ɕ o̰ AH
ကြိုး	t ɕ o AE
ကြိုးကြာ	d ʑ o AE d ʑ a AD
ကြိုးစင်	t ɕ o AE z ɪ AD ɴ
ကြိုးစား	t ɕ o AE z a AD
ကြီး	t ɕ i AD
ကြီးကြီး	t ɕ i AD d ʑ i AD
ကြီးမား	t ɕ i AD m a AD
ကြောက်	t ɕ a AD ʊ AE ʔ
ကြောင့်	d ʑ a̰ AG ʊ AE ɴ
ကြောင်	t ɕ a AD ʊ AE ɴ
ကြောင်ကလေး	t ɕ a AD ʊ AE ɴ ɡ ə AD l e AD
ကြောင်ထီး	t ɕ a AD ʊ AE ɴ d i AD
ကြောင်မ	t ɕ a AD ʊ AE ɴ m a̰ AG
ကြောင်လိမ်လှေကား	t ɕ a AD ʊ AE ɴ l e AD ɪ AD ɴ l̥ e AD ɡ a AD
ကြောင်အိမ်	t ɕ a AD ʊ AE ɴ ʔ e AD ɪ AD ɴ
ကြော်	t ɕ ɔ AE
ကြော်ငြာ	t ɕ ɔ AE ɲ a AD
ကြော်ငြာစာ	t ɕ ɔ AE ɲ a AD z a AD
ကြေး	t ɕ e AD
ကြေးကြီး	t ɕ e AD t ɕ i AD
ကြေးငွေ	t ɕ e AD ŋ w AC e AD
ကြေးစည်	t ɕ e AD z i AD
ကြေးနန်း	t ɕ e AD n a AD ɴ
ကြေးနီ	t ɕ e AD n i AD
ကြေးမုံ	t ɕ e AD m o AE ʊ AE ɴ
ကြေးဝါ	t ɕ e AD w AC a AD
ကြေးအိုး	t ɕ e AD ʔ o AE
ကြံ	t ɕ a AD ɴ
ကြံ့	t ɕ a̰ AG ɴ
ကြံ့လျော်	t ɕ a̰ AG ɴ ʃ ɔ AE
ကြွ	t ɕ w AC a̰ AG
ကြွက်	t ɕ w AC ɛ AD ʔ
ကြွက်နို့	t ɕ w AC ɛ AD ʔ n o̰ AH
ကြွက်သား	t ɕ w AC ɛ AD ʔ θ a AD
ကြွင်း	t ɕ w AC ɪ AD ɴ
ကြွပ်	t ɕ ʊ AE ʔ
ကြွယ်	t ɕ w AC ɛ AD
ကြွေ	t ɕ w AC e AD
ကြွေး	t ɕ w AC e AD
ကွင်း	k w AC ɪ AD ɴ
ကွင်းထိုးဖိနပ်	ɡ w AC ɪ AD ɴ d o AE pʰ ə AD n a AD ʔ
ကွတ်	k ʊ AE ʔ
ကွန်	k ʊ AE ɴ
ကွန်ကရစ်	k ʊ AE ɴ ɡ ə AD ɹ AI ɪ AD ʔ
ကွန်ဂို	k ʊ AE ɴ ɡ o AE
ကွန်ဒုံး	k ʊ AE ɴ d o AE ʊ AE ɴ
ကွန်ပါ	k ʊ AE ɴ p a AD
ကွန်ပျူတာ	k ʊ AE ɴ p j AB u AE t a AD
ကွန်ဖရင့်	k ʊ AE ɴ pʰ ə AD ɹ AI ɪ̰ AG ɴ
ကွန်ဖြူးရှပ်	k ʊ AE ɴ pʰ j AB u AE ʃ a AD ʔ
ကွန်ရက်	k ʊ AE ɴ j AB ɛ AD ʔ
ကွမ်ရင်	k w AC a AD ɴ j AB ɪ AD ɴ
ကွမ်ရင်မယ်တော်	k w AC a AD ɴ j AB ɪ AD ɴ m ɛ AD d ɔ AE
ကွမ်းတောင်	k ʊ AE ɴ d a AD ʊ AE ɴ
