't	t AC
abyad	ʔ AJ a AK b AG j AB a AK d AC
abyador	ʔ AJ a AK b AG j AB a AK d AC o AM ɾ BD
abyasyon	ɑ AK b AG j AB ɑ AK ɕ AH ɔ AM n AF
acierto	ʔ AJ a AK s AH j AB ɛ AK ɾ BD t AC o AM
acorda	ʔ AJ a AK k AC o AM ɾ BD d AC a AK
acuzar	ʔ AJ a AK k AC u AM s AH a AK ɾ BD
adajar	ʔ AJ a AK d AC a AK d AC ʒ AH a AK ɾ BD
adelpa	a AK d AC e AK l AD p AG a AK
adidas	a AK d AC i AK d AC a AK s AH
adik	ʔ AJ a AK d AC i AK k AC
adiksyon	ɑ AK d AC i AK k̚ ɕ AH ɔ AM n AF
adisyunal	ɑ AK d AC i AK ɕ AH u AM n AF ɑ AK l AD
adlawan	ʔ AJ a AK d AC l AD a AK w AI a AK n AF
administrasyon	ɑ AK d AC m AE i AK n AF i AK s AH t AC r BA ɑ AK ɕ AH ɔ AM n AF
adopsyon	ɑ AK d AC ɔ AM p̚ ɕ AH ɔ AM n AF
adres	ʔ AJ a AK d AC ɾ BD ɛ AK s AH
adrias	ʔ AJ a AK d AC ɾ BD i AK a AK s AH
adyenda	ɑ AK dʲ AC ɛ AK n AF d AC ɑ AK
afam	a AK f BB a AK m AE
agamahan	ʔ AJ a AK ɡ AC a AK m AE a AK h AA a AK n AF
agapay	ʔ AJ a AK ɡ AC a AK p AG a AK i AK
agaran	ʔ AJ a AK ɡ AC a AK ɾ BD a AK n AF
agbarog	ʔ AJ a AK ɡ AC b AG a AK ɾ BD o AM ɡ AC
agbarugan	ʔ AJ a AK ɡ AC b AG a AK ɾ BD u AM ɡ AC a AK n AF
aghamwika	a AK ɡ AC h AA a AK m AE w AI i AK k AC a AK ʔ AJ
aghimo	ʔ AJ a AK ɡ AC h AA i AK m AE o AM ʔ AJ
aghimuan	ʔ AJ a AK ɡ AC h AA i AK m AE u AM ʔ AJ a AK n AF
aghimuin	ʔ AJ a AK ɡ AC h AA i AK m AE u AM ʔ AJ i AK n AF
agila	ʔ AJ a AK ɡ AC i AK l AD a AK
agimat	ʔ AJ a AK ɡ AC i AK m AE a AK t AC
agimatan	ʔ AJ a AK ɡ AC i AK m AE a AK t AC a AK n AF
agiw	ʔ AJ a AK ɡ AC i AK u AM
agosto	a AK ɡ AC o AM s AH t AC o AM
agrabyado	ʔ AJ a AK ɡ AC ɾ BD a AK b AG j AB a AK d AC o AM
agsikap	ʔ AJ a AK ɡ AC s AH i AK k AC a AK p AG
agsikapan	ʔ AJ a AK ɡ AC s AH i AK k AC a AK p AG a AK n AF
aguas	ʔ AJ a AK ɡ AC u AM a AK s AH
aguda	ʔ AJ a AK ɡ AC u AM d AC a AK
aguilera	ʔ AJ a AK ɡ AC i AK l AD ɛ AK ɾ BD a AK
aguirre	ʔ AJ a AK ɡ AC i AK ɾ BD ɛ AK
agustin	ʔ AJ a AK ɡ AC u AM s AH t AC i AK n AF
agwa	a AK ɡ AC w AI ɐ AM
agwat	ʔ AJ a AK ɡ AC w AI a AK t AC
ahensya	ɑ AK ɦ AA ɛ AK n AF ɕ AH ɑ AK
aklat	ɐ AM k AC l AD a AK t AC
aklatan	ɐ AM k AC l AD aː AL t AC ɐ AM n AF
aksayado	ʔ AJ a AK k AC s AH a AK j AB a AK d AC o AM
alam	ɐ AM l AD a AK m AE
alambre	ʔ AJ a AK l AD a AK m AE b AG ɾ BD ɛ AK
alamin	ʔ AJ a AK l AD a AK m AE i AK n AF
alcaide	ʔ AJ a AK l AD k AC a AK i AK d AC ɛ AK
aldover	ʔ AJ a AK l AD d AC o AM b AG ɛ AK ɾ BD
alegre	ʔ AJ a AK l AD ɛ AK ɡ AC ɾ BD ɛ AK
alfaro	a AK l AD f BB a AK ɾ BD o AM
alila	ʔ AJ a AK l AD i AK l AD a AK ʔ AJ
alimasag	ʔ AJ a AK l AD i AK m AE a AK s AH a AK ɡ AC
alimuom	a AK l AD i AK m AE u AM o AM m AE
alipin	ʔ AJ a AK l AD i AK p AG i AK n AF
alis	ʔ AJ a AK l AD i AK s AH
almaden	ʔ AJ a AK l AD m AE a AK d AC ɛ AK n AF
almarez	ʔ AJ a AK l AD m AE a AK ɾ BD ɛ AK s AH
almario	ʔ AJ a AK l AD m AE a AK ɾ BD i AK o AM
almendrala	ʔ AJ a AK l AD m AE ɛ AK n AF d AC ɾ BD a AK l AD a AK
almirol	ʔ AJ a AK l AD m AE i AK ɾ BD o AM l AD
almohadilya	a AK l AD m AE o AM h AA a AK d AC i AK l AD j AB a AK ʔ AJ
alonte	ʔ AJ a AK l AD o AM n AF t AC ɛ AK
alonto	ʔ AJ a AK l AD o AM n AF t AC o AM
alperes	ʔ AJ a AK l AD p AG ɛ AK ɾ BD ɛ AK s AH
altapresyon	ʔ AJ a AK l AD t AC a AK p AG ɾ BD ɛ AK s AH j AB o AM n AF
alulod	ɐ AM l AD u AM l AD ɔ AM d AC
alusitha	ʔ AJ a AK l AD u AM s AH i AK t AC h AA a AK ʔ AJ
alviar	ʔ AJ a AK l AD b AG j AB a AK ɾ BD
alzaga	a AK l AD s AH a AK ɡ AC a AK
amante	ʔ AJ a AK m AE a AK n AF t AC ɛ AK
ambag	ʔ AJ a AK m AE b AG a AK ɡ AC
amerikana	ʔ AJ a AK m AE ɛ AK ɾ BD i AK k AC a AK n AF a AK
amin	ʔ AJ a AK m AE i AK n AF
aminado	ʔ AJ a AK m AE i AK n AF a AK d AC o AM
aming	a AK m AE i AK ŋ AF
aminin	a AK m AE i AK n AF i AK n AF
amo	ʔ AJ a AK m AE o AM
amon	ʔ AJ a AK m AE o AM n AF
amoranto	ʔ AJ a AK m AE o AM ɾ BD a AK n AF t AC o AM
ampaw	ʔ AJ a AK m AE p AG a AK u AM
amurao	ʔ AJ a AK m AE u AM ɾ BD a AK u AM
analisis	ʔ AJ a AK n AF a AK l AD i AK s AH i AK s AH
anatomiya	ʔ AJ a AK n AF a AK t AC o AM m AE i AK a AK
anay	ʔ AJ a AK n AF a AK i AK
anayin	ʔ AJ a AK n AF a AK j AB i AK n AF
anda	a AK n AF d AC a AK
andal	ʔ AJ a AK n AF d AC a AK l AD
andaya	a AK n AF d AC a AK y AM a AK
ang	a AK ŋ AF
anga	ʔ AJ a AK ŋ AF a AK
angaw	a AK ŋ AF a AK w AI
anggo	ʔ AJ a AK ŋ AF ɡ AC o AM
anghel	ʔ AJ a AK ŋ AF h AA ɛ AK l AD
angis	ʔ AJ a AK ŋ AF i AK s AH
angkla	ʔ AJ a AK ŋ AF k AC l AD a AK
ango	ʔ AJ a AK ŋ AF o AM
angot	ʔ AJ a AK ŋ AF o AM t AC
anim	ʔ AJ a AK n AF i AK m AE
animnapu	a AK n AF i AK m AE n AF a AK p AG u AM ʔ AJ
anis	ʔ AJ a AK n AF i AK s AH
ano	a AK n AF o AM
anos	ʔ AJ a AK n AF o AM s AH
anta	ʔ AJ a AK n AF t AC a AK
antas	ʔ AJ a AK n AF t AC a AK s AH
antipona	ʔ AJ a AK n AF t AC i AK p AG o AM n AF a AK
antok	ʔ AJ a AK n AF t AC o AM k AC
antukin	ʔ AJ a AK n AF t AC u AM k AC i AK n AF
anunsyo	ɑ AK n AF u AM n AF ɕ AH ɔ AM
anyayahan	ʔ AJ a AK n AF j AB a AK j AB a AK h AA a AK n AF
apahap	ʔ AJ a AK p AG a AK h AA a AK p AG
apalit	ʔ AJ a AK p AG a AK l AD i AK t AC
apat	a AK p AG a AK t AC
apatnapu	a AK p AG a AK t AC n AF a AK p AG u AM ʔ AJ
apatnaraan	a AK p AG a AK t AC n AF a AK r BA a AK a AK n AF
apela	ʔ AJ a AK p AG ɛ AK l AD a AK
apilado	ʔ AJ a AK p AG i AK l AD a AK d AC o AM
apostasiya	ʔ AJ a AK p AG o AM s AH t AC a AK s AH i AK a AK
aral	a AK ɾ BD ɐ AM l AD
aranda	ʔ AJ a AK ɾ BD a AK n AF d AC a AK
araw	ɐ AM ɾ BD a AK w AI
aray	ʔ AJ a AK ɾ BD a AK i AK
arañas	ʔ AJ a AK ɾ BD a AK ɲ AF a AK s AH
arce	ʔ AJ a AK ɾ BD s AH ɛ AK
arcega	ʔ AJ a AK ɾ BD s AH ɛ AK ɡ AC a AK
arceo	ʔ AJ a AK ɾ BD s AH ɛ AK o AM
arcilla	ʔ AJ a AK ɾ BD s AH i AK l AD l AD a AK
arcillas	ʔ AJ a AK ɾ BD s AH i AK l AD l AD a AK s AH
arcinas	ʔ AJ a AK ɾ BD s AH i AK n AF a AK s AH
arenas	ʔ AJ a AK ɾ BD ɛ AK n AF a AK s AH
arevalo	ʔ AJ a AK ɾ BD ɛ AK b AG a AK l AD o AM
argente	ʔ AJ a AK ɾ BD ɡ AC ɛ AK n AF t AC ɛ AK
arguelles	a AK ɾ BD ɡ AC w AI e AK l AD j AB e AK s AH
arkila	ʔ AJ a AK ɾ BD k AC i AK l AD a AK
arlene	a AK r BA l AD i AK n AF
arnibal	a AK r BA n AF i AK b AG a AK l AD
arquiza	ʔ AJ a AK ɾ BD k AC i AK s AH a AK
arriola	ʔ AJ a AK ɾ BD i AK o AM l AD a AK
arrogante	ʔ AJ a AK ɾ BD o AM ɡ AC a AK n AF t AC ɛ AK
artiaga	ʔ AJ a AK ɾ BD t AC j AB a AK ɡ AC a AK
artista	a AK r BA t AC i AK s AH t AC a AK
arzadon	ʔ AJ a AK ɾ BD s AH a AK d AC o AM n AF
ashley	a AK ʃ AH l AD i AK
asilo	ʔ AJ a AK s AH i AK l AD o AM
asinta	ʔ AJ a AK s AH i AK n AF t AC a AK
aso	a AK s AH o AM
asukal	a AK s AH uː AN k AC a AK l AD
asul	ʔ AJ a AK s AH u AM l AD
asungot	ʔ AJ a AK s AH u AM ŋ AF o AM t AC
at	ʔ AJ a AK t AC
ataul	ʔ AJ a AK t AC a AK ʔ AJ u AM l AD
atendido	ʔ AJ a AK t AC ɛ AK n AF d AC i AK d AC o AM
atip	a AK t AC i AK p AG
auyong	a AK w AI j AB ɔ AM ŋ AF
avanceña	ʔ AJ a AK b AG a AK n AF s AH ɛ AK ɲ AF a AK
avendaño	ʔ AJ a AK b AG ɛ AK n AF d AC a AK ɲ AF o AM
awat	ʔ AJ a AK w AI a AK t AC
away	a AK w AI a AK j AB
awayin	a AK w AI a AK j AB i AK n AF
awyoung	a AK w AI j AB ɐ AM ŋ AF
ay	ʔ AJ a AK i AK
ayam	a AK y AM a AK m AE
ayson	ʔ AJ a AK i AK s AH o AM n AF
azaña	ʔ AJ a AK s AH a AK ɲ AF a AK
azucena	ʔ AJ a AK s AH u AM s AH ɛ AK n AF a AK
ba	b AG a AK
ba't	b AG a AK t AC
babae	b AG a AK b AG a AK ʔ AJ ɛ AK
babaero	b AG a AK b AG a AK ʔ AJ ɛ AK ɾ BD o AM
babaihin	b AG a AK b AG a AK i AK h AA i AK n AF
babao	b AG a AK b AG a AK u AM
babasa	b AG a AK b AG a AK s AH a AK
babasagin	b AG a AK b AG a AK s AH a AK ɡ AC i AK n AF
babasahin	b AG a AK b AG a AK s AH a AK h AA i AK n AF
bacani	b AG a AK k AC a AK n AF i AK
baclig	b AG a AK k AC l AD i AK ɡ AC
bacsa	b AG a AK k AC s AH a AK
bactol	b AG a AK k AC t AC o AM l AD
baculi	b AG a AK k AC u AM l AD i AK
badayos	b AG a AK d AC a AK j AB o AM s AH
baga	b AG a AK ɡ AC a AK ʔ AJ
bagaman	b AG a AK ɡ AC a AK m AE a AK n AF
bagamat	b AG a AK ɡ AC a AK m AE a AK t AC
bagang	b AG a AK ɡ AC ʔ AJ a AK ŋ AF
bagaoisan	b AG a AK ɡ AC a AK w AI i AK s AH a AK n AF
baging	b AG a AK ɡ AC i AK ŋ AF
bagon	b AG a AK ɡ AC o AM n AF
bagsak	b AG a AK ɡ AC s AH a AK k AC
bagsik	b AG a AK ɡ AC s AH i AK k AC
bagsit	b AG a AK ɡ AC s AH i AK t AC
bagunsakupin	b AG a AK ɡ AC u AM n AF s AH a AK k AC u AM p AG i AK n AF
bahaghari	b AG a AK h AA a AK ɡ AC h AA a AK ɾ BD i AK ʔ AJ
bahaw	b AG a AK h AA a AK w AI
bahay	b AG a AK h AA a AK j AB
bahing	b AG a AK h AA i AK ŋ AF
bahon	b AG a AK h AA o AM n AF
baka	b AG ɐ AM k AC a AK ʔ AJ
bakahan	b AG a AK k AC a AK h AA a AK n AF
bakas	b AG a AK k AC a AK s AH
bakasyon	b AG a AK k AC a AK ʃ AH o AM n AF
bakit	b AG a AK k AC ɛ AK t AC
baklad	b AG a AK k AC l AD a AK d AC
bakulaw	b AG a AK k AC u AM l AD a AK u AM
bakuna	b AG a AK k AC u AM n AF a AK
bakunahan	b AG a AK k AC u AM n AF a AK h AA a AK n AF
bakuran	b AG a AK k AC u AM ɾ BD a AK n AF
balae	b AG a AK l AD a AK ʔ AJ ɛ AK
balaguer	b AG a AK l AD a AK ɡ AC ɛ AK ɾ BD
balahak	b AG a AK l AD a AK h AA a AK k AC
balahakan	b AG a AK l AD a AK h AA a AK k AC a AK n AF
balahibo	b AG a AK l AD a AK h AA i AK b AG o AM
balakubak	b AG a AK l AD a AK k AC u AM b AG a AK k AC
balani	b AG ɐ AM l AD a AK n AF i AK ʔ AJ
balasa	b AG a AK l AD a AK s AH a AK
balasabas	b AG a AK l AD a AK s AH a AK b AG a AK s AH
balat	b AG a AK l AD a AK t AC
balato	b AG a AK l AD a AK t AC o AM
balatong	b AG a AK l AD a AK t AC o AM ŋ AF
balbas	b AG a AK l AD b AG a AK s AH
balde	b AG a AK l AD d AC e AK
baldonado	b AG a AK l AD d AC o AM n AF a AK d AC o AM
baldosa	b AG ɐ AM l AD d AC o AM s AH ɐ AM
bali	b AG a AK l AD i AK ʔ AJ
baligtad	b AG a AK l AD i AK ɡ AC t AC a AK d AC
balik	b AG a AK l AD i AK k AC
balimbing	b AG ɐ AM l AD i AK m AE b AG i AK ŋ AF
balingit	b AG a AK l AD i AK ŋ AF i AK t AC
balisa	b AG a AK l AD i AK s AH a AK ʔ AJ
balisacan	b AG a AK l AD i AK s AH a AK k AC a AK n AF
balisungsong	b AG a AK l AD i AK s AH u AM ŋ AF s AH ɔ AM ŋ AF
balita	b AG ɐ AM l AD i AK t AC a AK ʔ AJ
balite	b AG a AK l AD i AK t AC ɛ AK
balnian	b AG a AK l AD n AF i AK a AK n AF
balo	b AG a AK l AD o AM ʔ AJ
balon	b AG a AK l AD o AM n AF
baluga	b AG a AK l AD u AM ɡ AC a AK ʔ AJ
balukay	b AG a AK l AD u AM k AC a AK j AB
baluktot	b AG a AK l AD u AM k AC t AC o AM t AC
balwarte	b AG a AK l AD w AI a AK ɾ BD t AC ɛ AK
banawa	b AG a AK n AF a AK w AI a AK
bandila	b AG a AK n AF d AC i AK l AD a AK ʔ AJ
bangaw	b AG a AK ŋ AF a AK u AM
bangkay	b AG a AK ŋ AF k AC a AK i AK
bangkiling	b AG a AK ŋ AF k AC i AK l AD i AK ŋ AF
bango	b AG a AK ŋ AF o AM
baniaga	b AG a AK n AF j AB a AK ɡ AC a AK
banig	b AG a AK n AF i AK ɡ AC
banlaw	b AG a AK n AF l AD a AK u AM
banta	b AG a AK n AF t AC a AK ʔ AJ
bantay	b AG a AK n AF t AC a AK i AK
bantayog	b AG a AK n AF t AC a AK j AB o AM ɡ AC
bantog	b AG a AK n AF t AC o AM ɡ AC
banyaga	b AG a AK n AF j AB a AK ɡ AC a AK ʔ AJ
banyuhay	b AG ɐ AM n AF y AM u AM h AA ɐ AM j AB
bao	b AG a AK o AM
baog	b AG a AK ʔ AJ o AM ɡ AC
baon	b AG a AK ʔ AJ o AM n AF
baquiran	b AG a AK k AC i AK ɾ BD a AK n AF
bara	b AG a AK ɾ BD a AK
barado	b AG a AK ɾ BD a AK d AC o AM
baraha	b AG a AK ɾ BD a AK h AA a AK
barangay	b AG a AK r BA a AK ŋ AF ɡ AC a AK j AB
barbosa	b AG a AK ɾ BD b AG o AM s AH a AK
barquilla	b AG a AK ɾ BD k AC i AK l AD l AD a AK
barrios	b AG a AK ɾ BD j AB o AM s AH
bartolome	b AG a AK ɾ BD t AC o AM l AD o AM m AE ɛ AK
barya	b AG a AK ɾ BD j AB a AK
basa	b AG a AK s AH a AK
basag	b AG a AK s AH a AK ɡ AC
basahan	b AG a AK s AH a AK h AA a AK n AF
basakay	b AG a AK s AH a AK k AC a AK j AB
basallote	b AG ɐ AM s AH ɐ AM l AD j AB o AM t AC ɛ AK
basco	b AG a AK s AH k AC o AM
base	b AG a AK s AH ɛ AK
basehan	b AG a AK s AH ɛ AK h AA a AK n AF
basilan	b AG a AK s AH i AK l AD a AK n AF
basta	b AG a AK s AH t AC a AK
bastos	b AG a AK s AH t AC o AM s AH
basurahan	b AG a AK s AH u AM ɾ BD a AK h AA a AK n AF
basurero	b AG a AK s AH u AM ɾ BD ɛ AK ɾ BD o AM
basyo	b AG a AK ʃ AH o AM
basyuhin	b AG a AK ʃ AH u AM h AA i AK n AF
bata	b AG ɐ AM t AC a AK
batallones	b AG a AK t AC a AK l AD l AD o AM n AF ɛ AK s AH
batalyon	b AG a AK t AC a AK l AD j AB o AM n AF
batangas	b AG a AK t AC a AK n AF ɡ AC a AK s AH
batas	b AG a AK t AC a AK s AH
bathalaan	b AG a AK t AC h AA a AK l AD a AK ʔ AJ a AK n AF
bati	b AG a AK t AC i AK ʔ AJ
bato	b AG a AK t AC o AM ʔ AJ
batok	b AG a AK t AC o AM k AC
batugan	b AG a AK t AC u AM ɡ AC a AK n AF
batukan	b AG a AK t AC u AM k AC a AK n AF
batya	b AG a AK t AC j AB a AK ʔ AJ
batyaw	b AG a AK tʲ AC a AK w AI
baunan	b AG a AK ʔ AJ u AM n AF a AK n AF
bauzon	b AG a AK u AM s AH o AM n AF
bawang	b AG aː AL w AI a AK ŋ AF
bayabas	b AG a AK j AB a AK b AG a AK s AH
bayad	b AG a AK j AB a AK d AC
bayanihan	b AG a AK j AB ɐ AM n AF ɪ AK h AA a AK n AF
bayarin	b AG a AK y AM a AK r BA i AK n AF
bayawak	b AG a AK j AB a AK w AI a AK k AC
bayna	b AG a AK j AB n AF a AK
bayong	b AG a AK j AB o AM ŋ AF
bayugo	b AG a AK j AB u AM ɡ AC o AM
baywang	b AG ɛ AK w AI a AK ŋ AF
bañaga	b AG a AK ɲ AF a AK ɡ AC a AK
bebot	b AG ɛː AL b AG ɔ AM t AC
bejasa	b AG ɛ AK d AC ʒ AH a AK s AH a AK
belhiko	b AG ɛ AK l AD h AA i AK k AC o AM
belmonte	b AG ɛ AK l AD m AE o AM n AF t AC ɛ AK
beltran	b AG ɛ AK l AD t AC ɾ BD a AK n AF
benepisyo	b AG ɛ AK n AF ɛ AK p AG i AK s AH j AB o AM
benipayo	b AG ɛ AK n AF i AK p AG a AK j AB o AM
benta	b AG e AK n AF t AC a AK
berde	b AG ɛ AK ɾ BD d AC ɛ AK
bergonia	b AG ɛ AK ɾ BD ɡ AC o AM n AF j AB a AK
beripikahin	b AG ɛ AK r BA i AK p AG i AK k AC a AK h AA i AK n AF
bermudez	b AG ɛ AK ɾ BD m AE u AM d AC ɛ AK s AH
beshie	b AG e AK s AH h AA i AK
bibe	b AG i AK b AG e AK
bibili	b AG i AK b AG i AK l AD i AK
bibingka	b AG i AK b AG i AK ŋ AF k AC a AK
bigat	b AG i AK ɡ AC ʔ AJ a AK t AC
bigo	b AG i AK ɡ AC o AM ʔ AJ
bigote	b AG i AK ɡ AC ɔ AM t AC ɛ AK
bigti	b AG i AK ɡ AC t AC i AK ʔ AJ
biguin	b AG i AK ɡ AC u AM i AK n AF
bihag	b AG i AK h AA a AK ɡ AC
bihira	b AG i AK h AA i AK ɾ BD a AK ʔ AJ
bihis	b AG i AK h AA i AK s AH
biik	b AG i AK i AK k AC
bilang	b AG iː AL l AD a AK ŋ AF
bilangguan	b AG i AK l AD a AK ŋ AF ɡ AC u AM ʔ AJ a AK n AF
bilao	b AG i AK l AD a AK o AM
bilas	b AG i AK l AD a AK s AH
bilhan	b AG i AK l AD h AA a AK n AF
bilhin	b AG i AK l AD h AA i AK n AF
bili	b AG i AK l AD i AK
bilog	b AG i AK l AD ɔ AM ɡ AC
bilot	b AG i AK l AD o AM t AC
biloy	b AG i AK l AD o AM j AB
bilubilo	b AG i AK l AD u AM b AG i AK l AD o AM
bilugan	b AG i AK l AD u AM ɡ AC a AK n AF
binabae	b AG i AK n AF a AK b AG a AK ʔ AJ ɛ AK
binatilyo	b AG i AK n AF a AK t AC i AK l AD j AB o AM
binaysok	b AG i AK n AF a AK j AB s AH o AM k AC
bingwit	b AG i AK ŋ AF w AI i AK t AC
bintag	b AG i AK n AF t AC a AK ɡ AC
bintana	b AG i AK n AF t AC a AK n AF a AK
bintang	b AG i AK n AF t AC a AK ŋ AF
bintog	b AG i AK n AF t AC o AM ɡ AC
binutil	b AG i AK n AF u AM t AC i AK l AD
binuya	b AG i AK n AF u AM j AB a AK
biro	b AG iː AL ɾ BD o AM ʔ AJ
bisaya	b AG i AK s AH a AK j AB a AK ʔ AJ
biscocho	b AG i AK s AH k AC o AM t AC ʃ AH o AM
bisikleta	b AG i AK s AH i AK k AC l AD ɛ AK t AC a AK
bisita	b AG i AK s AH i AK t AC a AK
bisitahin	b AG i AK s AH i AK t AC a AK h AA i AK n AF
bitamina	b AG ɪ AK t AC ɐ AM m AE i AK n AF ɐ AM
bitay	b AG i AK t AC a AK i AK
biyas	b AG i AK a AK s AH
biyaya	b AG i AK a AK j AB a AK ʔ AJ
biyernes	b AG j AB ɛ AK ɾ BD n AF ɛ AK s AH
biyolohiya	b AG i AK j AB o AM l AD o AM h AA i AK j AB ɐ AM
biyuda	b AG i AK u AM d AC a AK
bobadilla	b AG o AM b AG a AK d AC i AK l AD l AD a AK
bobo	b AG o AM b AG o AM
bobotante	b AG ɔ AM b AG ɔ AM t AC a AK n AF t AC ɛ AK
bodega	b AG o AM d AC ɛ AK ɡ AC a AK
boksing	b AG o AM k AC s AH i AK ŋ AF
bolante	b AG o AM l AD a AK n AF t AC ɛ AK
bolaños	b AG o AM l AD a AK ɲ AF o AM s AH
bolpen	b AG o AM l AD p AG ɛ AK n AF
boluntaryo	b AG o AM l AD u AM n AF t AC a AK ɾ BD j AB o AM
bonifacio	b AG o AM n AF i AK f BB a AK ʃ AH o AM
bonilla	b AG o AM n AF i AK l AD l AD a AK
boongaling	b AG o AM o AM ŋ AF ɡ AC a AK l AD i AK ŋ AF
borbon	b AG o AM ɾ BD b AG o AM n AF
borillo	b AG o AM ɾ BD i AK l AD l AD o AM
borlaza	b AG o AM ɾ BD l AD a AK s AH a AK
boso	b AG o AM s AH o AM
botante	b AG o AM t AC a AK n AF t AC ɛ AK
bote	b AG o AM t AC ɛ AK
botelya	b AG o AM t AC ɛ AK l AD j AB a AK
botika	b AG o AM t AC i AK k AC a AK
botohan	b AG o AM t AC o AM h AA a AK n AF
braso	b AG ɾ BD a AK s AH o AM
brillantes	b AG ɾ BD i AK l AD l AD a AK n AF t AC ɛ AK s AH
bruha	b AG ɾ BD u AM h AA a AK
bubo	b AG u AM b AG o AM ʔ AJ
bubog	b AG u AM b AG o AM ɡ AC
bubuli	b AG u AM b AG u AM l AD i AK
budhi	b AG u AM d AC h AA i AK ʔ AJ
buenafe	b AG u AM ɛ AK n AF a AK p AG ɛ AK
buga	b AG u AM ɡ AC a AK
bugarin	b AG u AM ɡ AC a AK ɾ BD i AK n AF
bugat	b AG u AM ɡ AC a AK t AC
bugaw	b AG u AM ɡ AC a AK u AM
bugayong	b AG u AM ɡ AC a AK j AB o AM ŋ AF
bughaw	b AG u AM ɡ AC h AA a AK w AI
bugnit	b AG u AM ɡ AC n AF i AK t AC
bugtong	b AG u AM ɡ AC t AC o AM ŋ AF
buhag	b AG u AM h AA a AK ɡ AC
buhaghag	b AG u AM h AA a AK ɡ AC h AA a AK ɡ AC
buhagsigan	b AG u AM h AA a AK ɡ AC s AH i AK ɡ AC a AK n AF
buhagsigwasan	b AG u AM h AA a AK ɡ AC s AH i AK ɡ AC w AI a AK s AH a AK n AF
buhagtigilan	b AG u AM h AA a AK ɡ AC t AC i AK ɡ AC i AK l AD a AK n AF
buhawi	b AG u AM h AA a AK w AI i AK ʔ AJ
buhok	b AG u AM h AA o AM k AC
bukambibig	b AG u AM k AC a AK m AE b AG i AK b AG i AK ɡ AC
bukas	b AG u AM k AC a AK s AH
bukbok	b AG u AM k AC b AG o AM k AC
buking	b AG u AM k AC i AK ŋ AF
bukot	b AG u AM k AC o AM t AC
bula	b AG u AM l AD a AK ʔ AJ
bulaan	b AG u AM l AD a AK ʔ AJ a AK n AF
bulahaw	b AG u AM l AD a AK h AA a AK u AM
bulalakaw	b AG u AM l AD a AK l AD a AK k AC a AK u AM
bulalay	b AG u AM l AD a AK l AD a AK j AB
bulanadi	b AG u AM l AD a AK n AF a AK d AC i AK
bulandal	b AG u AM l AD a AK n AF d AC a AK l AD
bulanhagui	b AG u AM l AD a AK n AF h AA a AK ɡ AC i AK
bulati	b AG u AM l AD a AK t AC i AK
bulatlat	b AG u AM l AD a AK t AC l AD a AK t AC
bulaw	b AG u AM l AD a AK u AM
bulbol	b AG u AM l AD b AG o AM l AD
bulig	b AG u AM l AD i AK ɡ AC
