अ	ə AG
अंग्रेज़	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB
अंग्रेज़ियत	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB ɪ AG j AA ə AG t̪ AB
अंग्रेज़ी	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB iː AG
अंग्रेजी	ə AG ŋ AB ɡ AB ɾ AJ eː AG z AB iː AG
अंचल	ə AG n AB t AB ʃ AB ə AG l AD
अंछर	ə AG n AB t AB ʃʰ AC ə AG ɾ AJ
अंजन	ə AG n AB d AB ʒ AB ə AG n AB
अंजाम	ə AG n AB d AB ʒ AB ɑː AG m AE
अंजीर	ə AG n AB d AB ʒ AB iː AG ɾ AJ
अंजु	ə AG n AB d AB ʒ AB uː AH
अंटार्कटिका	ə AG ɳ AB ʈ AB ɑː AG ɾ AJ k AB ʈ AB ɪ AG k AB ɑː AG
अंटार्टिका	ə AG ɳ AB ʈ AB ɑː AG ɾ AJ ʈ AB ɪ AG k AB ɑː AG
अंडकोष	ə AG ɳ AB ɖ AB k AB oː AH ʂ AB
अंडमान	ə AG ɳ AB ɖ AB m AE ɑː AG n AB
अंडा	ə AG ɳ AB ɖ AB ɑː AG
अंडोरा	ə AG ɳ AB ɖ AB oː AH ɾ AJ ɑː AG
अंत	ə AG n AB t̪ AB
अंतःक्षेप	ə AG n AB t̪ AB ə AG ɦ AI k AB ʂ AB eː AG p AE
अंतड़ी	ə AG n AB t̪ AB ɽ AJ iː AG
अंतर	ə AG n AB t̪ AB ə AG ɾ AJ
अंतरंगता	ə AG n AB t̪ AB ə AG ɾ AJ ə AG ŋ AB ɡ AB t̪ AB ɑː AG
अंतरजाल	ə AG n AB t̪ AB ə AG ɾ AJ d AB ʒ AB ɑː AG l AD
अंतरण	ə AG n AB t̪ AB ɾ AJ ə AG ɳ AB
अंतरराष्ट्रीयता	ə AG n AB t̪ AB ə AG ɾ AJ ɾ AJ ɑː AG ʂ AB ʈ AB ɾ AJ iː AG j AA t̪ AB ɑː AG
अंतरा	ə AG n AB t̪ AB ɾ AJ ɑː AG
अंतराल	ə AG n AB t̪ AB ə AG ɾ AJ ɑː AG l AD
अंतरिक्ष	ə AG n AB t̪ AB ɾ AJ ɪ AG k AB ʂ AB
अंतरिम	ə AG n AB t̪ AB ɾ AJ ɪ AG m AE
अंतर्कालीन	ə AG n AB t̪ AB ə AG ɾ AJ k AB ɑː AG l AD iː AG n AB
अंतर्गत	ə AG n AB t̪ AB ə AG ɾ AJ ɡ AB ə AG t̪ AB
अंतर्जाल	ə AG n AB t̪ AB ə AG ɾ AJ d AB ʒ AB ɑː AG l AD
अंतर्धान	ə AG n AB t̪ AB ə AG ɾ AJ d̪ʱ AC ɑː AG n AB
अंतर्निहित	ə AG n AB t̪ AB ə AG ɾ AJ n AB ɪ AG ɦ AI ɪ AG t̪ AB
अंतर्वासी	ə AG n AB t̪ AB ə AG ɾ AJ ʋ AK ɑː AG s AB iː AG
अंताक्षरी	ə AG n AB t̪ AB ɑː AG k AB ʂ AB ə AG ɾ AJ iː AG
अंतिम	ə AG n AB t̪ AB ɪ AG m AE
अंत्येष्टि	ə AG n AB t̪ AB j AA eː AG ʂ AB ʈ AB iː AG
अंदर	ə AG n AB d̪ AB ə AG ɾ AJ
अंदाज	ə AG n AB d̪ AB ɑː AG z AB
अंदाज़	ə AG n AB d̪ AB ɑː AG z AB
अंदाज़ा	ə AG n AB d̪ AB ɑː AG z AB ɑː AG
अंधड़	ə AG n AB d̪ʱ AC ə AG ɽ AJ
अंधविश्वास	ə AG n AB d̪ʱ AC ʋ AK ɪ AG ʃ AB ʋ AK ɑː AG s AB
अंधा	ə AG n AB d̪ʱ AC ɑː AG
अंधाधुंध	ə AG n AB d̪ʱ AC ɑː AG d̪ʱ AC ʊ AH n AB d̪ʱ AC
अंधेरा	ə AG n AB d̪ʱ AC eː AG ɾ AJ ɑː AG
अंबर	ə AG m AE b AE ə AG ɾ AJ
अंबा	ə AG m AE b AE ɑː AG
अंबु	ə AG m AE b AE uː AH
अंश	ə AG n AB ʃ AB
अंशकालिक	ə AG n AB ʃ AB k AB ɑː AG l AD ɪ AG k AB
अंशतः	ə AG n AB ʃ AB t̪ AB ə AG ɦ AI
अंशुक	ə AG n AB ʃ AB ʊ AH k AB
अः	ə AG ɦ AI
अए	ə AG eː AG
अक	ə AG k AB
अकड़	ə AG k AB ə AG ɽ AJ
अकड़न	ə AG k AB ɽ AJ ə AG n AB
अकड़ना	ə AG k AB ə AG ɽ AJ n AB ɑː AG
अकर्म	ə AG k AB ə AG ɾ AJ m AE
अकर्मक	ə AG k AB ə AG ɾ AJ m AE ə AG k AB
अकर्मण्यता	ə AG k AB ə AG ɾ AJ m AE ə AG ɳ AB j AA ə AG t̪ AB ɑː AG
अकस्मात्	ə AG k AB ə AG s AB m AE ɑː AG t̪ AB
अक़्ल	ə AG q AB ə AG l AD
अक़्लमंद	ə AG q AB ə AG l AD m AE ə AG n AB d̪ AB
अकाज	ə AG k AB ɑː AG d AB ʒ AB
अकादमिक	ə AG k AB ɑː AG d̪ AB m AE ɪ AG k AB
अकादमी	ə AG k AB ɑː AG d̪ AB m AE iː AG
अकारण	ə AG k AB ɑː AG ɾ AJ ə AG ɳ AB
अकारथ	ə AG k AB ɑː AG ɾ AJ ə AG t̪ʰ AC
अकाल	ə AG k AB ɑː AG l AD
अकूत	ə AG k AB uː AH t̪ AB
अकेला	ə AG k AB eː AG l AD ɑː AG
अकेलापन	ə AG k AB eː AG l AD ɑː AG p AE ə AG n AB
अक्खड़	ə AG k AB kʰ AC ə AG ɽ AJ
अक्खा	ə AG k AB kʰ AC ɑː AG
अक्टूबर	ə AG k AB ʈ AB uː AH b AE ə AG ɾ AJ
अक्तूबर	ə AG k AB t̪ AB uː AH b AE ə AG ɾ AJ
अक्षत	ə AG k AB ʂ AB ə AG t̪ AB
अक्षय	ə AG k AB ʃ AB ə AG j AA
अक्षर	ə AG k AB ʂ AB ə AG ɾ AJ
अक्षरारंभ	ə AG k AB ʂ AB ə AG ɾ AJ ɑː AG ɾ AJ ə AG m AE bʱ AF
अक्स	ə AG k AB s AB
अक्सर	ə AG k AB s AB ə AG ɾ AJ
अखंड	ə AG kʰ AC ə AG ɳ AB ɖ AB
अखंडता	ə AG kʰ AC ə AG ɳ AB ɖ AB t̪ AB ɑː AG
अखबार	ə AG x AB b AE ɑː AG ɾ AJ
अखरना	ə AG kʰ AC ə AG ɾ AJ n AB ɑː AG
अखरोट	ə AG x AB ɾ AJ oː AH ʈ AB
अख़बार	ə AG x AB b AE ɑː AG ɾ AJ
अख़बारवाला	ə AG x AB b AE ɑː AG ɾ AJ ʋ AK ɑː AG l AD ɑː AG
अख़रोट	ə AG x AB ɾ AJ oː AH ʈ AB
अखाड़ा	ə AG kʰ AC ɑː AG ɽ AJ ɑː AG
अखिल	ə AG kʰ AC ɪ AG l AD
अखिलेश	ə AG kʰ AC ɪ AG l AD eː AG ʃ AB
अगणित	ə AG ɡ AB ə AG ɳ AB ɪ AG t̪ AB
अगर	ə AG ɡ AB ə AG ɾ AJ
अगरचे	ə AG ɡ AB ə AG ɾ AJ t AB ʃ AB eː AG
अगरतला	ə AG ɡ AB ə AG ɾ AJ t̪ AB ə AG l AD ɑː AG
अगरबत्ती	ə AG ɡ AB ə AG ɾ AJ b AE ə AG t̪ AB t̪ AB iː AG
अगला	ə AG ɡ AB l AD ɑː AG
अगवानी	ə AG ɡ AB ʋ AK ɑː AG n AB iː AG
अगस्त	ə AG ɡ AB ə AG s AB t̪ AB
अगाऊ	ə AG ɡ AB ɑː AG uː AH
अगिन	ə AG ɡ AB ɪ AG n AB
अगुआ	ə AG ɡ AB ʊ AH ɑː AG
अग्नि	ə AG ɡ AB n AB iː AG
अग्निपरीक्षा	ə AG ɡ AB n AB ɪ AG p AE ə AG ɾ AJ iː AG k AB ʂ AB ɑː AG
अग्निशामक	ə AG ɡ AB n AB ɪ AG ʃ AB ɑː AG m AE ə AG k AB
अग्न्याशय	ə AG ɡ AB n AB j AA ɑː AG ʃ AB ə AG j AA
अग्रज	ə AG ɡ AB ɾ AJ ə AG d AB ʒ AB
अग्रहायण	ə AG ɡ AB ɾ AJ ə AG ɦ AI ɑː AG j AA ə AG ɳ AB
अग्रिम	ə AG ɡ AB ɾ AJ ɪ AG m AE
अग्रिमता	ə AG ɡ AB ɾ AJ ɪ AG m AE t̪ AB ɑː AG
अचंभा	ə AG t AB ʃ AB ə AG m AE bʱ AF ɑː AG
अचकन	ə AG t AB ʃ AB k AB ə AG n AB
अचर	ə AG t AB ʃ AB ə AG ɾ AJ
अचरज	ə AG t AB ʃ AB ɾ AJ ə AG d AB ʒ AB
अचानक	ə AG t AB ʃ AB ɑː AG n AB ə AG k AB
अचूक	ə AG t AB ʃ AB uː AH k AB
अचेत	ə AG t AB ʃ AB eː AG t̪ AB
अच्छा	ə AG t AB ʃ AB t AB ʃʰ AC ɑː AG
अच्छाई	ə AG t AB ʃ AB t AB ʃʰ AC ɑː AG iː AG
अच्छापन	ə AG t AB ʃ AB t AB ʃʰ AC ɑː AG p AE ə AG n AB
अछना	ə AG t AB ʃʰ AC n AB ɑː AG
अछूत	ə AG t AB ʃʰ AC uː AH t̪ AB
अछूता	ə AG t AB ʃʰ AC uː AH t̪ AB ɑː AG
अजगर	ə AG d AB ʒ AB ɡ AB ə AG ɾ AJ
अजनबियत	ə AG d AB ʒ AB n AB ə AG b AE ɪ AG j AA ə AG t̪ AB
अजनबी	ə AG d AB ʒ AB n AB ə AG b AE iː AG
अजब	ə AG d AB ʒ AB ə AG b AE
अजमेर	ə AG d AB ʒ AB m AE eː AG ɾ AJ
अजमोद	ə AG d AB ʒ AB m AE oː AH d̪ AB
अजवाइन	ə AG d AB ʒ AB ʋ AK ɑː AG ɪ AG n AB
अज़दहा	ə AG z AB d̪ AB ə AG ɦ AI ɑː AG
अज़रबैजान	ə AG z AB ə AG ɾ AJ b AE ɛː AG d AB ʒ AB ɑː AG n AB
अज़ान	ə AG z AB ɑː AG n AB
अज़ाब	ə AG z AB ɑː AG b AE
अज़ीज़	ə AG z AB iː AG z AB
अज़ीम	ə AG z AB iː AG m AE
अजाइब	ə AG d AB ʒ AB ɑː AG ɪ AG b AE
अजान	ə AG d AB ʒ AB ɑː AG n AB
अजायबघर	ə AG d AB ʒ AB ɑː AG j AA ə AG b AE ɡʱ AC ə AG ɾ AJ
अजिल्द	ə AG d AB ʒ AB ɪ AG l AD d̪ AB
अजी	ə AG d AB ʒ AB iː AG
अजीब	ə AG d AB ʒ AB iː AG b AE
अजीर्ण	ə AG d AB ʒ AB iː AG ɾ AJ ɳ AB
अजूबा	ə AG d AB ʒ AB uː AH b AE ɑː AG
अजेंडा	ə AG d AB ʒ AB eː AG ɳ AB ɖ AB ɑː AG
अज्ञ	ə AG ɡ AB j AA
अज्ञात	ə AG ɡ AB j AA ɑː AG t̪ AB
अज्ञानपन	ə AG ɡ AB j AA ɑː AG n AB p AE ə AG n AB
अज्ञेय	ə AG ɡ AB j AA eː AG j AA
अज्ञेयवाद	ə AG ɡ AB j AA eː AG j AA ʋ AK ɑː AG d̪ AB
अज्ञेयवादी	ə AG ɡ AB j AA eː AG j AA ʋ AK ɑː AG d̪ AB iː AG
अझ़दहा	ə AG z AB d̪ AB ə AG ɦ AI ɑː AG
अटक	ə AG ʈ AB ə AG k AB
अटकना	ə AG ʈ AB ə AG k AB n AB ɑː AG
अटकल	ə AG ʈ AB k AB ə AG l AD
अटकलपच्चू	ə AG ʈ AB k AB ə AG l AD p AE ə AG t AB ʃ AB t AB ʃ AB uː AH
अटकाना	ə AG ʈ AB k AB ɑː AG n AB ɑː AG
अटकाव	ə AG ʈ AB k AB ɑː AG ʋ AK
अटपटा	ə AG ʈ AB p AE ə AG ʈ AB ɑː AG
अटल	ə AG ʈ AB ə AG l AD
अटारी	ə AG ʈ AB ɑː AG ɾ AJ iː AG
अटूट	ə AG ʈ AB uː AH ʈ AB
अटैची	ə AG ʈ AB ɛː AG t AB ʃ AB iː AG
अट्टालिका	ə AG ʈ AB ʈ AB ɑː AG l AD ɪ AG k AB ɑː AG
अट्ठा	ə AG ʈ AB ʈʰ AC ɑː AG
अट्ठाईस	ə AG ʈ AB ʈʰ AC ɑː AG iː AG s AB
अट्ठानवे	ə AG ʈ AB ʈʰ AC ɑː AG n AB ʋ AK eː AG
अट्ठावन	ə AG ʈ AB ʈʰ AC ɑː AG ʋ AK ə AG n AB
अट्ठासी	ə AG ʈ AB ʈʰ AC ɑː AG s AB iː AG
अठन्नी	ə AG ʈʰ AC ə AG n AB n AB iː AG
अठपहिया	ə AG ʈʰ AC p AE ə AG ɦ AI ɪ AG j AA ɑː AG
अठहत्तर	ə AG ʈʰ AC ɦ AI ə AG t̪ AB t̪ AB ə AG ɾ AJ
अठारह	ə AG ʈʰ AC ɑː AG ɾ AJ ə AG ɦ AI
अड़ंगा	ə AG ɽ AJ ə AG ŋ AB ɡ AB ɑː AG
अड़चन	ə AG ɽ AJ t AB ʃ AB ə AG n AB
अड़तालीस	ə AG ɽ AJ t̪ AB ɑː AG l AD iː AG s AB
अड़तीस	ə AG ɽ AJ t̪ AB iː AG s AB
अड़ना	ə AG ɽ AJ n AB ɑː AG
अड़सठ	ə AG ɽ AJ s AB ə AG ʈʰ AC
अड़ाना	ə AG ɽ AJ ɑː AG n AB ɑː AG
अड़ियल	ə AG ɽ AJ ɪ AG j AA ə AG l AD
अडिग	ə AG ɖ AB ɪ AG ɡ AB
अणु	ə AG ɳ AB uː AH
अण्डा	ə AG ɳ AB ɖ AB ɑː AG
अतः	ə AG t̪ AB ə AG ɦ AI
अति	ə AG t̪ AB iː AG
अतिकाल	ə AG t̪ AB ɪ AG k AB ɑː AG l AD
अतिथि	ə AG t̪ AB ɪ AG t̪ʰ AC iː AG
अतिरिक्त	ə AG t̪ AB ɪ AG ɾ AJ ɪ AG k AB t̪ AB
अतिवाद	ə AG t̪ AB ɪ AG ʋ AK ɑː AG d̪ AB
अतिवादी	ə AG t̪ AB ɪ AG ʋ AK ɑː AG d̪ AB iː AG
अतिशयोक्ति	ə AG t̪ AB ɪ AG ʃ AB j AA oː AH k AB t̪ AB iː AG
अतिसंवेदनशील	ə AG t̪ AB ɪ AG s AB ə AG m AE ʋ AK eː AG d̪ AB ə AG n AB ʃ AB iː AG l AD
अतिसार	ə AG t̪ AB ɪ AG s AB ɑː AG ɾ AJ
अतीत	ə AG t̪ AB iː AG t̪ AB
अतुलित	ə AG t̪ AB ʊ AH l AD ɪ AG t̪ AB
अत्फ़ाल	ə AG t̪ AB pʰ AF ɑː AG l AD
अत्यंत	ə AG t̪ AB j AA ə AG n AB t̪ AB
अत्यधिक	ə AG t̪ AB j AA ə AG d̪ʱ AC ɪ AG k AB
अत्यन्त	ə AG t̪ AB j AA ə AG n AB t̪ AB
अत्याचार	ə AG t̪ AB j AA ɑː AG t AB ʃ AB ɑː AG ɾ AJ
अत्याचारी	ə AG t̪ AB j AA ɑː AG t AB ʃ AB ɑː AG ɾ AJ iː AG
अत्यावश्यक	ə AG t̪ AB j AA ɑː AG ʋ AK ə AG ʃ AB j AA ə AG k AB
अत्युत्तम	ə AG t̪ AB j AA ʊ AH t̪ AB t̪ AB ə AG m AE
अथक	ə AG t̪ʰ AC ə AG k AB
अथवा	ə AG t̪ʰ AC ʋ AK ɑː AG
अथाह	ə AG t̪ʰ AC ɑː AG ɦ AI
अदब	ə AG d̪ AB ə AG b AE
अदरक	ə AG d̪ AB ɾ AJ ə AG k AB
अदहन	ə AG d̪ AB ɦ AI ə AG n AB
अदा	ə AG d̪ AB ɑː AG
अदाकार	ə AG d̪ AB ɑː AG k AB ɑː AG ɾ AJ
अदालत	ə AG d̪ AB ɑː AG l AD ə AG t̪ AB
अदालती	ə AG d̪ AB ɑː AG l AD ə AG t̪ AB iː AG
अदावत	ə AG d̪ AB ɑː AG ʋ AK ə AG t̪ AB
अदिश	ə AG d̪ AB ɪ AG ʃ AB
अद्यतन	ə AG d̪ AB j AA ə AG t̪ AB ə AG n AB
अद्यापि	ə AG d̪ AB j AA ɑː AG p AE iː AG
अद्यैव	ə AG d̪ AB j AA ɛː AG ʋ AK
अधर्म	ə AG d̪ʱ AC ə AG ɾ AJ m AE
अधश्चेतक	ə AG d̪ʱ AC ə AG ʃ AB t AB ʃ AB eː AG t̪ AB ə AG k AB
अधिक	ə AG d̪ʱ AC ɪ AG k AB
अधिकतम	ə AG d̪ʱ AC ɪ AG k AB t̪ AB ə AG m AE
अधिकता	ə AG d̪ʱ AC ɪ AG k AB t̪ AB ɑː AG
अधिकरण	ə AG d̪ʱ AC ɪ AG k AB ə AG ɾ AJ ə AG ɳ AB
अधिकार	ə AG d̪ʱ AC ɪ AG k AB ɑː AG ɾ AJ
अधिकारिणी	ə AG d̪ʱ AC ɪ AG k AB ɑː AG ɾ AJ ɪ AG ɳ AB iː AG
अधिकारिता	ə AG d̪ʱ AC ɪ AG k AB ɑː AG ɾ AJ ɪ AG t̪ AB ɑː AG
अधिकारी	ə AG d̪ʱ AC ɪ AG k AB ɑː AG ɾ AJ iː AG
अधिकृत	ə AG d̪ʱ AC ɪ AG k AB ɾ AJ ɪ AG t̪ AB
अधिनायक	ə AG d̪ʱ AC ɪ AG n AB ɑː AG j AA ə AG k AB
अधिनियम	ə AG d̪ʱ AC ɪ AG n AB ɪ AG j AA ə AG m AE
अधिभार	ə AG d̪ʱ AC ɪ AG bʱ AF ɑː AG ɾ AJ
अधिभोग	ə AG d̪ʱ AC ɪ AG bʱ AF oː AH ɡ AB
अधिमास	ə AG d̪ʱ AC ɪ AG m AE ɑː AG s AB
अधिलाभ	ə AG d̪ʱ AC ɪ AG l AD ɑː AG bʱ AF
अधिवक्ता	ə AG d̪ʱ AC ɪ AG ʋ AK ə AG k AB t̪ AB ɑː AG
अधिवार्षिकी	ə AG d̪ʱ AC ɪ AG ʋ AK ɑː AG ɾ AJ ʂ AB ɪ AG k AB iː AG
अधिवेशन	ə AG d̪ʱ AC ɪ AG ʋ AK eː AG ʃ AB ə AG n AB
अधिसूचना	ə AG d̪ʱ AC ɪ AG s AB uː AH t AB ʃ AB n AB ɑː AG
अधिसूचित	ə AG d̪ʱ AC ɪ AG s AB uː AH t AB ʃ AB ɪ AG t̪ AB
अधीक्षक	ə AG d̪ʱ AC iː AG k AB ʂ AB ə AG k AB
अधीक्षण	ə AG d̪ʱ AC iː AG k AB ʂ AB ə AG ɳ AB
अधीन	ə AG d̪ʱ AC iː AG n AB
अधीनता	ə AG d̪ʱ AC iː AG n AB t̪ AB ɑː AG
अधीर	ə AG d̪ʱ AC iː AG ɾ AJ
अधीरता	ə AG d̪ʱ AC iː AG ɾ AJ t̪ AB ɑː AG
अधीश	ə AG d̪ʱ AC iː AG ʃ AB
अधुना	ə AG d̪ʱ AC ʊ AH n AB ɑː AG
अधूरा	ə AG d̪ʱ AC uː AH ɾ AJ ɑː AG
अधेड़	ə AG d̪ʱ AC eː AG ɽ AJ
अधोहस्ताक्षरी	ə AG d̪ʱ AC oː AH ɦ AI ə AG s AB t̪ AB ɑː AG k AB ʂ AB ə AG ɾ AJ iː AG
अध्यक्ष	ə AG d̪ʱ AC j AA ə AG k AB ʂ AB
अध्यक्षता	ə AG d̪ʱ AC j AA ə AG k AB ʂ AB t̪ AB ɑː AG
अध्ययन	ə AG d̪ʱ AC j AA ə AG n AB
अध्यादेश	ə AG d̪ʱ AC j AA ɑː AG d̪ AB eː AG ʃ AB
अध्यापक	ə AG d̪ʱ AC j AA ɑː AG p AE ə AG k AB
अध्यापिका	ə AG d̪ʱ AC j AA ɑː AG p AE ɪ AG k AB ɑː AG
अध्याय	ə AG d̪ʱ AC j AA ɑː AG j AA
अनंतपुर	ə AG n AB ə AG n AB t̪ AB p AE ʊ AH ɾ AJ
अनकटा	ə AG n AB k AB ə AG ʈ AB ɑː AG
अनकहा	ə AG n AB k AB ə AG ɦ AI ɑː AG
अनखिला	ə AG n AB kʰ AC ɪ AG l AD ɑː AG
अनगढ़	ə AG n AB ɡ AB ə AG ɽʱ AL
अनगिनत	ə AG n AB ɡ AB ɪ AG n AB ə AG t̪ AB
अनचखा	ə AG n AB t AB ʃ AB ə AG kʰ AC ɑː AG
अनचाहा	ə AG n AB t AB ʃ AB ɑː AG ɦ AI ɑː AG
अनजाना	ə AG n AB d AB ʒ AB ɑː AG n AB ɑː AG
अनजाने	ə AG n AB d AB ʒ AB ɑː AG n AB eː AG
अनदेखा	ə AG n AB d̪ AB eː AG kʰ AC ɑː AG
अननुमेय	ə AG n AB n AB ʊ AH m AE eː AG j AA
अनन्नास	ə AG n AB ə AG n AB n AB ɑː AG s AB
अनपच	ə AG n AB p AE ə AG t AB ʃ AB
अनपढ़	ə AG n AB p AE ə AG ɽʱ AL
अनब्याहा	ə AG n AB b AE j AA ɑː AG ɦ AI ɑː AG
अनमना	ə AG n AB m AE ə AG n AB ɑː AG
अनमोल	ə AG n AB m AE oː AH l AD
अनर्थ	ə AG n AB ə AG ɾ AJ t̪ʰ AC
अनशन	ə AG n AB ʃ AB ə AG n AB
अनसुना	ə AG n AB s AB ʊ AH n AB ɑː AG
अनहोनी	ə AG n AB ɦ AI oː AH n AB iː AG
अनाचार	ə AG n AB ɑː AG t AB ʃ AB ɑː AG ɾ AJ
अनाज	ə AG n AB ɑː AG d AB ʒ AB
अनाड़ी	ə AG n AB ɑː AG ɽ AJ iː AG
अनातोली	ə AG n AB ɑː AG t̪ AB oː AH l AD iː AG
अनाथालय	ə AG n AB ɑː AG t̪ʰ AC ɑː AG l AD ə AG j AA
अनाधिकारिक	ə AG n AB ɑː AG d̪ʱ AC ɪ AG k AB ɑː AG ɾ AJ ɪ AG k AB
अनाम	ə AG n AB ɑː AG m AE
अनामिका	ə AG n AB ɑː AG m AE ɪ AG k AB ɑː AG
अनार	ə AG n AB ɑː AG ɾ AJ
अनारदाना	ə AG n AB ɑː AG ɾ AJ d̪ AB ɑː AG n AB ɑː AG
अनावश्यक	ə AG n AB ɑː AG ʋ AK ə AG ʃ AB j AA ə AG k AB
अनिच्छा	ə AG n AB ɪ AG t AB ʃ AB t AB ʃʰ AC ɑː AG
अनिद्रा	ə AG n AB ɪ AG d̪ AB ɾ AJ ɑː AG
अनियंत्रित	ə AG n AB ɪ AG j AA ə AG n AB t̪ AB ɾ AJ ɪ AG t̪ AB
अनियमित	ə AG n AB ɪ AG j AA ə AG m AE ɪ AG t̪ AB
अनियमितता	ə AG n AB ɪ AG j AA ə AG m AE ɪ AG t̪ AB t̪ AB ɑː AG
अनिवार्यतः	ə AG n AB ɪ AG ʋ AK ɑː AG ɾ AJ j AA ə AG t̪ AB ə AG ɦ AI
अनिश्चित	ə AG n AB ɪ AG ʃ AB t AB ʃ AB ɪ AG t̪ AB
अनिश्चितता	ə AG n AB ɪ AG ʃ AB t AB ʃ AB ɪ AG t̪ AB t̪ AB ɑː AG
अनुकरण	ə AG n AB ʊ AH k AB ə AG ɾ AJ ə AG ɳ AB
अनुकूल	ə AG n AB ʊ AH k AB uː AH l AD
अनुकूलन	ə AG n AB ʊ AH k AB uː AH l AD ə AG n AB
अनुगृहीत	ə AG n AB ʊ AH ɡ AB ɾ AJ ɪ AG ɦ AI iː AG t̪ AB
अनुग्रह	ə AG n AB ʊ AH ɡ AB ɾ AJ ə AG ɦ AI
अनुचित	ə AG n AB ʊ AH t AB ʃ AB ɪ AG t̪ AB
अनुच्छेद	ə AG n AB ʊ AH t AB ʃ AB t AB ʃʰ AC eː AG d̪ AB
अनुज्ञप्ति	ə AG n AB ʊ AH ɡ AB j AA ə AG p AE t̪ AB iː AG
अनुदान	ə AG n AB ʊ AH d̪ AB ɑː AG n AB
अनुनय	ə AG n AB ʊ AH n AB ə AG j AA
अनुनाद	ə AG n AB ʊ AH n AB ɑː AG d̪ AB
अनुनासिक	ə AG n AB ʊ AH n AB ɑː AG s AB ɪ AG k AB
अनुनासिकता	ə AG n AB ʊ AH n AB ɑː AG s AB ɪ AG k AB t̪ AB ɑː AG
अनुपजाऊ	ə AG n AB ʊ AH p AE d AB ʒ AB ɑː AG uː AH
अनुपम	ə AG n AB ʊ AH p AE ə AG m AE
अनुपयोगी	ə AG n AB ʊ AH p AE j AA oː AH ɡ AB iː AG
अनुपस्थित	ə AG n AB ʊ AH p AE ə AG s AB t̪ʰ AC ɪ AG t̪ AB
