अ	ə AF
अच्छा	ə AF t ʃ t ʃʰ ɑː AB
अच्छाई	ə AF t ʃ t ʃʰ ɑː AB iː AB
अच्छापन	ə AF t ʃ t ʃʰ ɑː AB p ə AF n
अछना	ə AF t ʃʰ n ɑː AB
अछूत	ə AF t ʃʰ uː AC t̪
अछूता	ə AF t ʃʰ uː AC t̪ ɑː AB
अजगर	ə AF d ʒ ɡ ə AF ɾ
अजनबियत	ə AF d ʒ n ə AF b ɪ AF j AA ə AF t̪
अजनबी	ə AF d ʒ n ə AF b iː AB
अजब	ə AF d ʒ ə AF b
अजमेर	ə AF d ʒ m eː AB ɾ
अजमोद	ə AF d ʒ m oː AC d̪
अजवाइन	ə AF d ʒ ʋ AI ɑː AB ɪ AF n
अज़दहा	ə AF z d̪ ə AF ɦ AE ɑː AB
अज़रबैजान	ə AF z ə AF ɾ b ɛː AB d ʒ ɑː AB n
अज़ान	ə AF z ɑː AB n
अज़ाब	ə AF z ɑː AB b
अज़ीज़	ə AF z iː AB z
अज़ीम	ə AF z iː AB m
अजाइब	ə AF d ʒ ɑː AB ɪ AF b
अजान	ə AF d ʒ ɑː AB n
अजायबघर	ə AF d ʒ ɑː AB j AA ə AF b ɡʱ ə AF ɾ
अजिल्द	ə AF d ʒ ɪ AF l d̪
अजी	ə AF d ʒ iː AB
अजीब	ə AF d ʒ iː AB b
अजीर्ण	ə AF d ʒ iː AB ɾ ɳ
अजूबा	ə AF d ʒ uː AC b ɑː AB
अजेंडा	ə AF d ʒ eː AB ɳ ɖ ɑː AB
अज्ञ	ə AF ɡ j AA
अज्ञात	ə AF ɡ j AA ɑː AB t̪
अज्ञानपन	ə AF ɡ j AA ɑː AB n p ə AF n
अज्ञेय	ə AF ɡ j AA eː AB j AA
अज्ञेयवाद	ə AF ɡ j AA eː AB j AA ʋ AI ɑː AB d̪
अज्ञेयवादी	ə AF ɡ j AA eː AB j AA ʋ AI ɑː AB d̪ iː AB
अझ़दहा	ə AF z d̪ ə AF ɦ AE ɑː AB
अटक	ə AF ʈ ə AF k
अटकना	ə AF ʈ ə AF k n ɑː AB
अटकल	ə AF ʈ k ə AF l
अटकलपच्चू	ə AF ʈ k ə AF l p ə AF t ʃ t ʃ uː AC
अटकाना	ə AF ʈ k ɑː AB n ɑː AB
अटकाव	ə AF ʈ k ɑː AB ʋ AI
अटपटा	ə AF ʈ p ə AF ʈ ɑː AB
अटल	ə AF ʈ ə AF l
अटारी	ə AF ʈ ɑː AB ɾ iː AB
अटूट	ə AF ʈ uː AC ʈ
अटैची	ə AF ʈ ɛː AB t ʃ iː AB
अट्टालिका	ə AF ʈ ʈ ɑː AB l ɪ AF k ɑː AB
अट्ठा	ə AF ʈ ʈʰ ɑː AB
अट्ठाईस	ə AF ʈ ʈʰ ɑː AB iː AB s
अट्ठानवे	ə AF ʈ ʈʰ ɑː AB n ʋ AI eː AB
अट्ठावन	ə AF ʈ ʈʰ ɑː AB ʋ AI ə AF n
अट्ठासी	ə AF ʈ ʈʰ ɑː AB s iː AB
अठन्नी	ə AF ʈʰ ə AF n n iː AB
अठपहिया	ə AF ʈʰ p ə AF ɦ AE ɪ AF j AA ɑː AB
अठहत्तर	ə AF ʈʰ ɦ AE ə AF t̪ t̪ ə AF ɾ
अठारह	ə AF ʈʰ ɑː AB ɾ ə AF ɦ AE
अड़ंगा	ə AF ɽ ə AF ŋ ɡ ɑː AB
अड़चन	ə AF ɽ t ʃ ə AF n
अड़तालीस	ə AF ɽ t̪ ɑː AB l iː AB s
अड़तीस	ə AF ɽ t̪ iː AB s
अड़ना	ə AF ɽ n ɑː AB
अड़सठ	ə AF ɽ s ə AF ʈʰ
अड़ाना	ə AF ɽ ɑː AB n ɑː AB
अड़ियल	ə AF ɽ ɪ AF j AA ə AF l
अडिग	ə AF ɖ ɪ AF ɡ
अणु	ə AF ɳ uː AC
अण्डा	ə AF ɳ ɖ ɑː AB
अतः	ə AF t̪ ə AF ɦ AE
अति	ə AF t̪ iː AB
अतिकाल	ə AF t̪ ɪ AF k ɑː AB l
अतिथि	ə AF t̪ ɪ AF t̪ʰ iː AB
अतिरिक्त	ə AF t̪ ɪ AF ɾ ɪ AF k t̪
अतिवाद	ə AF t̪ ɪ AF ʋ AI ɑː AB d̪
अतिवादी	ə AF t̪ ɪ AF ʋ AI ɑː AB d̪ iː AB
अतिशयोक्ति	ə AF t̪ ɪ AF ʃ j AA oː AC k t̪ iː AB
अतिसंवेदनशील	ə AF t̪ ɪ AF s ə AF m ʋ AI eː AB d̪ ə AF n ʃ iː AB l
अतिसार	ə AF t̪ ɪ AF s ɑː AB ɾ
अतीत	ə AF t̪ iː AB t̪
अतुलित	ə AF t̪ ʊ AD l ɪ AF t̪
अत्फ़ाल	ə AF t̪ pʰ ɑː AB l
अत्यंत	ə AF t̪ j AA ə AF n t̪
अत्यधिक	ə AF t̪ j AA ə AF d̪ʱ ɪ AF k
अत्यन्त	ə AF t̪ j AA ə AF n t̪
अत्याचार	ə AF t̪ j AA ɑː AB t ʃ ɑː AB ɾ
अत्याचारी	ə AF t̪ j AA ɑː AB t ʃ ɑː AB ɾ iː AB
अत्यावश्यक	ə AF t̪ j AA ɑː AB ʋ AI ə AF ʃ j AA ə AF k
अत्युत्तम	ə AF t̪ j AA ʊ AD t̪ t̪ ə AF m
अथक	ə AF t̪ʰ ə AF k
अथवा	ə AF t̪ʰ ʋ AI ɑː AB
अथाह	ə AF t̪ʰ ɑː AB ɦ AE
अदब	ə AF d̪ ə AF b
अदरक	ə AF d̪ ɾ ə AF k
अदहन	ə AF d̪ ɦ AE ə AF n
अदा	ə AF d̪ ɑː AB
अदाकार	ə AF d̪ ɑː AB k ɑː AB ɾ
अदालत	ə AF d̪ ɑː AB l ə AF t̪
अदालती	ə AF d̪ ɑː AB l ə AF t̪ iː AB
अदावत	ə AF d̪ ɑː AB ʋ AI ə AF t̪
अदिश	ə AF d̪ ɪ AF ʃ
अद्यतन	ə AF d̪ j AA ə AF t̪ ə AF n
अद्यापि	ə AF d̪ j AA ɑː AB p iː AB
अद्यैव	ə AF d̪ j AA ɛː AB ʋ AI
अधर्म	ə AF d̪ʱ ə AF ɾ m
अधश्चेतक	ə AF d̪ʱ ə AF ʃ t ʃ eː AB t̪ ə AF k
अधिक	ə AF d̪ʱ ɪ AF k
अधिकतम	ə AF d̪ʱ ɪ AF k t̪ ə AF m
अधिकता	ə AF d̪ʱ ɪ AF k t̪ ɑː AB
अधिकरण	ə AF d̪ʱ ɪ AF k ə AF ɾ ə AF ɳ
अधिकार	ə AF d̪ʱ ɪ AF k ɑː AB ɾ
अधिकारिणी	ə AF d̪ʱ ɪ AF k ɑː AB ɾ ɪ AF ɳ iː AB
अधिकारिता	ə AF d̪ʱ ɪ AF k ɑː AB ɾ ɪ AF t̪ ɑː AB
अधिकारी	ə AF d̪ʱ ɪ AF k ɑː AB ɾ iː AB
अधिकृत	ə AF d̪ʱ ɪ AF k ɾ ɪ AF t̪
अधिनायक	ə AF d̪ʱ ɪ AF n ɑː AB j AA ə AF k
अधिनियम	ə AF d̪ʱ ɪ AF n ɪ AF j AA ə AF m
अधिभार	ə AF d̪ʱ ɪ AF bʱ ɑː AB ɾ
अधिभोग	ə AF d̪ʱ ɪ AF bʱ oː AC ɡ
अधिमास	ə AF d̪ʱ ɪ AF m ɑː AB s
अधिलाभ	ə AF d̪ʱ ɪ AF l ɑː AB bʱ
अधिवक्ता	ə AF d̪ʱ ɪ AF ʋ AI ə AF k t̪ ɑː AB
अधिवार्षिकी	ə AF d̪ʱ ɪ AF ʋ AI ɑː AB ɾ ʂ ɪ AF k iː AB
अधिवेशन	ə AF d̪ʱ ɪ AF ʋ AI eː AB ʃ ə AF n
अधिसूचना	ə AF d̪ʱ ɪ AF s uː AC t ʃ n ɑː AB
अधिसूचित	ə AF d̪ʱ ɪ AF s uː AC t ʃ ɪ AF t̪
अधीक्षक	ə AF d̪ʱ iː AB k ʂ ə AF k
अधीक्षण	ə AF d̪ʱ iː AB k ʂ ə AF ɳ
अधीन	ə AF d̪ʱ iː AB n
अधीनता	ə AF d̪ʱ iː AB n t̪ ɑː AB
अधीर	ə AF d̪ʱ iː AB ɾ
अधीरता	ə AF d̪ʱ iː AB ɾ t̪ ɑː AB
अधीश	ə AF d̪ʱ iː AB ʃ
अधुना	ə AF d̪ʱ ʊ AD n ɑː AB
अधूरा	ə AF d̪ʱ uː AC ɾ ɑː AB
अधेड़	ə AF d̪ʱ eː AB ɽ
अधोहस्ताक्षरी	ə AF d̪ʱ oː AC ɦ AE ə AF s t̪ ɑː AB k ʂ ə AF ɾ iː AB
अध्यक्ष	ə AF d̪ʱ j AA ə AF k ʂ
अध्यक्षता	ə AF d̪ʱ j AA ə AF k ʂ t̪ ɑː AB
अध्ययन	ə AF d̪ʱ j AA ə AF n
अध्यादेश	ə AF d̪ʱ j AA ɑː AB d̪ eː AB ʃ
अध्यापक	ə AF d̪ʱ j AA ɑː AB p ə AF k
अध्यापिका	ə AF d̪ʱ j AA ɑː AB p ɪ AF k ɑː AB
अध्याय	ə AF d̪ʱ j AA ɑː AB j AA
अनंतपुर	ə AF n ə AF n t̪ p ʊ AD ɾ
अनकटा	ə AF n k ə AF ʈ ɑː AB
अनकहा	ə AF n k ə AF ɦ AE ɑː AB
अनखिला	ə AF n kʰ ɪ AF l ɑː AB
अनगढ़	ə AF n ɡ ə AF ɽʱ
अनगिनत	ə AF n ɡ ɪ AF n ə AF t̪
अनचखा	ə AF n t ʃ ə AF kʰ ɑː AB
अनचाहा	ə AF n t ʃ ɑː AB ɦ AE ɑː AB
अनजाना	ə AF n d ʒ ɑː AB n ɑː AB
अनजाने	ə AF n d ʒ ɑː AB n eː AB
अनदेखा	ə AF n d̪ eː AB kʰ ɑː AB
अननुमेय	ə AF n n ʊ AD m eː AB j AA
अनन्नास	ə AF n ə AF n n ɑː AB s
अनपच	ə AF n p ə AF t ʃ
अनपढ़	ə AF n p ə AF ɽʱ
अनब्याहा	ə AF n b j AA ɑː AB ɦ AE ɑː AB
अनमना	ə AF n m ə AF n ɑː AB
अनमोल	ə AF n m oː AC l
अनर्थ	ə AF n ə AF ɾ t̪ʰ
अनशन	ə AF n ʃ ə AF n
अनसुना	ə AF n s ʊ AD n ɑː AB
अनहोनी	ə AF n ɦ AE oː AC n iː AB
अनाचार	ə AF n ɑː AB t ʃ ɑː AB ɾ
अनाज	ə AF n ɑː AB d ʒ
अनाड़ी	ə AF n ɑː AB ɽ iː AB
अनातोली	ə AF n ɑː AB t̪ oː AC l iː AB
अनाथालय	ə AF n ɑː AB t̪ʰ ɑː AB l ə AF j AA
अनाधिकारिक	ə AF n ɑː AB d̪ʱ ɪ AF k ɑː AB ɾ ɪ AF k
अनाम	ə AF n ɑː AB m
अनामिका	ə AF n ɑː AB m ɪ AF k ɑː AB
अनार	ə AF n ɑː AB ɾ
अनारदाना	ə AF n ɑː AB ɾ d̪ ɑː AB n ɑː AB
अनावश्यक	ə AF n ɑː AB ʋ AI ə AF ʃ j AA ə AF k
अनिच्छा	ə AF n ɪ AF t ʃ t ʃʰ ɑː AB
अनिद्रा	ə AF n ɪ AF d̪ ɾ ɑː AB
अनियंत्रित	ə AF n ɪ AF j AA ə AF n t̪ ɾ ɪ AF t̪
अनियमित	ə AF n ɪ AF j AA ə AF m ɪ AF t̪
अनियमितता	ə AF n ɪ AF j AA ə AF m ɪ AF t̪ t̪ ɑː AB
अनिवार्यतः	ə AF n ɪ AF ʋ AI ɑː AB ɾ j AA ə AF t̪ ə AF ɦ AE
अनिश्चित	ə AF n ɪ AF ʃ t ʃ ɪ AF t̪
अनिश्चितता	ə AF n ɪ AF ʃ t ʃ ɪ AF t̪ t̪ ɑː AB
अनुकरण	ə AF n ʊ AD k ə AF ɾ ə AF ɳ
अनुकूल	ə AF n ʊ AD k uː AC l
अनुकूलन	ə AF n ʊ AD k uː AC l ə AF n
अनुगृहीत	ə AF n ʊ AD ɡ ɾ ɪ AF ɦ AE iː AB t̪
अनुग्रह	ə AF n ʊ AD ɡ ɾ ə AF ɦ AE
अनुचित	ə AF n ʊ AD t ʃ ɪ AF t̪
अनुच्छेद	ə AF n ʊ AD t ʃ t ʃʰ eː AB d̪
अनुज्ञप्ति	ə AF n ʊ AD ɡ j AA ə AF p t̪ iː AB
अनुदान	ə AF n ʊ AD d̪ ɑː AB n
अनुनय	ə AF n ʊ AD n ə AF j AA
अनुनाद	ə AF n ʊ AD n ɑː AB d̪
अनुनासिक	ə AF n ʊ AD n ɑː AB s ɪ AF k
अनुनासिकता	ə AF n ʊ AD n ɑː AB s ɪ AF k t̪ ɑː AB
अनुपजाऊ	ə AF n ʊ AD p d ʒ ɑː AB uː AC
अनुपम	ə AF n ʊ AD p ə AF m
अनुपयोगी	ə AF n ʊ AD p j AA oː AC ɡ iː AB
अनुपस्थित	ə AF n ʊ AD p ə AF s t̪ʰ ɪ AF t̪
अनुपस्थिति	ə AF n ʊ AD p ə AF s t̪ʰ ɪ AF t̪ iː AB
अनुपात	ə AF n ʊ AD p ɑː AB t̪
अनुपूरक	ə AF n ʊ AD p uː AC ɾ ə AF k
अनुप्रयुक्त	ə AF n ʊ AD p ɾ ə AF j AA ʊ AD k t̪
अनुप्रास	ə AF n ʊ AD p ɾ ɑː AB s
अनुभव	ə AF n ʊ AD bʱ ə AF ʋ AI
अनुभवी	ə AF n ʊ AD bʱ ə AF ʋ AI iː AB
अनुभूति	ə AF n ʊ AD bʱ uː AC t̪ iː AB
अनुमति	ə AF n ʊ AD m ə AF t̪ iː AB
अनुमान	ə AF n ʊ AD m ɑː AB n
अनुमानतः	ə AF n ʊ AD m ɑː AB n t̪ ə AF ɦ AE
अनुमानित	ə AF n ʊ AD m ɑː AB n ɪ AF t̪
अनुमेय	ə AF n ʊ AD m eː AB j AA
अनुमोदन	ə AF n ʊ AD m oː AC d̪ ə AF n
अनुमोदित	ə AF n ʊ AD m oː AC d̪ ɪ AF t̪
अनुयायी	ə AF n ʊ AD j AA ɑː AB j AA iː AB
अनुरक्षण	ə AF n ʊ AD ɾ ə AF k ʂ ə AF ɳ
अनुरागहीनता	ə AF n ʊ AD ɾ ɑː AB ɡ ɦ AE iː AB n t̪ ɑː AB
अनुरूप	ə AF n ʊ AD ɾ uː AC p
अनुरोध	ə AF n ʊ AD ɾ oː AC d̪ʱ
अनुवांशिक	ə AF n ʊ AD ʋ AI ɑː AB n ʃ ɪ AF k
अनुवांशिकी	ə AF n ʊ AD ʋ AI ɑː AB n ʃ ɪ AF k iː AB
अनुवाद	ə AF n ʊ AD ʋ AI ɑː AB d̪
अनुवादक	ə AF n ʊ AD ʋ AI ɑː AB d̪ ə AF k
अनुवादित	ə AF n ʊ AD ʋ AI ɑː AB d̪ ɪ AF t̪
अनुशासन	ə AF n ʊ AD ʃ ɑː AB s ə AF n
अनुशासित	ə AF n ʊ AD ʃ ɑː AB s ɪ AF t̪
अनुशीलन	ə AF n ʊ AD ʃ iː AB l ə AF n
अनुष्ठान	ə AF n ʊ AD ʂ ʈʰ ɑː AB n
अनुसंधान	ə AF n ʊ AD s ə AF n d̪ʱ ɑː AB n
अनुसरण	ə AF n ʊ AD s ə AF ɾ ə AF ɳ
अनुस्वार	ə AF n ʊ AD s ʋ AI ɑː AB ɾ
अनूठा	ə AF n uː AC ʈʰ ɑː AB
अनूदित	ə AF n uː AC d̪ ɪ AF t̪
अनूप	ə AF n uː AC p
अनेक	ə AF n eː AB k
अनेकता	ə AF n eː AB k t̪ ɑː AB
अनेकानेक	ə AF n eː AB k ɑː AB n eː AB k
अनौपचारिक	ə AF n ɔː AC p t ʃ ɑː AB ɾ ɪ AF k
अन्त	ə AF n t̪
अन्तरिक्ष	ə AF n t̪ ə AF ɾ ɪ AF k ʂ
अन्तर्गत	ə AF n t̪ ə AF ɾ ɡ ə AF t̪
अन्दर	ə AF n d̪ ə AF ɾ
अन्य	ə AF n j AA ə AF
अन्यथा	ə AF n j AA ə AF t̪ʰ ɑː AB
अन्याय	ə AF n j AA ɑː AB j AA
अन्यायपूर्ण	ə AF n j AA ɑː AB j AA p uː AC ɾ ɳ
अन्यायी	ə AF n j AA ɑː AB j AA iː AB
अपकार	ə AF p k ɑː AB ɾ
अपकीर्ति	ə AF p k iː AB ɾ t̪ iː AB
अपक्व	ə AF p ə AF k ʋ AI ə AF
अपतट	ə AF p t̪ ə AF ʈ
अपदेश	ə AF p d̪ eː AB ʃ
अपना	ə AF p n ɑː AB
अपमान	ə AF p m ɑː AB n
अपमानजनक	ə AF p m ɑː AB n d ʒ ə AF n ə AF k
अपमानित	ə AF p m ɑː AB n ɪ AF t̪
अपयश	ə AF p j AA ə AF ʃ
अपर	ə AF p ə AF ɾ
अपराध	ə AF p ɾ ɑː AB d̪ʱ
अपराधिनी	ə AF p ɾ ɑː AB d̪ʱ ɪ AF n iː AB
अपराधी	ə AF p ɾ ɑː AB d̪ʱ iː AB
अपरिचित	ə AF p ə AF ɾ ɪ AF t ʃ ɪ AF t̪
अपरिमेय	ə AF p ə AF ɾ ɪ AF m eː AB j AA
अपरिरुद्ध	ə AF p ə AF ɾ ɪ AF ɾ ʊ AD d̪ d̪ʱ
अपर्याप्त	ə AF p ə AF ɾ j AA ɑː AB p t̪
अपलक	ə AF p ə AF l ə AF k
अपवाद	ə AF p ʋ AI ɑː AB d̪
अपव्यय	ə AF p ʋ AI j AA ə AF j AA
अपशकुन	ə AF p ʃ ə AF k ʊ AD n
अपहरण	ə AF p ɦ AE ə AF ɾ ə AF ɳ
अपहर्ता	ə AF pʰ ə AF ɾ t̪ ɑː AB
अपाहिज	ə AF p ɑː AB ɦ AE ɪ AF d ʒ
अपितु	ə AF p ɪ AF t̪ uː AC
अपुष्ट	ə AF p ʊ AD ʂ ʈ
अपूर्ण	ə AF p uː AC ɾ ɳ
अपूर्व	ə AF p uː AC ɾ ʋ AI
अपेक्षा	ə AF p eː AB k ʂ ɑː AB
अपेक्षाकृत	ə AF p eː AB k ʂ ɑː AB k ɾ ɪ AF t̪
