'n	ə AK n
abbekommen	ʔ a AC p b ə AK k ɔ AI m ə AK n
abberufung	a AC p b ə AK ʁ uː AH f ʊ AI ŋ
abbestellen	a AC b ə AK ʃ t ɛ AK l ə AK n
abbestellung	a AC p b ə AK ʃ t ɛ AK l ʊ AI ŋ
abbezahlen	a AC b ə AK t s aː AD l ə AK n
abbezahlung	a AC p b ə AK t s aː AD l ʊ AI ŋ
abbiegung	a AC p b iː AF ɡ ʊ AI ŋ
abbilden	a AC p b ɪ AK l d ə AK n
abbildung	a AC p b ɪ AK l d ʊ AI ŋ
abbildungstechnologie	a AC p b ɪ AK l d ʊ AI ŋ s t ɛ AK ç n o AG l o AG ɡ iː AF
abbinden	ʔ a AC p b ɪ AK n d ə AK n
abbitte	ʔ a AC p b ɪ AK t ə AK
abbitten	ʔ a AC p b ɪ AK t ə AK n
abblasen	a AC p b l aː AD z n̩
abbleiben	a AC p b l a AC ɪ̯ BB b n̩
abblendlicht	a AC p b l ɛ AK n t l ɪ AK ç t
abblocken	a AC b l ɔ AI k ə AK n
abblättern	ʔ a AC p b l ɛ AK t ɐ BE n
abbrecher	a AC p b ʀ ɛ AK ç ɐ BE
abbremsen	a AC b ʁ ɛ AK m z ə AK n
abbrennen	a AC p b ʁ ɛ AK n ə AK n
abbruch	a AC p ʁ ʊ AI χ
abbruchbirne	a AC p b ʁ ʊ AI x b ɪ AK ʁ n ə AK
abbuchen	a AC b uː AH χ ə AK n
abchasisch	a AC p χ aː AD z ɪ AK ʃ
abchecken	a AC p t ʃ ɛ AK k n̩
abdampfen	a AC p d a AC m p f n̩
abdanken	ʔ a AC p d a AC ŋ k ə AK n
abdankung	a AC p d a AC ŋ k ʊ AI ŋ
abdecken	a AC p d ɛ AK k ə AK n
abdeckung	a AC p d ɛ AK k ʊ AI ŋ
abdestillieren	a AC p d ɛ AK s t i AE l iː AF ʁ ə AK n
abdirigieren	a AC p d i AE ʁ i AE ɡ iː AF ʁ ə AK n
abdominal	a AC p d o AG m i AE n aː AD l
abdringen	a AC p d ʁ ɪ AK ŋ ə AK n
abdruck	a AC p d ʁ ʊ AI k
abduktor	a AC p d ʊ AI k t oː AH ɐ̯
abdämpfen	a AC p d ɛ AK m p f ə AK n
abend	aː AD m t
abendbrot	aː AD m b r oː AH t
abendessen	ʔ aː AD b ə AK n t ʔ ɛ AK s ə AK n
abendkasse	aː AD b ə AK n t k a AC s ə AK
abendkleider	aː AD b ə AK n t k l a AC ɪ̯ BB d ɐ BE
abendlich	aː AD b n̩ t l ɪ AK ç
abendlied	aː AD b ə AK n t l iː AF t
abendluft	aː AD b ə AK n t l ʊ AI f t
abends	aː AD b ə AK n t s
abendwärts	aː AD b n̩ t v ɛ AK ʁ t s
abenteuer	aː AD b ə AK n t ɔ AI ʏ̯ ɐ BE
abenteuerdurstig	aː AD b n̩ t ɔ AI ɪ̯ BB ɐ BE d ʊ AI ʁ s t ɪ AK ç
abenteuerhungrig	aː AD b n̩ t ɔ AI ɪ̯ BB ɐ BE h AA ʊ AI ŋ ʁ ɪ AK ç
abenteuerlich	ʔ aː AD b ə AK n t ɔ AI ɪ̯ BB ɐ BE l ɪ AK ç
abenteuerlustig	ʔ aː AD b ə AK n t ɔ AI ɪ̯ BB ɐ BE l ʊ AI s t ɪ AK ç
abenteuerspielplatz	aː AD b n̩ t ɔ AI ɪ̯ BB ɐ BE ʃ p iː AF l p l a AC t s
abenteuersüchtig	aː AD b n̩ t ɔ AI ɪ̯ BB ɐ BE z ʏ AI ç t ɪ AK ç
aber	aː AD b ɐ BE
aberglaube	aː AD b ɐ BE ɡ l a AC ʊ̯ BC b ə AK
aberglaubens	ʔ aː AD b ɐ BE ɡ l a AC ʊ̯ BC b ə AK n s
abergläubisch	ʔ aː AD b ɐ BE ɡ l ɔ AI ɪ̯ BB b ɪ AK ʃ
aberhundert	aː AD b ɐ BE h AA ʊ AI n d ɐ BE t
abertausend	aː AD b ɐ BE t a AC ʊ̯ BC z n̩ t
aberwitz	aː AD b ɐ BE v ɪ AK t s
aberwitzig	aː AD b ɐ BE v ɪ AK t s ɪ AK ç
abfackeln	a AC p f a AC k ə AK l n
abfahrt	a AC p f aː AD r t
abfallbehälter	a AC p f a AC l b ə AK h AA ɛ AK l t ɐ BE
abfallbehälters	a AC p f a AC l b ə AK h AA ɛ AK l t ɐ BE s
abfalleimer	a AC p f a AC l ʔ a AC ɪ̯ BB m ɐ BE
abfallen	ʔ a AC p f a AC l ə AK n
abfallkorb	a AC p f a AC l k ɔ AI ʁ p
abfalltonne	a AC p f a AC l t ɔ AI n ə AK
abfangen	ʔ a AC p f a AC ŋ ə AK n
abfassen	a AC p f a AC s n̩
abfassung	a AC p f a AC s ʊ AI ŋ
abfedern	a AC p f eː AF d ə AK ʁ n
abfertigen	a AC p f ɛ AK ʁ t i AE ɡ ə AK n
abfertigung	a AC p f ɛ AK ʁ t i AE ɡ ʊ AI ŋ
abfeuern	ʔ a AC p f ɔ AI ɪ̯ BB ɐ BE n
abfeuerung	a AC p f ɔ AI ʏ̯ ə AK ʁ ʊ AI ŋ
abfiltern	a AC p f ɪ AK l t ɐ BE n
abfinden	a AC p f ɪ AK n d ə AK n
abfindung	a AC p f ɪ AK n d ʊ AI ŋ
abflachen	a AC p f l a AC χ ə AK n
abflaken	a AC p f l a AC k ə AK n
abflauen	a AC p f l a AC ʊ̯ BC ə AK n
abfliegen	ʔ a AC p f l iː AF ɡ ə AK n
abflug	ʔ a AC p f l uː AH k
abfluges	ʔ a AC p f l uː AH ɡ ə AK s
abflugs	ʔ a AC p f l uː AH k s
abflugzeit	a AC p f l uː AH k t s a AC ɪ̯ BB t
abfluss	a AC p f l ʊ AI s
abflüge	ʔ a AC p f l yː AH ɡ ə AK
abfolge	a AC p f ɔ AI l ɡ ə AK
abfrage	ʔ a AC p f ʀ aː AD ɡ ə AK
abfragen	ʔ a AC p f ʀ aː AD ɡ ə AK n
abfräsen	a AC p f ʁ ɛː AM z ə AK n
abfrühstücken	a AC p f ʁ yː AH ʃ t ʏ AI k n̩
abfuhr	a AC p f uː AH ɐ̯
abfällig	a AC p f ɛ AK l ɪ AK ç
abführmittel	a AC p f yː AH ɐ̯ m ɪ AK t l̩
abgabe	a AC p ɡ aː AD b ə AK
abgabeleistung	ʔ a AC p ɡ aː AD b ə AK l a AC ɪ̯ BB s t ʊ AI ŋ
abgang	a AC p ɡ a AC ŋ
abganges	ʔ a AC p ɡ a AC ŋ ə AK s
abgangs	ʔ a AC p ɡ a AC ŋ s
abgassonderuntersuchung	a AC p ɡ aː AD s z ɔ AI n d ɐ BE ʊ AI n t ɐ BE z uː AH x ʊ AI ŋ
abgasstrom	a AC p ɡ aː AD s ʃ t r oː AH m
abgebrüht	a AC p ɡ ə AK b ʁ yː AH t
abgefahren	ʔ a AC p ɡ ə AK f aː AD ʀ ə AK n
abgefeimt	a AC p ɡ ə AK f a AC ɪ̯ BB m t
abgefüllt	ʔ a AC p ɡ ə AK f ʏ AI l t
abgehen	ʔ a AC p ɡ eː AF ə AK n
abgelegen	ʔ a AC p ɡ ə AK l eː AF ɡ ə AK n
abgelöst	ʔ a AC p ɡ ə AK l œ AI s t
abgeneigt	a AC p ɡ ə AK n a AC ɪ̯ BB k t
abgesandte	a AC p ɡ ə AK z a AC n t ə AK
abgesandter	a AC p ɡ ə AK z a AC n t ɐ BE
abgeschieden	ʔ a AC p ɡ ə AK ʃ iː AF d ə AK n
abgeschiedenheit	ʔ a AC p ɡ ə AK ʃ iː AF d ə AK n h AA a AC ɪ̯ BB t
abgeschlossen	ʔ a AC p ɡ ə AK ʃ l ɔ AI s ə AK n
abgeschmackt	a AC p ɡ ə AK ʃ m a AC k t
abgeschrägte	a AC p ɡ ə AK ʃ ʁ ɛː AM k t ə AK
abgeschrägten	a AC p ɡ ə AK ʃ ʁ ɛː AM k t ə AK n
abgespannt	ʔ a AC p ɡ ə AK ʃ p a AC n t
abgesperrt	ʔ a AC p ɡ ə AK ʃ p ɛ AK ɐ̯ t
abgewaschen	a AC p ɡ ə AK v a AC ʃ n̩
abgezockt	a AC p ɡ ə AK t s ɔ AI k t
abgeändert	a AC p ɡ ə AK ɛ AK n d ɐ BE t
abgott	a AC p ɡ ɔ AI t
abgrenzen	a AC p ɡ ʁ ɛ AK n t s ə AK n
abgrenzung	a AC p ɡ ʁ ɛ AK n t s ʊ AI ŋ
abgrund	a AC p ɡ ʁ ʊ AI n t
abgrundtief	a AC p ɡ ʁ ʊ AI n t t iː AF f
abgründig	ʔ a AC p ɡ ʀ ʏ AI n d ɪ AK ç
abguss	a AC p ɡ ʊ AI s
abgänger	a AC p ɡ ɛ AK ŋ ɐ BE
abgängig	a AC p ɡ ɛ AK ŋ ɪ AK ç
abgötterei	a AC p ɡ œ AI t ə AK ʁ a AC ɪ̯ BB
abgöttisch	ʔ a AC p ɡ œ AI t ɪ AK ʃ
abgünstig	a AC p ɡ ʏ AI n s t ɪ AK ç
abhaken	ʔ a AC p h AA aː AD k ə AK n
abhandlung	a AC p h AA a AC n d l ʊ AI ŋ
abhandlungen	a AC p h AA a AC n d l ʊ AI ŋ ə AK n
abheben	ʔ a AC p h AA eː AF b ə AK n
abhelfen	a AC p h AA ɛ AK l f n̩
abhocken	a AC p h AA ɔ AI k ə AK n
abhold	a AC p h AA ɔ AI l t
abholen	ʔ a AC p h AA oː AH l ə AK n
abholung	a AC p h AA oː AH l ʊ AI ŋ
abholzen	a AC p h AA ɔ AI l t s ə AK n
abholzung	a AC p h AA ɔ AI l t s ʊ AI ŋ
abhängen	ʔ a AC p h AA ɛ AK ŋ ə AK n
abhängig	a AC p h AA ɛ AK ŋ ɪ AK ç
abhängigkeit	a AC p h AA ɛ AK ŋ ɪ AK ç k a AC ɪ̯ BB t
abhören	a AC p h AA øː AH ʁ ə AK n
abi	a AC b i AE
abirren	a AC p ɪ AK ʁ ə AK n
abkacken	ʔ a AC p k a AC k ə AK n
abkaufen	a AC p k a AC ʊ̯ BC f ə AK n
abkehren	a AC p k eː AF ʁ ə AK n
abklingen	a AC p k l ɪ AK ŋ ə AK n
abklären	a AC p k l ɛː AM ʁ ə AK n
abklärung	ʔ a AC p k l ɛː AM ʁ ʊ AI ŋ
abknipsen	a AC p k n ɪ AK p s n̩
abkommandieren	a AC p k ɔ AI m a AC n d iː AF ʁ ə AK n
abkommen	ʔ a AC p k ɔ AI m ə AK n
abkupfern	ʔ a AC p k ʊ AI p f ɐ BE n
abkämmen	a AC p k ɛ AK m ə AK n
abkömmlich	a AC p k œ AI m l ɪ AK ç
abkömmling	a AC p k œ AI m l ɪ AK ŋ
abkönnen	a AC p k œ AI n ə AK n
abkühlen	a AC p k yː AH l ə AK n
abkühlung	ʔ a AC p k yː AH l ʊ AI ŋ
abkürzung	a AC p k ʏ AI ʁ t s ʊ AI ŋ
abkürzungsverzeichnis	a AC p k ʏ AI ʁ t s ʊ AI ŋ s f ɛ AK ɐ̯ t s a AC ɪ̯ BB ç n ɪ AK s
abladen	a AC p l aː AD d ə AK n
ablage	a AC p l aː AD ɡ ə AK
ablass	a AC p l a AC s
ablassbrief	a AC p l a AC s b ʁ iː AF f
ablassen	ʔ a AC p l a AC s ə AK n
ablativ	a AC p l a AC t iː AF f
ablaufen	ʔ a AC p l a AC ʊ̯ BC f ɱ̩
ablaut	a AC p l a AC ʊ̯ BC t
ableben	a AC p l eː AF b ə AK n
ablecken	a AC p l ɛ AK k n̩
ableger	a AC p l eː AF ɡ ɐ BE
ablehnen	a AC p l eː AF n ə AK n
ableitbar	a AC p l a AC ɪ̯ BB t b aː AD ɐ̯
ableitungsmorphem	a AC p l a AC ɪ̯ BB t ʊ AI ŋ s m ɔ AI ʁ f eː AF m
ablenken	a AC p l ɛ AK ŋ k ə AK n
ablenkung	a AC p l ɛ AK ŋ k ʊ AI ŋ
ablenkungsmanöver	a AC p l ɛ AK ŋ k ʊ AI ŋ s m a AC n øː AH v ɐ BE
ablenkungstaktik	a AC p l ɛ AK ŋ k ʊ AI ŋ s t a AC k t ɪ AK k
ablichtung	a AC p l ɪ AK ç t ʊ AI ŋ
abliefern	a AC p l iː AF f ɐ BE n
abliegen	a AC p l iː AF ɡ n̩
abluchsen	a AC p l ʊ AI k s ə AK n
abluft	a AC p l ʊ AI f t
ablösen	a AC p l øː AH z ə AK n
ablösung	a AC p l øː AH z ʊ AI ŋ
abmachung	a AC p m a AC χ ʊ AI ŋ
abmagern	ʔ a AC p m aː AD ɡ ɐ BE n
abmatten	a AC p m a AC t n̩
abmeiern	a AC p m a AC ɪ̯ BB ə AK ʁ n
abmelden	a AC p m ɛ AK l d ə AK n
abmessen	ʔ a AC p m ɛ AK s ə AK n
abmessung	a AC p m ɛ AK s ʊ AI ŋ
abmähen	a AC p m ɛː AM ə AK n
abmühen	a AC p m yː AH ə AK n
abnahme	a AC p n aː AD m ə AK
abnehmen	a AC p n eː AF m ə AK n
abnehmer	a AC p n eː AF m ɐ BE
abneigung	ʔ a AC p n a AC ɪ̯ BB ɡ ʊ AI ŋ
abneigungen	ʔ a AC p n a AC ɪ̯ BB ɡ ʊ AI ŋ ə AK n
abnutzen	ʔ a AC p n ʊ AI t s ə AK n
abnutzung	a AC p n ʊ AI t s ʊ AI ŋ
abnötigen	a AC p n øː AH t ɪ AK ɡ n̩
abo	a AC b o AG
abonnieren	a AC b ɔ AI n iː AF ʁ ə AK n
abordnung	a AC p ʔ ɔ AI ʁ t n ʊ AI ŋ
abort	a AC p ʔ ɔ AI ʁ t
abpfiff	ʔ a AC p p f ɪ AK f
abpfiffe	ʔ a AC p p f ɪ AK f ə AK
abpfiffes	ʔ a AC p p f ɪ AK f ə AK s
abpfiffs	ʔ a AC p p f ɪ AK f s
abprallen	a AC p p ʁ a AC l ə AK n
abrackern	a AC p ʁ a AC k ɐ BE n
abraham	aː AD b ʁ aː AD m
abrasiv	a AC b ʁ a AC z iː AF f
abreagieren	a AC p ʁ e AE a AC ɡ iː AF ʁ ə AK n
abrechnen	a AC p ʁ ɛ AK ç n ə AK n
abrechnung	a AC p ʁ ɛ AK ç n ʊ AI ŋ
abrede	ʔ a AC p ʀ eː AF d ə AK
abreiben	ʔ a AC p ʀ a AC ɪ̯ BB b ə AK n
abreise	ʔ a AC p ʀ a AC ɪ̯ BB z ə AK
abreisen	ʔ a AC p ʀ a AC ɪ̯ BB z ə AK n
abreissen	ʔ a AC p ʀ a AC ɪ̯ BB s ə AK n
abringen	a AC p ʁ ɪ AK ŋ ə AK n
abrissbirne	a AC p ʁ ɪ AK s b ɪ AK ʁ n ə AK
abrissparty	a AC p r ɪ AK s p aː AD ɐ̯ t i AE
abrufen	a AC p ʁ uː AH f ə AK n
abrunden	a AC p r ʊ AI n d ə AK n
abrüsten	a AC p ʁ ʏ AI s t n̩
abrüstung	a AC p ʀ ʏ AI s t ʊ AI ŋ
abrüstungskonferenz	a AC p ʁ ʏ AI s t ʊ AI ŋ s k ɔ AI n f e AE ʁ ɛ AK n t s
absage	a AC p s aː AD ɡ ə AK
absagen	a AC p z aː AD ɡ n̩
absahnen	a AC p z aː AD n ə AK n
absatteln	a AC p z a AC t ə AK l n
absatz	a AC p z a AC t s
absatzmarkt	a AC p z a AC t s m a AC ʁ k t
absatzzeichen	a AC p z a AC t s t s a AC ɪ̯ BB ç ə AK n
absaufen	a AC p s a AC ʊ̯ BC f ə AK n
absaugen	a AC p s a AC ʊ̯ BC ɡ ə AK n
abschaffen	a AC p ʃ a AC f ə AK n
abschaffung	a AC p ʃ a AC f ʊ AI ŋ
abschalten	ʔ a AC p ʃ a AC l t ə AK n
abschaum	a AC p ʃ a AC ʊ̯ BC m
abscheu	ʔ a AC p ʃ ɔ AI ʏ̯
abscheulich	ʔ a AC b ʃ ɔ AI ʏ̯ l ɪ AK ç
abscheulicher	ʔ a AC p ʃ ɔ AI ɪ̯ BB l ɪ AK ç ɐ BE
abscheulichkeit	ʔ a AC p ʃ ɔ AI ɪ̯ BB l ɪ AK ç k a AC ɪ̯ BB t
abscheulichsten	a AC p ʃ ɔ AI ɪ̯ BB l ɪ AK ç s t ə AK n
abschieben	ʔ a AC p ʃ iː AF b ə AK n
abschied	a AC p ʃ iː AF t
abschiedsfeier	a AC p ʃ iː AF t s f a AC ɪ̯ BB ɐ BE
abschiessen	a AC p ʃ iː AF s ə AK n
abschirmen	a AC p ʃ ɪ AK ʁ m ə AK n
abschirmung	a AC p ʃ ɪ AK ʁ m ʊ AI ŋ
abschlachten	a AC p ʃ l a AC χ t ə AK n
abschlag	a AC p ʃ l aː AD k
abschlagen	a AC p ʃ l aː AD ɡ ŋ
abschleppen	a AC p ʃ l ɛ AK p ə AK n
abschleppwagen	a AC p ʃ l ɛ AK p v aː AD ɡ ə AK n
abschliessen	ʔ a AC p ʃ l iː AF s ə AK n
abschluss	a AC p ʃ l ʊ AI s
abschlussfeier	a AC p ʃ l ʊ AI s f a AC ɪ̯ BB ɐ BE
abschmelzung	a AC p ʃ m ɛ AK l t s ʊ AI ŋ
abschnallen	a AC p ʃ n a AC l ə AK n
abschneiden	ʔ a AC p ʃ n a AC ɪ̯ BB d ə AK n
abschnitt	a AC p ʃ n ɪ AK t
abschnittsende	a AC p ʃ n ɪ AK t s ɛ AK n d ə AK
abschnittweise	a AC p ʃ n ɪ AK t v a AC ɪ̯ BB z ə AK
abschottung	a AC p ʃ ɔ AI t ʊ AI ŋ
abschrecken	a AC p ʃ ʁ ɛ AK k ə AK n
abschreckend	a AC p ʃ ʀ ɛ AK k n̩ t
abschreckung	a AC p ʃ ʀ ɛ AK k ʊ AI ŋ
abschreiben	ʔ a AC p ʃ ʀ a AC ɪ̯ BB b ə AK n
abschreibung	a AC p ʃ ʁ a AC ɪ̯ BB b ʊ AI ŋ
abschreiten	a AC p ʃ r a AC ɪ̯ BB t ə AK n
abschrift	a AC p ʃ ʁ ɪ AK f t
abschub	a AC p ʃ uː AH p
abschuss	a AC p ʃ ʊ AI s
abschweifen	a AC p ʃ v a AC ɪ̯ BB f ə AK n
abschweifung	a AC p ʃ v a AC ɪ̯ BB f ʊ AI ŋ
abschwung	a AC p ʃ v ʊ AI ŋ
abschwächen	a AC p ʃ v ɛ AK ç n̩
abschwächend	a AC p ʃ v ɛ AK ç n̩ t
abschwören	a AC p ʃ v øː AH ʁ ə AK n
abschälen	a AC p ʃ ɛː AM l ə AK n
abschätzen	a AC p ʃ ɛ AK t s n̩
abschätzig	a AC p ʃ ɛ AK t s ɪ AK ç
abschüssig	a AC p ʃ ʏ AI s ɪ AK ç
absehen	a AC b s eː AF n
abseihen	a AC p z a AC ɪ̯ BB ə AK n
abseilen	a AC p z a AC ɪ̯ BB l ə AK n
abseits	a AC p z a AC ɪ̯ BB t s
abseitsfalle	a AC p z a AC ɪ̯ BB t s f a AC l ə AK
abseitstor	a AC p z a AC ɪ̯ BB t s t oː AH ɐ̯
abseitsverdächtig	a AC p z a AC ɪ̯ BB t s f ɛ AK ɐ̯ d ɛ AK ç t ɪ AK ç
absenden	a AC p z ɛ AK n d n̩
absenken	a AC p z ɛ AK ŋ k ə AK n
absetzen	a AC p s ɛ AK t s ə AK n
absicht	a AC p z ɪ AK ç t
absichtlich	a AC p z ɪ AK ç t l ɪ AK ç
absichtserklärung	a AC p z ɪ AK ç t s ʔ ɛ AK ɐ̯ k l ɛː AM ʁ ʊ AI ŋ
absinth	a AC p z ɪ AK n t
absolut	a AC p z o AG l uː AH t
absolutadjektiv	a AC p z o AG l uː AH t ʔ a AC t j AB ɛ AK k t iː AF f
absolutheit	a AC p z o AG l uː AH t h AA a AC ɪ̯ BB t
absolventin	a AC p s ɔ AI l v ɛ AK n t ɪ AK n
absondern	a AC p z ɔ AI n d ə AK r n
absorbieren	a AC b z ɔ AI ʁ b iː AF r ə AK n
abspalten	ʔ a AC p ʃ p a AC l t ə AK n
abspann	a AC p ʃ p a AC n
abspecken	a AC p ʃ p ɛ AK k ə AK n
absperrhahn	a AC p ʃ p ɛ AK r h AA aː AD n
absprache	a AC p ʃ p ʁ aː AD x ə AK
absprechen	a AC p ʃ p ʁ ɛ AK ç n̩
abspringen	a AC p ʃ p ʁ ɪ AK ŋ ə AK n
abstammen	a AC p ʃ t a AC m ə AK n
abstammung	a AC p ʃ t a AC m ʊ AI ŋ
abstand	a AC p ʃ t a AC n t
abstecher	a AC p ʃ t ɛ AK ç ɐ BE
abstecken	a AC p ʃ t ɛ AK k ə AK n
abstehen	a AC p ʃ t eː AF ə AK n
absteigen	a AC p ʃ t a AC ɪ̯ BB ɡ ə AK n
abstellen	a AC p ʃ t ɛ AK l ə AK n
abstempeln	a AC p ʃ t ɛ AK m p ə AK l n
absterben	a AC p ʃ t ɛ AK ʁ b ə AK n
abstieg	a AC p ʃ t iː AF ç
abstillen	a AC p ʃ t ɪ AK l ə AK n
abstimmen	a AC p ʃ t ɪ AK m ə AK n
abstimmung	ʔ a AC p ʃ t ɪ AK m ʊ AI ŋ
abstinent	a AC p s t i AE n ɛ AK n t
abstinenz	a AC p s t i AE n ɛ AK n t s
abstossen	ʔ a AC p ʃ t oː AH s ə AK n
abstossend	a AC p ʃ t oː AH s n̩ t
abstossung	a AC p ʃ t oː AH s ʊ AI ŋ
abstrahieren	a AC p s t ʁ a AC h AA iː AF ʁ ə AK n
abstrahlung	a AC p ʃ t ʁ aː AD l ʊ AI ŋ
abstreifen	a AC p ʃ t ʁ a AC ɪ̯ BB f ə AK n
abstrich	a AC p ʃ t ʁ ɪ AK ç
absturz	a AC p ʃ t ʊ AI ʁ t s
abstützen	a AC p ʃ t ʏ AI t s ə AK n
absuchen	ʔ a AC p z uː AH x ə AK n
absurdistan	a AC p z ʊ AI ʁ d ɪ AK s t aː AD n
absurdität	a AC p z ʊ AI ʁ d i AE t ɛː AM t
absägen	a AC p z ɛː AM ɡ ə AK n
abt	a AC p t
abtei	a AC p t a AC ɪ̯ BB
abteil	a AC p t a AC ɪ̯ BB l
abteilen	a AC p t a AC ɪ̯ BB l ə AK n
abtippen	a AC p t ɪ AK p ə AK n
abtragung	a AC p t ʁ aː AD ɡ ʊ AI ŋ
abtreiben	a AC p t ʀ a AC ɪ̯ BB b ə AK n
abtreibung	a AC p t ʀ a AC ɪ̯ BB b ʊ AI ŋ
abtreibungsbefürworter	a AC p t ʀ a AC ɪ̯ BB b ʊ AI ŋ s b ə AK f yː AH ɐ̯ v ɔ AI ʁ t ɐ BE
abtreibungsbefürwortern	a AC p t ʀ a AC ɪ̯ BB b ʊ AI ŋ s b ə AK f yː AH ɐ̯ v ɔ AI ʁ t n
abtrennbar	a AC p t ʁ ɛ AK n b aː AD ɐ̯
abtrennen	a AC p t ʁ ɛ AK n ə AK n
abtrennung	a AC p t ʁ ɛ AK n ʊ AI ŋ
abtreten	a AC p t ʁ eː AF t n̩
abtritt	a AC p t ʁ ɪ AK t
abtropfen	a AC p t ʁ ɔ AI p f n̩
abtrünnig	ʔ a AC p t ʀ ʏ AI n ɪ AK ç
abtupfen	a AC p t ʊ AI p f n̩
abtönen	a AC p t øː AH n ə AK n
abtönung	a AC p t øː AH n ʊ AI ŋ
abtönungspartikel	a AC p t øː AH n ʊ AI ŋ s p a AC ʁ t ɪ AK k l̩
abtöten	a AC p t øː AH t ə AK n
abtötung	a AC p t øː AH t ʊ AI ŋ
abulie	a AC b u AG l iː AF
abundant	a AC b ʊ AI n d a AC n t
abwahl	a AC p v aː AD l
abwandeln	a AC p v a AC n d l̩ n
abwandern	ʔ a AC p v a AC n d ɐ BE n
abwanderung	a AC p v a AC n d ə AK ʁ ʊ AI ŋ
abwart	a AC p v a AC ʁ t
abwarten	a AC p v a AC ʁ t ə AK n
abwaschen	a AC p v a AC ʃ ə AK n
abwasser	a AC p v a AC s ə AK ʁ
abwasserkanal	a AC p v a AC s ɐ BE k a AC n aː AD l
abwasserreinigung	a AC p v a AC s ɐ BE ʁ a AC ɪ̯ BB n ɪ AK ɡ ʊ AI ŋ
abwechslung	a AC p v ɛ AK k s l ʊ AI ŋ
abwegig	a AC p v eː AF ɡ ɪ AK ç
abwehren	a AC p v eː AF ʁ ə AK n
abwehrmechanismus	a AC p v eː AF ɐ̯ m e AE ç a AC n ɪ AK s m ʊ AI s
abwehrspieler	a AC p v ɛ AK ɐ̯ ʃ p iː AF l ɐ BE
