あ	a̠ AI
あおさ	a̠ AI o̞ AF s a̠ AI
あおざめ	a̠ AI o̞ AF z a̠ AI m e̞ AC
あおじゃしん	a̠ AI o̞ AF ʑ a̠ AI ɕ ĩ ɴ
あおじろい	a̠ AI o̞ AF ʑ i AC ɾ o̞ AF i AC
あおすじ	a̠ AI o̞ AF s ɨᵝ ʑ i AC
あおせん	a̠ AI o̞ AF s ẽ̞ ɴ
あおぞら	a̠ AI o̞ AF z o̞ AF ɾ a̠ AI
あおた	a̠ AI o̞ AF t a̠ AI
あおだいしょう	a̠ AI o̞ AF d a̠ AI i AC ɕ o̞ː AE
あおてんじょう	a̠ AI o̞ AF t ẽ̞ ɲ̟ d ʑ o̞ː AE
あおな	a̠ AI o̞ AF n a̠ AI
あおば	a̠ AI o̞ AF b a̠ AI
あおめ	a̠ AI o̞ AF m e̞ AC
あおもの	a̠ AI o̞ AF m o̞ AF n o̞ AF
あおもり	a̠ AI o̞ AF m o̞ AF ɾʲ i AC
あおもりけん	a̠ AI o̞ AF m o̞ AF ɾʲ i AC k ẽ̞ ɴ
あおやま	a̠ AI o̞ AF j AB a̠ AI m a̠ AI
あおる	a̠ AI o̞ AF ɾ ɯ̟ᵝ
あか	a̠ AI k a̠ AI
あかい	a̠ AI k a̠ AI i AC
あかうみがめ	a̠ AI k a̠ AI ɯ̟ᵝ mʲ i AC ɡ a̠ AI m e̞ AC
あかがみ	a̠ AI k a̠ AI ɡ a̠ AI mʲ i AC
あかぎつね	a̠ AI k a̠ AI ɡʲ i AC t s ɨᵝ n e̞ AC
あかぐろい	a̠ AI k a̠ AI ɡ ɯ̟ᵝ ɾ o̞ AF i AC
あかげざる	a̠ AI k a̠ AI ɡ e̞ AC z a̠ AI ɾ ɯ̟ᵝ
あかざ	a̠ AI k a̠ AI z a̠ AI
あかし	a̠ AI k a̠ AI ɕ i AC
あかしか	a̠ AI k a̠ AI ɕ i̥ AC k a̠ AI
あかじ	a̠ AI k a̠ AI ʑ i AC
あかす	a̠ AI k a̠ AI s ɨᵝ
あかずきん	a̠ AI k a̠ AI z ɨᵝ kʲ ĩ ɴ
あかせん	a̠ AI k a̠ AI s ẽ̞ ɴ
あかたては	a̠ AI k a̠ AI t a̠ AI t e̞ AC h AA a̠ AI
あかちゃける	a̠ AI k a̠ AI t ɕ a̠ AI k e̞ AC ɾ ɯ̟ᵝ
あかちゃん	a̠ AI k a̠ AI t ɕ ã̠ ɴ
あかちょうちん	a̠ AI k a̠ AI t ɕ o̞ː AE t ɕ ĩ ɴ
あかつき	a̠ AI k a̠ AI t s ɨ̥ᵝ kʲ i AC
あかつめくさ	a̠ AI k a̠ AI t s ɨᵝ m e̞ AC k ɯ̟̊ᵝ s a̠ AI
あかてん	a̠ AI k a̠ AI t ẽ̞ ɴ
あかとんぼ	a̠ AI k a̠ AI t õ̞ m b o̞ AF
あかなす	a̠ AI k a̠ AI n a̠ AI s ɨᵝ
あかぬけ	a̠ AI k a̠ AI n ɯ̟ᵝ k e̞ AC
あかぬける	a̠ AI k a̠ AI n ɯ̟ᵝ k e̞ AC ɾ ɯ̟ᵝ
あかね	a̠ AI k a̠ AI n e̞ AC
あかねさす	a̠ AI k a̠ AI n e̞ AC s a̠ AI s ɨᵝ
あかねずみ	a̠ AI k a̠ AI n e̞ AC z ɨᵝ mʲ i AC
あかはい	a̠ AI k a̠ AI h AA a̠ AI i AC
あかはた	a̠ AI k a̠ AI h AA a̠ AI t a̠ AI
あかはな	a̠ AI k a̠ AI h AA a̠ AI n a̠ AI
あかはら	a̠ AI k a̠ AI h AA a̠ AI ɾ a̠ AI
あかはらいもり	a̠ AI k a̠ AI h AA a̠ AI ɾ a̠ AI i AC m o̞ AF ɾʲ i AC
あかふじ	a̠ AI k a̠ AI ɸ ɯ̟ᵝ ʑ i AC
あかぶどうしゅ	a̠ AI k a̠ AI b ɯ̟ᵝ d o̞ː AE ɕ ɨᵝ
あかべこ	a̠ AI k a̠ AI b e̞ AC k o̞ AF
あかぼうくじら	a̠ AI k a̠ AI b o̞ː AE k ɯ̟ᵝ ʑ i AC ɾ a̠ AI
あかぼし	a̠ AI k a̠ AI b o̞ AF ɕ i AC
あかまつ	a̠ AI k a̠ AI m a̠ AI t s ɨᵝ
あかみ	a̠ AI k a̠ AI mʲ i AC
あかむつ	a̠ AI k a̠ AI m ɯ̟ᵝ t s ɨᵝ
あからむ	a̠ AI k a̠ AI ɾ a̠ AI m ɯ̟ᵝ
あからめる	a̠ AI k a̠ AI ɾ a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あかり	a̠ AI k a̠ AI ɾʲ i AC
あかるい	a̠ AI k a̠ AI ɾ ɯ̟ᵝ i AC
あかるむ	a̠ AI k a̠ AI ɾ ɯ̟ᵝ m ɯ̟ᵝ
あかれんが	a̠ AI k a̠ AI ɾ ẽ̞ ŋ ɡ a̠ AI
あかん	a̠ AI k ã̠ ɴ
あかんべえ	a̠ AI k ã̠ m b e̞ː AD
あかんぼう	a̠ AI k ã̠ m b o̞ː AE
あがき	a̠ AI ɡ a̠ AI kʲ i AC
あがく	a̠ AI ɡ a̠ AI k ɯ̟ᵝ
あがめる	a̠ AI ɡ a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あがりおり	a̠ AI ɡ a̠ AI ɾʲ i AC o̞ AF ɾʲ i AC
あがる	a̠ AI ɡ a̠ AI ɾ ɯ̟ᵝ
あき	a̠ AI kʲ i AC
あきかぜ	a̠ AI kʲ i AC k a̠ AI z e̞ AC
あきさめ	a̠ AI kʲ i AC s a̠ AI m e̞ AC
あきす	a̠ AI kʲ i AC s ɨᵝ
あきぞら	a̠ AI kʲ i AC z o̞ AF ɾ a̠ AI
あきた	a̠ AI kʲ i AC t a̠ AI
あきたいぬ	a̠ AI kʲ i̥ AC t a̠ AI i AC n ɯ̟ᵝ
あきたけん	a̠ AI kʲ i AC t a̠ AI k ẽ̞ ɴ
あきち	a̠ AI kʲ i AC t ɕ i AC
あきない	a̠ AI kʲ i AC n a̠ AI i AC
あきなう	a̠ AI kʲ i AC n a̠ AI ɯ̟ᵝ
あきはばら	a̠ AI kʲ i AC h AA a̠ AI b a̠ AI ɾ a̠ AI
あきびん	a̠ AI kʲ i AC bʲ ĩ ɴ
あきふく	a̠ AI kʲ i AC ɸ ɯ̟ᵝ k ɯ̟ᵝ
あきや	a̠ AI kʲ i AC j AB a̠ AI
あきらか	a̠ AI kʲ i AC ɾ a̠ AI k a̠ AI
あきらめる	a̠ AI kʲ i AC ɾ a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あきる	a̠ AI kʲ i AC ɾ ɯ̟ᵝ
あきれがお	a̠ AI kʲ i AC ɾ e̞ AC ɡ a̠ AI o̞ AF
あぎとう	a̠ AI ɡʲ i AC t o̞ː AE
あく	a̠ AI k ɯ̟ᵝ
あくいあくしょく	a̠ AI k ɯ̟ᵝ i AC a̠ AI k ɯ̟ᵝ ɕ o̞ AF k ɯ̟ᵝ
あくいんあっか	a̠ AI k ɯ̟ᵝ ĩ ɰ̃ AK a̠ AI k̚ k a̠ AI
あくえいきょう	a̠ AI k ɯ̟ᵝ e̞ː AD kʲ o̞ː AE
あくぎゃくひどう	a̠ AI k ɯ̟ᵝ ɡʲ a̠ AI k ɯ̟ᵝ ç i AC d o̞ː AE
あくしゅかい	a̠ AI k ɯ̟ᵝ ɕ ɨᵝ k a̠ AI i AC
あくしゅけん	a̠ AI k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ
あくしゅみ	a̠ AI k ɯ̟ᵝ ɕ ɨᵝ mʲ i AC
あくじき	a̠ AI k ɯ̟ᵝ ʑ i AC kʲ i AC
あくじゅんかん	a̠ AI k ɯ̟ᵝ ʑ ɨ̃ᵝ ŋ k ã̠ ɴ
あくせく	a̠ AI k ɯ̟ᵝ s e̞ AC k ɯ̟ᵝ
あくた	a̠ AI k ɯ̟ᵝ t a̠ AI
あくたい	a̠ AI k ɯ̟ᵝ t a̠ AI i AC
あくとう	a̠ AI k ɯ̟ᵝ t o̞ː AE
あくとく	a̠ AI k ɯ̟̊ᵝ t o̞ AF k ɯ̟ᵝ
あくどい	a̠ AI k ɯ̟ᵝ d o̞ AF i AC
あくにち	a̠ AI k ɯ̟ᵝ ɲ̟ i AC t ɕ i AC
あくば	a̠ AI k ɯ̟ᵝ b a̠ AI
あくび	a̠ AI k ɯ̟ᵝ bʲ i AC
あくま	a̠ AI k ɯ̟ᵝ m a̠ AI
あくみょうだかい	a̠ AI k ɯ̟ᵝ mʲ o̞ː AE d a̠ AI k a̠ AI i AC
あくむ	a̠ AI k ɯ̟ᵝ m ɯ̟ᵝ
あくめ	a̠ AI k ɯ̟ᵝ m e̞ AC
あくもん	a̠ AI k ɯ̟ᵝ m õ̞ ɴ
あくやく	a̠ AI k ɯ̟ᵝ j AB a̠ AI k ɯ̟ᵝ
あくりょう	a̠ AI k ɯ̟ᵝ ɾʲ o̞ː AE
あくろ	a̠ AI k ɯ̟ᵝ ɾ o̞ AF
あぐり	a̠ AI ɡ ɯ̟ᵝ ɾʲ i AC
あけ	a̠ AI k e̞ AC
あけがた	a̠ AI k e̞ AC ɡ a̠ AI t a̠ AI
あけくれる	a̠ AI k e̞ AC k ɯ̟ᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
あけぐれ	a̠ AI k e̞ AC ɡ ɯ̟ᵝ ɾ e̞ AC
あけち	m e̞ː AD t ɕ i AC
あけっぱなし	a̠ AI k e̞ AC p̚ p a̠ AI n a̠ AI ɕ i AC
あけはなす	a̠ AI k e̞ AC h AA a̠ AI n a̠ AI s ɨᵝ
あけび	a̠ AI k e̞ AC bʲ i AC
あけぼの	a̠ AI k e̞ AC b o̞ AF n o̞ AF
あけみ	a̠ AI k e̞ AC mʲ i AC
あける	a̠ AI k e̞ AC ɾ ɯ̟ᵝ
あけわたし	a̠ AI k e̞ AC ɰᵝ a̠ AI t a̠ AI ɕ i AC
あけわたす	a̠ AI k e̞ AC ɰᵝ a̠ AI t a̠ AI s ɨᵝ
あげあげ	a̠ AI ɡ e̞ AC a̠ AI ɡ e̞ AC
あげあしをとる	a̠ AI ɡ e̞ AC a̠ AI ɕ i AC o̞ AF t o̞ AF ɾ ɯ̟ᵝ
あげくのはて	a̠ AI ɡ e̞ AC k ɯ̟ᵝ n o̞ AF h AA a̠ AI t e̞ AC
あげは	a̠ AI ɡ e̞ AC h AA a̠ AI
あげはちょう	a̠ AI ɡ e̞ AC h AA a̠ AI t ɕ o̞ː AE
あげぽよ	a̠ AI ɡ e̞ AC p o̞ AF j AB o̞ AF
あげもの	a̠ AI ɡ e̞ AC m o̞ AF n o̞ AF
あげる	a̠ AI ɡ e̞ AC ɾ ɯ̟ᵝ
あこがれ	a̠ AI k o̞ AF ɡ a̠ AI ɾ e̞ AC
あこがれる	a̠ AI k o̞ AF ɡ a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
あご	a̠ AI ɡ o̞ AF
あごがしゃくれる	a̠ AI ɡ o̞ AF ɡ a̠ AI ɕ a̠ AI k ɯ̟ᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
あごひげ	a̠ AI ɡ o̞ AF ç i AC ɡ e̞ AC
あごひげあざらし	a̠ AI ɡ o̞ AF ç i AC ɡ e̞ AC a̠ AI z a̠ AI ɾ a̠ AI ɕ i AC
あさ	a̠ AI s a̠ AI
あさい	a̠ AI s a̠ AI i AC
あさいろ	a̠ AI s a̠ AI i AC ɾ o̞ AF
あさおき	a̠ AI s a̠ AI o̞ AF kʲ i AC
あさか	a̠ AI s a̠ AI k a̠ AI
あさからばんまで	a̠ AI s a̠ AI k a̠ AI ɾ a̠ AI b ã̠ m m a̠ AI d e̞ AC
あさがすみ	a̠ AI s a̠ AI ɡ a̠ AI s ɨᵝ mʲ i AC
あさがた	a̠ AI s a̠ AI ɡ a̠ AI t a̠ AI
あさぎり	a̠ AI s a̠ AI ɡʲ i AC ɾʲ i AC
あさくら	a̠ AI s a̠ AI k ɯ̟ᵝ ɾ a̠ AI
あさって	a̠ AI s a̠ AI t̚ t e̞ AC
あさなわ	a̠ AI s a̠ AI n a̠ AI ɰᵝ a̠ AI
あさぬの	a̠ AI s a̠ AI n ɯ̟ᵝ n o̞ AF
あさね	a̠ AI s a̠ AI n e̞ AC
あさねぼう	a̠ AI s a̠ AI n e̞ AC b o̞ː AE
あさのかい	a̠ AI s a̠ AI n o̞ AF k a̠ AI i AC
あさはか	a̠ AI s a̠ AI h AA a̠ AI k a̠ AI
あさひ	a̠ AI s a̠ AI ç i̥ AC
あさひかわ	a̠ AI s a̠ AI ç i AC k a̠ AI ɰᵝ a̠ AI
あさひる	a̠ AI s a̠ AI ç i AC ɾ ɯ̟ᵝ
あさましい	a̠ AI s a̠ AI m a̠ AI ɕ i AC i AC
あさもや	a̠ AI s a̠ AI m o̞ AF j AB a̠ AI
あさやけ	a̠ AI s a̠ AI j AB a̠ AI k e̞ AC
あさんかちっそ	a̠ AI s ã̠ ŋ k a̠ AI t ɕ i AC sː o̞ AF
あざ	a̠ AI z a̠ AI
あざける	a̠ AI z a̠ AI k e̞ AC ɾ ɯ̟ᵝ
あざとい	a̠ AI z a̠ AI t o̞ AF i AC
あざなう	a̠ AI z a̠ AI n a̠ AI ɯ̟ᵝ
あざみ	a̠ AI z a̠ AI mʲ i AC
あざむく	a̠ AI z a̠ AI m ɯ̟ᵝ k ɯ̟ᵝ
あざやか	a̠ AI z a̠ AI j AB a̠ AI k a̠ AI
あざらし	a̠ AI z a̠ AI ɾ a̠ AI ɕ i AC
あざわらう	a̠ AI z a̠ AI ɰᵝ a̠ AI ɾ a̠ AI ɯ̟ᵝ
あし	kʲ a̠ AI k ɯ̟ᵝ
あしあと	a̠ AI ɕ i AC a̠ AI t o̞ AF
あしか	a̠ AI ɕ i̥ AC k a̠ AI
あしがる	a̠ AI ɕ i AC ɡ a̠ AI ɾ ɯ̟ᵝ
あしこ	a̠ AI ɕ i AC k o̞ AF
あしざま	a̠ AI ɕ i AC z a̠ AI m a̠ AI
あした	a̠ AI ɕ i̥ AC t a̠ AI
あしたれぼし	a̠ AI ɕ i AC t a̠ AI ɾ e̞ AC b o̞ AF ɕ i AC
あしのうら	a̠ AI ɕ i AC n o̞ AF ɯ̟ᵝ ɾ a̠ AI
あしはら	a̠ AI ɕ i̥ AC h AA a̠ AI ɾ a̠ AI
あしばや	a̠ AI ɕ i AC b a̠ AI j AB a̠ AI
あしび	a̠ AI ɕ i AC bʲ i AC
あしまわり	a̠ AI ɕ i AC m a̠ AI ɰᵝ a̠ AI ɾʲ i AC
あしもと	a̠ AI ɕ i AC m o̞ AF t o̞ AF
あしゅ	a̠ AI ɕ ɨᵝ
あしゅう	a̠ AI ɕ ɨᵝː
あしゅら	a̠ AI ɕ ɨᵝ ɾ a̠ AI
あしゆ	a̠ AI ɕ i AC j AB ɯ̟ᵝ
あじ	a̠ AI ʑ i AC
あじあ	a̠ AI ʑ i AC a̠ AI
あじきない	a̠ AI ʑ i AC kʲ i AC n a̠ AI i AC
あじさい	a̠ AI ʑ i AC s a̠ AI i AC
あじさし	a̠ AI ʑ i AC s a̠ AI ɕ i AC
あじみ	a̠ AI ʑ i AC mʲ i AC
あじむ	a̠ AI ʑ i AC m ɯ̟ᵝ
あじわい	a̠ AI ʑ i AC ɰᵝ a̠ AI i AC
あじわう	a̠ AI ʑ i AC ɰᵝ a̠ AI ɯ̟ᵝ
あすなろ	a̠ AI s ɨᵝ n a̠ AI ɾ o̞ AF
あすはわがみ	a̠ AI s ɨᵝ ɰᵝ a̠ AI ɰᵝ a̠ AI ɡ a̠ AI mʲ i AC
あずき	a̠ AI z ɨᵝ kʲ i AC
あずける	a̠ AI z ɨᵝ k e̞ AC ɾ ɯ̟ᵝ
あずさ	a̠ AI z ɨᵝ s a̠ AI
あずさゆみ	a̠ AI z ɨᵝ s a̠ AI j AB ɯ̟ᵝ mʲ i AC
あずまうた	a̠ AI z ɨᵝ m a̠ AI ɯ̟ᵝ t a̠ AI
あずまくだり	a̠ AI z ɨᵝ m a̠ AI k ɯ̟ᵝ d a̠ AI ɾʲ i AC
あずまごと	a̠ AI z ɨᵝ m a̠ AI ɡ o̞ AF t o̞ AF
あずまや	a̠ AI z ɨᵝ m a̠ AI j AB a̠ AI
あせ	a̠ AI s e̞ AC
あせくさい	a̠ AI s e̞ AC k ɯ̟̊ᵝ s a̠ AI i AC
あせまみれ	a̠ AI s e̞ AC m a̠ AI mʲ i AC ɾ e̞ AC
あせり	a̠ AI s e̞ AC ɾʲ i AC
あせる	a̠ AI s e̞ AC ɾ ɯ̟ᵝ
あそこ	a̠ AI s o̞ AF k o̞ AF
あそびごころ	a̠ AI s o̞ AF bʲ i AC ɡ o̞ AF k o̞ AF ɾ o̞ AF
あそびにん	a̠ AI s o̞ AF bʲ i AC ɲ̟ ĩ ɴ
あそびば	a̠ AI s o̞ AF bʲ i AC b a̠ AI
あそぶ	a̠ AI s o̞ AF b ɯ̟ᵝ
あそん	a̠ AI s õ̞ ɴ
あたい	a̠ AI t a̠ AI i AC
あたいする	a̠ AI t a̠ AI i AC s ɨᵝ ɾ ɯ̟ᵝ
あたいりく	a̠ AI t a̠ AI i AC ɾʲ i AC k ɯ̟ᵝ
あたう	a̠ AI t a̠ AI ɯ̟ᵝ
あたえる	a̠ AI t a̠ AI e̞ AC ɾ ɯ̟ᵝ
あたかも	a̠ AI t a̠ AI k a̠ AI m o̞ AF
あたくし	a̠ AI t a̠ AI k ɯ̟̊ᵝ ɕ i AC
あたご	a̠ AI t a̠ AI ɡ o̞ AF
あたし	a̠ AI t a̠ AI ɕ i AC
あたたか	a̠ AI t a̠ AI t a̠ AI k a̠ AI
あたたかい	a̠ AI t a̠ AI t a̠ AI k a̠ AI i AC
あたたまる	a̠ AI t a̠ AI t a̠ AI m a̠ AI ɾ ɯ̟ᵝ
あたためる	a̠ AI t a̠ AI t a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あたま	a̠ AI t a̠ AI m a̠ AI
あたまごなし	a̠ AI t a̠ AI m a̠ AI ɡ o̞ AF n a̠ AI ɕ i AC
あたまじらみ	a̠ AI t a̠ AI m a̠ AI ʑ i AC ɾ a̠ AI mʲ i AC
あたまだかがた	a̠ AI t a̠ AI m a̠ AI d a̠ AI k a̠ AI ɡ a̠ AI t a̠ AI
あたらしい	a̠ AI t a̠ AI ɾ a̠ AI ɕ iː AD
あたりや	a̠ AI t a̠ AI ɾʲ i AC j AB a̠ AI
あたる	a̠ AI t a̠ AI ɾ ɯ̟ᵝ
あだ	a̠ AI d a̠ AI
あだかも	a̠ AI d a̠ AI k a̠ AI m o̞ AF
あだな	a̠ AI d a̠ AI n a̠ AI
あだばな	a̠ AI d a̠ AI b a̠ AI n a̠ AI
あちら	a̠ AI t ɕ i AC ɾ a̠ AI
あちらこちら	a̠ AI t ɕ i AC ɾ a̠ AI k o̞ AF t ɕ i AC ɾ a̠ AI
あっか	a̠ AI k̚ k a̠ AI
あっかん	a̠ AI k̚ k ã̠ ɴ
あっけない	a̠ AI k̚ k e̞ AC n a̠ AI i AC
あっさく	a̠ AI sː a̠ AI k ɯ̟ᵝ
あっさぶ	a̠ AI sː a̠ AI b ɯ̟ᵝ
あっさり	a̠ AI sː a̠ AI ɾʲ i AC
あっし	a̠ AI ɕː i AC
あっせい	a̠ AI sː e̞ː AD
あったかい	a̠ AI t̚ t a̠ AI k a̠ AI i AC
あっちいけ	a̠ AI t̚ t ɕ i AC i AC k e̞ AC
あっというま	a̠ AI t̚ t o̞ AF i AC ɯ̟ᵝ m a̠ AI
あっといわせる	a̠ AI t̚ t o̞ AF i AC ɰᵝ a̠ AI s e̞ AC ɾ ɯ̟ᵝ
あっとうてき	a̠ AI t̚ t o̞ː AE t e̞ AC kʲ i AC
あっとおどろく	a̠ AI t̚ t o̞ AF o̞ AF d o̞ AF ɾ o̞ AF k ɯ̟ᵝ
あっぱれ	a̠ AI p̚ p a̠ AI ɾ e̞ AC
あつ	a̠ AI t s ɨᵝ
あつあつ	a̠ AI t s ɨᵝ a̠ AI t s ɨᵝ
あつい	a̠ AI t s ɨᵝ i AC
あつか	a̠ AI t s ɨᵝ k a̠ AI
あつかう	a̠ AI t s ɨᵝ k a̠ AI ɯ̟ᵝ
あつかましい	a̠ AI t s ɨᵝ k a̠ AI m a̠ AI ɕ i AC i AC
あつかん	a̠ AI t s ɨᵝ k ã̠ ɴ
あつがみ	a̠ AI t s ɨᵝ ɡ a̠ AI mʲ i AC
あつくるしい	a̠ AI t s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː AD
あつさしのぎ	a̠ AI t s ɨᵝ s a̠ AI ɕ i AC n o̞ AF ɡʲ i AC
あつし	a̠ AI t s ɨᵝ ɕ i AC
あつた	a̠ AI t s ɨᵝ t a̠ AI
あつひろ	a̠ AI t s ɨᵝ ç i AC ɾ o̞ AF
あつま	a̠ AI t s ɨᵝ m a̠ AI
あつまる	a̠ AI t s ɨᵝ m a̠ AI ɾ ɯ̟ᵝ
あつめる	a̠ AI t s ɨᵝ m e̞ AC ɾ ɯ̟ᵝ
あつらえる	a̠ AI t s ɨᵝ ɾ a̠ AI e̞ AC ɾ ɯ̟ᵝ
あつりょく	a̠ AI t s ɨᵝ ɾʲ o̞ AF k ɯ̟ᵝ
あつりょくなべ	a̠ AI t s ɨᵝ ɾʲ o̞ AF k ɯ̟ᵝ n a̠ AI b e̞ AC
あて	a̠ AI t e̞ AC
あてこむ	a̠ AI t e̞ AC k o̞ AF m ɯ̟ᵝ
あてじ	a̠ AI t e̞ AC ʑ i AC
あてずっぽう	a̠ AI t e̞ AC z ɨᵝ p̚ p o̞ː AE
あてにげ	a̠ AI t e̞ AC ɲ̟ i AC ɡ e̞ AC
あてはまる	a̠ AI t e̞ AC h AA a̠ AI m a̠ AI ɾ ɯ̟ᵝ
