ᆜ	j AB ɯ AD
가공	k a̠ AF ɡ o̞ AE ŋ
가공품	k a̠ AF ɡ o̞ AE ŋ pʰ u AE m
가공하다	k a̠ AF ɡ o̞ AE ŋ ɦ AA a̠ AF d a̠ AF
가관	k a̠ː AF ɡ w AC a̠ AF n
가구	k a̠ AF ɡ u AE
가극	k a̠ AF ɡ ɯ AD k̚
가금	k a̠ AF ɡ ɯ AD m
가까이	k a̠ AF k͈ a̠ AF i AD
가까이하다	k a̠ AF k͈ a̠ AF i AD ɦ AA a̠ AF d a̠ AF
가깝다	k a̠ AF k͈ a̠ AF p̚ t͈ a̠ AF
가꾸다	k a̠ AF k͈ u AE d a̠ AF
가끔	k a̠ AF k͈ ɯ AD m
가끔씩	k a̠ AF k͈ ɯ AD m ɕ͈ i AD k̚
가나	k a̠ AF n a̠ AF
가나다순	k a̠ AF n a̠ AF d a̠ AF sʰ u AE n
가난	k a̠ AF n a̠ AF n
가난하다	k a̠ AF n a̠ AF n ɦ AA a̠ AF d a̠ AF
가난히	k a̠ AF n a̠ AF n ʝ i AD
가누다	k a̠ AF n u AE d a̠ AF
가는돌고기	k a̠ AF n ɯ AD n d o̞ AE ɭ ɡ o̞ AE ɡ i AD
가는쥐	k a̠ AF n ɯ AD ɲ d ʑ ɥ AC i AD
가늘다	k a̠ AF n ɯ AD ɭ d a̠ AF
가늠	k a̠ AF n ɯ AD m
가늠하다	k a̠ AF n ɯ AD m ɦ AA a̠ AF d a̠ AF
가능	k a̠ː AF n ɯ AD ŋ
가능성	k a̠ː AF n ɯ AD ŋ s͈ ʌ̹ ŋ
가능하다	k a̠ː AF n ɯ AD ŋ ɦ AA a̠ AF d a̠ AF
가닛	k a̠ AF n i AD t̚
가다	k a̠ AF d a̠ AF
가다붙다	k a̠ AF d a̠ AF b u AE t̚ t͈ a̠ AF
가달	k a̠ AF d a̠ AF ɭ
가독성	k a̠ AF d o̞ AE k s͈ ʌ̹ ŋ
가돌리늄	k a̠ AF d o̞ AE ʎ ʎ i AD ɲ j AB u AE m
가동	k a̠ AF d o̞ AE ŋ
가두녀성	k a̠ AF d u AE ɲ j AB ʌ̹ sʰ ʌ̹ ŋ
가두다	k a̠ AF d u AE d a̠ AF
가두리	k a̠ː AF d u AE ɾ i AD
가드	k a̠ AF d ɯ AD
가득	k a̠ AF d ɯ AD k̚
가득가득	k a̠ AF d ɯ AD k̚ k͈ a̠ AF d ɯ AD k̚
가득하다	k a̠ AF d ɯ AD kʰ a̠ AF d a̠ AF
가따까나	k a̠ AF t͈ a̠ AF k͈ a̠ AF n a̠ AF
가라데	k a̠ AF ɾ a̠ AF d e̞ AD
가라앉다	k a̠ AF ɾ a̠ AF a̠ AF n t͈ a̠ AF
가라오케	k a̠ AF ɾ a̠ AF o̞ AE kʰ e̞ AD
가락	k a̠ AF ɾ a̠ AF k̚
가락점	k a̠ AF ɾ a̠ AF k̚ t ɕ͈ ʌ̹ m
가락지	k a̠ AF ɾ a̠ AF k̚ t ɕ͈ i AD
가락지빵	k a̠ AF ɾ a̠ AF k̚ t ɕ͈ i AD p͈ a̠ AF ŋ
가람	k a̠ AF ɾ a̠ AF m
가랑비	k a̠ AF ɾ a̠ AF ŋ b i AD
가련하다	k a̠ː AF ɾ j AB ʌ̹ n ɦ AA a̠ AF d a̠ AF
가련히	k a̠ AF ɾ j AB ʌ̹ n ʝ i AD
가렵다	k a̠ AF ɾ j AB ʌ̹ p̚ t͈ a̠ AF
가령	k a̠ː AF ɾ j AB ʌ̹ ŋ
가로	k a̠ AF ɾ o̞ AE
가로다	k a̠ AF ɾ o̞ AE d a̠ AF
가로등	k a̠ AF ɾ o̞ AE d ɯ AD ŋ
가로막	k a̠ AF ɾ o̞ AE m a̠ AF k̚
가루	k a̠ AF ɾ u AE
가르다	k a̠ AF ɾ ɯ AD d a̠ AF
가르치다	k a̠ AF ɾ ɯ AD t ɕʰ i AD d a̠ AF
가르침	k a̠ AF ɾ ɯ AD t ɕʰ i AD m
가름	k a̠ AF ɾ ɯ AD m
가리다	k a̠ AF ɾ i AD d a̠ AF
가리비	k a̠ AF ɾ i AD b i AD
가마	k a̠ː AF m a̠ AF
가마솥	k a̠ AF m a̠ AF sʰ o̞ AE t̚
가마우지	k a̠ AF m a̠ AF u AE d ʑ i AD
가마치	k a̠ AF m a̠ AF t ɕʰ i AD
가만	k a̠ AF m a̠ AF n
가만가만	k a̠ AF m a̠ AF n ɡ a̠ AF m a̠ AF n
가만두다	k a̠ AF m a̠ AF n d u AE d a̠ AF
가만히	k a̠ AF m a̠ AF n ʝ i AD
가맣다	k a̠ː AF m a̠ AF tʰ a̠ AF
가면	k a̠ː AF m j AB ʌ̹ n
가면극	k a̠ː AF m j AB ʌ̹ n ɡ ɯ AD k̚
가명	k a̠ː AF m j AB ʌ̹ ŋ
가무	k a̠ AF m u AE
가무이야기	k a̠ AF m u AE i AD j AB a̠ AF ɡ i AD
가문	k a̠ AF m u AE n
가물가물	k a̠ AF m u AE ɭ ɡ a̠ AF m u AE ɭ
가물치	k a̠ AF m u AE ʎ t ɕʰ i AD
가뭄	k a̠ AF m u AE m
가뭇가뭇	k a̠ AF m u AE t̚ k͈ a̠ AF m u AE t̚
가미카제	k a̠ AF m i AD kʰ a̠ AF d ʑ e̞ AD
가발	k a̠ AF b a̠ AF ɭ
가방	k a̠ AF b a̠ AF ŋ
가벌	k a̠ AF b ʌ̹ ɭ
가벼워지다	k a̠ AF b j AB ʌ̹ w AC ʌ̹ d ʑ i AD d a̠ AF
가볍다	k a̠ AF b j AB ʌ̹ p̚ t͈ a̠ AF
가보	k a̠ AF b o̞ AE
가보로네	k a̠ AF b o̞ AE ɾ o̞ AE n e̞ AD
가봉	k a̠ AF b o̞ AE ŋ
가부좌	k a̠ AF b u AE d ʑ w AC a̠ AF
가브리엘	k a̠ AF b ɯ AD ɾ i AD e̞ AD ɭ
가사	k a̠ AF sʰ a̠ AF
가산	k a̠ AF sʰ a̠ AF n
가설	k a̠ː AF sʰ ʌ̹ ɭ
가설법	k a̠ː AF sʰ ʌ̹ ɭ p͈ ʌ̹ p̚
가성비	k a̠ AF sʰ ʌ̹ ŋ b i AD
가세	k a̠ AF sʰ e̞ AD
가소롭다	k a̠ː AF sʰ o̞ AE ɾ o̞ AE p̚ t͈ a̠ AF
가소제	k a̠ː AF sʰ o̞ AE d ʑ e̞ AD
가솔린	k a̠ AF sʰ o̞ AE ʎ ʎ i AD n
가수	k a̠ AF sʰ u AE
가숭어	k a̠ː AF sʰ u AE ŋ ʌ̹
가스	k͈ a̠ AF sʰ ɯ AD
가스나이	k a̠ AF sʰ ɯ AD n a̠ AF i AD
가스레인지	k a̠ AF sʰ ɯ AD ɾ e̞ AD i AD ɲ d ʑ i AD
가스파초	k a̠ AF sʰ ɯ AD pʰ a̠ AF t ɕʰ o̞ AE
가슴	k a̠ AF sʰ ɯ AD m
가슴뼈	k a̠ AF sʰ ɯ AD m p͈ j AB ʌ̹
가슴주머니	k a̠ AF sʰ ɯ AD m d ʑ u AE m ʌ̹ n i AD
가시	k a̠ AF ɕʰ i AD
가시고기	k a̠ AF ɕʰ i AD ɡ o̞ AE ɡ i AD
가시나	k a̠ AF ɕʰ i AD n a̠ AF
가시나무	k a̠ AF ɕʰ i AD n a̠ AF m u AE
가시납지리	k a̠ AF ɕʰ i AD n a̠ AF p̚ t ɕ͈ i AD ɾ i AD
가시다	k a̠ AF ɕʰ i AD d a̠ AF
가시버시	k a̠ AF ɕʰ i AD b ʌ̹ ɕʰ i AD
가시아버지	k a̠ AF ɕʰ i AD a̠ AF b ʌ̹ d ʑ i AD
가시어머니	k a̠ AF ɕʰ i AD ʌ̹ m ʌ̹ n i AD
가시집	k a̠ AF ɕʰ i AD d ʑ i AD p̚
가시화	k a̠ AF ɕʰ i AD β w AC a̠ AF
가식	k a̠ː AF ɕʰ i AD k̚
가식하다	k a̠ː AF ɕʰ i AD kʰ a̠ AF d a̠ AF
가야	k a̠ AF j AB a̠ AF
가야금	k a̠ AF j AB a̠ AF ɡ ɯ AD m
가언적	k a̠ AF ʌ̹ ɲ d ʑ ʌ̹ k̚
가없다	k a̠ː AF ʌ̹ p̚ t͈ a̠ AF
가없이	k a̠ː AF ʌ̹ p ɕ͈ i AD
가엾다	k a̠ː AF j AB ʌ̹ p̚ t͈ a̠ AF
가오	k a̠ AF o̞ AE
가오리	k a̠ AF o̞ AE ɾ i AD
가요	k a̠ AF j AB o AE
가운데	k a̠ AF u AE n d e̞ AD
가운데소리	k a̠ AF u AE n d e̞ AD sʰ o̞ AE ɾ i AD
가위	k a̠ AF ɥ AC i AD
가위바위보	k a̠ AF ɥ AC i AD b a̠ AF ɥ AC i AD b o̞ AE
가을	k a̠ AF ɯ AD ɭ
가을철	k a̠ AF ɯ AD ʎ t ɕʰ ʌ̹ ɭ
가이드	k a̠ AF i AD d ɯ AD
가이아나	k a̠ AF i AD a̠ AF n a̠ AF
가자	k a̠ AF d ʑ a̠ AF
가장	k a̠ː AF d ʑ a̠ AF ŋ
가장자리	k a̠ː AF d ʑ a̠ AF ŋ d ʑ a̠ AF ɾ i AD
가정	k a̠ː AF d ʑ ʌ̹ ŋ
가정법	k a̠ː AF d ʑ ʌ̹ ŋ p͈ ʌ̹ p̚
가정부	k a̠ AF d ʑ ʌ̹ ŋ b u AE
가제	k a̠ AF d ʑ e̞ AD
가제따	k a̠ AF d ʑ e̞ AD t͈ a̠ AF
가젤	k a̠ AF d ʑ e̞ AD ɭ
가져가다	k a̠ AF d ʑ ʌ̹ ɡ a̠ AF d a̠ AF
가져오다	k a̠ AF d ʑ ʌ̹ o̞ AE d a̠ AF
가족	k a̠ AF d ʑ o̞ AE k̚
가주	k a̠ AF d ʑ u AE
가죽	k a̠ AF d ʑ u AE k̚
가죽끈	k a̠ AF d ʑ u AE k̚ k͈ ɯ AD n
가지	k a̠ AF d ʑ i AD
가지가지	k a̠ AF d ʑ i AD ɡ a̠ AF d ʑ i AD
가지고	k a̠ AF d ʑ i AD ɡ o̞ AE
가지다	k a̠ AF d ʑ i AD d a̠ AF
가지뿔	k a̠ AF d ʑ i AD p͈ u AE ɭ
가짜	k a̠ː AF t ɕ͈ a̠ AF
가차	k a̠ AF t ɕʰ a̠ AF
가창	k a̠ AF t ɕʰ a̠ AF ŋ
가창오리	k a̠ AF t ɕʰ a̠ AF ŋ o̞ AE ɾ i AD
가축	k a̠ AF t ɕʰ u AE k̚
가치	k a̠ AF t ɕʰ i AD
가치관	k a̠ AF t ɕʰ i AD ɡ w AC a̠ AF n
가타나	k a̠ AF tʰ a̠ AF n a̠ AF
가타카나	k a̠ AF tʰ a̠ AF kʰ a̠ AF n a̠ AF
가톨릭	k a̠ AF tʰ o̞ AE ʎ ʎ i AD k̚
가톨릭교회	k a̠ AF tʰ o̞ AE ʎ ʎ i AD k̚ k͈ j AB o AE β w AC e̞ AD
가파르다	k a̠ AF pʰ a̠ AF ɾ ɯ AD d a̠ AF
가하다	k a̠ː AF ɦ AA a̠ AF d a̠ AF
가히	k a̠ː AF ʝ i AD
각	k a̠ AF k̚
각각	k a̠ AF k̚ k͈ a̠ AF k̚
각국	k a̠ AF k̚ k͈ u AE k̚
각기	k a̠ AF k̚ k͈ i AD
각다귀	k a̠ AF k̚ t͈ a̠ AF ɡ ɥ AC i AD
각도	k a̠ AF k̚ t͈ o̞ AE
각막	k a̠ AF ŋ m a̠ AF k̚
각본	k a̠ AF k̚ p͈ o̞ AE n
각선미	k a̠ AF k s͈ ʌ̹ n m i AD
각설	k a̠ AF k s͈ ʌ̹ ɭ
각시	k a̠ AF k ɕ͈ i AD
각시붕어	k a̠ AF k ɕ͈ i AD b u AE ŋ ʌ̹
각자	k a̠ AF k̚ t ɕ͈ a̠ AF
각종	k a̠ AF k̚ t ɕ͈ o̞ AE ŋ
각주구검	k a̠ AF k̚ t ɕ͈ u AE ɡ u AE ɡ ʌ̹ m
각하	k a̠ AF kʰ a̠ AF
갂	k a̠ AF k̚
간	k a̠ː AF n
간간이	k a̠ AF n ɡ a̠ AF n i AD
간계	k a̠ AF n ɡ j AB e̞ AD
간곡	k a̠ː AF n ɡ o̞ AE k̚
간곡하다	k a̠ː AF n ɡ o̞ AE kʰ a̠ AF d a̠ AF
간균	k a̠ AF n ɡ j AB u AE n
간극	k a̠ AF n ɡ ɯ AD k̚
간단	k a̠ː AF n d a̠ AF n
간단하다	k a̠ː AF n d a̠ AF n ɦ AA a̠ AF d a̠ AF
간단히	k a̠ AF n d a̠ AF n ʝ i AD
간드리	k a̠ AF n d ɯ AD ɾ i AD
간모	k a̠ AF n m o̞ AE
간물	k a̠ AF n m u AE ɭ
간부	k a̠ AF n b u AE
간사	k a̠ AF n sʰ a̠ AF
간사하다	k a̠ AF n sʰ a̠ AF ɦ AA a̠ AF d a̠ AF
간선	k a̠ AF n sʰ ʌ̹ n
간선도로	k a̠ AF n sʰ ʌ̹ n d o̞ AE ɾ o̞ AE
간섭	k a̠ AF n sʰ ʌ̹ p̚
간성	k a̠ AF n sʰ ʌ̹ ŋ
간식	k a̠ː AF n ɕʰ i AD k̚
간신	k a̠ AF n ɕʰ i AD n
간쑤	k a̠ AF n s͈ u AE
간악	k a̠ AF n a̠ AF k̚
간악하다	k a̠ AF n a̠ AF kʰ a̠ AF d a̠ AF
간유	k a̠ː AF ɲ j AB u AE
간음	k a̠ː AF n ɯ AD m
간장	k a̠ː AF ɲ d ʑ a̠ AF ŋ
간절	k a̠ AF ɲ d ʑ ʌ̹ ɭ
간접	k a̠ː AF ɲ d ʑ ʌ̹ p̚
간접화법	k a̠ AF ɲ d ʑ ʌ̹ pʰ w AC a̠ AF b ʌ̹ p̚
간주	k a̠ː AF ɲ d ʑ u AE
간지	k a̠ AF ɲ d ʑ i AD
간지럼	k a̠ AF ɲ d ʑ i AD ɾ ʌ̹ m
간직하다	k a̠ AF ɲ d ʑ i AD kʰ a̠ AF d a̠ AF
간질	k a̠ː AF ɲ d ʑ i AD ɭ
간질거리다	k a̠ AF ɲ d ʑ i AD ɭ ɡ ʌ̹ ɾ i AD d a̠ AF
간질이다	k a̠ AF ɲ d ʑ i AD ɾ i AD d a̠ AF
간첩	k a̠ː AF ɲ t ɕʰ ʌ̹ p̚
간체	k a̠ AF ɲ t ɕʰ e̞ AD
간체자	k a̠ AF ɲ t ɕʰ e̞ AD d ʑ a̠ AF
간추리다	k a̠ AF ɲ t ɕʰ u AE ɾ i AD d a̠ AF
간통	k a̠ː AF n tʰ o̞ AE ŋ
간판	k a̠ AF n pʰ a̠ AF n
간편하다	k a̠ AF n pʰ j AB ʌ̹ n ɦ AA a̠ AF d a̠ AF
간헐천	k a̠ː AF n ɦ AA ʌ̹ ʎ t ɕʰ ʌ̹ n
간호사	k a̠ AF n β o̞ AE sʰ a̠ AF
간호원	k a̠ AF n β o̞ AE w AC ʌ̹ n
간혹	k a̠ː AF n β o̞ AE k̚
갅	k a̠ AF n
갇히다	k a̠ AF t ɕʰ i AD d a̠ AF
갈	k a̠ AF ɭ
갈겨니	k a̠ AF ɭ ɡ j AB ʌ̹ n i AD
갈고	k a̠ AF ɭ ɡ o̞ AE
갈고랑이	k a̠ AF ɭ ɡ o̞ AE ɾ a̠ AF ŋ i AD
갈고리	k a̠ AF ɭ ɡ o̞ AE ɾ i AD
갈기	k a̠ː AF ɭ ɡ i AD
갈까마귀	k a̠ AF ɭ k͈ a̠ AF m a̠ AF ɡ ɥ AC i AD
갈다	k a̠ː AF ɭ d a̠ AF
갈등	k a̠ AF ɭ t͈ ɯ AD ŋ
갈라지다	k a̠ AF ɭ ɭ a̠ AF d ʑ i AD d a̠ AF
갈륨	k a̠ AF ʎ ʎ j AB u AE m
갈리	k a̠ AF ʎ ʎ i AD
갈리시아	k a̠ AF ʎ ʎ i AD ɕʰ i AD a̠ AF
갈림길	k a̠ AF ʎ ʎ i AD m k͈ i AD ɭ
갈망	k a̠ AF ɭ m a̠ AF ŋ
갈망하다	k a̠ AF ɭ m a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
갈문망둑	k a̠ AF ɭ m u AE n m a̠ AF ŋ d u AE k̚
갈밭쥐	k a̠ AF ɭ b a̠ AF t̚ t ɕ͈ ɥ AC i AD
갈보	k a̠ AF ɭ b o̞ AE
갈보집	k a̠ AF ɭ b o̞ AE d ʑ i AD p̚
갈비	k a̠ AF ɭ b i AD
갈비뼈	k a̠ AF ɭ b i AD p͈ j AB ʌ̹
갈비탕	k a̠ AF ɭ b i AD tʰ a̠ AF ŋ
갈수록	k a̠ AF ɭ s͈ u AE ɾ o̞ AE k̚
갈쓰뚝	k a̠ AF ɭ s͈ ɯ AD t͈ u AE k̚
갈아신다	k a̠ AF ɾ a̠ AF ɕʰ i AD n d a̠ AF
갈아입다	k a̠ AF ɾ a̠ AF i AD p̚ t͈ a̠ AF
갈아타다	k a̠ AF ɾ a̠ AF tʰ a̠ AF d a̠ AF
갈옷	k a̠ AF ɾ o̞ AE t̚
갈음하다	k a̠ AF ɾ ɯ AD m ɦ AA a̠ AF d a̠ AF
갈증	k a̠ AF ʎ t ɕ͈ ɯ AD ŋ
갈퀴	k a̠ AF ɭ kʰ ɥ AC i AD
갈퀴다	k a̠ AF ɭ kʰ ɥ AC i AD d a̠ AF
갈토	k a̠ AF ɭ tʰ o̞ AE
갉	k a̠ AF k̚
갉다	k a̠ AF k̚ t͈ a̠ AF
감	k a̠ː AF m
감각	k a̠ː AF m ɡ a̠ AF k̚
감각적	k a̠ AF m ɡ a̠ AF k̚ t ɕ͈ ʌ̹ k̚
감금	k a̠ AF m ɡ ɯ AD m
감기	k a̠ː AF m ɡ i AD
감기다	k a̠ AF m ɡ i AD d a̠ AF
감다	k a̠ AF m t͈ a̠ AF
감당	k a̠ AF m d a̠ AF ŋ
감당하다	k a̠ AF m d a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
감독	k a̠ AF m d o̞ AE k̚
감돌고기	k a̠ AF m d o̞ AE ɭ ɡ o̞ AE ɡ i AD
감동	k a̠ː AF m d o̞ AE ŋ
감동사	k a̠ː AF m d o̞ AE ŋ sʰ a̠ AF
감람	k a̠ː AF m n a̠ AF m
감로	k a̠ AF m n o̞ AE
감리교	k a̠ AF m n i AD ɡ j AB o AE
감마	k a̠ AF m m a̠ AF
감명	k a̠ AF m m j AB ʌ̹ ŋ
감미료	k a̠ AF m m i AD ɾ j AB o AE
감방	k a̠ AF m b a̠ AF ŋ
감비아	k a̠ AF m b i AD a̠ AF
감사	k a̠ː AF m sʰ a̠ AF
감사하다	k a̠ː AF m sʰ a̠ AF ɦ AA a̠ AF d a̠ AF
감사합니다	k a̠ː AF m sʰ a̠ AF ɦ AA a̠ AF m n i AD d a̠ AF
감상	k a̠ AF m sʰ a̠ AF ŋ
감소	k a̠ː AF m sʰ o̞ AE
감수하다	k a̠ː AF m sʰ u AE ɦ AA a̠ AF d a̠ AF
감숙	k a̠ AF m sʰ u AE k̚
감시	k a̠ AF m ɕʰ i AD
감시하다	k a̠ AF m ɕʰ i AD ɦ AA a̠ AF d a̠ AF
감싸다	k a̠ː AF m s͈ a̠ AF d a̠ AF
감안	k a̠ AF m a̠ AF n
감염	k a̠ː AF m j AB ʌ̹ m
감염증	k a̠ː AF m j AB ʌ̹ m t ɕ͈ ɯ AD ŋ
감옥	k a̠ AF m o̞ AE k̚
감응	k a̠ AF m ɯ AD ŋ
감자	k a̠ː AF m d ʑ a̠ AF
감자튀김	k a̠ AF m d ʑ a̠ AF tʰ ɥ AC i AD ɡ i AD m
감전	k a̠ː AF m d ʑ ʌ̹ n
감정	k a̠ː AF m d ʑ ʌ̹ ŋ
감정아이	k a̠ AF m d ʑ ʌ̹ ŋ a̠ AF i AD
감초	k a̠ AF m t ɕʰ o̞ AE
감추다	k a̠ AF m t ɕʰ u AE d a̠ AF
감칠맛	k a̠ː AF m t ɕʰ i AD ɭ m a̠ AF t̚
감탄	k a̠ː AF m tʰ a̠ AF n
감탄사	k a̠ː AF m tʰ a̠ AF n sʰ a̠ AF
감히	k a̠ː AF m ʝ i AD
갑	k a̠ AF p̚
갑각	k a̠ AF p̚ k͈ a̠ AF k̚
갑분싸	k a̠ AF p̚ p͈ u AE n s͈ a̠ AF
갑옷	k a̠ AF b o̞ AE t̚
갑자기	k a̠ AF p̚ t ɕ͈ a̠ AF ɡ i AD
갑작스럽다	k a̠ AF p̚ t ɕ͈ a̠ AF k s͈ ɯ AD ɾ ʌ̹ p̚ t͈ a̠ AF
갑작스레	k a̠ AF p̚ t ɕ͈ a̠ AF k s͈ ɯ AD ɾ e̞ AD
갑충	k a̠ AF p̚ t ɕʰ u AE ŋ
갑판	k a̠ AF p̚ pʰ a̠ AF n
값	k a̠ AF p̚
값어치	k a̠ AF b ʌ̹ t ɕʰ i AD
갓	k a̠ː AF t̚
강	k a̠ AF ŋ
강가	k a̠ AF ŋ k͈ a̠ AF
강간	k a̠ː AF ŋ ɡ a̠ AF n
강간하다	k a̠ː AF ŋ ɡ a̠ AF n ɦ AA a̠ AF d a̠ AF
강경	k a̠ AF ŋ ɡ j AB ʌ̹ ŋ
강계	k a̠ AF ŋ ɡ j AB e̞ AD
강구다	k a̠ AF ŋ ɡ u AE d a̠ AF
강국	k a̠ AF ŋ ɡ u AE k̚
강권	k a̠ː AF ŋ ɡ w AC ʌ̹ n
강남천자국	k a̠ AF ŋ n a̠ AF m t ɕʰ ʌ̹ ɲ d ʑ a̠ AF ɡ u AE k̚
강당	k a̠ː AF ŋ d a̠ AF ŋ
강도	k a̠ː AF ŋ d o̞ AE
강도다리	k a̠ AF ŋ d o̞ AE d a̠ AF ɾ i AD
강력	k a̠ AF ŋ ɲ j AB ʌ̹ k̚
강력하다	k a̠ AF ŋ ɲ j AB ʌ̹ kʰ a̠ AF d a̠ AF
강렬하다	k a̠ AF ŋ ɲ j AB ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
강림	k a̠ː AF ŋ n i AD m
강물	k a̠ AF ŋ m u AE ɭ
강변	k a̠ AF ŋ b j AB ʌ̹ n
강사	k a̠ː AF ŋ sʰ a̠ AF
강서	k a̠ AF ŋ sʰ ʌ̹
강설	k a̠ː AF ŋ sʰ ʌ̹ ɭ
강세	k a̠ AF ŋ sʰ e̞ AD
강소	k a̠ AF ŋ sʰ o̞ AE
강수	k a̠ː AF ŋ sʰ u AE
강수량	k a̠ː AF ŋ sʰ u AE ɾ j AB a̠ AF ŋ
강아지	k a̠ AF ŋ a̠ AF d ʑ i AD
강아지풀	k a̠ AF ŋ a̠ AF d ʑ i AD pʰ u AE ɭ
강요	k a̠ː AF ŋ j AB o AE
강요하다	k a̠ː AF ŋ j AB o AE ɦ AA a̠ AF d a̠ AF
강원도	k a̠ AF ŋ w AC ʌ̹ n d o̞ AE
강의	k a̠ː AF ŋ ɰ AB i AD
강점	k a̠ː AF ŋ d ʑ ʌ̹ m
강점기	k a̠ː AF ŋ d ʑ ʌ̹ m ɡ i AD
강정	k a̠ AF ŋ d ʑ ʌ̹ ŋ
강제	k a̠ː AF ŋ d ʑ e̞ AD
강조하다	k a̠ AF ŋ d ʑ o̞ AE ɦ AA a̠ AF d a̠ AF
강좌	k a̠ː AF ŋ d ʑ w AC a̠ AF
강준치	k a̠ AF ŋ d ʑ u AE ɲ t ɕʰ i AD
강철	k a̠ AF ŋ t ɕʰ ʌ̹ ɭ
강추	k a̠ AF ŋ t ɕʰ u AE
강판	k a̠ AF ŋ pʰ a̠ AF n
강퍅	k a̠ AF ŋ pʰ j AB a̠ AF k̚
강퍅하다	k a̠ AF ŋ pʰ j AB a̠ AF kʰ a̠ AF d a̠ AF
강하다	k a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
강화도	k a̠ AF ŋ β w AC a̠ AF d o̞ AE
강화하다	k a̠ AF ŋ β w AC a̠ AF ɦ AA a̠ AF d a̠ AF
갖	k a̠ AF t̚
갖가지	k a̠ AF t̚ k͈ a̠ AF d ʑ i AD
갖다	k a̠ AF t̚ t͈ a̠ AF
갖추다	k a̠ AF t̚ t ɕʰ u AE d a̠ AF
갗	k a̠ AF t̚
갘	k a̠ AF k̚
같	k a̠ AF t̚
같다	k a̠ AF t̚ t͈ a̠ AF
같은	k a̠ AF tʰ ɯ AD n
같이	k a̠ AF t ɕʰ i AD
같이하다	k a̠ AF t ɕʰ i AD ɦ AA a̠ AF d a̠ AF
같잖다	k a̠ AF t̚ t ɕ͈ a̠ AF n tʰ a̠ AF
갚	k a̠ AF p̚
갚다	k a̠ AF p̚ t͈ a̠ AF
갛	k a̠ AF t̚
개	k ɛː AD
개가하다	k ɛː AD ɡ a̠ AF ɦ AA a̠ AF d a̠ AF
개고기	k ɛː AD ɡ o̞ AE ɡ i AD
개꿈	k ɛː AD k͈ u AE m
개꿩	k ɛː AD k͈ w AC ʌ̹ ŋ
개나리	k ɛː AD n a̠ AF ɾ i AD
개나리꽃	k ɛː AD n a̠ AF ɾ i AD k͈ o̞ AE t̚
개념	k ɛː AD ɲ j AB ʌ̹ m
개다	k ɛː AD d a̠ AF
개량	k ɛː AD ɾ j AB a̠ AF ŋ
개미	k ɛː AD m i AD
개별자	k ɛː AD b j AB ʌ̹ ʎ t ɕ͈ a̠ AF
개선	k ɛː AD sʰ ʌ̹ n
개선하다	k ɛː AD sʰ ʌ̹ n ɦ AA a̠ AF d a̠ AF
개성	k ɛː AD sʰ ʌ̹ ŋ
개소리	k ɛː AD sʰ o̞ AE ɾ i AD
개수	k ɛː AD s͈ u AE
개요	k ɛː AD j AB o AE
개인	k ɛː AD i AD n
개인적	k ɛː AD i AD ɲ d ʑ ʌ̹ k̚
개자식	k ɛː AD d ʑ a̠ AF ɕʰ i AD k̚
개장	k ɛː AD d ʑ a̠ AF ŋ
