a	a AD
armiarma	a AD r m i AD a AD r m a AD
arotz	a AD ɾ o AE t s̻
aroztegi	a AD ɾ o AE s̻ t e AD ɡ i AD
arrain	a AD r a AD i AD ɲ
arrano	a AD r a AD n o AE
arrantzale	a AD r a AD n t s̻ a AD l e AD
arratoi	a AD r a AD t o AE i AD
arraun	a AD r a AD u AE n
arrigorriaga	a AD r i AD ɡ o AE r j AB a AD ɡ a AD
arroda	a AD r o AE d a AD
arrosa	a AD r o AE s̺ a AD
arrunt	a AD r u AE n t
artaburu	a AD r t a AD b u AE ɾ u AE
arte	a AD r t e AD
arto	a AD r t o AE
artseniko	a AD r t s̺ e AD n i AD k o AE
artxipelago	a AD r t ʃ i AD p e AD l a AD ɡ o AE
artzain	a AD r t s̻ a AD i AD ɲ
askatasun	a AD s̺ k a AD t a AD s̺ u AE n
aske	a AD s̺ k e AD
asko	a AD s̺ k o AE
aste	a AD s̺ t e AD
astearte	a AD s̺ t e AD a AD r t e AD
asteazken	a AD s̺ t e AD a AD s̻ k e AD n
asteburu	a AD s̺ t e AD b u AE ɾ u AE
astelehen	a AD s̺ t e AD l e AD n
asto	a AD s̺ t o AE
asturiera	a AD s̺ t u AE ɾ j AB e AD ɾ a AD
asun	a AD s̺ u AE n
atena	a AD t e AD n a AD
atxeki	a AD t ʃ e AD k i AD
atxekiko	a AD t ʃ e AD k i AD k o AE
atxekitzen	a AD t ʃ e AD k i AD t s̻ e AD n
atzelari	a AD t s̻ e AD l a AD ɾ i AD
atzo	a AD t s̻ o AE
aukera	a AD u AE k e AD ɾ a AD
aukeratu	a AD u AE k e AD ɾ a AD t u AE
aukeratuko	a AD u AE k e AD ɾ a AD t u AE k o AE
aukeratze	a AD u AE k e AD ɾ a AD t s̻ e AD
aukeratzen	a AD u AE k e AD ɾ a AD t s̻ e AD n
aurki	a AD u AE r k i AD
aurkitu	a AD u AE r k i AD t u AE
aurkituko	a AD u AE r k i AD t u AE k o AE
aurkitze	a AD u AE r k i AD t s̻ e AD
aurkitzen	a AD u AE r k i AD t s̻ e AD n
aurpegi	a AD u AE r p e AD ɡ i AD
aurre	a AD u AE r e AD
australia	a AD u AE s̺ t r a AD l j AB a AD
austria	a AD u AE s̺ t r j AB a AD
austriar	a AD u AE s̺ t r j AB a AD r
azaro	a AD s̻ a AD ɾ o AE
azerbaijan	a AD s̻ e AD r b a AD i AD j AB a AD n
azerbaijandar	a AD s̻ e AD r b a AD i AD j AB a AD n d a AD r
azerbaijanera	a AD s̻ e AD r b a AD i AD j AB a AD n e AD ɾ a AD
azeri	a AD s̻ e AD ɾ i AD
azkar	a AD s̻ k a AD r
azkonar	a AD s̻ k o AE n a AD r
azoka	a AD s̻ o AE k a AD
azukre	a AD s̻ u AE k r e AD
b	b e AD
badia	b a AD d i AD a AD
bagenbiltza	b a AD ɡ e AD n b i AD l t s̻ a AD
bagentoz	b a AD ɡ e AD n t o AE s̻
bageunde	b a AD ɡ e AD u AE n d e AD
bagil	b a AD ɡ i AD ʎ
bagina	b a AD ɡ i AD ɲ a AD
bagintez	b a AD ɡ i AD n t e AD s̻
bahenbil	b a AD h AA e AD n b i AD l
bahendi	b a AD h AA e AD n d i AD
bahengo	b a AD h AA e AD n ɡ o AE
bahentor	b a AD h AA e AD n t o AE r
bai	b a AD i AD
baita	b a AD i AD t a AD
bakarrik	b a AD k a AD r i AD k
bake	b a AD k e AD
baketu	b a AD k e AD t u AE
baketuko	b a AD k e AD t u AE k o AE
baketze	b a AD k e AD t s̪ e AD
baketzen	b a AD k e AD t s̻ e AD n
bakteriofago	b a AD k t e AD ɾ j AB o AE f a AD ɡ o AE
balebil	b a AD l e AD b i AD l
balebiltza	b a AD l e AD b i AD l t s̪ a AD
baledi	b a AD l e AD d i AD
balego	b a AD l e AD ɡ o AE
baletor	b a AD l e AD t o AE r
baletoz	b a AD l e AD t o AE s̻
baleude	b a AD l e AD u AE d e AD
balitez	b a AD l i AD t e AD s̻
bana	b a AD n a AD
banatu	b a AD n a AD t u AE
banatuko	b a AD n a AD t u AE k o AE
banatze	b a AD n a AD t s̪ e AD
banatzen	b a AD n a AD t s̻ e AD n
banenbil	b a AD n e AD n b i AD l
banendi	b a AD n e AD n d i AD
banengo	b a AD n e AD n ɡ o AE
banentor	b a AD n e AD n t o AE r
banentorkio	b a AD n e AD n t o AE r k i AD o AE
banintz	b a AD n i AD n t s̻
banpiro	b a AD m p i AD ɾ o AE
barantaila	b a AD ɾ a AD n t a AD ʎ a AD
barazkari	b a AD ɾ a AD s̻ k a AD ɾ i AD
barbuda	b a AD r b u AE d a AD
bare	b a AD ɾ e AD
bariku	b a AD ɾ i AD k u AE
barna	b a AD r n a AD
barrabil	b a AD r a AD b i AD ʎ
barre	b a AD r e AD
barren	b a AD r e AD n
barrena	b a AD r e AD n a AD
bart	b a AD r t
basajaun	b a AD s̺ a AD x a AD u AE n
baserri	b a AD s̺ e AD r i AD
baserritar	b a AD s̺ e AD r i AD t a AD r
baserritartu	b a AD s̺ e AD r i AD t a AD r t u AE
baserritartuko	b a AD s̺ e AD r i AD t a AD r t u AE k o AE
baserritartze	b a AD s̺ e AD r i AD t a AD r t s̪ e AD
baserritartzen	b a AD s̺ e AD r i AD t a AD r t s̻ e AD n
baso	b a AD s̺ o AE
basurde	b a AD s̺ u AE r d e AD
bat	b a AD t
bata	b a AD t a AD
batak	b a AD t a AD k
batean	b a AD t e AD a AD n
batek	b a AD t e AD k
baten	b a AD t e AD n
batera	b a AD t e AD ɾ a AD
batez	b a AD t e AD s̪
bati	b a AD t i AD
batzuetan	b a AD t s̻ u AE e AD t a AD n
bazenbiltza	b a AD s̻ e AD n b i AD l t s̻ a AD
bazenbiltzate	b a AD s̻ e AD n b i AD l t s̻ a AD t e AD
bazentoz	b a AD s̻ e AD n t o AE s̻
bazentozte	b a AD s̻ e AD n t o AE s̻ t e AD
bazeunde	b a AD s̻ e AD u AE n d e AD
bazeundete	b a AD s̻ e AD u AE n d e AD t e AD
bazintez	b a AD s̻ i AD n t e AD s̻
bazintezte	b a AD s̻ i AD n t e AD s̻ t e AD
be	b e AD
bebil	b e AD b i AD l
bebiltza	b e AD b i AD l t s̻ a AD
bederatzi	b e AD d e AD ɾ a AD t s̻ i AD
bedi	b e AD d i AD
begi	b e AD ɡ i AD
begira	b e AD ɡ i AD ɾ a AD
begiratu	b e AD ɡ i AD ɾ a AD t u AE
begiratuko	b e AD ɡ i AD ɾ a AD t u AE k o AE
begiratze	b e AD ɡ i AD ɾ a AD t s̪ e AD
begiratzen	b e AD ɡ i AD ɾ a AD t s̻ e AD n
bego	b e AD ɡ o AE
behar	b e AD ɦ AA a AD r
behartsu	b e AD ɦ AA a AD r t s̺ u AE
behi	b e AD ɦ AA i AD
beki	b e AD k i AD
bekie	b e AD k i AD e AD
bele	b e AD l e AD
belgika	b e AD l ɡ i AD k a AD
belgikar	b e AD l ɡ i AD k a AD r
beltx	b e AD l t ʃ
beltz	b e AD l t s̻
belz	b e AD l s̻
berde	b e AD r d e AD
berilio	b e AD ɾ i AD l j AB o AE
bero	b e AD ɾ o AE
berpiztu	b e AD r p i AD s̻ t u AE
berri	b e AD r i AD
berriro	b e AD r i AD ɾ o AE
besape	b e AD s̺ a AD p e AD
beso	b e AD s̺ o AE
beti	b e AD t i AD
betor	b e AD t o AE r
betoz	b e AD t o AE s̻
beude	b e AD u AE d e AD
bi	b i AD
bide	b i AD d e AD
bidegorri	b i AD d e AD ɡ o AE r i AD
bielorrusia	b j AB e AD l o AE r u AE s̺ j AB a AD
bielorrusiera	b j AB e AD l o AE r u AE s̺ j AB e AD ɾ a AD
bigarren	b i AD ɡ a AD r e AD n
bihar	b i AD h AA a AD r
bihotz	b i AD ɦ AA o AE t s̻
bikoitz	b i AD k o AE i AD t s̻
bikote	b i AD k o AE t e AD
bilatu	b i AD ʎ a AD t u AE
bilbo	b i AD l b o AE
bildil	b i AD l d i AD ʎ
bira	b i AD ɾ a AD
birika	b i AD ɾ i AD k a AD
bitez	b i AD t e AD s̻
bizar	b i AD s a AD r
boro	b o AE ɾ o AE
bosgarren	b o AE s̺ ɡ a AD r e AD n
boskoitz	b o AE s̺ k o AE i AD t s̻
bosniera	b o AE s̺ n j AB e AD ɾ a AD
bost	b o AE s̺ t
bosten	b o AE s̺ t e AD n
bozkatu	b o AE s̻ k a AD t u AE
bretoiera	b r e AD t o AE i AD e AD ɾ a AD
bulgaria	b u AE l ɡ a AD ɾ j AB a AD
bulgarian	b u AE l ɡ a AD ɾ j AB a AD n
bulgariera	b u AE l ɡ a AD ɾ j AB e AD ɾ a AD
burdina	b u AE r d i AD ɲ a AD
burdinbide	b u AE r d i AD m b i AD d e AD
burdingintza	b u AE r d i AD n ɡ i AD n t s̻ a AD
buru	b u AE ɾ u AE
buruil	b u AE ɾ u AE ʎ
burukomin	b u AE ɾ u AE k o AE m i AD ɲ
burumuin	b u AE ɾ u AE m u AE ɲ
büü	b y AE y AE
c	s̻ e AD
d	d e AD
da	d a AD
dabil	d a AD b i AD l
dabilela	d a AD b i AD ʎ e AD l a AD
dabilke	d a AD b i AD l k e AD
dabiltza	d a AD b i AD l t s̻ a AD
dabiltzala	d a AD b i AD l t s̻ a AD l a AD
dabilzke	d a AD b i AD l s̻ k e AD
dadila	d a AD d i AD ʎ a AD
dadin	d a AD d i AD ɲ
dagi	d a AD ɡ i AD
dagit	d a AD ɡ i AD t
dago	d a AD ɡ o AE
dagoela	d a AD ɡ o AE e AD l a AD
dagoke	d a AD ɡ o AE k e AD
dagonil	d a AD ɡ o AE n i AD ʎ
daiteke	d a AD i AD t e AD k e AD
daitez	d a AD i AD t e AD s̻
daitezela	d a AD i AD t e AD s̻ e AD l a AD
daitezke	d a AD i AD t e AD s̻ k e AD
daki	d a AD k i AD
dakik	d a AD k i AD k
dakin	d a AD k i AD n
dakit	d a AD k i AD t
daniera	d a AD n j AB e AD ɾ a AD
danimarka	d a AD n i AD m a AD r k a AD
darama	d a AD ɾ a AD m a AD
darik	d a AD ɾ i AD k
darin	d a AD ɾ i AD n
dator	d a AD t o AE r
datorke	d a AD t o AE r k e AD
datorrela	d a AD t o AE r e AD l a AD
datoz	d a AD t o AE s̻
datozela	d a AD t o AE s̻ e AD l a AD
datozke	d a AD t o AE s̻ k e AD
datxekie	d a AD t ʃ e AD k i AD e AD
datxekigu	d a AD t ʃ e AD k i AD ɡ u AE
datxekik	d a AD t ʃ e AD k i AD k
datxekin	d a AD t ʃ e AD k i AD n
datxekio	d a AD t ʃ e AD k i AD o AE
datxekit	d a AD t ʃ e AD k i AD t
datxekizu	d a AD t ʃ e AD k i AD s̻ u AE
datxekizue	d a AD t ʃ e AD k i AD s̻ u AE e AD
datxezkie	d a AD t ʃ e AD s̻ k i AD e AD
datxezkigu	d a AD t ʃ e AD s̻ k i AD ɡ u AE
datxezkik	d a AD t ʃ e AD s̻ k i AD k
datxezkin	d a AD t ʃ e AD s̻ k i AD n
datxezkio	d a AD t ʃ e AD s̻ k i AD o AE
datxezkit	d a AD t ʃ e AD s̻ k i AD t
datxezkizu	d a AD t ʃ e AD k i AD s̻ u AE
datxezkizue	d a AD t ʃ e AD s̻ k i AD s̻ u AE e AD
datza	d a AD t s̻ a AD
daude	d a AD u AE d e AD
daudeke	d a AD u AE d e AD k e AD
daudela	d a AD u AE d e AD l a AD
dautza	d a AD u AE t s̻ a AD
de	d e AD
deabru	d e AD a AD b r u AE
dei	d e AD i AD
deia	d e AD i AD a AD
deien	d e AD i AD e AD n
deira	d e AD i AD ɾ a AD
deiri	d e AD i AD ɾ i AD
deitara	d e AD i AD t a AD ɾ a AD
deitura	d e AD i AD t u AE ɾ a AD
deiz	d e AD i AD s̻
dira	d i AD ɾ a AD
doa	d o AE a AD
domeka	d o AE m e AD k a AD
donostia	d o AE n o AE s̺ t j AB a AD
dortoka	d o AE r t o AE k a AD
dromedario	d r o AE m e AD d a AD ɾ j AB o AE
e	e AD
ebiakoitz	e AD b i AD a AD k o AE i AD t s̻
edan	e AD d a AD n
edari	e AD d a AD ɾ i AD
eder	e AD d e AD r
edin	e AD d i AD n
eduki	e AD d u AE k i AD
edukiko	e AD d u AE k i AD k o AE
edukitze	e AD d u AE k i AD t s̪ e AD
edukitzen	e AD d u AE k i AD t s̻ e AD n
edun	e AD d u AE n
efe	e AD f e AD
egin	e AD ɡ i AD ɲ
egingo	e AD ɡ i AD n ɡ o AE
egitasmo	e AD ɡ i AD t a AD s̺ m o AE
egite	e AD ɡ i AD t e AD
egiten	e AD ɡ i AD t e AD n
egon	e AD ɡ o AE n
egongo	e AD ɡ o AE n ɡ o AE
egote	e AD ɡ o AE t e AD
egoten	e AD ɡ o AE t e AD n
eguazten	e AD ɡ u AE a AD s̻ t e AD n
egubakoitz	e AD ɡ u AE b a AD k o AE i AD t s̻
eguen	e AD ɡ u AE e AD n
egun	e AD ɡ u AE n
egur	e AD ɡ u AE r
eguzkitsu	e AD ɡ u AE s̻ k i AD t s̺ u AE
ehe	e AD h̃ AH e AD
ehiza	e AD ɦ AA i AD s̻ a AD
ekain	e AD k a AD i AD ɲ
ekaiztsu	e AD k a AD i AD s̻ t s̺ u AE
ekark	e AD k a AD r k
ekarna	e AD k a AD r n a AD
ekarri	e AD k a AD r i AD
ekialde	e AD k i AD a AD l d e AD
ele	e AD l e AD
elefante	e AD l e AD f a AD n t e AD
eliza	e AD l i AD s̻ a AD
elkar	e AD l k a AD r
elkarlan	e AD l k a AD ɾ l a AD n
elkarrekin	e AD l k a AD r e AD k i AD ɲ
eltxo	e AD l t ʃ o AE
emagaldu	e AD m a AD ɡ a AD l d u AE
eman	e AD m a AD n
eme	e AD m e AD
enara	e AD n a AD ɾ a AD
ene	e AD n e AD
enegan	e AD n e AD ɡ a AD n
enigmatiko	e AD n i AD ɡ m a AD t i AD k o AE
entzun	e AD n t s̻ u AE n
epail	e AD p a AD ʎ
eper	e AD p e AD r
erabili	e AD ɾ a AD b i AD ʎ i AD
erakutsi	e AD ɾ a AD k u AE t s̺ i AD
eraman	e AD ɾ a AD m a AD n
erbi	e AD r b i AD
erdara	e AD r d a AD ɾ a AD
erdi	e AD r d i AD
ereiaro	e AD ɾ e AD i AD a AD ɾ o AE
erion	e AD ɾ j AB o AE n
erlategi	e AD r l a AD t e AD ɡ i AD
erlauntza	e AD r l a AD u AE n t s̻ a AD
ermita	e AD r m i AD t a AD
erne	e AD r n e AD
eroan	e AD ɾ o AE a AD n
eroango	e AD ɾ o AE a AD n ɡ o AE
eroate	e AD ɾ o AE a AD t e AD
eroaten	e AD ɾ o AE a AD t e AD n
erori	e AD ɾ o AE ɾ i AD
eros	e AD ɾ o AE s̺
erosi	e AD ɾ o AE s̺ i AD
erosiek	e AD ɾ o AE s̺ i AD e AD k
erosien	e AD ɾ o AE s̺ i AD e AD n
erosiok	e AD ɾ o AE s̺ i AD o AE k
erosion	e AD ɾ o AE s̺ i AD o AE n
erostak	e AD ɾ o AE s̺ t a AD k
erostan	e AD ɾ o AE s̺ t a AD n
erran	e AD r a AD n
errauts	e AD r a AD u AE t s̺
erraz	e AD r a AD s̻
erre	e AD r e AD
erreferentzia	e AD r e AD f e AD ɾ e AD n t s̻ j AB a AD
erregina	e AD r e AD ɡ i AD ɲ a AD
errepide	e AD r e AD p i AD d e AD
errez	e AD r e AD s̻
errota	e AD r o AE t a AD
erru	e AD r u AE
errumania	e AD r u AE m a AD n i AD a AD
errumaniar	e AD r u AE m a AD n j AB a AD r
errumaniera	e AD r u AE m a AD n j AB e AD ɾ a AD
errusia	e AD r u AE s̺ j AB a AD
errusiar	e AD r u AE s̺ j AB a AD r
errusiera	e AD r u AE s̺ j AB e AD ɾ a AD
esan	e AD s̺ a AD n
ese	e AD s̺ e AD
esker	e AD s̺ k e AD r
eskozia	e AD s̺ k o AE s̻ j AB a AD
eskribitu	e AD s̺ k r i AD b i AD t u AE
esku	e AD s̺ k u AE
eskubila	e AD s̺ k u AE b i AD ʎ a AD
eslovakia	e AD s̺ l o AE b a AD k j AB a AD
eslovakiar	e AD s̺ l o AE b a AD k j AB a AD r
eslovakiera	e AD s̺ l o AE b a AD k j AB e AD ɾ a AD
eslovenia	e AD s̺ l o AE b e AD n j AB a AD
esloveniar	e AD s̺ l o AE b e AD n j AB a AD r
esloveniera	e AD s̺ l o AE b e AD n j AB e AD ɾ a AD
espainia	e AD s̺ p a AD ɲ j AB a AD
espainiar	e AD s̺ p a AD ɲ j AB a AD r
esperanto	e AD s̺ p e AD ɾ a AD n t o AE
espresuki	e AD s̺ p r e AD s̺ u AE k i AD
estonia	e AD s̺ t o AE n j AB a AD
estoniako	e AD s̺ t o AE n j AB a AD k o AE
estonian	e AD s̺ t o AE n j AB a AD n
estoniar	e AD s̺ t o AE n j AB a AD r
estoniera	e AD s̺ t o AE n j AB e AD ɾ a AD
estralurtar	e AD s̺ t r a AD l u AE r t a AD r
eta	e AD t a AD
eten	e AD t e AD n
etete	e AD t e AD t e AD
etor	e AD t o AE r
etorri	e AD t o AE r i AD
etorriko	e AD t o AE r i AD k o AE
etortze	e AD t o AE r t s̪ e AD
etortzen	e AD t o AE r t s̻ e AD n
etsai	e AD t s̺ a AD i AD
etxe	e AD t ʃ e AD
etzango	e AD t s̻ a AD n ɡ o AE
etzate	e AD t s̪ a AD t e AD
etzaten	e AD t s̻ a AD t e AD n
etzi	e AD t s̻ i AD
euli	e AD u AE l i AD
euskadi	e AD u AE s̺ k a AD d i AD
euskal	e AD u AE s̺ k a AD l
euskaldun	e AD u AE s̺ k a AD l d u AE n
euskaltegi	e AD w AC s̺ k a AD l t e AD ɡ i AD
euskara	e AD u AE s̺ k a AD ɾ a AD
euskera	e AD u AE s̺ k e AD ɾ a AD
euzkadi	e AD u AE s̻ k a AD d i AD
ez	e AD s̻
ezagut	e AD s̻ a AD ɡ u AE t
ezagutu	e AD s̻ a AD ɡ u AE t u AE
ezagutuko	e AD s̻ a AD ɡ u AE t u AE k o AE
ezagutze	e AD s̪ a AD ɡ u AE t s̪ e AD
ezagutzen	e AD s̻ a AD ɡ u AE t s̻ e AD n
ezker	e AD s̻ k e AD r
ezkerra	e AD s̻ k e AD r a AD
ezko	e AD s̻ k o AE
ezkongabe	e AD s̻ k o AE n ɡ a AD b e AD
ezkutatu	e AD s̻ k u AE t a AD t u AE
ezpel	e AD s̻ p e AD l
eztarri	e AD s̻ t a AD r i AD
ezti	e AD s̻ t i AD
eñe	e AD ɲ e AD
f	e AD f e AD
finlandia	f i AD n l a AD n d j AB a AD
finlandiar	f i AD n l a AD n d j AB a AD r
finlandiera	f i AD n l a AD n d j AB e AD ɾ a AD
flatulentzia	f l a AD t u AE l e AD n t s̻ j AB a AD
fluor	f l u AE o AE r
frantses	f r a AD n t s̺ e AD s̺
frantzia	f r a AD n t s̻ j AB a AD
frantziar	f r a AD n t s̻ j AB a AD r
g	ɡ e AD
gabiltza	ɡ a AD b i AD l t s̻ a AD
gabiltzan	ɡ a AD b i AD l t s̻ a AD n
gabilzke	ɡ a AD b i AD l s̻ k e AD
gai	ɡ a AD i AD
gailu	ɡ a AD ʎ u AE
gaitez	ɡ a AD i AD t e AD s̻
gaitezke	ɡ a AD i AD t e AD s̻ k e AD
gaizki	ɡ a AD i AD s̻ k i AD
gaizto	ɡ a AD i AD s̻ t o AE
galdu	ɡ a AD l d u AE
gales	ɡ a AD l e AD s̺
galesera	ɡ a AD l e AD s̺ e AD ɾ a AD
galiziar	ɡ a AD l i AD s̻ j AB a AD r
galtzairu	ɡ a AD l t s̻ a AD i AD ɾ u AE
galtzak	ɡ a AD l t s̻ a AD k
galtzarbe	ɡ a AD l t s̻ a AD r b e AD
galtzari	ɡ a AD l t s̻ a AD ɾ i AD
galtzerdi	ɡ a AD l t s̻ e AD r d i AD
galtzetin	ɡ a AD l t s̻ e AD t i AD ɲ
gamelu	ɡ a AD m e AD l u AE
gara	ɡ a AD ɾ a AD
garagar	ɡ a AD ɾ a AD ɡ a AD r
