'y	ɪ AM
arquiza	ʔ AL ɐ BA ɾ BE k AC ɪ AM s AH ɐ BA
arriola	ʔ AL ɐ BA ɾ BE ɪ AM o BA l AD ɐ BA
arrogante	ʔ AL ɐ BA ɾ BE o BA ɰ AB ɐ BA n AF t AI ɛ AM
artiaga	ʔ AL ɐ BA ɾ BE t AI ʃ AH ɐ BA ɰ AB ɐ BA
arzadon	ʔ AL ɐ BA ɾ BE s AH ɐ BA d AI o BA n AF
asilo	ʔ AL ɐ BA s AH ɪ AM l AD o BA
asinta	ʔ AL ɐ BA s AH ɪ AM n AF t AI a AM
asul	ʔ AL ɐ BA s AH ʊ BA l AD
asungot	ʔ AL ɐ BA s AH u BA ŋ AK o BA t AI
at	ʔ AL ɐ BA t AI
ataul	ʔ AL ɐ BA t AI ɐ BA ʔ AL u BA l AD
atendido	ʔ AL ɐ BA t AI ɛ AM n AF d AI ɪ AM d AI o BA
avanceña	ʔ AL ɐ BA b AG ɐ BA n AF s AH ɛ AM ɲ AK ɐ BA
avendaño	ʔ AL ɐ BA b AG ɛ AM n AF d AI ɐ BA ɲ AK o BA
awat	ʔ AL a AM w AJ ɐ BA t AI
ay	ʔ AL a AM ɪ̯ AB
ayson	ʔ AL a AM ɪ̯ AB s AH o BA n AF
azaña	ʔ AL ɐ BA s AH ɐ BA ɲ AK ɐ BA
azucena	ʔ AL ɐ BA s AH ʊ BA s AH ɛ AM n AF ɐ BA
babae	b AG ɐ BA b AG a AM ʔ AL ɛ AM
babaero	b AG ɐ BA b AG ɐ BA ʔ AL ɛ AM ɾ BE o BA
babaihin	b AG ɐ BA b AG a AM ɪ̯ AB h AA ɪ AM n AF
babao	b AG ɐ BA b AG a AM ʊ̯ AJ
babasa	b AG ɐ BA b AG ɐ BA s AH ɐ BA
babasagin	b AG ɐ BA b AG ɐ BA s AH ɐ BA ɰ AB ɪ AM n AF
babasahin	b AG ɐ BA b AG ɐ BA s AH ɐ BA h AA ɪ AM n AF
bacani	b AG ɐ BA x BC ɐ BA n AF ɪ AM
baclig	b AG ɐ BA k AC l AD ɪ AM ɡ AC
bacsa	b AG ɐ BA k AC s AH ɐ BA
bactol	b AG ɐ BA k AC t AI o BA l AD
baculi	b AG ɐ BA x BC ʊ BA l AD ɪ AM
badayos	b AG ɐ BA d AI ɐ BA j AB o BA s AH
bagaman	b AG ɐ BA ɰ AB ɐ BA m AE a AM n AF
bagamat	b AG ɐ BA ɰ AB ɐ BA m AE a AM t AI
bagang	b AG ɐ BA ɰ AB a AM ŋ AK
bagaoisan	b AG ɐ BA ɰ AB ɐ BA w AJ ɪ AM s AH ɐ BA n AF
baging	b AG a AM ɰ AB ɪ AM ŋ AK
bagon	b AG ɐ BA ɰ AB o BA n AF
bagsik	b AG ɐ BA ɡ AC s AH i AM k AC
bagsit	b AG ɐ BA ɡ AC s AH ɪ AM t AI
bahaghari	b AG ɐ BA h AA ɐ BA ɡ AC h AA a AM ɾ BE ɪ AM ʔ AL
bahing	b AG ɐ BA h AA i AM ŋ AK
baka	b AG ɐ BA x BC ɐ BA
bakahan	b AG ɐ BA x BC ɐ BA h AA a AM n AF
bakas	b AG ɐ BA x BC a AM s AH
baklad	b AG ɐ BA k AC l AD a AM d AI
bakulaw	b AG ɐ BA x BC u BA l AD a AM ʊ̯ AJ
bakuna	b AG ɐ BA x BC ʊ BA n AF ɐ BA
bakunahan	b AG ɐ BA x BC ʊ BA n AF ɐ BA h AA ɐ BA n AF
bakuran	b AG ɐ BA x BC ʊ BA ɾ BE ɐ BA n AF
balae	b AG ɐ BA l AD ɐ BA ʔ AL ɛ AM
balaguer	b AG ɐ BA l AD ɐ BA ɰ AB ɛ AM ɾ BE
balahibo	b AG ɐ BA l AD ɐ BA h AA i AM b AG o BA
balakubak	b AG ɐ BA l AD ɐ BA x BC u BA b AG ɐ BA k AC
balasa	b AG ɐ BA l AD a AM s AH ɐ BA
balasabas	b AG ɐ BA l AD ɐ BA s AH ɐ BA b AG ɐ BA s AH
balato	b AG ɐ BA l AD a AM t AI o BA
balatong	b AG ɐ BA l AD a AM t AI o BA ŋ AK
balbas	b AG ɐ BA l AD b AG a AM s AH
baldonado	b AG ɐ BA l AD d AI o BA n AF ɐ BA d AI o BA
baligtad	b AG ɐ BA l AD ɪ AM ɡ AC t AI a AM d AI
balingit	b AG ɐ BA l AD ɪ AM ŋ AK ɪ AM t AI
balisacan	b AG ɐ BA l AD ɪ AM s AH ɐ BA x BC ɐ BA n AF
balite	b AG ɐ BA l AD ɪ AM t AI ɛ AM
balon	b AG ɐ BA l AD o BA n AF
baluga	b AG ɐ BA l AD ʊ BA ɰ AB ɐ BA ʔ AL
baluktot	b AG ɐ BA l AD ʊ BA k AC t AI o BA t AI
balwarte	b AG ɐ BA l AD w AJ a AM ɾ BE t AI ɛ AM
banawa	b AG ɐ BA n AF ɐ BA w AJ ɐ BA
bandila	b AG ɐ BA n AF d AI i AM l AD ɐ BA ʔ AL
bangaw	b AG a AM ŋ AK a AM ʊ̯ AJ
bangkay	b AG ɐ BA ŋ AK k AC a AM ɪ̯ AB
bangkiling	b AG ɐ BA ŋ AK k AC ɪ AM l AD i AM ŋ AK
bango	b AG ɐ BA ŋ AK o BA
baniaga	b AG ɐ BA ɲ AK ɐ BA ɰ AB ɐ BA
banig	b AG ɐ BA n AF i AM ɡ AC
banlaw	b AG ɐ BA n AF l AD a AM ʊ̯ AJ
banta	b AG ɐ BA n AF t AI a AM ʔ AL
bantay	b AG ɐ BA n AF t AI a AM ɪ̯ AB
bantog	b AG ɐ BA n AF t AI o BA ɡ AC
banyaga	b AG ɐ BA ɲ AK a AM ɰ AB ɐ BA ʔ AL
baog	b AG ɐ BA ʔ AL o BA ɡ AC
baon	b AG ɐ BA ʔ AL o BA n AF
baquiran	b AG ɐ BA x BC ɪ AM ɾ BE ɐ BA n AF
bara	b AG ɐ BA ɾ BE a AM
barado	b AG ɐ BA ɾ BE ɐ BA d AI o BA
baraha	b AG ɐ BA ɾ BE a AM h AA ɐ BA
barbosa	b AG ɐ BA ɾ BE b AG o BA s AH ɐ BA
barquilla	b AG ɐ BA ɾ BE k AC ɪ AM l AD l AD ɐ BA
barrios	b AG ɐ BA ɾ BE j AB o BA s AH
bartolome	b AG ɐ BA ɾ BE t AI o BA l AD o BA m AE ɛ AM
barya	b AG ɐ BA ɾ BE j AB a AM
basa	b AG ɐ BA s AH ɐ BA
basahan	b AG ɐ BA s AH ɐ BA h AA ɐ BA n AF
basco	b AG ɐ BA s AH k AC o BA
base	b AG ɐ BA s AH ɛ AM
basehan	b AG ɐ BA s AH ɛ AM h AA a AM n AF
basilan	b AG ɐ BA s AH ɪ AM l AD ɐ BA n AF
bastos	b AG ɐ BA s AH t AI o BA s AH
basurahan	b AG ɐ BA s AH ʊ BA ɾ BE ɐ BA h AA a AM n AF
basurero	b AG ɐ BA s AH ʊ BA ɾ BE ɛ AM ɾ BE o BA
batallones	b AG ɐ BA t AI ɐ BA l AD l AD o BA n AF ɛ AM s AH
batalyon	b AG ɐ BA t AI ɐ BA l AD j AB o BA n AF
batangas	b AG ɐ BA t AI ɐ BA ŋ AK ɡ AC ɐ BA s AH
bati	b AG ɐ BA t AI i AM ʔ AL
batugan	b AG ɐ BA t AI ʊ BA ɰ AB ɐ BA n AF
batukan	b AG ɐ BA t AI ʊ BA x BC ɐ BA n AF
batya	b AG ɐ BA t AI ʃ AH a AM ʔ AL
baunan	b AG ɐ BA ʔ AL ʊ BA n AF a AM n AF
bauzon	b AG a AM ʊ̯ AJ s AH o BA n AF
bayabas	b AG ɐ BA j AB ɐ BA b AG ɐ BA s AH
bayad	b AG ɐ BA j AB ɐ BA d AI
bayawak	b AG ɐ BA j AB ɐ BA w AJ ɐ BA k AC
baybayin	b AG a AM i̯ AB b AG aː AN j AB ɪ AM n AF
bayong	b AG ɐ BA j AB o BA ŋ AK
baywang	b AG ɛ AM w AJ ɐ BA ŋ AK
bañaga	b AG ɐ BA ɲ AK ɐ BA ɰ AB ɐ BA
bejasa	b AG ɛ AM d AI ʒ AH ɐ BA s AH ɐ BA
belhiko	b AG ɛ AM l AD h AA ɪ AM x BC o BA
beltran	b AG ɛ AM l AD t AI ɾ BE ɐ BA n AF
benepisyo	b AG ɛ AM n AF ɛ AM p AG i AM ʃ AH o BA
benipayo	b AG ɛ AM n AF ɪ AM p AG ɐ BA j AB o BA
bergonia	b AG ɛ AM ɾ BE ɡ AC o BA ɲ AK ɐ BA
bermudez	b AG ɛ AM ɾ BE m AE ʊ BA d AI ɛ AM s AH
bibingka	b AG ɪ AM b AG ɪ AM ŋ AK k AC ɐ BA
bigat	b AG ɪ AM ɰ AB a AM t AI
bigti	b AG ɪ AM ɡ AC t AI i AM ʔ AL
bihag	b AG ɪ AM h AA a AM ɡ AC
bihira	b AG ɪ AM h AA i AM ɾ BE ɐ BA ʔ AL
bihis	b AG ɪ AM h AA i AM s AH
biik	b AG ɪ AM i AM k AC
bilangguan	b AG ɪ AM l AD ɐ BA ŋ AK ɡ AC ʊ BA ʔ AL ɐ BA n AF
bilao	b AG ɪ AM l AD a AM o BA
bilas	b AG ɪ AM l AD a AM s AH
bilot	b AG ɪ AM l AD o BA t AI
bilugan	b AG ɪ AM l AD ʊ BA ɰ AB ɐ BA n AF
binabae	b AG ɪ AM n AF ɐ BA b AG ɐ BA ʔ AL ɛ AM
binatilyo	b AG ɪ AM n AF ɐ BA t AI ɪ AM l AD j AB o BA
bingwit	b AG ɪ AM ŋ AK w AJ i AM t AI
bintang	b AG ɪ AM n AF t AI a AM ŋ AK
bintog	b AG ɪ AM n AF t AI o BA ɡ AC
binuya	b AG ɪ AM n AF ʊ BA j AB ɐ BA
bisaya	b AG ɪ AM s AH a AM j AB ɐ BA ʔ AL
biscocho	b AG ɪ AM s AH k AC o BA t AI ʃ AH o BA
bisikleta	b AG ɪ AM s AH ɪ AM k AC l AD ɛ AM t AI ɐ BA
bisita	b AG ɪ AM s AH i AM t AI ɐ BA
bitay	b AG i AM t AI a AM ɪ̯ AB
biyas	b AG j AB a AM s AH
biyaya	b AG j AB a AM j AB ɐ BA ʔ AL
biyuda	b AG j AB u BA d AI ɐ BA
bobadilla	b AG o BA b AG ɐ BA d AI ɪ AM l AD l AD ɐ BA
bodega	b AG o BA d AI ɛ AM ɰ AB ɐ BA
bolante	b AG o BA l AD ɐ BA n AF t AI ɛ AM
bolaños	b AG o BA l AD ɐ BA ɲ AK o BA s AH
boluntaryo	b AG o BA l AD ʊ BA n AF t AI ɐ BA ɾ BE j AB o BA
bonifacio	b AG o BA n AF ɪ AM f BD ɐ BA ʃ AH o BA
bonilla	b AG o BA n AF ɪ AM l AD l AD ɐ BA
boongaling	b AG o BA o BA ŋ AK ɡ AC ɐ BA l AD ɪ AM ŋ AK
borillo	b AG o BA ɾ BE ɪ AM l AD l AD o BA
borlaza	b AG o BA ɾ BE l AD ɐ BA s AH ɐ BA
botika	b AG o BA t AI ɪ AM x BC ɐ BA
brillantes	b AG ɾ BE ɪ AM l AD l AD ɐ BA n AF t AI ɛ AM s AH
bruha	b AG ɾ BE u BA h AA ɐ BA
bubog	b AG ʊ BA b AG o BA ɡ AC
bubuli	b AG ʊ BA b AG ʊ BA l AD i AM
budhi	b AG ʊ BA d AI h AA i AM ʔ AL
buenafe	b AG ʊ BA ɛ AM n AF ɐ BA p AG ɛ AM
buga	b AG ʊ BA ɰ AB a AM
bugarin	b AG ʊ BA ɰ AB ɐ BA ɾ BE ɪ AM n AF
bugaw	b AG u BA ɰ AB a AM ʊ̯ AJ
bugayong	b AG ʊ BA ɰ AB ɐ BA j AB o BA ŋ AK
bugtong	b AG ʊ BA ɡ AC t AI o BA ŋ AK
buhaghag	b AG ʊ BA h AA a AM ɡ AC h AA a AM ɡ AC
buhawi	b AG ʊ BA h AA a AM w AJ ɪ AM ʔ AL
bukambibig	b AG ʊ BA x BC ɐ BA m AE b AG ɪ AM b AG i AM ɡ AC
bukas	b AG ʊ BA x BC a AM s AH
bukbok	b AG ʊ BA k AC b AG o BA k AC
buking	b AG ʊ BA x BC i AM ŋ AK
bula	b AG ʊ BA l AD a AM ʔ AL
bulaan	b AG ʊ BA l AD ɐ BA ʔ AL ɐ BA n AF
bulahaw	b AG ʊ BA l AD a AM h AA a AM ʊ̯ AJ
bulalakaw	b AG ʊ BA l AD ɐ BA l AD a AM x BC a AM ʊ̯ AJ
bulanadi	b AG ʊ BA l AD ɐ BA n AF ɐ BA d AI ɪ AM
bulanhagui	b AG ʊ BA l AD ɐ BA ŋ AK h AA ɐ BA ɰ AB ɪ AM
bulati	b AG ʊ BA l AD ɐ BA t AI ɪ AM
bulaw	b AG u BA l AD a AM ʊ̯ AJ
bulbol	b AG ʊ BA l AD b AG o BA l AD
bulok	b AG ʊ BA l AD o BA k AC
bulutong	b AG ʊ BA l AD u BA t AI o BA ŋ AK
bulyaw	b AG ʊ BA l AD j AB a AM ʊ̯ AJ
bumahing	b AG ʊ BA m AE ɐ BA h AA ɪ AM ŋ AK
bumbunan	b AG u BA m AE b AG ʊ BA n AF ɐ BA n AF
bumiyahe	b AG ʊ BA m AE j AB a AM h AA ɛ AM
bunag	b AG ʊ BA n AF ɐ BA ɡ AC
bunga	b AG ʊ BA ŋ AK ɐ BA
bungkos	b AG ʊ BA ŋ AK k AC o BA s AH
bungo	b AG ʊ BA ŋ AK o BA ʔ AL
buno	b AG ʊ BA n AF o BA ʔ AL
bunso	b AG ʊ BA ŋ AK s AH o BA ʔ AL
bunyi	b AG ʊ BA ɲ AK ɪ AM
buo	b AG ʊ BA o BA ʔ AL
buol	b AG ʊ BA ʔ AL o BA l AD
buquid	b AG ʊ BA x BC ɪ AM d AI
burgis	b AG ʊ BA ɾ BE ɡ AC ɪ AM s AH
buryong	b AG ʊ BA ɾ BE j AB o BA ŋ AK
buson	b AG ʊ BA s AH o BA n AF
butac	b AG ʊ BA t AI ɐ BA k AC
butaka	b AG ʊ BA t AI a AM x BC ɐ BA
buto	b AG ʊ BA t AI ʔ AL o BA
buwag	b AG w AJ a AM ɡ AC
buwakaw	b AG w AJ a AM x BC a AM ʊ̯ AJ
buwanan	b AG ʊ BA ɐ BA n AF ɐ BA n AF
buwaya	b AG w AJ ɐ BA j AB ɐ BA
buweltahan	b AG w AJ ɛ AM l AD t AI ɐ BA h AA a AM n AF
buwisit	b AG w AJ i AM s AH ɪ AM t AI
cabahug	k AC x BC ɐ BA b AG ɐ BA h AA ʊ BA ɡ AC
cabanayan	k AC x BC ɐ BA b AG ɐ BA n AF ɐ BA j AB ɐ BA n AF
cabanlit	k AC x BC ɐ BA b AG ɐ BA n AF l AD ɪ AM t AI
cabasag	k AC x BC ɐ BA b AG ɐ BA s AH ɐ BA ɡ AC
cabiling	k AC x BC ɐ BA b AG ɪ AM l AD ɪ AM ŋ AK
cabral	k AC x BC ɐ BA b AG ɾ BE ɐ BA l AD
cabuhat	k AC x BC ɐ BA b AG ʊ BA h AA ɐ BA t AI
cabungcal	k AC x BC ɐ BA b AG ʊ BA ŋ AK k AC ɐ BA l AD
cacdac	k AC x BC ɐ BA k AC d AI ɐ BA k AC
cadano	k AC x BC ɐ BA d AI ɐ BA n AF o BA
cadapan	k AC x BC ɐ BA d AI ɐ BA p AG ɐ BA n AF
cadayona	k AC x BC ɐ BA d AI ɐ BA j AB o BA n AF ɐ BA
cagalingan	k AC x BC ɐ BA ɰ AB ɐ BA l AD ɪ AM ŋ AK ɐ BA n AF
caguiat	k AC x BC ɐ BA ɡ AC j AB ɐ BA t AI
caguioa	k AC x BC ɐ BA ɰ AB ɪ AM w AJ ɐ BA
calalo	k AC x BC ɐ BA l AD ɐ BA l AD o BA
calaunan	k AC x BC ɐ BA l AD ɐ BA ʔ AL ʊ BA n AF ɐ BA n AF
calaycay	k AC x BC ɐ BA l AD a AM ɪ̯ AB x BC a AM ɪ̯ AB
calinawan	k AC x BC ɐ BA l AD ɪ AM n AF ɐ BA w AJ ɐ BA n AF
calingasan	k AC x BC ɐ BA l AD ɪ AM ŋ AK ɐ BA s AH ɐ BA n AF
calinisan	k AC x BC ɐ BA l AD ɪ AM n AF ɪ AM s AH ɐ BA n AF
calma	k AC x BC ɐ BA l AD m AE ɐ BA
campo	k AC x BC ɐ BA m AE p AG o BA
cancio	k AC x BC ɐ BA n AF s AH ɪ AM o BA
canicosa	k AC x BC ɐ BA n AF ɪ AM x BC o BA s AH ɐ BA
canilao	k AC x BC ɐ BA n AF ɪ AM l AD a AM ʊ̯ AJ
cantiveros	k AC x BC ɐ BA n AF t AI ɪ AM b AG ɛ AM ɾ BE o BA s AH
cantos	k AC x BC ɐ BA n AF t AI o BA s AH
caparas	k AC x BC ɐ BA p AG ɐ BA ɾ BE ɐ BA s AH
capinpin	k AC x BC ɐ BA p AG ɪ AM n AF p AG ɪ AM n AF
cardiño	k AC x BC ɐ BA ɾ BE d AI ɪ AM ɲ AK o BA
cariaso	k AC x BC ɐ BA ɾ BE j AB ɐ BA s AH o BA
carillo	k AC x BC ɐ BA ɾ BE ɪ AM l AD l AD o BA
carrillo	k AC x BC ɐ BA ɾ BE ɾ BE ɪ AM l AD l AD o BA
casal	k AC x BC ɐ BA s AH ɐ BA l AD
casanova	k AC x BC ɐ BA s AH ɐ BA n AF o BA b AG ɐ BA
casao	k AC x BC ɐ BA s AH ɐ BA o BA
caseda	k AC x BC ɐ BA s AH ɛ AM d AI ɐ BA
castañeda	k AC x BC ɐ BA s AH t AI ɐ BA ɲ AK ɛ AM d AI ɐ BA
castrence	k AC x BC ɐ BA s AH t AI ɾ BE ɛ AM n AF s AH ɛ AM
catapang	k AC x BC ɐ BA t AI ɐ BA p AG ɐ BA ŋ AK
catibog	k AC x BC ɐ BA t AI ɪ AM b AG o BA ɡ AC
catimbang	k AC x BC ɐ BA t AI ɪ AM m AE b AG ɐ BA ŋ AK
catipon	k AC x BC ɐ BA t AI ɪ AM p AG o BA n AF
catral	k AC x BC ɐ BA t AI ɾ BE ɐ BA l AD
cauilan	k AC x BC ɐ BA w AJ ɪ AM l AD ɐ BA n AF
cenizal	s AH ɛ AM n AF ɪ AM s AH ɐ BA l AD
cerillo	s AH ɛ AM ɾ BE ɪ AM l AD l AD o BA
ching	t AI ʃ AH ɪ AM ŋ AK
cinco	s AH ɪ AM ŋ AK k AC o BA
closa	k AC x BC l AD o BA s AH ɐ BA
collado	k AC x BC o BA l AD l AD ɐ BA d AI o BA
cometa	k AC x BC o BA m AE ɛ AM t AI ɐ BA
comia	k AC x BC o BA m AE ɪ AM ɐ BA
condez	k AC x BC o BA n AF d AI ɛ AM s AH
coquia	k AC x BC o BA x BC ɪ AM ɐ BA
corcuera	k AC x BC o BA ɾ BE k AC w AJ ɛ AM ɾ BE ɐ BA
cornejo	k AC x BC o BA ɾ BE n AF ɛ AM d AI ʒ AH o BA
coronel	k AC x BC o BA ɾ BE o BA n AF ɛ AM l AD
corrales	k AC x BC o BA ɾ BE ɾ BE ɐ BA l AD ɛ AM s AH
correa	k AC x BC o BA ɾ BE ɾ BE ɛ AM ɐ BA
corro	k AC x BC o BA ɾ BE ɾ BE o BA
cosico	k AC x BC o BA s AH ɪ AM x BC o BA
cruzat	k AC x BC ɾ BE ʊ BA s AH ɐ BA t AI
cuasay	k AC w AJ ɐ BA s AH a AM ɪ̯ AB
cubacub	k AC x BC ʊ BA b AG ɐ BA x BC ʊ BA b AG
cuizon	k AC x BC ʊ BA ɪ AM s AH o BA n AF
custodio	k AC x BC ʊ BA s AH t AI o BA d AI ʒ AH o BA
daan	d AI ɐ BA ʔ AL a AM n AF
dacanay	d AI ɐ BA x BC ɐ BA n AF a AM ɪ̯ AB
dado	d AI ɐ BA d AI o BA
daga	d AI ɐ BA ɰ AB a AM ʔ AL
dagat	d AI a AM ɰ AB ɐ BA t AI
dagta	d AI ɐ BA ɡ AC t AI a AM ʔ AL
dahas	d AI ɐ BA h AA a AM s AH
dahilan	d AI ɐ BA h AA ɪ AM l AD a AM n AF
dakip	d AI ɐ BA x BC i AM p AG
dalagita	d AI ɐ BA l AD ɐ BA ɰ AB ɪ AM t AI ɐ BA
