aa	ɑː AE
aaroninsauva	ɑː AE r o̞ AF n i AD n s̠ ɑ AD u̯ AC ʋː AJ ɑ AD
aarre	ɑː AE rː e̞ AD ʔ
aarrearkku	ɑː AE rː e̞ AD ʔ ɑ AD r kː u AF
aarrelöytö	ɑː AE rː e̞ AD l l ø̞ AF y̯ t̪ ø̞ AF
aarresaari	ɑː AE rː e̞ AD s̠ s̠ ɑː AE r i AD
aasa	ɑː AE s̠ ɑ AD
aasainuskoinen	ɑː AE s̠ ɑ AD i̯ AB n u AF s̠ k o̞ AF i̯ AB n e̞ AD n
aasi	ɑː AE s̠ i AD
aasia	ɑː AE s̠ i AD ɑ AD
aasialainen	ɑː AE s̠ i AD ɑ AD l ɑ AD i̯ AB n e̞ AD n
aasimainen	ɑː AE s̠ i AD m ɑ AD i̯ AB n e̞ AD n
aasitamma	ɑː AE s̠ i AD t̪ ɑ AD mː ɑ AD
aatami	ɑː AE t̪ ɑ AD m i AD
aataminaikainen	ɑː AE t̪ ɑ AD m i AD n ɑ AD i̯ AB k ɑ AD i̯ AB n e̞ AD n
aataminomena	ɑː AE t̪ ɑ AD m i AD n o̞ AF m e̞ AD n ɑ AD
aate	ɑː AE t̪ e̞ AD ʔ
aateli	ɑː AE t̪ e̞ AD l i AD
aatelinen	ɑː AE t̪ e̞ AD l i AD n e̞ AD n
aatelismies	ɑː AE t̪ e̞ AD l i AD s̠ m i AD e̞̯ s̠
aatelisnainen	ɑː AE t̪ e̞ AD l i AD s̠ n ɑ AD i̯ AB n e̞ AD n
aatelisneiti	ɑː AE t̪ e̞ AD l i AD s̠ n e̞ AD i̯ AB t̪ i AD
aatelisrouva	ɑː AE t̪ e̞ AD l i AD s̠ r o̞ AF u̯ AC ʋː AJ ɑ AD
aatelisto	ɑː AE t̪ e̞ AD l i AD s̠ t̪ o̞ AF
aateloida	ɑː AE t̪ e̞ AD l o̞ AF i̯ AB d ɑ AD ʔ
aateloiminen	ɑː AE t̪ e̞ AD l o̞ AF i̯ AB m i AD n e̞ AD n
aatelointi	ɑː AE t̪ e̞ AD l o̞ AF i̯ AB n̪ t̪ i AD
aato	ɑː AE t̪ o̞ AF
aatos	ɑː AE t̪ o̞ AF s̠
aatra	ɑː AE t̪ r ɑ AD
aatteellinen	ɑː AE t̪ː e̞ː AE l l i AD n e̞ AD n
aatto	ɑː AE t̪ː o̞ AF
aava	ɑː AE ʋ AC ɑ AD
aave	ɑː AE ʋ AC e̞ AD ʔ
aavemainen	ɑː AE ʋ AC e̞ AD m ɑ AD i̯ AB n e̞ AD n
aavikko	ɑː AE ʋ AC i AD kː o̞ AF
aavikkoilves	ɑː AE ʋ AC i AD kː o̞ AF i AD l ʋ AC e̞ AD s̠
aavikkokenguru	ɑː AE ʋ AC i AD kː o̞ AF k e̞ AD ŋː u AF r u AF
aavikkolokki	ɑː AE ʋ AC i AD kː o̞ AF l o̞ AF kː i AD
aavikkopöllö	ɑː AE ʋ AC i AD kː o̞ AF p ø̞ AF lː ø̞ AF
aavikoituakseen	ɑː AE ʋ AC i AD k o̞ AF i̯ AB t̪ u AF ɑ AD k s̠ e̞ː AE n
aavikoituminen	ɑː AE ʋ AC i AD k o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
aavistaa	ɑː AE ʋ AC i AD s̠ t̪ ɑː AE ʔ
aavistamaton	ɑː AE ʋ AC i AD s̠ t̪ ɑ AD m ɑ AD t̪ o̞ AF n
aavistamatta	ɑː AE ʋ AC i AD s̠ t̪ ɑ AD m ɑ AD t̪ː ɑ AD
aavistaminen	ɑː AE ʋ AC i AD s̠ t̪ ɑ AD m i AD n e̞ AD n
aavisteleminen	ɑː AE ʋ AC i AD s̠ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
aavistus	ɑː AE ʋ AC i AD s̠ t̪ u AF s̠
abakus	ɑ AD b ɑ AD k u AF s̠
abbedissa	ɑ AD bː e̞ AD d i AD s̠ː ɑ AD
abbreviaatio	ɑ AD bː r e̞ AD ʋ AC i AD ɑː AE t̪ i AD o̞ AF
abdikaatio	ɑ AD b d i AD k ɑː AE t̪ i AD o̞ AF
abdominaalinen	ɑ AD b d o̞ AF m i AD n ɑː AE l i AD n e̞ AD n
aberraatio	ɑ AD b e̞ AD r r ɑː AE t̪ i AD o̞ AF
abessiivi	ɑ AD b e̞ AD s̠ s̠ iː AE ʋ AC i AD
abessinialainen	ɑ AD b e̞ AD s̠ː i AD n i AD ɑ AD l ɑ AD i̯ AB n e̞ AD n
abi	ɑ AD b i AD
abioottinen	ɑ AD b i AD o̞ː AG t̪ː i AD n e̞ AD n
ablatiivi	ɑ AD b l ɑ AD t̪ iː AE ʋ AC i AD
ablaut	ɑ AD b l ɑ AD u AF t̪
abnormaali	ɑ AD b n o̞ AF r m ɑː AE l i AD
abnormi	ɑ AD b n o̞ AF r m i AD
aboriginaali	ɑ AD b o̞ AF r i AD ɡ i AD n ɑː AE l i AD
abortoida	ɑ AD b o̞ AF r t̪ o̞ AF i̯ AB d ɑ AD ʔ
abortti	ɑ AD b o̞ AF r t̪ː i AD
abrakadabra	ɑ AD b r ɑ AD k ɑ AD d ɑ AD b r ɑ AD
absessi	ɑ AD b s̠ e̞ AD s̠ː i AD
absintti	ɑ AD b s̠ i AD n̪ t̪ː i AD
absolutismi	ɑ AD b s̠ o̞ AF l u AF t̪ i AD s̠ m i AD
absolutistinen	ɑ AD b s̠ o̞ AF l u AF t̪ i AD s̠ t̪ i AD n e̞ AD n
absoluutti	ɑ AD b s̠ o̞ AF l uː AG t̪ː i AD
absorboida	ɑ AD b s̠ o̞ AF r b o̞ AF i̯ AB d ɑ AD ʔ
absorboiminen	ɑ AD b s̠ o̞ AF r b o̞ AF i̯ AB m i AD n e̞ AD n
absorboitua	ɑ AD b s̠ o̞ AF r b o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
absorboituakseen	ɑ AD b s̠ o̞ AF r b o̞ AF i̯ AB t̪ u AF ɑ AD k s̠ e̞ː AE n
absorboituminen	ɑ AD b s̠ o̞ AF r b o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
absorptio	ɑ AD b s̠ o̞ AF r p t̪ i AD o̞ AF
absorptiokyky	ɑ AD b s̠ o̞ AF r p t̪ i AD o̞ AF k y AF k y AF
absorptioviiva	ɑ AD b s̠ o̞ AF r p t̪ i AD o̞ AF ʋ AC iː AE ʋ AC ɑ AD
abstrahoida	ɑ AD b s̠ t̪ r ɑ AD h AA o̞ AF i̯ AB d ɑ AD ʔ
abstrahoiminen	ɑ AD b s̠ t̪ r ɑ AD h AA o̞ AF i̯ AB m i AD n e̞ AD n
abstrahointi	ɑ AD b s̠ t̪ r ɑ AD h AA o̞ AF i̯ AB n̪ t̪ i AD
abstrahoitua	ɑ AD b s̠ t̪ r ɑ AD h AA o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
abstrahoituma	ɑ AD b s̠ t̪ r ɑ AD h AA o̞ AF i̯ AB t̪ u AF m ɑ AD
abstrahoituminen	ɑ AD b s̠ t̪ r ɑ AD h AA o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
abstrakti	ɑ AD b s̠ t̪ r ɑ AD k t̪ i AD
abstraktinen	ɑ AD b s̠ t̪ r ɑ AD k t̪ i AD n e̞ AD n
abstraktio	ɑ AD b s̠ t̪ r ɑ AD k t̪ i AD o̞ AF
abstraktistaminen	ɑ AD b s̠ t̪ r ɑ AD k t̪ i AD s̠ t̪ ɑ AD m i AD n e̞ AD n
abstraktistuminen	ɑ AD b s̠ t̪ r ɑ AD k t̪ i AD s̠ t̪ u AF m i AD n e̞ AD n
abstraktoida	ɑ AD b s̠ t̪ r ɑ AD k t̪ o̞ AF i̯ AB d ɑ AD ʔ
absurdi	ɑ AD b s̠ u AF r d i AD
absurdisti	ɑ AD b s̠ u AF r d i AD s̠ t̪ i AD ʔ
abyssaalinen	ɑ AD b y AF s̠ s̠ ɑː AE l i AD n e̞ AD n
adamantiini	ɑ AD d ɑ AD m ɑ AD n̪ t̪ iː AE n i AD
adamiitti	ɑ AD d ɑ AD m iː AE t̪ː i AD
adapteri	ɑ AD d ɑ AD p t̪ e̞ AD r i AD
adapterit	ɑ AD d ɑ AD p t̪ e̞ AD r i AD t̪
adaptiivinen	ɑ AD d ɑ AD p t̪ iː AE ʋ AC i AD n e̞ AD n
adaptoida	ɑ AD d ɑ AD p t̪ o̞ AF i̯ AB d ɑ AD ʔ
adaptoiminen	ɑ AD d ɑ AD p t̪ o̞ AF i̯ AB m i AD n e̞ AD n
adaptoitua	ɑ AD d ɑ AD p t̪ o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
addiktio	ɑ AD dː i AD k t̪ i AD o̞ AF
addiktoiva	ɑ AD dː i AD k t̪ o̞ AF i̯ AB ʋ AC ɑ AD
additiivinen	ɑ AD dː i AD t̪ iː AE ʋ AC i AD n e̞ AD n
additioreaktio	ɑ AD dː i AD t̪ i AD o̞ AF r e̞ AD ɑ AD k t̪ i AD o̞ AF
addressi	ɑ AD dː r e̞ AD s̠ː i AD
adekvaatti	ɑ AD d e̞ AD k ʋ AC ɑː AE t̪ː i AD
adessiivi	ɑ AD d e̞ AD s̠ s̠ iː AE ʋ AC i AD
adiabaatti	ɑ AD d i AD ɑ AD b ɑː AE t̪ː i AD
adiabaattinen	ɑ AD d i AD ɑ AD b ɑː AE t̪ː i AD n e̞ AD n
adipolyysi	ɑ AD d i AD p o̞ AF l yː AG s̠ i AD
adjektiivi	ɑ AD d j AB e̞ AD k t̪ iː AE ʋ AC i AD
adjungaatti	ɑ AD d j AB u AF ŋ ɡ ɑː AE t̪ː i AD
admittanssi	ɑ AD d m i AD t̪ t̪ ɑ AD n s̠ː i AD
adoptio	ɑ AD d o̞ AF p t̪ i AD o̞ AF
adoptoida	ɑ AD d o̞ AF p t̪ o̞ AF i̯ AB d ɑ AD ʔ
adoptoiminen	ɑ AD d o̞ AF p t̪ o̞ AF i̯ AB m i AD n e̞ AD n
adoptointi	ɑ AD d o̞ AF p t̪ o̞ AF i̯ AB n̪ t̪ i AD
adpositio	ɑ AD d p o̞ AF s̠ i AD t̪ i AD o̞ AF
adrenaliini	ɑ AD d r e̞ AD n ɑ AD l iː AE n i AD
adressi	ɑ AD d r e̞ AD s̠ː i AD
adressia	ɑ AD d r e̞ AD s̠ s̠ i AD ɑ AD
adsorboiminen	ɑ AD d s̠ o̞ AF r b o̞ AF i̯ AB m i AD n e̞ AD n
adsorboitua	ɑ AD d s̠ o̞ AF r b o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
adsorboituminen	ɑ AD d s̠ o̞ AF r b o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
adsorptiokromatografia	ɑ AD d s̠ o̞ AF r p t̪ i AD o̞ AF k r o̞ AF m ɑ AD t̪ o̞ AF ɡ r ɑ AD f i AD ɑ AD
adsukipapu	ɑ AD d s̠ u AF k i AD p ɑ AD p u AF
adventti	ɑ AD d ʋ AC e̞ AD n̪ t̪ː i AD
adventtikalenteri	ɑ AD d ʋ AC e̞ AD n̪ t̪ː i AD k ɑ AD l e̞ AD n t̪ e̞ AD r i AD
adverbi	ɑ AD d ʋ AC e̞ AD r b i AD
adverbiaali	ɑ AD d ʋ AC e̞ AD r b i AD ɑː AE l i AD
adverbiaalinen	ɑ AD d ʋ AC e̞ AD r b i AD ɑː AE l i AD n e̞ AD n
adverbilauseke	ɑ AD d ʋ AC e̞ AD r b i AD l ɑ AD u̯ AC s̠ e̞ AD k e̞ AD ʔ
adversatiivinen	ɑ AD d ʋ AC e̞ AD r s̠ ɑ AD t̪ iː AE ʋ AC i AD n e̞ AD n
aedeagus	ɑ AD e̞ AD d e̞ AD ɑː AE ɡ u AF s̠
aerobic	ɑ AD e̞ AD r o̞ AF b i AD kː i AD
aerobikata	ɑ AD e̞ AD r o̞ AF b i AD k ɑ AD t̪ ɑ AD ʔ
aerobinen	ɑ AD e̞ AD r o̞ AF b i AD n e̞ AD n
aerodynaaminen	ɑ AD e̞ AD r o̞ AF d y AF n ɑː AE m i AD n e̞ AD n
aerodynamiikka	ɑ AD e̞ AD r o̞ AF d y AF n ɑ AD m iː AE kː ɑ AD
aerologia	ɑ AD e̞ AD r o̞ AF l o̞ AF ɡ i AD ɑ AD
aerometri	ɑ AD e̞ AD r o̞ AF m e̞ AD t̪ r i AD
aerometria	ɑ AD e̞ AD r o̞ AF m e̞ AD t̪ r i AD ɑ AD
aeronomi	ɑ AD e̞ AD r o̞ AF n o̞ AF m i AD
aeronomia	ɑ AD e̞ AD r o̞ AF n o̞ AF m i AD ɑ AD
aerosoli	ɑ AD e̞ AD r o̞ AF s̠ o̞ AF l i AD
affiliaatio	ɑ AD fː i AD l i AD ɑː AE t̪ i AD o̞ AF
afgaani	ɑ AD f ɡ ɑː AE n i AD
afgaaninvinttikoira	ɑ AD f ɡ ɑː AE n i AD n ʋ AC i AD n̪ t̪ː i AD k o̞ AF i̯ AB r ɑ AD
afganistanilainen	ɑ AD f ɡ ɑ AD n i AD s̠ t̪ ɑ AD n i AD l ɑ AD i̯ AB n e̞ AD n
aforismi	ɑ AD f o̞ AF r i AD s̠ m i AD
aforistinen	ɑ AD f o̞ AF r i AD s̠ t̪ i AD n e̞ AD n
afrikaans	ɑ AD f r i AD k ɑː AE n s̠
afrikkalainen	ɑ AD f r i AD kː ɑ AD l ɑ AD i̯ AB n e̞ AD n
afrosuomalainen	ɑ AD f r o̞ AF s̠ u AF o̞ AF m ɑ AD l ɑ AD i̯ AB n e̞ AD n
agaave	ɑ AD ɡ ɑː AE ʋ AC e̞ AD
agalmatoliitti	ɑ AD ɡ ɑ AD l m ɑ AD t̪ o̞ AF l iː AE t̪ː i AD
agentti	ɑ AD ɡ e̞ AD n̪ t̪ː i AD
agglutinoida	ɑ AD ɡː l u AF t̪ i AD n o̞ AF i̯ AB d ɑ AD ʔ
aggregaatio	ɑ AD ɡː r e̞ AD ɡ ɑː AE t̪ i AD o̞ AF
aggregoida	ɑ AD ɡː r e̞ AD ɡ o̞ AF i̯ AB d ɑ AD ʔ
aggressiivinen	ɑ AD ɡː r e̞ AD s̠ s̠ iː AE ʋ AC i AD n e̞ AD n
aggressiivisuus	ɑ AD ɡː r e̞ AD s̠ s̠ iː AE ʋ AC i AD s̠ uː AG s̠
agility	ɑ AD ɡ i AD l i AD t̪ y AF
agitoida	ɑ AD ɡ i AD t̪ o̞ AF i̯ AB d ɑ AD ʔ
agitoiminen	ɑ AD ɡ i AD t̪ o̞ AF i̯ AB m i AD n e̞ AD n
agnostikko	ɑ AD ɡ n o̞ AF s̠ t̪ i AD kː o̞ AF
agnostinen	ɑ AD ɡ n o̞ AF s̠ t̪ i AD n e̞ AD n
agnostisismi	ɑ AD ɡ n o̞ AF s̠ t̪ i AD s̠ i AD s̠ m i AD
agnostisuus	ɑ AD ɡ n o̞ AF s̠ t̪ i AD s̠ uː AG s̠
agogiikka	ɑ AD ɡ o̞ AF ɡ iː AE kː ɑ AD
agogo	ɑ AD ɡ o̞ AF ɡ o̞ AF
agonaalinen	ɑ AD ɡ o̞ AF n ɑː AE l i AD n e̞ AD n
agonia	ɑ AD ɡ o̞ AF n i AD ɑ AD
agonisti	ɑ AD ɡ o̞ AF n i AD s̠ t̪ i AD
agorafobia	ɑ AD ɡ o̞ AF r ɑ AD f o̞ AF b i AD ɑ AD
agrologia	ɑ AD ɡ r o̞ AF l o̞ AF ɡ i AD ɑ AD
agronomia	ɑ AD ɡ r o̞ AF n o̞ AF m i AD ɑ AD
ah	ɑ AD h AA
aha	ɑ AD ɦ AA ɑ AD ʔ
ahaa	ɑ AD ɦ AA ɑː AE
ahava	ɑ AD ɦ AA ɑ AD ʋ AC ɑ AD
ahavoittaa	ɑ AD ɦ AA ɑ AD ʋ AC o̞ AF i̯ AB t̪ː ɑː AE ʔ
ahavoittaminen	ɑ AD ɦ AA ɑ AD ʋ AC o̞ AF i̯ AB t̪ː ɑ AD m i AD n e̞ AD n
ahavoitua	ɑ AD ɦ AA ɑ AD ʋ AC o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
ahavoituminen	ɑ AD ɦ AA ɑ AD ʋ AC o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
ahdas	ɑ AD x d ɑ AD s̠
ahdata	ɑ AD x d ɑ AD t̪ ɑ AD ʔ
ahde	ɑ AD x d e̞ AD ʔ
ahdin	ɑ AD x d i AD n
ahdinko	ɑ AD x d i AD ŋ k o̞ AF
ahdistaa	ɑ AD x d i AD s̠ t̪ ɑː AE ʔ
ahdistaminen	ɑ AD x d i AD s̠ t̪ ɑ AD m i AD n e̞ AD n
ahdisteleminen	ɑ AD x d i AD s̠ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
ahdistelu	ɑ AD x d i AD s̠ t̪ e̞ AD l u AF
ahdistua	ɑ AD x d i AD s̠ t̪ u AF ɑ AD ʔ
ahdistuminen	ɑ AD x d i AD s̠ t̪ u AF m i AD n e̞ AD n
ahdistus	ɑ AD x d i AD s̠ t̪ u AF s̠
ahdistushäiriö	ɑ AD x d i AD s̠ t̪ u AF s̠ h AA æ AD i̯ AB r i AD ø̞ AF
ahdos	ɑ AD x d o̞ AF s̠
ahertaa	ɑ AD ɦ AA e̞ AD r t̪ ɑː AE ʔ
ahertaminen	ɑ AD ɦ AA e̞ AD r t̪ ɑ AD m i AD n e̞ AD n
ahjo	ɑ AD x j AB o̞ AF
ahjohiili	ɑ AD x j AB o̞ AF h AA iː AE l i AD
ahkera	ɑ AD x k e̞ AD r ɑ AD
ahkeroida	ɑ AD x k e̞ AD r o̞ AF i̯ AB d ɑ AD ʔ
ahkeroiminen	ɑ AD x k e̞ AD r o̞ AF i̯ AB m i AD n e̞ AD n
ahkeroitseminen	ɑ AD x k e̞ AD r o̞ AF i̯ AB t s̠ e̞ AD m i AD n e̞ AD n
ahkio	ɑ AD x k i AD o̞ AF
ahma	ɑ AD x m ɑ AD
ahmaiseminen	ɑ AD x m ɑ AD i̯ AB s̠ e̞ AD m i AD n e̞ AD n
ahmaista	ɑ AD x m ɑ AD i̯ AB s̠ t̪ ɑ AD ʔ
ahmatti	ɑ AD x m ɑ AD t̪ː i AD
ahmia	ɑ AD x m i AD ɑ AD ʔ
ahmiminen	ɑ AD x m i AD m i AD n e̞ AD n
ahmimishäiriö	ɑ AD x m i AD m i AD s̠ h AA æ AD i̯ AB r i AD ø̞ AF
ahmintahäiriö	ɑ AD x m i AD n̪ t̪ ɑ AD h AA æ AD i̯ AB r i AD ø̞ AF
ahnas	ɑ AD x n ɑ AD s̠
ahnasta	ɑ AD x n ɑ AD s̠ t̪ ɑ AD
ahne	ɑ AD x n e̞ AD ʔ
ahnehtia	ɑ AD x n e̞ AD h AA t̪ i AD ɑ AD ʔ
ahnehtiminen	ɑ AD x n e̞ AD h AA t̪ i AD m i AD n e̞ AD n
ahneus	ɑ AD x n e̞ AD u AF s̠
aho	ɑ AD ɦ AA o̞ AF
ahola	ɑ AD ɦ AA o̞ AF l ɑ AD
aholainen	ɑ AD ɦ AA o̞ AF l ɑ AD i̯ AB n e̞ AD n
aholeinikki	ɑ AD ɦ AA o̞ AF l e̞ AD i̯ AB n i AD kː i AD
ahomansikka	ɑ AD ɦ AA o̞ AF m ɑ AD n s̠ i AD kː ɑ AD
ahosuolaheinä	ɑ AD ɦ AA o̞ AF s̠ u AF o̞̯ l ɑ AD h AA e̞ AD i̯ AB n æ AD
ahtaa	ɑ AD x t̪ ɑː AE ʔ
ahtaanpaikankammo	ɑ AD x t̪ ɑː AE m p ɑ AD i̯ AB k ɑ AD ŋ k ɑ AD mː o̞ AF
ahtaminen	ɑ AD x t̪ ɑ AD m i AD n e̞ AD n
ahtaneeksi	ɑ AD x t̪ ɑ AD n e̞ː AE k s̠ i AD
ahtaneella	ɑ AD x t̪ ɑ AD n e̞ː AE lː ɑ AD
ahtaneelle	ɑ AD x t̪ ɑ AD n e̞ː AE lː e̞ AD ʔ
ahtaneelta	ɑ AD x t̪ ɑ AD n e̞ː AE l t̪ ɑ AD
ahtaneen	ɑ AD x t̪ ɑ AD n e̞ː AE n
ahtaneena	ɑ AD x t̪ ɑ AD n e̞ː AE n ɑ AD
ahtaneeseen	ɑ AD x t̪ ɑ AD n e̞ː AE s̠ e̞ː AE n
ahtaneessa	ɑ AD x t̪ ɑ AD n e̞ː AE s̠ː ɑ AD
ahtaneesta	ɑ AD x t̪ ɑ AD n e̞ː AE s̠ t̪ ɑ AD
ahtaneetta	ɑ AD x t̪ ɑ AD n e̞ː AE t̪ː ɑ AD
ahtanutta	ɑ AD x t̪ ɑ AD n u AF t̪ː ɑ AD
ahtauma	ɑ AD x t̪ ɑ AD u AF m ɑ AD
ahtaus	ɑ AD x t̪ ɑ AD u AF s̠
ahtauttaa	ɑ AD x t̪ ɑ AD u AF t̪ː ɑː AE ʔ
ahtauttaminen	ɑ AD x t̪ ɑ AD u AF t̪ː ɑ AD m i AD n e̞ AD n
