ᆜ	j AB ɯ AJ
가독성	k AC a̠ AJ d AC o̞ AK k AC s͈ AL ʌ̹ ŋ AF
가돌리늄	k AC a̠ AJ d AC o̞ AK ʎ AN ʎ AN i AJ ɲ AF j AB u AK m AE
가동	k AC a̠ AJ d AC o̞ AK ŋ AF
가두녀성	k AC a̠ AJ d AC u AK ɲ AF j AB ʌ̹ sʰ BB ʌ̹ ŋ AF
가두다	k AC a̠ AJ d AC u AK d AC a̠ AJ
가두리	k AC a̠ː AJ d AC u AK ɾ BA i AJ
가드	k AC a̠ AJ d AC ɯ AJ
가득	k AC a̠ AJ d AC ɯ AJ k̚
가득가득	k AC a̠ AJ d AC ɯ AJ k̚ k͈ AC a̠ AJ d AC ɯ AJ k̚
가득하다	k AC a̠ AJ d AC ɯ AJ kʰ AD a̠ AJ d AC a̠ AJ
가따까나	k AC a̠ AJ t͈ AC a̠ AJ k͈ AC a̠ AJ n AF a̠ AJ
가라데	k AC a̠ AJ ɾ BA a̠ AJ d AC e̞ AJ
가라앉다	k AC a̠ AJ ɾ BA a̠ AJ a̠ AJ n AF t͈ AC a̠ AJ
가라오케	k AC a̠ AJ ɾ BA a̠ AJ o̞ AK kʰ AD e̞ AJ
가락	k AC a̠ AJ ɾ BA a̠ AJ k̚
가락점	k AC a̠ AJ ɾ BA a̠ AJ k̚ t AC ɕ͈ ʌ̹ m AE
가락지	k AC a̠ AJ ɾ BA a̠ AJ k̚ t AC ɕ͈ i AJ
가락지빵	k AC a̠ AJ ɾ BA a̠ AJ k̚ t AC ɕ͈ i AJ p͈ AG a̠ AJ ŋ AF
가람	k AC a̠ AJ ɾ BA a̠ AJ m AE
가랑비	k AC a̠ AJ ɾ BA a̠ AJ ŋ AF b AG i AJ
가련하다	k AC a̠ː AJ ɾ BA j AB ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
가련히	k AC a̠ AJ ɾ BA j AB ʌ̹ n AF ʝ AL i AJ
가렵다	k AC a̠ AJ ɾ BA j AB ʌ̹ p̚ t͈ AC a̠ AJ
가령	k AC a̠ː AJ ɾ BA j AB ʌ̹ ŋ AF
가로	k AC a̠ AJ ɾ BA o̞ AK
가로다	k AC a̠ AJ ɾ BA o̞ AK d AC a̠ AJ
가로등	k AC a̠ AJ ɾ BA o̞ AK d AC ɯ AJ ŋ AF
가로막	k AC a̠ AJ ɾ BA o̞ AK m AE a̠ AJ k̚
가루	k AC a̠ AJ ɾ BA u AK
가르다	k AC a̠ AJ ɾ BA ɯ AJ d AC a̠ AJ
가르치다	k AC a̠ AJ ɾ BA ɯ AJ t AC ɕʰ BB i AJ d AC a̠ AJ
가르침	k AC a̠ AJ ɾ BA ɯ AJ t AC ɕʰ BB i AJ m AE
가름	k AC a̠ AJ ɾ BA ɯ AJ m AE
가리다	k AC a̠ AJ ɾ BA i AJ d AC a̠ AJ
가리비	k AC a̠ AJ ɾ BA i AJ b AG i AJ
가마	k AC a̠ː AJ m AE a̠ AJ
가마솥	k AC a̠ AJ m AE a̠ AJ sʰ BB o̞ AK t̚
가마우지	k AC a̠ AJ m AE a̠ AJ u AK d AC ʑ AL i AJ
가마치	k AC a̠ AJ m AE a̠ AJ t AC ɕʰ BB i AJ
가만	k AC a̠ AJ m AE a̠ AJ n AF
가만가만	k AC a̠ AJ m AE a̠ AJ n AF ɡ AC a̠ AJ m AE a̠ AJ n AF
가만두다	k AC a̠ AJ m AE a̠ AJ n AF d AC u AK d AC a̠ AJ
가만히	k AC a̠ AJ m AE a̠ AJ n AF ʝ AL i AJ
가맣다	k AC a̠ː AJ m AE a̠ AJ tʰ AD a̠ AJ
가면	k AC a̠ː AJ m AE j AB ʌ̹ n AF
가면극	k AC a̠ː AJ m AE j AB ʌ̹ n AF ɡ AC ɯ AJ k̚
가명	k AC a̠ː AJ m AE j AB ʌ̹ ŋ AF
가무	k AC a̠ AJ m AE u AK
가무이야기	k AC a̠ AJ m AE u AK i AJ j AB a̠ AJ ɡ AC i AJ
가문	k AC a̠ AJ m AE u AK n AF
가물가물	k AC a̠ AJ m AE u AK ɭ AN ɡ AC a̠ AJ m AE u AK ɭ AN
가물치	k AC a̠ AJ m AE u AK ʎ AN t AC ɕʰ BB i AJ
가뭄	k AC a̠ AJ m AE u AK m AE
가뭇가뭇	k AC a̠ AJ m AE u AK t̚ k͈ AC a̠ AJ m AE u AK t̚
가미카제	k AC a̠ AJ m AE i AJ kʰ AD a̠ AJ d AC ʑ AL e̞ AJ
가발	k AC a̠ AJ b AG a̠ AJ ɭ AN
가방	k AC a̠ AJ b AG a̠ AJ ŋ AF
가벌	k AC a̠ AJ b AG ʌ̹ ɭ AN
가벼워지다	k AC a̠ AJ b AG j AB ʌ̹ w AI ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
가볍다	k AC a̠ AJ b AG j AB ʌ̹ p̚ t͈ AC a̠ AJ
가보	k AC a̠ AJ b AG o̞ AK
가보로네	k AC a̠ AJ b AG o̞ AK ɾ BA o̞ AK n AF e̞ AJ
가봉	k AC a̠ AJ b AG o̞ AK ŋ AF
가부좌	k AC a̠ AJ b AG u AK d AC ʑ AL w AI a̠ AJ
가브리엘	k AC a̠ AJ b AG ɯ AJ ɾ BA i AJ e̞ AJ ɭ AN
가사	k AC a̠ AJ sʰ BB a̠ AJ
가산	k AC a̠ AJ sʰ BB a̠ AJ n AF
가설	k AC a̠ː AJ sʰ BB ʌ̹ ɭ AN
가설법	k AC a̠ː AJ sʰ BB ʌ̹ ɭ AN p͈ AG ʌ̹ p̚
가성비	k AC a̠ AJ sʰ BB ʌ̹ ŋ AF b AG i AJ
가세	k AC a̠ AJ sʰ BB e̞ AJ
가소롭다	k AC a̠ː AJ sʰ BB o̞ AK ɾ BA o̞ AK p̚ t͈ AC a̠ AJ
가소제	k AC a̠ː AJ sʰ BB o̞ AK d AC ʑ AL e̞ AJ
가솔린	k AC a̠ AJ sʰ BB o̞ AK ʎ AN ʎ AN i AJ n AF
가수	k AC a̠ AJ sʰ BB u AK
가숭어	k AC a̠ː AJ sʰ BB u AK ŋ AF ʌ̹
가스	k͈ AC a̠ AJ sʰ BB ɯ AJ
가스나이	k AC a̠ AJ sʰ BB ɯ AJ n AF a̠ AJ i AJ
가스레인지	k AC a̠ AJ sʰ BB ɯ AJ ɾ BA e̞ AJ i AJ ɲ AF d AC ʑ AL i AJ
가스파초	k AC a̠ AJ sʰ BB ɯ AJ pʰ AH a̠ AJ t AC ɕʰ BB o̞ AK
가슴	k AC a̠ AJ sʰ BB ɯ AJ m AE
가슴뼈	k AC a̠ AJ sʰ BB ɯ AJ m AE p͈ AG j AB ʌ̹
가슴주머니	k AC a̠ AJ sʰ BB ɯ AJ m AE d AC ʑ AL u AK m AE ʌ̹ n AF i AJ
가시	k AC a̠ AJ ɕʰ BB i AJ
가시고기	k AC a̠ AJ ɕʰ BB i AJ ɡ AC o̞ AK ɡ AC i AJ
가시나	k AC a̠ AJ ɕʰ BB i AJ n AF a̠ AJ
가시나무	k AC a̠ AJ ɕʰ BB i AJ n AF a̠ AJ m AE u AK
가시납지리	k AC a̠ AJ ɕʰ BB i AJ n AF a̠ AJ p̚ t AC ɕ͈ i AJ ɾ BA i AJ
가시다	k AC a̠ AJ ɕʰ BB i AJ d AC a̠ AJ
가시버시	k AC a̠ AJ ɕʰ BB i AJ b AG ʌ̹ ɕʰ BB i AJ
가시아버지	k AC a̠ AJ ɕʰ BB i AJ a̠ AJ b AG ʌ̹ d AC ʑ AL i AJ
가시어머니	k AC a̠ AJ ɕʰ BB i AJ ʌ̹ m AE ʌ̹ n AF i AJ
가시집	k AC a̠ AJ ɕʰ BB i AJ d AC ʑ AL i AJ p̚
가시화	k AC a̠ AJ ɕʰ BB i AJ β AM w AI a̠ AJ
가식	k AC a̠ː AJ ɕʰ BB i AJ k̚
가식하다	k AC a̠ː AJ ɕʰ BB i AJ kʰ AD a̠ AJ d AC a̠ AJ
가야	k AC a̠ AJ j AB a̠ AJ
가야금	k AC a̠ AJ j AB a̠ AJ ɡ AC ɯ AJ m AE
가언적	k AC a̠ AJ ʌ̹ ɲ AF d AC ʑ AL ʌ̹ k̚
가없다	k AC a̠ː AJ ʌ̹ p̚ t͈ AC a̠ AJ
가없이	k AC a̠ː AJ ʌ̹ p AG ɕ͈ i AJ
가엾다	k AC a̠ː AJ j AB ʌ̹ p̚ t͈ AC a̠ AJ
가오	k AC a̠ AJ o̞ AK
가오리	k AC a̠ AJ o̞ AK ɾ BA i AJ
가요	k AC a̠ AJ j AB o AK
가운데	k AC a̠ AJ u AK n AF d AC e̞ AJ
가운데소리	k AC a̠ AJ u AK n AF d AC e̞ AJ sʰ BB o̞ AK ɾ BA i AJ
가위	k AC a̠ AJ ɥ AI i AJ
가위바위보	k AC a̠ AJ ɥ AI i AJ b AG a̠ AJ ɥ AI i AJ b AG o̞ AK
가을	k AC a̠ AJ ɯ AJ ɭ AN
가을철	k AC a̠ AJ ɯ AJ ʎ AN t AC ɕʰ BB ʌ̹ ɭ AN
가이드	k AC a̠ AJ i AJ d AC ɯ AJ
가이아나	k AC a̠ AJ i AJ a̠ AJ n AF a̠ AJ
가자	k AC a̠ AJ d AC ʑ AL a̠ AJ
가장	k AC a̠ː AJ d AC ʑ AL a̠ AJ ŋ AF
가장자리	k AC a̠ː AJ d AC ʑ AL a̠ AJ ŋ AF d AC ʑ AL a̠ AJ ɾ BA i AJ
가정	k AC a̠ː AJ d AC ʑ AL ʌ̹ ŋ AF
가정법	k AC a̠ː AJ d AC ʑ AL ʌ̹ ŋ AF p͈ AG ʌ̹ p̚
가정부	k AC a̠ AJ d AC ʑ AL ʌ̹ ŋ AF b AG u AK
가제	k AC a̠ AJ d AC ʑ AL e̞ AJ
가제따	k AC a̠ AJ d AC ʑ AL e̞ AJ t͈ AC a̠ AJ
가젤	k AC a̠ AJ d AC ʑ AL e̞ AJ ɭ AN
가져가다	k AC a̠ AJ d AC ʑ AL ʌ̹ ɡ AC a̠ AJ d AC a̠ AJ
가져오다	k AC a̠ AJ d AC ʑ AL ʌ̹ o̞ AK d AC a̠ AJ
가족	k AC a̠ AJ d AC ʑ AL o̞ AK k̚
가주	k AC a̠ AJ d AC ʑ AL u AK
가죽	k AC a̠ AJ d AC ʑ AL u AK k̚
가죽끈	k AC a̠ AJ d AC ʑ AL u AK k̚ k͈ AC ɯ AJ n AF
가지	k AC a̠ AJ d AC ʑ AL i AJ
가지가지	k AC a̠ AJ d AC ʑ AL i AJ ɡ AC a̠ AJ d AC ʑ AL i AJ
가지고	k AC a̠ AJ d AC ʑ AL i AJ ɡ AC o̞ AK
가지다	k AC a̠ AJ d AC ʑ AL i AJ d AC a̠ AJ
가지뿔	k AC a̠ AJ d AC ʑ AL i AJ p͈ AG u AK ɭ AN
가짜	k AC a̠ː AJ t AC ɕ͈ a̠ AJ
가차	k AC a̠ AJ t AC ɕʰ BB a̠ AJ
가창	k AC a̠ AJ t AC ɕʰ BB a̠ AJ ŋ AF
가창오리	k AC a̠ AJ t AC ɕʰ BB a̠ AJ ŋ AF o̞ AK ɾ BA i AJ
가축	k AC a̠ AJ t AC ɕʰ BB u AK k̚
가치	k AC a̠ AJ t AC ɕʰ BB i AJ
가치관	k AC a̠ AJ t AC ɕʰ BB i AJ ɡ AC w AI a̠ AJ n AF
가타나	k AC a̠ AJ tʰ AD a̠ AJ n AF a̠ AJ
가타카나	k AC a̠ AJ tʰ AD a̠ AJ kʰ AD a̠ AJ n AF a̠ AJ
가톨릭	k AC a̠ AJ tʰ AD o̞ AK ʎ AN ʎ AN i AJ k̚
가톨릭교회	k AC a̠ AJ tʰ AD o̞ AK ʎ AN ʎ AN i AJ k̚ k͈ AC j AB o AK β AM w AI e̞ AJ
가파르다	k AC a̠ AJ pʰ AH a̠ AJ ɾ BA ɯ AJ d AC a̠ AJ
가하다	k AC a̠ː AJ ɦ AA a̠ AJ d AC a̠ AJ
가히	k AC a̠ː AJ ʝ AL i AJ
각	k AC a̠ AJ k̚
각각	k AC a̠ AJ k̚ k͈ AC a̠ AJ k̚
각국	k AC a̠ AJ k̚ k͈ AC u AK k̚
각기	k AC a̠ AJ k̚ k͈ AC i AJ
각다귀	k AC a̠ AJ k̚ t͈ AC a̠ AJ ɡ AC ɥ AI i AJ
각도	k AC a̠ AJ k̚ t͈ AC o̞ AK
각막	k AC a̠ AJ ŋ AF m AE a̠ AJ k̚
각본	k AC a̠ AJ k̚ p͈ AG o̞ AK n AF
각선미	k AC a̠ AJ k AC s͈ AL ʌ̹ n AF m AE i AJ
각설	k AC a̠ AJ k AC s͈ AL ʌ̹ ɭ AN
각시	k AC a̠ AJ k AC ɕ͈ i AJ
각시붕어	k AC a̠ AJ k AC ɕ͈ i AJ b AG u AK ŋ AF ʌ̹
각자	k AC a̠ AJ k̚ t AC ɕ͈ a̠ AJ
각종	k AC a̠ AJ k̚ t AC ɕ͈ o̞ AK ŋ AF
각주구검	k AC a̠ AJ k̚ t AC ɕ͈ u AK ɡ AC u AK ɡ AC ʌ̹ m AE
각하	k AC a̠ AJ kʰ AD a̠ AJ
갂	k AC a̠ AJ k̚
간	k AC a̠ː AJ n AF
간간이	k AC a̠ AJ n AF ɡ AC a̠ AJ n AF i AJ
간계	k AC a̠ AJ n AF ɡ AC j AB e̞ AJ
간곡	k AC a̠ː AJ n AF ɡ AC o̞ AK k̚
간곡하다	k AC a̠ː AJ n AF ɡ AC o̞ AK kʰ AD a̠ AJ d AC a̠ AJ
간균	k AC a̠ AJ n AF ɡ AC j AB u AK n AF
간극	k AC a̠ AJ n AF ɡ AC ɯ AJ k̚
간단	k AC a̠ː AJ n AF d AC a̠ AJ n AF
간단하다	k AC a̠ː AJ n AF d AC a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
간단히	k AC a̠ AJ n AF d AC a̠ AJ n AF ʝ AL i AJ
간드리	k AC a̠ AJ n AF d AC ɯ AJ ɾ BA i AJ
간모	k AC a̠ AJ n AF m AE o̞ AK
간물	k AC a̠ AJ n AF m AE u AK ɭ AN
간부	k AC a̠ AJ n AF b AG u AK
간사	k AC a̠ AJ n AF sʰ BB a̠ AJ
간사하다	k AC a̠ AJ n AF sʰ BB a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
간선	k AC a̠ AJ n AF sʰ BB ʌ̹ n AF
간선도로	k AC a̠ AJ n AF sʰ BB ʌ̹ n AF d AC o̞ AK ɾ BA o̞ AK
간섭	k AC a̠ AJ n AF sʰ BB ʌ̹ p̚
간성	k AC a̠ AJ n AF sʰ BB ʌ̹ ŋ AF
간식	k AC a̠ː AJ n AF ɕʰ BB i AJ k̚
간신	k AC a̠ AJ n AF ɕʰ BB i AJ n AF
간쑤	k AC a̠ AJ n AF s͈ AL u AK
간악	k AC a̠ AJ n AF a̠ AJ k̚
간악하다	k AC a̠ AJ n AF a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
간유	k AC a̠ː AJ ɲ AF j AB u AK
간음	k AC a̠ː AJ n AF ɯ AJ m AE
간장	k AC a̠ː AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF
간절	k AC a̠ AJ ɲ AF d AC ʑ AL ʌ̹ ɭ AN
간접	k AC a̠ː AJ ɲ AF d AC ʑ AL ʌ̹ p̚
간접화법	k AC a̠ AJ ɲ AF d AC ʑ AL ʌ̹ pʰ AH w AI a̠ AJ b AG ʌ̹ p̚
간주	k AC a̠ː AJ ɲ AF d AC ʑ AL u AK
간지	k AC a̠ AJ ɲ AF d AC ʑ AL i AJ
간지럼	k AC a̠ AJ ɲ AF d AC ʑ AL i AJ ɾ BA ʌ̹ m AE
간직하다	k AC a̠ AJ ɲ AF d AC ʑ AL i AJ kʰ AD a̠ AJ d AC a̠ AJ
간질	k AC a̠ː AJ ɲ AF d AC ʑ AL i AJ ɭ AN
간질거리다	k AC a̠ AJ ɲ AF d AC ʑ AL i AJ ɭ AN ɡ AC ʌ̹ ɾ BA i AJ d AC a̠ AJ
간질이다	k AC a̠ AJ ɲ AF d AC ʑ AL i AJ ɾ BA i AJ d AC a̠ AJ
간첩	k AC a̠ː AJ ɲ AF t AC ɕʰ BB ʌ̹ p̚
간체	k AC a̠ AJ ɲ AF t AC ɕʰ BB e̞ AJ
간체자	k AC a̠ AJ ɲ AF t AC ɕʰ BB e̞ AJ d AC ʑ AL a̠ AJ
간추리다	k AC a̠ AJ ɲ AF t AC ɕʰ BB u AK ɾ BA i AJ d AC a̠ AJ
간통	k AC a̠ː AJ n AF tʰ AD o̞ AK ŋ AF
간판	k AC a̠ AJ n AF pʰ AH a̠ AJ n AF
간편하다	k AC a̠ AJ n AF pʰ AH j AB ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
간헐천	k AC a̠ː AJ n AF ɦ AA ʌ̹ ʎ AN t AC ɕʰ BB ʌ̹ n AF
간호사	k AC a̠ AJ n AF β AM o̞ AK sʰ BB a̠ AJ
간호원	k AC a̠ AJ n AF β AM o̞ AK w AI ʌ̹ n AF
간혹	k AC a̠ː AJ n AF β AM o̞ AK k̚
갅	k AC a̠ AJ n AF
갇히다	k AC a̠ AJ t AC ɕʰ BB i AJ d AC a̠ AJ
갈	k AC a̠ AJ ɭ AN
갈겨니	k AC a̠ AJ ɭ AN ɡ AC j AB ʌ̹ n AF i AJ
갈고	k AC a̠ AJ ɭ AN ɡ AC o̞ AK
갈고랑이	k AC a̠ AJ ɭ AN ɡ AC o̞ AK ɾ BA a̠ AJ ŋ AF i AJ
갈고리	k AC a̠ AJ ɭ AN ɡ AC o̞ AK ɾ BA i AJ
갈기	k AC a̠ː AJ ɭ AN ɡ AC i AJ
갈까마귀	k AC a̠ AJ ɭ AN k͈ AC a̠ AJ m AE a̠ AJ ɡ AC ɥ AI i AJ
갈다	k AC a̠ː AJ ɭ AN d AC a̠ AJ
갈등	k AC a̠ AJ ɭ AN t͈ AC ɯ AJ ŋ AF
갈라지다	k AC a̠ AJ ɭ AN ɭ AN a̠ AJ d AC ʑ AL i AJ d AC a̠ AJ
갈륨	k AC a̠ AJ ʎ AN ʎ AN j AB u AK m AE
갈리	k AC a̠ AJ ʎ AN ʎ AN i AJ
갈리시아	k AC a̠ AJ ʎ AN ʎ AN i AJ ɕʰ BB i AJ a̠ AJ
갈림길	k AC a̠ AJ ʎ AN ʎ AN i AJ m AE k͈ AC i AJ ɭ AN
갈망	k AC a̠ AJ ɭ AN m AE a̠ AJ ŋ AF
갈망하다	k AC a̠ AJ ɭ AN m AE a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
갈문망둑	k AC a̠ AJ ɭ AN m AE u AK n AF m AE a̠ AJ ŋ AF d AC u AK k̚
갈밭쥐	k AC a̠ AJ ɭ AN b AG a̠ AJ t̚ t AC ɕ͈ ɥ AI i AJ
갈보	k AC a̠ AJ ɭ AN b AG o̞ AK
갈보집	k AC a̠ AJ ɭ AN b AG o̞ AK d AC ʑ AL i AJ p̚
갈비	k AC a̠ AJ ɭ AN b AG i AJ
갈비뼈	k AC a̠ AJ ɭ AN b AG i AJ p͈ AG j AB ʌ̹
갈비탕	k AC a̠ AJ ɭ AN b AG i AJ tʰ AD a̠ AJ ŋ AF
갈수록	k AC a̠ AJ ɭ AN s͈ AL u AK ɾ BA o̞ AK k̚
갈쓰뚝	k AC a̠ AJ ɭ AN s͈ AL ɯ AJ t͈ AC u AK k̚
갈아신다	k AC a̠ AJ ɾ BA a̠ AJ ɕʰ BB i AJ n AF d AC a̠ AJ
갈아입다	k AC a̠ AJ ɾ BA a̠ AJ i AJ p̚ t͈ AC a̠ AJ
갈아타다	k AC a̠ AJ ɾ BA a̠ AJ tʰ AD a̠ AJ d AC a̠ AJ
갈옷	k AC a̠ AJ ɾ BA o̞ AK t̚
갈음하다	k AC a̠ AJ ɾ BA ɯ AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
갈증	k AC a̠ AJ ʎ AN t AC ɕ͈ ɯ AJ ŋ AF
갈퀴	k AC a̠ AJ ɭ AN kʰ AD ɥ AI i AJ
갈퀴다	k AC a̠ AJ ɭ AN kʰ AD ɥ AI i AJ d AC a̠ AJ
갈토	k AC a̠ AJ ɭ AN tʰ AD o̞ AK
갉	k AC a̠ AJ k̚
갉다	k AC a̠ AJ k̚ t͈ AC a̠ AJ
감	k AC a̠ː AJ m AE
감각	k AC a̠ː AJ m AE ɡ AC a̠ AJ k̚
감각적	k AC a̠ AJ m AE ɡ AC a̠ AJ k̚ t AC ɕ͈ ʌ̹ k̚
감금	k AC a̠ AJ m AE ɡ AC ɯ AJ m AE
감기	k AC a̠ː AJ m AE ɡ AC i AJ
감기다	k AC a̠ AJ m AE ɡ AC i AJ d AC a̠ AJ
감다	k AC a̠ AJ m AE t͈ AC a̠ AJ
감당	k AC a̠ AJ m AE d AC a̠ AJ ŋ AF
감당하다	k AC a̠ AJ m AE d AC a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
감독	k AC a̠ AJ m AE d AC o̞ AK k̚
감돌고기	k AC a̠ AJ m AE d AC o̞ AK ɭ AN ɡ AC o̞ AK ɡ AC i AJ
감동	k AC a̠ː AJ m AE d AC o̞ AK ŋ AF
감동사	k AC a̠ː AJ m AE d AC o̞ AK ŋ AF sʰ BB a̠ AJ
감람	k AC a̠ː AJ m AE n AF a̠ AJ m AE
감로	k AC a̠ AJ m AE n AF o̞ AK
감리교	k AC a̠ AJ m AE n AF i AJ ɡ AC j AB o AK
감마	k AC a̠ AJ m AE m AE a̠ AJ
감명	k AC a̠ AJ m AE m AE j AB ʌ̹ ŋ AF
감미료	k AC a̠ AJ m AE m AE i AJ ɾ BA j AB o AK
감방	k AC a̠ AJ m AE b AG a̠ AJ ŋ AF
감비아	k AC a̠ AJ m AE b AG i AJ a̠ AJ
감사	k AC a̠ː AJ m AE sʰ BB a̠ AJ
감사하다	k AC a̠ː AJ m AE sʰ BB a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
감사합니다	k AC a̠ː AJ m AE sʰ BB a̠ AJ ɦ AA a̠ AJ m AE n AF i AJ d AC a̠ AJ
감상	k AC a̠ AJ m AE sʰ BB a̠ AJ ŋ AF
감소	k AC a̠ː AJ m AE sʰ BB o̞ AK
감수하다	k AC a̠ː AJ m AE sʰ BB u AK ɦ AA a̠ AJ d AC a̠ AJ
감숙	k AC a̠ AJ m AE sʰ BB u AK k̚
감시	k AC a̠ AJ m AE ɕʰ BB i AJ
감시하다	k AC a̠ AJ m AE ɕʰ BB i AJ ɦ AA a̠ AJ d AC a̠ AJ
감싸다	k AC a̠ː AJ m AE s͈ AL a̠ AJ d AC a̠ AJ
감안	k AC a̠ AJ m AE a̠ AJ n AF
감염	k AC a̠ː AJ m AE j AB ʌ̹ m AE
감염증	k AC a̠ː AJ m AE j AB ʌ̹ m AE t AC ɕ͈ ɯ AJ ŋ AF
감옥	k AC a̠ AJ m AE o̞ AK k̚
감응	k AC a̠ AJ m AE ɯ AJ ŋ AF
