'tain	t ɛ̃ AM
aberrants	a AC b ɛ AD ʁ ɑ̃ BB
aberras	a AC b ɛ AD ʁ ɑ AK
aberrasse	a AC b ɛ AD ʁ a AC s
aberrassent	a AC b ɛ AD ʁ a AC s
aberrasses	a AC b ɛ AD ʁ a AC s
aberrassiez	a AC b ɛ AD ʁ a AC s j AA e AD
aberrassions	a AC b ɛ AD ʁ a AC s j AA ɔ̃ BA
aberration	a AC b ɛ AD ʁ a AC s j AA ɔ̃ BA
aberrations	a AC b ɛ AD ʁ a AC s j AA ɔ̃ BA
aberre	a AC b ɛ AD ʁ
aberrent	a AC b ɛ AD ʁ
aberrera	a AC b ɛ AD ʁ ə AJ ʁ a AC
aberrerai	a AC b ɛ AD ʁ ə AJ ʁ e AD
aberreraient	a AC b ɛ AD ʁ ə AJ ʁ ɛ AD
aberrerais	a AC b ɛ AD ʁ ə AJ ʁ ɛ AD
aberrerait	a AC b ɛ AD ʁ ə AJ ʁ ɛ AD
aberreras	a AC b ɛ AD ʁ ə AJ ʁ ɑ AK
aberrerez	a AC b ɛ AD ʁ ə AJ ʁ e AD
aberreriez	a AC b ɛ AD ʁ ə AJ ʁ j AA e AD
aberrerions	a AC b ɛ AD ʁ ə AJ ʁ j AA ɔ̃ BA
aberrerons	a AC b ɛ AD ʁ ə AJ ʁ ɔ̃ BA
aberreront	a AC b ɛ AD ʁ ə AJ ʁ ɔ̃ BA
aberres	a AC b ɛ AD ʁ
aberrez	a AC b ɛ AD ʁ e AD
aberriez	a AC b ɛ AD ʁ j AA e AD
aberrions	a AC b ɛ AD ʁ j AA ɔ̃ BA
aberrons	a AC b ɛ AD ʁ ɔ̃ BA
aberrâmes	a AC b ɛ AD ʁ ɑ AK m
aberrât	a AC b ɛ AD ʁ ɑ AK
aberrâtes	a AC b ɛ AD ʁ ɑ AK t
aberrèrent	a AC b ɛ AD ʁ ɛ AD ʁ
aberré	a AC b ɛ AD ʁ e AD
abessif	a AC b ɛ AD s i AE f
abeurver	a AC b œ AI ʁ v e AD
abhorrer	a AC b ɔ AF ʁ e AD
abidjan	a AC b i AE d ʒ ɑ̃ BB
abies	a AC b j AA ɛ AD s
abigéat	a AC b i AE ʒ e AD a AC
abime	a AC b i AE m
abiétinée	a AC b j AA e AD t i AE n e AD
abject	a AC b ʒ ɛ AD k t
abjection	a AC b ʒ ɛ AD k s j AA ɔ̃ BA
abjuration	a AC b ʒ y AH ʁ a AC s j AA ɔ̃ BA
abjurer	a AC b ʒ y AH ʁ e AD
abkhazie	a AC p k a AC z i AE
ablater	a AC b l a AC t e AD
ablatif	a AC b l a AC t i AE f
ablative	a AC b l a AC t i AE v
ableret	a AC b l ə AJ ʁ ɛ AD
ablette	a AC b l ɛ AD t
ablier	a AC b l i AE j AA e AD
abnégation	a AC b n e AD ɡ a AC s j AA ɔ̃ BA
aboi	a AC b w AB a AC
aboiement	a AC b w AB a AC m ɑ̃ BB
aboiteau	a AC b w AB a AC t o AF
aboli	a AC b ɔ AF l i AE
abolir	a AC b ɔ AF l i AE ʁ
abolissable	a AC b ɔ AF l i AE s a AC b l
abolissables	a AC b ɔ AF l i AE s a AC b l
abolition	a AC b ɔ AF l i AE s j AA ɔ̃ BA
abolitionnisme	a AC b ɔ AF l i AE s j AA ɔ AF n i AE s m
abolitionnismes	a AC b ɔ AF l i AE s j AA ɔ AF n i AE s m
abolitionniste	a AC b ɔ AF l i AE s j AA ɔ AF n i AE s t
abomey	a AC b ɔ AF m ɛ AD
abomiffreuse	a AC b ɔ AF m i AE f ʁ ø AI z
abomina	a AC b ɔ AF m i AE n a AC
abominable	a AC b ɔ AF m i AE n a AC b l
abominables	a AC b ɔ AF m i AE n a AC b l
abominai	a AC b ɔ AF m i AE n e AD
abominaient	a AC b ɔ AF m i AE n ɛ AD
abominais	a AC b ɔ AF m i AE n ɛ AD
abominait	a AC b ɔ AF m i AE n ɛ AD
abominant	a AC b ɔ AF m i AE n ɑ̃ BB
abominas	a AC b ɔ AF m i AE n ɑ AK
abominasse	a AC b ɔ AF m i AE n a AC s
abominassent	a AC b ɔ AF m i AE n a AC s
abominasses	a AC b ɔ AF m i AE n a AC s
abominassiez	a AC b ɔ AF m i AE n a AC s j AA e AD
abominassions	a AC b ɔ AF m i AE n a AC s j AA ɔ̃ BA
abomination	a AC b ɔ AF m i AE n a AC s j AA ɔ̃ BA
abomine	a AC b ɔ AF m i AE n
abominent	a AC b ɔ AF m i AE n
abominer	a AC b ɔ AF m i AE n e AD
abominera	a AC b ɔ AF m i AE n ʁ a AC
abominerai	a AC b ɔ AF m i AE n ʁ e AD
abomineraient	a AC b ɔ AF m i AE n ʁ ɛ AD
abominerais	a AC b ɔ AF m i AE n ʁ ɛ AD
abominerait	a AC b ɔ AF m i AE n ʁ ɛ AD
abomineras	a AC b ɔ AF m i AE n ʁ ɑ AK
abominerez	a AC b ɔ AF m i AE n ʁ e AD
abomineriez	a AC b ɔ AF m i AE n ə AJ ʁ j AA e AD
abominerions	a AC b ɔ AF m i AE n ə AJ ʁ j AA ɔ̃ BA
abominerons	a AC b ɔ AF m i AE n ʁ ɔ̃ BA
abomineront	a AC b ɔ AF m i AE n ʁ ɔ̃ BA
abomines	a AC b ɔ AF m i AE n
abominez	a AC b ɔ AF m i AE n e AD
abominiez	a AC b ɔ AF m i AE n j AA e AD
abominions	a AC b ɔ AF m i AE n j AA ɔ̃ BA
abominons	a AC b ɔ AF m i AE n ɔ̃ BA
abominâmes	a AC b ɔ AF m i AE n ɑ AK m
abominât	a AC b ɔ AF m i AE n ɑ AK
abominâtes	a AC b ɔ AF m i AE n ɑ AK t
abominèrent	a AC b ɔ AF m i AE n ɛ AD ʁ
abominé	a AC b ɔ AF m i AE n e AD
abondamment	a AC b ɔ̃ BA d a AC m ɑ̃ BB
abondance	a AC b ɔ̃ BA d ɑ̃ BB s
abondant	a AC b ɔ̃ BA d ɑ̃ BB
abondement	a AC b ɔ̃ BA d m ɑ̃ BB
abonder	a AC b ɔ̃ BA d e AD
abonnement	a AC b ɔ AF n m ɑ̃ BB
abonner	a AC b ɔ AF n e AD
abonni	a AC b ɔ AF n i AE
abonnira	a AC b ɔ AF n i AE ʁ a AC
abonnirai	a AC b ɔ AF n i AE ʁ e AD
abonniraient	a AC b ɔ AF n i AE ʁ ɛ AD
abonnirais	a AC b ɔ AF n i AE ʁ ɛ AD
abonnirait	a AC b ɔ AF n i AE ʁ ɛ AD
abonniras	a AC b ɔ AF n i AE ʁ ɑ AK
abonnirent	a AC b ɔ AF n i AE ʁ
abonnirez	a AC b ɔ AF n i AE ʁ e AD
abonniriez	a AC b ɔ AF n i AE ʁ j AA e AD
abonnirions	a AC b ɔ AF n i AE ʁ j AA ɔ̃ BA
abonnirons	a AC b ɔ AF n i AE ʁ ɔ̃ BA
abonniront	a AC b ɔ AF n i AE ʁ ɔ̃ BA
abonnis	a AC b ɔ AF n i AE
abonnissaient	a AC b ɔ AF n i AE s ɛ AD
abonnissais	a AC b ɔ AF n i AE s ɛ AD
abonnissait	a AC b ɔ AF n i AE s ɛ AD
abonnissant	a AC b ɔ AF n i AE s ɑ̃ BB
abonnisse	a AC b ɔ AF n i AE s
abonnissement	a AC b ɔ AF n i AE s m ɑ̃ BB
abonnissent	a AC b ɔ AF n i AE s
abonnisses	a AC b ɔ AF n i AE s
abonnissez	a AC b ɔ AF n i AE s e AD
abonnissiez	a AC b ɔ AF n i AE s j AA e AD
abonnissions	a AC b ɔ AF n i AE s j AA ɔ̃ BA
abonnissons	a AC b ɔ AF n i AE s ɔ̃ BA
abonnit	a AC b ɔ AF n i AE
abonné	a AC b ɔ AF n e AD
abonnîmes	a AC b ɔ AF n i AE m
abonnît	a AC b ɔ AF n i AE
abonnîtes	a AC b ɔ AF n i AE t
abord	a AC b ɔ AF ʁ
abordable	a AC b ɔ AF ʁ d a AC b l
abordables	a AC b ɔ AF ʁ d a AC b l
aborder	a AC b ɔ AF ʁ d e AD
abordeur	a AC b ɔ AF ʁ d œ AI ʁ
aborigène	a AC b ɔ AF ʁ i AE ʒ ɛ AD n
aborner	a AC b ɔ AF ʁ n e AD
abornerait	a AC b ɔ AF ʁ n ə AJ ʁ ɛ AD
abot	a AC b o AF
aboteau	a AC b ɔ AF t o AF
abou	a AC b u AG
aboudabienne	a AC b u AG d a AC b j AA ɛ AD n
aboudhabienne	a AC b u AG d a AC b j AA ɛ AD n
abougrie	a AC b u AG ɡ ʁ i AE
abouler	a AC b u AG l e AD
aboutir	a AC b u AG t i AE ʁ
aboutira	a AC b u AG t i AE ʁ a AC
aboutirai	a AC b u AG t i AE ʁ e AD
aboutiraient	a AC b u AG t i AE ʁ ɛ AD
aboutirais	a AC b u AG t i AE ʁ ɛ AD
aboutirait	a AC b u AG t i AE ʁ ɛ AD
aboutiras	a AC b u AG t i AE ʁ ɑ AK
aboutirent	a AC b u AG t i AE ʁ
aboutirez	a AC b u AG t i AE ʁ e AD
aboutiriez	a AC b u AG t i AE ʁ j AA e AD
aboutirions	a AC b u AG t i AE ʁ j AA ɔ̃ BA
aboutirons	a AC b u AG t i AE ʁ ɔ̃ BA
aboutiront	a AC b u AG t i AE ʁ ɔ̃ BA
aboutis	a AC b u AG t i AE
aboutissaient	a AC b u AG t i AE s ɛ AD
aboutissais	a AC b u AG t i AE s ɛ AD
aboutissait	a AC b u AG t i AE s ɛ AD
aboutissant	a AC b u AG t i AE s ɑ̃ BB
aboutisse	a AC b u AG t i AE s
aboutissement	a AC b u AG t i AE s m ɑ̃ BB
aboutissent	a AC b u AG t i AE s
aboutisses	a AC b u AG t i AE s
aboutissez	a AC b u AG t i AE s e AD
aboutissiez	a AC b u AG t i AE s j AA e AD
aboutissions	a AC b u AG t i AE s j AA ɔ̃ BA
aboutissons	a AC b u AG t i AE s ɔ̃ BA
aboutit	a AC b u AG t i AE
aboutîmes	a AC b u AG t i AE m
aboutît	a AC b u AG t i AE
aboutîtes	a AC b u AG t i AE t
aboyer	a AC b w AB a AC j AA e AD
abracadabra	a AC b ʁ a AC k a AC d a AC b ʁ a AC
abracadabrant	a AC b ʁ a AC k a AC d a AC b ʁ ɑ̃ BB
abracadabrantesque	a AC b ʁ a AC k a AC d a AC b ʁ ɑ̃ BB t ɛ AD s k
abraham	a AC b ʁ a AC a AC m
abrasa	a AC b ʁ a AC z a AC
abrasai	a AC b ʁ a AC z e AD
abrasaient	a AC b ʁ a AC z ɛ AD
abrasais	a AC b ʁ a AC z ɛ AD
abrasait	a AC b ʁ a AC z ɛ AD
abrasant	a AC b ʁ a AC z ɑ̃ BB
abrasas	a AC b ʁ a AC z ɑ AK
abrasasse	a AC b ʁ a AC z a AC s
abrasassent	a AC b ʁ a AC z a AC s
abrasasses	a AC b ʁ a AC z a AC s
abrasassiez	a AC b ʁ a AC z a AC s j AA e AD
abrasassions	a AC b ʁ a AC z a AC s j AA ɔ̃ BA
abrase	a AC b ʁ a AC z
abrasent	a AC b ʁ a AC z
abraser	a AC b ʁ a AC z e AD
abrasera	a AC b ʁ a AC z ʁ a AC
abraserai	a AC b ʁ a AC z ʁ e AD
abraseraient	a AC b ʁ a AC z ʁ ɛ AD
abraserais	a AC b ʁ a AC z ʁ ɛ AD
abraserait	a AC b ʁ a AC z ʁ ɛ AD
abraseras	a AC b ʁ a AC z ʁ ɑ AK
abraserez	a AC b ʁ a AC z ʁ e AD
abraseriez	a AC b ʁ a AC z ə AJ ʁ j AA e AD
abraserions	a AC b ʁ a AC z ə AJ ʁ j AA ɔ̃ BA
abraserons	a AC b ʁ a AC z ʁ ɔ̃ BA
abraseront	a AC b ʁ a AC z ʁ ɔ̃ BA
abrases	a AC b ʁ a AC z
abrasez	a AC b ʁ a AC z e AD
abrasiez	a AC b ʁ a AC z j AA e AD
abrasif	a AC b ʁ a AC z i AE f
abrasons	a AC b ʁ a AC z ɔ̃ BA
abrasâmes	a AC b ʁ a AC z ɑ AK m
abrasât	a AC b ʁ a AC z ɑ AK
abrasâtes	a AC b ʁ a AC z ɑ AK t
abrasèrent	a AC b ʁ a AC z ɛ AD ʁ
abrasé	a AC b ʁ a AC z e AD
abreuver	a AC b ʁ œ AI v e AD
abreuvoir	a AC b ʁ œ AI v w AB a AC ʁ
abri	a AC b ʁ i AE
abria	a AC b ʁ i AE j AA a AC
abrias	a AC b ʁ i AE j AA a AC
abribus	a AC b ʁ i AE b y AH s
abricot	a AC b ʁ i AE k o AF
abricotier	a AC b ʁ i AE k ɔ AF t j AA e AD
abricotine	a AC b ʁ i AE k ɔ AF t i AE n
abricoté	a AC b ʁ i AE k ɔ AF t e AD
abrier	a AC b ʁ i AE j AA e AD
abris	a AC b ʁ i AE
abriter	a AC b ʁ i AE t e AD
abrivent	a AC b ʁ i AE v ɑ̃ BB
abriât	a AC b ʁ i AE j AA a AC
abrogation	a AC b ʁ ɔ AF ɡ a AC s j AA ɔ̃ BA
abrogatrice	a AC b ʁ ɔ AF ɡ a AC t ʁ i AE s
abroge	a AC b ʁ ɔ AF ʒ
abrogea	a AC b ʁ ɔ AF ʒ a AC
abrogeable	a AC b ʁ ɔ AF ʒ a AC b l
abrogeables	a AC b ʁ ɔ AF ʒ a AC b l
abrogeai	a AC b ʁ ɔ AF ʒ e AD
abrogeaient	a AC b ʁ ɔ AF ʒ ɛ AD
abrogeais	a AC b ʁ ɔ AF ʒ ɛ AD
abrogeait	a AC b ʁ ɔ AF ʒ ɛ AD
abrogeant	a AC b ʁ ɔ AF ʒ ɑ̃ BB
abrogeas	a AC b ʁ ɔ AF ʒ ɑ AK
abrogeasse	a AC b ʁ ɔ AF ʒ a AC s
abrogeassent	a AC b ʁ ɔ AF ʒ a AC s
abrogeasses	a AC b ʁ ɔ AF ʒ a AC s
abrogeassiez	a AC b ʁ ɔ AF ʒ a AC s j AA e AD
abrogeassions	a AC b ʁ ɔ AF ʒ a AC s j AA ɔ̃ BA
abrogent	a AC b ʁ ɔ AF ʒ
abrogeons	a AC b ʁ ɔ AF ʒ ɔ̃ BA
abroger	a AC b ʁ ɔ AF ʒ e AD
abrogera	a AC b ʁ ɔ AF ʒ ʁ a AC
abrogerai	a AC b ʁ ɔ AF ʒ ʁ e AD
abrogeraient	a AC b ʁ ɔ AF ʒ ʁ ɛ AD
abrogerais	a AC b ʁ ɔ AF ʒ ʁ ɛ AD
abrogerait	a AC b ʁ ɔ AF ʒ ʁ ɛ AD
abrogeras	a AC b ʁ ɔ AF ʒ ʁ ɑ AK
abrogerez	a AC b ʁ ɔ AF ʒ ʁ e AD
abrogeriez	a AC b ʁ ɔ AF ʒ ə AJ ʁ j AA e AD
abrogerions	a AC b ʁ ɔ AF ʒ ə AJ ʁ j AA ɔ̃ BA
abrogerons	a AC b ʁ ɔ AF ʒ ʁ ɔ̃ BA
abrogeront	a AC b ʁ ɔ AF ʒ ʁ ɔ̃ BA
abroges	a AC b ʁ ɔ AF ʒ
abrogez	a AC b ʁ ɔ AF ʒ e AD
abrogeâmes	a AC b ʁ ɔ AF ʒ ɑ AK m
abrogeât	a AC b ʁ ɔ AF ʒ ɑ AK
abrogeâtes	a AC b ʁ ɔ AF ʒ ɑ AK t
abrogiez	a AC b ʁ ɔ AF ʒ j AA e AD
abrogions	a AC b ʁ ɔ AF ʒ j AA ɔ̃ BA
abrogèrent	a AC b ʁ ɔ AF ʒ ɛ AD ʁ
abrogé	a AC b ʁ ɔ AF ʒ e AD
abrouti	a AC b ʁ u AG t i AE
abroutir	a AC b ʁ u AG t i AE ʁ
abroutira	a AC b ʁ u AG t i AE ʁ a AC
abroutirai	a AC b ʁ u AG t i AE ʁ e AD
abroutiraient	a AC b ʁ u AG t i AE ʁ ɛ AD
abroutirais	a AC b ʁ u AG t i AE ʁ ɛ AD
abroutirait	a AC b ʁ u AG t i AE ʁ ɛ AD
abroutiras	a AC b ʁ u AG t i AE ʁ ɑ AK
abroutirent	a AC b ʁ u AG t i AE ʁ
abroutirez	a AC b ʁ u AG t i AE ʁ e AD
abroutiriez	a AC b ʁ u AG t i AE ʁ j AA e AD
abroutirions	a AC b ʁ u AG t i AE ʁ j AA ɔ̃ BA
abroutirons	a AC b ʁ u AG t i AE ʁ ɔ̃ BA
abroutiront	a AC b ʁ u AG t i AE ʁ ɔ̃ BA
abroutis	a AC b ʁ u AG t i AE
abroutissaient	a AC b ʁ u AG t i AE s ɛ AD
abroutissais	a AC b ʁ u AG t i AE s ɛ AD
abroutissait	a AC b ʁ u AG t i AE s ɛ AD
abroutissant	a AC b ʁ u AG t i AE s ɑ̃ BB
abroutisse	a AC b ʁ u AG t i AE s
abroutissent	a AC b ʁ u AG t i AE s
abroutisses	a AC b ʁ u AG t i AE s
abroutissez	a AC b ʁ u AG t i AE s e AD
abroutissiez	a AC b ʁ u AG t i AE s j AA e AD
abroutissions	a AC b ʁ u AG t i AE s j AA ɔ̃ BA
abroutissons	a AC b ʁ u AG t i AE s ɔ̃ BA
abroutit	a AC b ʁ u AG t i AE
abroutîmes	a AC b ʁ u AG t i AE m
abroutît	a AC b ʁ u AG t i AE
abroutîtes	a AC b ʁ u AG t i AE t
abrupt	a AC b ʁ y AH p t
abruptement	a AC b ʁ y AH p t ə AJ m ɑ̃ BB
abruti	a AC b ʁ y AH t i AE
abrutira	a AC b ʁ y AH t i AE ʁ a AC
abrutirai	a AC b ʁ y AH t i AE ʁ e AD
abrutiraient	a AC b ʁ y AH t i AE ʁ ɛ AD
abrutirais	a AC b ʁ y AH t i AE ʁ ɛ AD
abrutirait	a AC b ʁ y AH t i AE ʁ ɛ AD
abrutiras	a AC b ʁ y AH t i AE ʁ ɑ AK
abrutirent	a AC b ʁ y AH t i AE ʁ
abrutirez	a AC b ʁ y AH t i AE ʁ e AD
abrutiriez	a AC b ʁ y AH t i AE ʁ j AA e AD
abrutirions	a AC b ʁ y AH t i AE ʁ j AA ɔ̃ BA
abrutirons	a AC b ʁ y AH t i AE ʁ ɔ̃ BA
abrutiront	a AC b ʁ y AH t i AE ʁ ɔ̃ BA
abrutis	a AC b ʁ y AH t i AE
abrutissaient	a AC b ʁ y AH t i AE s ɛ AD
abrutissais	a AC b ʁ y AH t i AE s ɛ AD
abrutissait	a AC b ʁ y AH t i AE s ɛ AD
abrutissant	a AC b ʁ y AH t i AE s ɑ̃ BB
abrutisse	a AC b ʁ y AH t i AE s
abrutissent	a AC b ʁ y AH t i AE s
abrutisses	a AC b ʁ y AH t i AE s
abrutissez	a AC b ʁ y AH t i AE s e AD
abrutissiez	a AC b ʁ y AH t i AE s j AA e AD
abrutissions	a AC b ʁ y AH t i AE s j AA ɔ̃ BA
abrutissons	a AC b ʁ y AH t i AE s ɔ̃ BA
abrutit	a AC b ʁ y AH t i AE
abrutîmes	a AC b ʁ y AH t i AE m
abrutît	a AC b ʁ y AH t i AE
abrutîtes	a AC b ʁ y AH t i AE t
abruzzes	a AC b ʁ y AH z
abrègement	a AC b ʁ ɛ AD ʒ m ɑ̃ BB
abréagi	a AC b ʁ e AD a AC ʒ i AE
abréagir	a AC b ʁ e AD a AC ʒ i AE ʁ
abréagira	a AC b ʁ e AD a AC ʒ i AE ʁ a AC
abréagirai	a AC b ʁ e AD a AC ʒ i AE ʁ e AD
abréagiraient	a AC b ʁ e AD a AC ʒ i AE ʁ ɛ AD
abréagirais	a AC b ʁ e AD a AC ʒ i AE ʁ ɛ AD
abréagirait	a AC b ʁ e AD a AC ʒ i AE ʁ ɛ AD
abréagiras	a AC b ʁ e AD a AC ʒ i AE ʁ ɑ AK
abréagirent	a AC b ʁ e AD a AC ʒ i AE ʁ
abréagirez	a AC b ʁ e AD a AC ʒ i AE ʁ e AD
abréagiriez	a AC b ʁ e AD a AC ʒ i AE ʁ j AA e AD
abréagirions	a AC b ʁ e AD a AC ʒ i AE ʁ j AA ɔ̃ BA
abréagirons	a AC b ʁ e AD a AC ʒ i AE ʁ ɔ̃ BA
abréagiront	a AC b ʁ e AD a AC ʒ i AE ʁ ɔ̃ BA
abréagis	a AC b ʁ e AD a AC ʒ i AE
abréagissaient	a AC b ʁ e AD a AC ʒ i AE s ɛ AD
abréagissais	a AC b ʁ e AD a AC ʒ i AE s ɛ AD
abréagissait	a AC b ʁ e AD a AC ʒ i AE s ɛ AD
abréagissant	a AC b ʁ e AD a AC ʒ i AE s ɑ̃ BB
abréagisse	a AC b ʁ e AD a AC ʒ i AE s
abréagissent	a AC b ʁ e AD a AC ʒ i AE s
abréagisses	a AC b ʁ e AD a AC ʒ i AE s
abréagissez	a AC b ʁ e AD a AC ʒ i AE s e AD
abréagissiez	a AC b ʁ e AD a AC ʒ i AE s j AA e AD
abréagissions	a AC b ʁ e AD a AC ʒ i AE s j AA ɔ̃ BA
abréagissons	a AC b ʁ e AD a AC ʒ i AE s ɔ̃ BA
abréagit	a AC b ʁ e AD a AC ʒ i AE
abréagîmes	a AC b ʁ e AD a AC ʒ i AE m
abréagît	a AC b ʁ e AD a AC ʒ i AE
abréagîtes	a AC b ʁ e AD a AC ʒ i AE t
abrégement	a AC b ʁ ɛ AD ʒ m ɑ̃ BB
abréger	a AC b ʁ e AD ʒ e AD
abrégé	a AC b ʁ e AD ʒ e AD
abréviateur	a AC b ʁ e AD v j AA a AC t œ AI ʁ
abréviation	a AC b ʁ e AD v j AA a AC s j AA ɔ̃ BA
abrévier	a AC b ʁ e AD v j AA e AD
