'll	ʊ AF
disembowel	d ɪ AD s ɪ AD m b a AD ʊ AF ə AD ɫ
disentangle	d ɪ AD s ɪ AD n t æ AD ŋ ɡ ə AD ɫ
disentitle	d ɪ AD s ɪ AD n t a AD ɪ AD t ə AD ɫ
disfavourable	d ɪ AD s f e AD ɪ AD v ɹ AN ə AD b ə AD ɫ
disgraceful	d ɪ AD z ɡ ɹ AN e AD ɪ AD s f ə AD ɫ
disgust	d ɪ AD s k ʌ AD s t
dishevel	d ɪ AD s ʃ ɛ AD v ə AD ɫ
disloyal	d ɪ AD s l ɔ AF ɪ AD j AB ə AD ɫ
dismal	d ɪ AD z m ə AD ɫ
dismantle	d ɪ AD s m æ AD n tʰ ə AD ɫ
dismissal	d ɪ AD z m ɪ AD s ə AD ɫ
dispel	d ɪ AD s p ɛ AD ɫ
dispellable	d ɪ AD s p ɛ AD l ə AD b ə AD ɫ
dispensable	d ɪ AD s pʰ ɛ AD n s ə AD b ɫ̩
disposal	d ɪ AD s p ə AD ʊ AF z ə AD ɫ
disproportional	d ɪ AD s p ɹ AN ə AD p ɔː AG ʃ ə AD n ə AD ɫ
disrespectful	d ɪ AD s ɹ AN ɪ AD s p ɛ AD k t f ə AD ɫ
dissemble	d ɪ AD s ɛ AD m b ə AD ɫ
distil	d ɪ AD s t ɪ AD ɫ
distill	d ɪ AD s t ɪ AD ɫ
divinyl	d a AD ɪ AD v a AD ɪ AD n ɪ AD ɫ
divisible	d ɪ AD v ɪ AD z ɪ AD b ə AD ɫ
dna	d i AD ɛ AD n e AD ɪ AD
dniester	n iː AE s t ə AD
dojo	d ə AD ʊ̯ AL d ʒ ə AD ʊ̯ AL
done	d ʊ AF n
dope	d ə AD ʊ AF p
double	d ʌ AD b ɫ
dower	d a AD ʊ AF ə AD ɹ AN
drawn	d ɹ AN ɔː AG n
dreich	d ɹ AN iː AE x
drill	d ɹ AN ɪ AD ɫ
drink	d̠ ɹ̠ʷ ɪ AD ŋ k
drive	d̠ ɹ̠̝ʷ a AD ɪ AD v
drown	d̠ ɹ̠ʷ a AD ʊ AF n
drug	d̠ ɹ̠ʷ ʌ AD ɡ
drugs	d ʒ ɹ AN ʌ AD ɡ z
dunn	d ɐ AF n
eaten	iː AE ʔ n
emphasis	ɛ AD ɱ f ə AD s ɪ AD s
enabled	ɪ AD n e AD ɪ AD b ə AD ɫ d
encouragement	ɪ AD n k ʌ AD ɹ AN ɪ AD d ʒ m ə AD n t
entangle	ɛ AD n t a AD ŋ ɡ l̩
epigraphy	ʔ ɨ AD pʰ ɪː AE ɡ ɹ AN ə AD f iː AE
epimutation	ɛ AD p ɪ AD m j AB u AF t e AD ɪ AD ʃ ə AD n
epitaph	ɛ AD p ɪ AD t ɑː AE f
epitomic	ɛ AD p ɪ AD t ɒ AF m ɪ AD k
essential	ə AD s ɛ AD n t ʃ ə AD l
esteem	ɛ AD s t iː AE m
eugh	ʌ AD x
ew	ɪ̃ AJ ʉ̃ BA u AF
farrand	f æ AD ɹ AN ə AD n t
fastness	f æ AD s n ə AD s
fatal	f e AD ɪ AD ɾ ɫ̩
fatally	f e AD ɪ̯ AK ɾ l̩ i AD
fated	f e AD ɪ̯ AK ɾ ɨ AD d
fauces	f ɔː AG s iː AE z
fauxtograph	f oː AG t ə AD ɡ ɹ AN ɑː AE f
fauxtography	f oː AG t ɒ AF ɡ ɹ AN ə AD f i AD
feel	f iː AE ɫ
fence	f ɛ AD n t s
fencer	f ɛ AD n s ɚ BC
feudal	f j AB uː AG d ɫ̩
fiddy	f ɪ AD ɾ i AD
file	f a AD ɪ̯ AK ɫ
fill	f ɪ AD ɫ
filling	f ɪ AD ɫ l ɪ AD ŋ
film	f ɪ AD ɫ m
fitra	f ɪ AD tˤ ɾ a AD
fitz	f ɪ AD t s
flaithiúlach	f l æ AD h AA uː AG l ə AD x
flizz	f l ɪ AD z
flouted	f l a AD ʊ̯ AL ɾ ɨ AD d
flouting	f l a AD ʊ̯ AL ɾ ɪ AD ŋ
foot	fʷ ʊ AF t̚
football	fʷ ʊ AF ʔ t̚ b ɑ AD ɫ
foretell	f ɔː AG t ɛ AD ɫ
foretellable	f oː AG t ɛ AD ɫ ə AD b l̩
foundation	f a AD ʊ̯ AL n d e AD ɪ̯ AK ʃ n̩
fountain	f a AD ʊ AF n ʔ n̩
free	f ɹ AN ɪ AD i̯ AK
french	f ɹ̠ ɛ AD n̠ t ʃ
friend	f ɹ̥ AN e AD n d̥
fro	f ɹ AN ə AD ʊ AF
fuck	f ʌ AD kʰ
fuel	f j AB u AF w AC ə AD ɫ
full	f ʊ AF ɫ
fur	f ɜ̝ː
furcal	f ɚ BC k ə AD ɫ
gaeltacht	ɡ e AD ɪ AD l t ə AD x t
gangtok	ɡ æ AD ŋ t ɒ AF k
gasoline	ɡ æ AD s ɵ AF l i AD n
gaumy	ɡ ɔː AG m i AD
genetic	d ʒ ɪ AD n ɛ AD t ɪ AD k
genkan	ɡ ɛ AD ŋ k ɑ AD n
getting	ɡ ɛ AD ɾ ɪ AD ŋ
glizzy	ɡ l ɪ AD z i AD
gmail	d ʒ iː AE m e AD ɪ AD l
gotta	ɡ ɒ AF ʔ ə AD
grass	ɡ ɹ̠ ɛ AD ə AD s
grated	ɡ ɹ AN e AD ɪ̯ AK ɾ ɪ AD d
gratified	ɡ ɹ AN æː AE ɾ ɨ AD f a AD ɪː AE d̚
grating	ɡ ɹ AN e AD ɪ̯ AK ɾ ɪ AD ŋ
grivna	ɡ ɹ AN ɪ AD v n ɑ AD
grow	ɡ ɹ AN ə AD ʊ̯ AL
grows	ɡ ɹ AN ə AD ʊ̯ AL z
guileless	ɡ a AD ɪ AD ɫ l ə AD s
guttle	ɡ ʌ AD ɾ l̩
guttural	ɡ ʌ AD ɾ ɚ BC ɫ̩
gyros	d ʒ a AD ɪ AD ɹ AN o AF ʊ AF z
h	æ AD ɪ AD t ʃ
hadith	h AA a AD d iː AE θ
hail	h AA e AD ɪ̯ AK ɫ
hang	h AA e AD ɪ AD ŋ
hangnail	h AA e AD ɪ AD ŋ n e AD ɪ̯ AK ɫ
happening	h AA æ AD p n ɪ AD n
hat	h AA a AD t
heading	h AA ɛ AD ɾ ɪ AD ŋ
health	h AA ɛ AD l̪ θ
hew	ç j AB uː AG
hexadecile	h AA ɛ AD k s ə AD d iː AE s a AD ɪ AD ɫ
hibernation	h AA a AD ɪ AD b əː AE n e AD ɪ AD ʃ n̩
high	h AA a AD ɪ̯ AK
hill	h AA ɪ AD ɫ
hiller	h AA ɪ AD l ə AD ɹ AN
him	ɪ̈ AD m
hinoki	h AA i AD n o AF k i AD
hitherto	h AA ɪ AD ð ə AD tʰ uː AG
hmm	m̥ m̩
hmmm	m̥ m̩ː
hold	h AA ə AD ʊ AF ɫ d
holding	h AA ə AD ʊ AF ɫ d ɪ AD ŋ
hole	h AA ə AD ʊ AF ɫ
holey	h AA ɒ AF ʊ AF ɫ l i AD
holier	h AA ɒ AF ʊ AF ɫ l i AD ə AD
holiest	h AA ɒ AF ʊ AF ɫ l i AD ɪ AD s t
homophobe	h AA ə AD ʊ AF m ə AD f ə AD ʊ AF b
hon	m̥ ɑ AD n
hood	h AA ʊ̈ AF d
hordesman	h AA ɔː AG d z m n̩
hotel	h AA oː AG t e AD l
housemother	h AA a AD ʊ AF s m ɐ AF ð ə AD ɹ AN
hrivna	ɦ AA ɹ AN ɪ AD u̯ AL nʲ ɑ AD
hubris	ç j AB u̟ː AG b ɹʷ ɪ AD s
hue	ç u̟ː AG
huge	ç u̟ː AG d ʒ
huh	h AA ʌ̃ AJ
human	ç j AB u̟ː AG m ə AD n
humanist	ç uː AG m ə AD n ɪ AD s t
