ँ	ə̃ AJ
अंतर्देशीय	ə̃ AJ n̪ t̪ ə AD ɾ d̪ eː AC ʃ iː AC j AA
अंतर्धान	ə̃ AJ n̪ t̪ ə AD ɾ d̪ʱ ä̃ː n̪
अंतर्निहित	ə̃ AJ n̪ t̪ ə AD ɾ n̪ ɪ AD ɦ AG ɪ AD t̪
अंतर्राष्ट्रीय	ə̃ AJ n̪ t̪ ə AD ɾ ɾ äː ʃ ʈ ɾ iː AC j AA
अंतर्वासी	ə̃ AJ n̪ t̪ ə AD ɾ ʋ AB äː s̪ iː AC
अंताक्षरी	ə̃ AJ n̪ t̪ äː k ʃ ə AD ɾ iː AC
अंतिम	ə̃ AJ n̪ t̪ ɪ̃ AJ m
अंत्येष्टि	ə̃ AJ n̪ t̪ j AA eː AC ʃ ʈ iː AC
अंत्र	ə̃ AJ n̪ t̪ ɾ
अंदर	ə̃ AJ n̪ d̪ ə AD ɾ
अंदाज	ə̃ AJ n̪ d̪ äː z
अंदाज़	ə̃ AJ n̪ d̪ äː z
अंदाज़ा	ə̃ AJ n̪ d̪ äː z äː
अंधड़	ə̃ AJ n̪ d̪ʱ ə AD ɽ
अंधविश्वास	ə̃ AJ n̪ d̪ʱ ʋ AB ɪ AD ʃ ʋ AB äː s̪
अंधा	ə̃ AJ n̪ d̪ʱ äː
अंधाधुंध	ə̃ AJ n̪ d̪ʱ äː d̪ʱ ʊ̃ AL n̪ d̪ʱ
अंधेरा	ə̃ AJ n̪ d̪ʱ eː AC ɾ äː
अंबर	ə̃ AJ m b ə AD ɾ
अंबा	ə̃ AJ m b äː
अंबु	ə̃ AJ m b uː AE
अंश	ə̃ AJ n̪ ʃ
अंशकालिक	ə̃ AJ n̪ ʃ k äː l̪ ɪ AD k
अंशतः	ə̃ AJ n̪ ʃ t̪ ə AD ɦ AG
अंशुक	ə̃ AJ n̪ ʃ ʊ AF k
अकड़न	ə AD k ɽ ə̃ AJ n̪
अकड़ना	ə AD k ə AD ɽ n̪ äː
अकर्मण्यता	ə AD k ə AD ɾ m ə̃ AJ ɳ j AA ə AD t̪ äː
अकस्मात्	ə AD k ə AD s̪ m äː t̪
अक़्ल	ə AD q ə AD l̪
अक़्लमंद	ə AD q ə AD l̪ m ə̃ AJ n̪ d̪
अकाज	ə AD k äː d ʒ
अकादमिक	ə AD k äː d̪ m ɪ AD k
अकादमी	ə AD k äː d̪ m iː AC
अकारण	ə AD k äː ɾ ə̃ AJ ɳ
अकारथ	ə AD k äː ɾ ə AD t̪ʰ
अकाल	ə AD k äː l̪
अकेला	ə AD k eː AC l̪ äː
अकेलापन	ə AD k eː AC l̪ äː p ə̃ AJ n̪
अक्खड़	ə AD k̚ kʰ ə AD ɽ
अक्खा	ə AD k̚ kʰ äː
अक्षत	ə AD k ʃ ə AD t̪
अक्षम्य	ə AD k ʃ ə̃ AJ m j AA
अक्षर	ə AD k ʃ ə AD ɾ
अक्षरारंभ	ə AD k ʃ ə AD ɾ äː ɾ ə̃ AJ m bʱ
अक्स	ə AD k s̪
अक्सर	ə AD k s̪ ə AD ɾ
अखंड	ə AD kʰ ə̃ AJ ɳ ɖ
अखंडता	ə AD kʰ ə̃ AJ ɳ ɖ t̪ äː
अखबार	ə AD x b äː ɾ
अखरना	ə AD kʰ ə AD ɾ n̪ äː
अख़बार	ə AD x b äː ɾ
अख़बारवाला	ə AD x b äː ɾ ʋ AB äː l̪ äː
अखाड़ा	ə AD kʰ äː ɽ äː
अखिल	ə AD kʰ ɪ AD l̪
अखिलेश	ə AD kʰ ɪ AD l̪ eː AC ʃ
अगरतला	ə AD ɡ ə AD ɾ t̪ ə AD l̪ äː
अगरबत्ती	ə AD ɡ ə AD ɾ b ə AD t̪̚ t̪ iː AC
अगला	ə AD ɡ l̪ äː
अगवानी	ə AD ɡ ʋ AB äː n̪ iː AC
अगस्त	ə AD ɡ ə AD s̪ t̪
अगाऊ	ə AD ɡ äː uː AE
अगिन	ə AD ɡ ɪ̃ AJ n̪
अगुआ	ə AD ɡ ʊ AF äː
अग्नि	ə AD ɡ n̪ iː AC
अग्निपरीक्षा	ə AD ɡ n̪ ɪ AD p ə AD ɾ iː AC k ʃ äː
अग्निशस्त्र	ə AD ɡ n̪ ɪ AD ʃ ə AD s̪ t̪ ɾ
अग्निशामक	ə AD ɡ n̪ ɪ AD ʃ äː m ə AD k
अग्न्याशय	ə AD ɡ n̪ j AA äː ʃ ə AD j AA
अग्रवाल	ə AD ɡ ɾ ʋ AB äː l̪
अग्रहायण	ə AD ɡ ɾ ə AD ɦ AG äː j AA ə̃ AJ ɳ
अग्रिम	ə AD ɡ ɾ ɪ̃ AJ m
अग्रिमता	ə AD ɡ ɾ ɪ̃ AJ m t̪ äː
अचंभा	ə AD t ʃ ə̃ AJ m bʱ äː
अचकन	ə AD t ʃ k ə̃ AJ n̪
अचानक	ə AD t ʃ äː n̪ ə AD k
अच्छा	ə AD t̚ t ʃʰ äː
अच्छाई	ə AD t̚ t ʃʰ äː iː AC
अच्छापन	ə AD t̚ t ʃʰ äː p ə̃ AJ n̪
अछना	ə AD t ʃʰ n̪ äː
अछूता	ə AD t ʃʰ uː AE t̪ äː
अजनबियत	ə AD d ʒ n̪ ə AD b i AD j AA ə AD t̪
अजनबी	ə AD d ʒ n̪ ə AD b iː AC
अजवाइन	ə AD d ʒ ʋ AB äː ɪ̃ AJ n̪
अज़दहा	ə AD z d̪ ə AD ɦ AG äː
अज़रबैजान	ə AD z ə AD ɾ b ɛː AC d ʒ ä̃ː n̪
अज़ान	ə AD z ä̃ː n̪
अज़ाब	ə AD z äː b
अज़ीम	ə AD z ĩː m
अजाइब	ə AD d ʒ äː ɪ AD b
अजान	ə AD d ʒ ä̃ː n̪
अजायबघर	ə AD d ʒ äː j AA ə AD b ɡʱ ə AD ɾ
अजिल्द	ə AD d ʒ ɪ AD l̪ d̪
अजूबा	ə AD d ʒ uː AE b äː
अजेंडा	ə AD d ʒ ẽː ɳ ɖ äː
अज्ञात	ə AD ɡ j AA äː t̪
अज्ञानपन	ə AD ɡ j AA ä̃ː n̪ p ə̃ AJ n̪
अज्ञेयवाद	ə AD ɡ j AA eː AC j AA ʋ AB äː d̪
अज्ञेयवादी	ə AD ɡ j AA eː AC j AA ʋ AB äː d̪ iː AC
अझ़दहा	ə AD ʒ d̪ ə AD ɦ AG äː
अटकना	ə AD ʈ ə AD k n̪ äː
अटकल	ə AD ʈ k ə AD l̪
अटकलपच्चू	ə AD ʈ k ə AD l̪ p ə AD t̚ t ʃ uː AE
अटकाना	ə AD ʈ k äː n̪ äː
अटकाव	ə AD ʈ k äː ʋ AB
अटपटा	ə AD ʈ p ə AD ʈ äː
अटल	ə AD ʈ ə AD l̪
अटारी	ə AD ʈ äː ɾ iː AC
अट्टालिका	ə AD ʈ̚ ʈ äː l̪ ɪ AD k äː
अट्ठा	ə AD ʈ̚ ʈʰ äː
अट्ठाईस	ə AD ʈ̚ ʈʰ äː iː AC s̪
अट्ठानवे	ə AD ʈ̚ ʈʰ ä̃ː n̪ w AB eː AC
अट्ठावन	ə AD ʈ̚ ʈʰ äː ʋ AB ə̃ AJ n̪
अट्ठासी	ə AD ʈ̚ ʈʰ äː s̪ iː AC
अठन्नी	ə AD ʈʰ ə̃ AJ n̪ n̪ iː AC
अठपहिया	ə AD ʈʰ p ə AD ɦ AG i AD j AA äː
अठहत्तर	ə AD ʈʰ ɦ AG ə AD t̪̚ t̪ ə AD ɾ
अठारह	ə AD ʈʰ äː ɾ ə AD ɦ AG
अड़ंगा	ə AD ɽ ə̃ AJ ŋ ɡ äː
अड़चन	ə AD ɽ t ʃ ə̃ AJ n̪
अड़तालीस	ə AD ɽ t̪ äː l̪ iː AC s̪
अड़तीस	ə AD ɽ t̪ iː AC s̪
अड़ना	ə AD ɽ n̪ äː
अड़सठ	ə AD ɽ s̪ ə AD ʈʰ
अड़ाना	ə AD ɽ äː n̪ äː
अड़ियल	ə AD ɽ i AD j AA ə AD l̪
अण्डा	ə̃ AJ ɳ ɖ äː
अतिकाल	ə AD t̪ ɪ AD k äː l̪
अतिवाद	ə AD t̪ ɪ AD ʋ AB äː d̪
अतिवादी	ə AD t̪ ɪ AD ʋ AB äː d̪ iː AC
अतिसंवेदनशील	ə AD t̪ ɪ AD s̪ ə̃ AJ m w AB eː AC d̪ ə̃ AJ n̪ ʃ iː AC l̪
अतिसार	ə AD t̪ ɪ AD s̪ äː ɾ
अतुलित	ə AD t̪ ʊ AF l̪ ɪ AD t̪
अतुल्य	ə AD t̪ ʊ AF l̪ j AA
अत्फ़ाल	ə AD t̪ pʰ äː l̪
अत्यंत	ə AD t̪ j AA ə̃ AJ n̪ t̪
अत्यन्त	ə AD t̪ j AA ə̃ AJ n̪ t̪
अत्याचार	ə AD t̪ j AA äː t ʃ äː ɾ
अत्याचारी	ə AD t̪ j AA äː t ʃ äː ɾ iː AC
अत्यावश्यक	ə AD t̪ j AA äː ʋ AB ə AD ʃ j AA ə AD k
अत्युत्तम	ə AD t̪ j AA ʊ AF t̪̚ t̪ ə̃ AJ m
अथवा	ə AD t̪ʰ ʋ AB äː
अथाह	ə AD t̪ʰ äː ɦ AG
अदहन	ə AD d̪ ɦ AG ə̃ AJ n̪
अदा	ə AD d̪ äː
अदाकार	ə AD d̪ äː k äː ɾ
अदालत	ə AD d̪ äː l̪ ə AD t̪
अदालती	ə AD d̪ äː l̪ ə AD t̪ iː AC
अदावत	ə AD d̪ äː ʋ AB ə AD t̪
अद्यतन	ə AD d̪ j AA ə AD t̪ ə̃ AJ n̪
अद्यापि	ə AD d̪ j AA äː p iː AC
अधिकतम	ə AD d̪ʱ ɪ AD k t̪ ə̃ AJ m
अधिकता	ə AD d̪ʱ ɪ AD k t̪ äː
अधिकरण	ə AD d̪ʱ ɪ AD k ə AD ɾ ə̃ AJ ɳ
अधिकार	ə AD d̪ʱ ɪ AD k äː ɾ
अधिकारिणी	ə AD d̪ʱ ɪ AD k äː ɾ ɪ AD ɳ iː AC
अधिकारिता	ə AD d̪ʱ ɪ AD k äː ɾ ɪ AD t̪ äː
अधिकारी	ə AD d̪ʱ ɪ AD k äː ɾ iː AC
अधिनायक	ə AD d̪ʱ ɪ AD n̪ äː j AA ə AD k
अधिनियम	ə AD d̪ʱ ɪ AD n̪ i AD j AA ə̃ AJ m
अधिभार	ə AD d̪ʱ ɪ AD bʱ äː ɾ
अधिमास	ə AD d̪ʱ ɪ AD m äː s̪
अधिलाभ	ə AD d̪ʱ ɪ AD l̪ äː bʱ
अधिवक्ता	ə AD d̪ʱ ɪ AD ʋ AB ə AD k t̪ äː
अधिवार्षिकी	ə AD d̪ʱ ɪ AD ʋ AB äː ɾ ʃ ɪ AD k iː AC
अधिवेशन	ə AD d̪ʱ ɪ AD ʋ AB eː AC ʃ ə̃ AJ n̪
अधिसूचना	ə AD d̪ʱ ɪ AD s̪ uː AE t ʃ n̪ äː
अधिसूचित	ə AD d̪ʱ ɪ AD s̪ uː AE t ʃ ɪ AD t̪
अधीक्षक	ə AD d̪ʱ iː AC k ʃ ə AD k
अधीक्षण	ə AD d̪ʱ iː AC k ʃ ə̃ AJ ɳ
अधीन	ə AD d̪ʱ ĩː n̪
अधीनता	ə AD d̪ʱ ĩː n̪ t̪ äː
अधीरता	ə AD d̪ʱ iː AC ɾ t̪ äː
अधुना	ə AD d̪ʱ ʊ AF n̪ äː
अधूरा	ə AD d̪ʱ uː AE ɾ äː
अधोहस्ताक्षरी	ə AD d̪ʱ oː AE ɦ AG ə AD s̪ t̪ äː k ʃ ə AD ɾ iː AC
अध्यक्ष	ə AD d̪ʱ j AA ə AD k ʃ
अध्यक्षता	ə AD d̪ʱ j AA ə AD k ʃ t̪ äː
अध्ययन	ə AD d̪ʱ j AA ə̃ AJ n̪
अध्यादेश	ə AD d̪ʱ j AA äː d̪ eː AC ʃ
अध्यापक	ə AD d̪ʱ j AA äː p ə AD k
अध्यापिका	ə AD d̪ʱ j AA äː p ɪ AD k äː
अध्याय	ə AD d̪ʱ j AA äː j AA
अनंतपुर	ə AD n̪ ə̃ AJ n̪ t̪ p ʊ AF ɾ
अनकटा	ə̃ AJ n̪ k ə AD ʈ äː
अनकहा	ə̃ AJ n̪ k ə AD ɦ AG äː
अनखिला	ə̃ AJ n̪ kʰ ɪ AD l̪ äː
अनगढ़	ə̃ AJ n̪ ɡ ə AD ɽʱ
अनगिनत	ə̃ AJ n̪ ɡ ɪ AD n̪ ə AD t̪
अनचखा	ə̃ AJ n̪ t ʃ ə AD kʰ äː
अनचाहा	ə̃ AJ n̪ t ʃ äː ɦ AG äː
अनजाना	ə̃ AJ n̪ d ʒ äː n̪ äː
अनजाने	ə̃ AJ n̪ d ʒ äː n̪ eː AC
अनदेखा	ə̃ AJ n̪ d̪ eː AC kʰ äː
अननुमेय	ə̃ AJ n̪ n̪ ʊ AF m eː AC j AA
अनन्नास	ə AD n̪ ə̃ AJ n̪ n̪ äː s̪
अनपच	ə̃ AJ n̪ p ə AD t ʃ
अनपढ़	ə̃ AJ n̪ p ə AD ɽʱ
अनब्याहा	ə̃ AJ n̪ b j AA äː ɦ AG äː
अनमना	ə̃ AJ n̪ m ə AD n̪ äː
अनमोल	ə̃ AJ n̪ m oː AE l̪
अनर्थ	ə AD n̪ ə AD ɾ t̪ʰ
अनशन	ə̃ AJ n̪ ʃ ə̃ AJ n̪
अनसुना	ə̃ AJ n̪ s̪ ʊ AF n̪ äː
अनस्तित्व	ə AD n̪ ə AD s̪ t̪ ɪ AD t̪ w AB
अनहोनी	ə̃ AJ n̪ ɦ AG oː AE n̪ iː AC
अनाचार	ə AD n̪ äː t ʃ äː ɾ
अनाज	ə AD n̪ äː d ʒ
अनाड़ी	ə AD n̪ äː ɽ iː AC
अनातोली	ə AD n̪ äː t̪ oː AE l̪ iː AC
अनाथालय	ə AD n̪ äː t̪ʰ äː l̪ ə AD j AA
अनाधिकारिक	ə AD n̪ äː d̪ʱ ɪ AD k äː ɾ ɪ AD k
अनाम	ə AD n̪ ä̃ː m
अनामिका	ə AD n̪ äː m ɪ AD k äː
अनार	ə AD n̪ äː ɾ
अनारदाना	ə AD n̪ äː ɾ d̪ äː n̪ äː
अनावश्यक	ə AD n̪ äː ʋ AB ə AD ʃ j AA ə AD k
अनिच्छा	ə AD n̪ ɪ AD t̚ t ʃʰ äː
अनिद्रा	ə AD n̪ ɪ AD d̪ ɾ äː
अनियंत्रित	ə AD n̪ i AD j AA ə̃ AJ n̪ t̪ ɾ ɪ AD t̪
अनियमित	ə AD n̪ i AD j AA ə AD m ɪ AD t̪
अनियमितता	ə AD n̪ i AD j AA ə AD m ɪ AD t̪̚ t̪ äː
अनिवार्य	ə AD n̪ ɪ AD ʋ AB äː ɾ j AA
अनिवार्यतः	ə AD n̪ ɪ AD ʋ AB äː ɾ j AA ə AD t̪ ə AD ɦ AG
अनिश्चित	ə AD n̪ ɪ AD ʃ t ʃ ɪ AD t̪
अनिश्चितता	ə AD n̪ ɪ AD ʃ t ʃ ɪ AD t̪̚ t̪ äː
अनुकरण	ə AD n̪ ʊ AF k ə AD ɾ ə̃ AJ ɳ
अनुकूल	ə AD n̪ ʊ AF k uː AE l̪
अनुकूलन	ə AD n̪ ʊ AF k uː AE l̪ ə̃ AJ n̪
अनुगृहीत	ə AD n̪ ʊ AF ɡ ɾ ɪ AD ɦ AG iː AC t̪
अनुग्रह	ə AD n̪ ʊ AF ɡ ɾ ə AD ɦ AG
अनुचित	ə AD n̪ ʊ AF t ʃ ɪ AD t̪
अनुच्छेद	ə AD n̪ ʊ AF t̚ t ʃʰ eː AC d̪
अनुज्ञप्ति	ə AD n̪ ʊ AF ɡ j AA ə AD p t̪ iː AC
अनुदान	ə AD n̪ ʊ AF d̪ ä̃ː n̪
अनुनय	ə AD n̪ ʊ AF n̪ ə AD j AA
अनुनाद	ə AD n̪ ʊ AF n̪ äː d̪
अनुनासिक	ə AD n̪ ʊ AF n̪ äː s̪ ɪ AD k
अनुनासिकता	ə AD n̪ ʊ AF n̪ äː s̪ ɪ AD k t̪ äː
अनुपजाऊ	ə AD n̪ ʊ AF p d ʒ äː uː AE
अनुपम	ə AD n̪ ʊ AF p ə̃ AJ m
अनुपयोगी	ə AD n̪ ʊ AF p j AA oː AE ɡ iː AC
अनुपस्थित	ə AD n̪ ʊ AF p ə AD s̪ t̪ʰ ɪ AD t̪
अनुपस्थिति	ə AD n̪ ʊ AF p ə AD s̪ t̪ʰ ɪ AD t̪ iː AC
अनुपात	ə AD n̪ ʊ AF p äː t̪
अनुपूरक	ə AD n̪ ʊ AF p uː AE ɾ ə AD k
अनुप्रयुक्त	ə AD n̪ ʊ AF p ɾ ə AD j AA ʊ AF k t̪
अनुप्रास	ə AD n̪ ʊ AF p ɾ äː s̪
अनुभव	ə AD n̪ ʊ AF bʱ ə AD ʋ AB
अनुभवी	ə AD n̪ ʊ AF bʱ ə AD ʋ AB iː AC
अनुभूति	ə AD n̪ ʊ AF bʱ uː AE t̪ iː AC
अनुमति	ə AD n̪ ʊ AF m ə AD t̪ iː AC
अनुमान	ə AD n̪ ʊ AF m ä̃ː n̪
अनुमानतः	ə AD n̪ ʊ AF m ä̃ː n̪ t̪ ə AD ɦ AG
अनुमानित	ə AD n̪ ʊ AF m äː n̪ ɪ AD t̪
अनुमेय	ə AD n̪ ʊ AF m eː AC j AA
अनुमोदन	ə AD n̪ ʊ AF m oː AE d̪ ə̃ AJ n̪
अनुमोदित	ə AD n̪ ʊ AF m oː AE d̪ ɪ AD t̪
अनुयायी	ə AD n̪ ʊ AF j AA äː j AA iː AC
अनुरक्षण	ə AD n̪ ʊ AF ɾ ə AD k ʃ ə̃ AJ ɳ
अनुरागहीनता	ə AD n̪ ʊ AF ɾ äː ɡ ɦ AG ĩː n̪ t̪ äː
अनुरूप	ə AD n̪ ʊ AF ɾ uː AE p
अनुरोध	ə AD n̪ ʊ AF ɾ oː AE d̪ʱ
अनुवांशिक	ə AD n̪ ʊ AF ʋ AB ä̃ː n̪ ʃ ɪ AD k
अनुवांशिकी	ə AD n̪ ʊ AF ʋ AB ä̃ː n̪ ʃ ɪ AD k iː AC
अनुवाद	ə AD n̪ ʊ AF ʋ AB äː d̪
अनुवादक	ə AD n̪ ʊ AF ʋ AB äː d̪ ə AD k
अनुवादित	ə AD n̪ ʊ AF ʋ AB äː d̪ ɪ AD t̪
अनुशासन	ə AD n̪ ʊ AF ʃ äː s̪ ə̃ AJ n̪
अनुशासित	ə AD n̪ ʊ AF ʃ äː s̪ ɪ AD t̪
अनुशीलन	ə AD n̪ ʊ AF ʃ iː AC l̪ ə̃ AJ n̪
अनुष्ठान	ə AD n̪ ʊ AF ʃ ʈʰ ä̃ː n̪
अनुसंधान	ə AD n̪ ʊ AF s̪ ə̃ AJ n̪ d̪ʱ ä̃ː n̪
अनुसरण	ə AD n̪ ʊ AF s̪ ə AD ɾ ə̃ AJ ɳ
अनुस्वार	ə AD n̪ ʊ AF s̪ ʋ AB äː ɾ
अनूठा	ə AD n̪ uː AE ʈʰ äː
अनूदित	ə AD n̪ uː AE d̪ ɪ AD t̪
अनूप	ə AD n̪ uː AE p
अनेक	ə AD n̪ eː AC k
अनेकता	ə AD n̪ eː AC k t̪ äː
अनेकानेक	ə AD n̪ eː AC k äː n̪ eː AC k
अनौपचारिक	ə AD n̪ ɔː AE p t ʃ äː ɾ ɪ AD k
अन्त	ə̃ AJ n̪ t̪
अन्तरिक्ष	ə̃ AJ n̪ t̪ ə AD ɾ ɪ AD k ʃ
अन्तर्गत	ə̃ AJ n̪ t̪ ə AD ɾ ɡ ə AD t̪
अन्दर	ə̃ AJ n̪ d̪ ə AD ɾ
अन्न	ə̃ AJ n̪ n̪
अन्य	ə̃ AJ n̪ j AA ə AD
अन्यथा	ə̃ AJ n̪ j AA ə AD t̪ʰ äː
अन्याय	ə̃ AJ n̪ j AA äː j AA
अन्यायपूर्ण	ə̃ AJ n̪ j AA äː j AA p uː AE ɾ ɳ
अन्यायी	ə̃ AJ n̪ j AA äː j AA iː AC
अपकार	ə AD p k äː ɾ
अपक्व	ə AD p ə AD k w AB ə AD
अपना	ə AD p n̪ äː
अपमान	ə AD p m ä̃ː n̪
अपमानजनक	ə AD p m ä̃ː n̪ d ʒ ə AD n̪ ə AD k
अपमानित	ə AD p m äː n̪ ɪ AD t̪
अपराध	ə AD p ɾ äː d̪ʱ
अपराधिनी	ə AD p ɾ äː d̪ʱ ɪ AD n̪ iː AC
अपराधी	ə AD p ɾ äː d̪ʱ iː AC
अपरिपक्व	ə AD p ɾ ɪ AD p ə AD k w AB
अपर्याप्त	ə AD p ə AD ɾ j AA äː p t̪
अपलक	ə AD p ə AD l̪ ə AD k
अपवाद	ə AD p w AB äː d̪
अपव्यय	ə AD p w AB j AA ə AD j AA
अपशकुन	ə AD p ʃ ə AD k ʊ̃ AL n̪
अपसामान्य	ə AD p s̪ äː m ä̃ː n̪ j AA
अपहरण	ə AD p ɦ AG ə AD ɾ ə̃ AJ ɳ
अपहर्ता	ə AD pʰ ə AD ɾ t̪ äː
अपाहिज	ə AD p äː ɦ AG ɪ AD d ʒ
अपेक्षा	ə AD p eː AC k ʃ äː
अपेक्षाकृत	ə AD p eː AC k ʃ äː k ɾ ɪ AD t̪
अपेक्षित	ə AD p eː AC k ʃ ɪ AD t̪
अपॉइंटमेंट	ə AD p ɔ AF ɪ̃ AJ ɳ ʈ m ẽː ɳ ʈ
अप्रकाशित	ə AD p ɾ ə AD k äː ʃ ɪ AD t̪
अप्रचलित	ə AD p ɾ ə AD t ʃ ə AD l̪ ɪ AD t̪
अप्रत्यक्ष	ə AD p ɾ ə AD t̪ j AA ə AD k ʃ
अप्रत्याशित	ə AD p ɾ ə AD t̪ j AA äː ʃ ɪ AD t̪
अप्रसन्न	ə AD p ɾ ə AD s̪ ə̃ AJ n̪ n̪
अप्रैल	ə AD p ɾ ɛː AC l̪
अप्सरा	ə AD p s̪ ə AD ɾ äː
अफगानिस्तान	ə AD pʰ ɡ äː n̪ ɪ AD s̪ t̪ ä̃ː n̪
अफरना	ə AD pʰ ə AD ɾ n̪ äː
