က	k AC a̰ AL
ကန်စွန်းဥ	ɡ AC ə AL z AJ ʊ AM ɴ AG ʔ AC ṵ
ကန်တော့	ɡ AC ə AL d AC ɔ̰ AM
ကန်ထရိုက်	k AC a AL ɴ AG tʰ AD ə AL ɹ AB a AL ɪ AL ʔ AC
ကပ္ပလီ	k AC a AL ʔ AC p AH ə AL l AE i AL
ကပ္ပလီပင်လယ်	k AC a AL ʔ AC p AH ə AL l AE i AL p AH ɪ AL ɴ AG l AE ɛ AL
ကပ်	k AC a AL ʔ AC
ကပ်ကြီးသုံးပါး	k AC a AL ʔ AC d AC ʑ AJ i AL θ AJ o AM ʊ AM ɴ AG b AH a AL
ကပ်နာ	k AC a AL ʔ AC n AG a AL
ကပ်ပယ်	k AC a AL ʔ AC p AH ɛ AL
ကပ်ပါး	k AC a AL ʔ AC p AH a AL
ကပ်ရောဂါ	k AC a AL ʔ AC j AB ɔ AM ɡ AC a AL
ကပွဲရုံ	k AC a̰ AL b AH w AK ɛ AL j AB o AM ʊ AM ɴ AG
ကဖီး	k AC ə AL pʰ AI i AL
ကဗျာ	ɡ AC ə AL b AH j AB a AL
ကဘီလူး	k AC a̰ AL b AH ə AL l AE u AM
ကမန်	k AC a̰ AL m AF a AL ɴ AG
ကမာ	k AC ə AL m AF a AL
ကမာရွတ်	k AC ə AL m AF a AL j AB ʊ AM ʔ AC
ကမ္ဗလာ	ɡ AC ə AL b AH ə AL l AE a AL
ကမ္ဗောဇ	k AC a AL ɴ AG b AH ɔ AM z AJ a̰ AL
ကမ္ဘာ	ɡ AC ə AL b AH a AL
ကမ္ဘာဂြိုဟ်	ɡ AC ə AL b AH a AL d AC ʑ AJ o AM
ကမ္ဘာလုံးခြမ်း	ɡ AC ə AL b AH a AL l AE o AM ʊ AM ɴ AG d AC ʑ AJ a AL ɴ AG
ကမ္ဘောဒီးယား	k AC a AL ɴ AG b AH ɔ AM d AC i AL j AB a AL
ကမ်စော်	k AC a AL ɴ AG z AJ ɔ AM
ကမ်း	k AC a AL ɴ AG
ကမ်းခြေ	k AC a AL ɴ AG d AC ʑ AJ e AL
ကယား	k AC ə AL j AB a AL
ကယ်တင်ရှင်	k AC ɛ AL t AC ɪ AL ɴ AG ʃ AJ ɪ AL ɴ AG
ကယ်လဆီယမ်	k AC ɛ AL l AE ə AL sʰ BA i AL j AB a AL ɴ AG
ကရင်	k AC ə AL j AB ɪ AL ɴ AG
ကရစ်ကက်	k AC ə AL ɹ AB ɪ AL ʔ AC k AC ɛ AL ʔ AC
ကရဝိက်	k AC ə AL ɹ AB a̰ AL w AK e AL ɪ AL ʔ AC
ကရိန်း	k AC ə AL ɹ AB e AL ɪ AL ɴ AG
ကလပ်	k AC ə AL l AE a AL ʔ AC
ကလမောင်း	k AC ə AL l AE ə AL m AF a AL ʊ AM ɴ AG
ကလာပ်စည်း	k AC ə AL l AE a AL ʔ AC s AJ i AL
ကလိုရင်း	k AC ə AL l AE o AM ɹ AB ɪ AL ɴ AG
ကလီစာ	k AC ə AL l AE i AL z AJ a AL
ကလောင်	k AC ə AL l AE a AL ʊ AM ɴ AG
ကလေး	kʰ AD ə AL l AE e AL
ကလျာ	k AC ə AL l AE ə AL j AB a AL
ကလျာဏမိတ္တ	k AC ə AL l AE ə AL j AB a AL n AG a̰ AL m AF e AL ɪ AL ʔ AC t AC a̰ AL
ကလျာဏီ	k AC ə AL l AE ə AL j AB a AL n AG i AL
ကဝိ	k AC ə AL w AK ḭ
ကဝေ	k AC ə AL w AK e AL
ကသည်း	k AC ə AL θ AJ i AL
ကာ	k AC a AL
ကာကွယ်	k AC a AL ɡ AC w AK ɛ AL
ကာကွယ်ဆေး	k AC a AL ɡ AC w AK ɛ AL z AJ e AL
ကာကွယ်ရေး	k AC a AL ɡ AC w AK ɛ AL j AB e AL
ကာဂစ်စတန်	k AC ə AL ɡ AC ɪ AL ʔ AC s AJ ə AL t AC a AL ɴ AG
ကာဂျစ္စတန်	k AC ə AL d AC ʑ AJ ɪ AL ʔ AC s AJ ə AL t AC a AL ɴ AG
ကာဇက်စတန်	k AC a AL z AJ ɛ AL ʔ AC s AJ ə AL t AC a AL ɴ AG
ကာတာ	k AC a AL t AC a AL
ကာတွန်း	k AC a AL t AC ʊ AM ɴ AG
ကာဗွန်	k AC a AL b AH ʊ AM ɴ AG
ကာမ	k AC a AL m AF a̰ AL
ကာယ	k AC ə AL j AB a̰ AL
ကာယကံ	k AC a AL j AB ə AL ɡ AC a AL ɴ AG
ကာယပညာ	k AC a AL j AB a̰ AL p AH a̰ AL ɲ AG a AL
ကာရန်	k AC ə AL j AB a AL ɴ AG
ကာလ	k AC a AL l AE a̰ AL
ကာလဝမ်း	k AC a AL l AE ə AL w AK ʊ AM ɴ AG
ကာလသား	k AC a AL l AE ə AL ð AJ a AL
ကာလသားရောဂါ	k AC a AL l AE a̰ AL θ AJ a AL j AB ɔ AM ɡ AC a AL
ကာလာမသုတ်	k AC a AL l AE a AL m AF a̰ AL θ AJ o AM ʊ AM ʔ AC
ကာလီဖိုးနီးယား	k AC a AL l AE i AL pʰ AI o AM n AG i AL j AB a AL
ကား	k AC a AL
ကားဂိတ်	k AC a AL ɡ AC e AL ɪ AL ʔ AC
ကားမှတ်တိုင်	k AC a AL m̥ AF a AL ʔ AC t AC a AL ɪ AL ɴ AG
ကားရုံ	k AC a AL j AB o AM ʊ AM ɴ AG
ကိစ္စ	k AC e AL ɪ AL ʔ AC s AJ a̰ AL
ကိတ်	k AC e AL ɪ AL ʔ AC
ကိတ်ဗာဒီ	k AC e AL ɪ AL ʔ AC b AH ə AL d AC i AL
ကိတ်မုန့်	k AC e AL ɪ AL ʔ AC m AF o̰ AM ʊ AM ɴ AG
ကိန္နရာ	k AC e AL ɪ AL ɴ AG n AG ə AL j AB a AL
ကိန္နရီ	k AC e AL ɪ AL ɴ AG n AG ə AL j AB i AL
ကိန်း	k AC e AL ɪ AL ɴ AG
ကိမိလဗေဒ	k AC ḭ m AF ḭ l AE a̰ AL b AH e AL d AC a̰ AL
ကိရိယာ	k AC ə AL ɹ AB ḭ j AB a AL
ကိလေသာ	k AC ḭ l AE e AL θ AJ a AL
ကို	ʔ AC
ကိုကာကိုလာ	k AC o AM k AC a AL k AC o AM l AE a AL
ကိုက်	k AC a AL ɪ AL ʔ AC
ကိုက်လန်	k AC a AL ɪ AL ʔ AC l AE a AL ɴ AG
ကိုင်	k AC a AL ɪ AL ɴ AG
ကိုဆိုဗို	k AC o AM sʰ BA o AM b AH o AM
ကိုဘော့	k AC o AM b AH ɔ̰ AM
ကိုမိုရို	k AC o AM m AF o AM ɹ AB o AM
ကိုယ့်ဥမှဥထင်	k AC o̰ AM j AB ʔ AC ṵ m̥ AF a̰ AL ʔ AC ṵ tʰ AD ɪ AL ɴ AG
ကိုယ်	k AC o AM
ကိုယ်စားလှယ်	k AC o AM j AB z AJ ə AL l̥ AE ɛ AL
ကိုယ်လုပ်တော်	k AC o AM l AE o AM ʊ AM ʔ AC t AC ɔ AM
ကိုယ်ဝန်	k AC o AM j AB w AK ʊ AM ɴ AG
ကိုယ်ဝန်ဆောင်	k AC o AM j AB w AK ʊ AM ɴ AG sʰ BA a AL ʊ AM ɴ AG
ကိုယ်ဝန်ရှိ	k AC o AM j AB w AK ʊ AM ɴ AG ʃ AJ ḭ
ကိုရမ်ကျမ်း	k AC o AM ɹ AB a AL ɴ AG t AC ɕ AJ a AL ɴ AG
ကိုရီးယား	k AC o AM ɹ AB i AL j AB a AL
ကိုလိုနီ	k AC o AM l AE o AM n AG i AL
ကိုလံဘီယာ	k AC o AM l AE a AL ɴ AG b AH i AL j AB a AL
ကိုး	k AC o AM
ကိုးကန့်	k AC o AM ɡ AC a̰ AL ɴ AG
ကိုးလ	k AC o AM l AE a̰ AL
ကီလိုဂရမ်	k AC i AL l AE o AM ɡ AC ə AL ɹ AB a AL ɴ AG
ကီးမား	k AC i AL m AF a AL
ကီးယက်	k AC i AL j AB ɛ AL ʔ AC
ကုဋေ	ɡ AC ə AL d AC e AL
ကုတ်	k AC o AM ʊ AM ʔ AC
ကုတ်ဟီးနာ	k AC o AM ʊ AM ʔ AC h AA i AL n AG a AL
ကုန်	k AC o AM ʊ AM ɴ AG
ကုန်ကား	k AC o AM ʊ AM ɴ AG ɡ AC a AL
ကုန်ကုန်	k AC o AM ʊ AM ɴ AG ɡ AC o AM ʊ AM ɴ AG
ကုန်စည်	k AC o AM ʊ AM ɴ AG z AJ i AL
ကုန်တင်ကား	k AC o AM ʊ AM ɴ AG d AC ɪ AL ɴ AG ɡ AC a AL
ကုန်သည်	k AC o AM ʊ AM ɴ AG ð AJ e AL
ကုန်း	k AC o AM ʊ AM ɴ AG
ကုန်းနှီး	k AC o AM ʊ AM ɴ AG n̥ AG i AL
ကုဗ	k AC ṵ b AH a̰ AL
ကုမ္ပဏီ	k AC o AM ʊ AM ɴ AG p AH ə AL n AG i AL
ကုလသမဂ္ဂ	k AC ṵ l AE a̰ AL θ AJ a̰ AL m AF ɛ AL ʔ AC ɡ AC a̰ AL
ကုလား	k AC ə AL l AE a AL
ကုလားထိုင်	k AC ə AL l AE ə AL tʰ AD a AL ɪ AL ɴ AG
ကုလားနို့	k AC ə AL l AE ə AL n AG o̰ AM
ကုလားပဲ	k AC ə AL l AE ə AL p AH ɛ AL
ကုလားဖြူ	k AC ə AL l AE ə AL pʰ AI j AB u AM
ကုလားအုတ်	k AC ə AL l AE ə AL ʔ AC o AM ʊ AM ʔ AC
ကုသိုလ်	k AC ṵ θ AJ o AM
ကုသိုလ်ကံ	k AC ṵ ð AJ o AM ɡ AC a AL ɴ AG
ကုသိုလ်ရှင်	k AC ṵ θ AJ o AM ʃ AJ ɪ AL ɴ AG
ကုံကုမံ	ɡ AC o AM ʊ AM ɴ AG ɡ AC ə AL m AF a AL ɴ AG
ကူ	k AC u AM
ကူညီ	k AC u AM ɲ AG i AL
ကူဖီ	k AC u AM pʰ AI i AL
ကူလီ	k AC u AM l AE i AL
ကူဝိတ်	k AC u AM w AK e AL ɪ AL ʔ AC
ကူး	k AC u AM
ကူးစက်ရောဂါ	k AC u AM z AJ ɛ AL ʔ AC j AB ɔ AM ɡ AC a AL
ကူးတို့	ɡ AC ə AL d AC o̰ AM
ကူးတို့ဆိပ်	ɡ AC ə AL d AC o̰ AM z AJ e AL ɪ AL ʔ AC
ကူးပြောင်း	k AC u AM p AH j AB a AL ʊ AM ɴ AG
ကေ	k AC e AL
ကေတုမဒီ	k AC e AL t AC ṵ m AF ə AL d AC i AL
ကေသ	k AC e AL θ AJ a̰ AL
ကေသာ	k AC e AL θ AJ a AL
ကော	ɡ AC ɔ AM
ကောက်	k AC a AL ʊ AM ʔ AC
ကောက်ညှင်း	k AC a AL ʊ AM ʔ AC ɲ̊ AG ɪ AL ɴ AG
ကောက်ညှင်းပေါင်း	k AC a AL ʊ AM ʔ AC ɲ̊ AG ɪ AL ɴ AG b AH a AL ʊ AM ɴ AG
ကောက်ရိုး	k AC a AL ʊ AM ʔ AC j AB o AM
ကောင်	k AC a AL ʊ AM ɴ AG
ကောင်ငယ်	k AC a AL ʊ AM ɴ AG ŋ AG ɛ AL
ကောင်စစ်ဝန်	k AC a AL ʊ AM ɴ AG s AJ ɪ AL ʔ AC w AK ʊ AM ɴ AG
ကောင်စစ်ဝန်ရုံး	k AC a AL ʊ AM ɴ AG s AJ ɪ AL ʔ AC w AK ʊ AM ɴ AG j AB o AM ʊ AM ɴ AG
ကောင်စီ	k AC a AL ʊ AM ɴ AG s AJ i AL
ကောင်တာ	k AC a AL ʊ AM ɴ AG t AC a AL
ကောင်မငယ်	k AC a AL ʊ AM ɴ AG m AF a̰ AL ŋ AG ɛ AL
ကောင်မလေး	k AC a AL ʊ AM ɴ AG m AF a̰ AL l AE e AL
ကောင်း	k AC a AL ʊ AM ɴ AG
ကောင်းကင်	k AC a AL ʊ AM ɴ AG ɡ AC ɪ AL ɴ AG
ကောင်းကင်ကြိုး	k AC a AL ʊ AM ɴ AG ɡ AC ɪ AL ɴ AG d AC ʑ AJ o AM
ကောင်းကင်တမန်	k AC a AL ʊ AM ɴ AG ɡ AC ɪ AL ɴ AG t AC ə AL m AF a AL ɴ AG
ကောင်းကင်ဘုံ	k AC a AL ʊ AM ɴ AG ɡ AC ɪ AL ɴ AG b AH o AM ʊ AM ɴ AG
ကောင်းကောင်း	k AC a AL ʊ AM ɴ AG ɡ AC a AL ʊ AM ɴ AG
ကောဏဂုံ	k AC ɔ AM n AG ə AL ɡ AC o AM ʊ AM ɴ AG
ကောဏဂုံဘုရား	k AC ɔ AM n AG ə AL ɡ AC o AM ʊ AM ɴ AG pʰ AI ə AL j AB a AL
ကောဏ္ဍည	k AC ɔ AM n AG d AC ə AL ɲ AG a̰ AL
ကောဏ္ဍညဘုရား	k AC ɔ AM n AG d AC ə AL ɲ AG a̰ AL pʰ AI ə AL j AB a AL
ကောလာဟလ	k AC ɔ AM l AE a AL h AA a̰ AL l AE a̰ AL
ကောလိပ်	k AC ɔ AM l AE e AL ɪ AL ʔ AC
ကောလိသိန်	k AC ɔ AM l AE ḭ θ AJ e AL ɪ AL ɴ AG
ကော့စတာရီကာ	k AC ɔ̰ AM s AJ ə AL t AC a AL ɹ AB i AL k AC a AL
ကော်	k AC ɔ AM
ကော်ဇော	k AC ɔ AM z AJ ɔ AM
ကော်တွန်	k AC ɔ AM t AC ʊ AM ɴ AG
ကော်ပီ	k AC ɔ AM p AH i AL
ကော်ပီစာအုပ်	k AC ɔ AM p AH i AL s AJ a AL ʔ AC o AM ʊ AM ʔ AC
ကော်ပြန့်	k AC ɔ AM p AH j AB a̰ AL ɴ AG
ကော်ပြန့်ကြော်	k AC ɔ AM p AH j AB a̰ AL ɴ AG d AC ʑ AJ ɔ AM
ကော်ပြန့်စိမ်း	k AC ɔ AM p AH j AB a̰ AL ɴ AG z AJ e AL ɪ AL ɴ AG
ကော်ဖီ	k AC ɔ AM pʰ AI i AL
ကော်မတီ	k AC ɔ AM m AF ə AL t AC i AL
ကော်ရည်ခေါက်ဆွဲ	k AC ɔ AM j AB i AL kʰ AD a AL ʊ AM ʔ AC sʰ BA w AK ɛ AL
ကော်လာ	k AC ɔ AM l AE a AL
ကဲ့	k AC ɛ̰ AL
ကံ	k AC a AL ɴ AG
ကံကြမ္မာ	k AC a AL ɴ AG t AC ɕ AJ ə AL m AF a AL
ကံသုံးပါး	k AC a AL ɴ AG θ AJ o AM ʊ AM ɴ AG b AH a AL
ကံ့ကူတံ	k AC a̰ AL ɴ AG ɡ AC u AM d AC a AL ɴ AG
ကံ့ကော်	ɡ AC a̰ AL ɴ AG ɡ AC ɔ AM
ကျ	t AC ɕ AJ a̰ AL
ကျက်သရေ	t AC ɕ AJ ɛ AL ʔ AC θ AJ ə AL j AB e AL
ကျင်ကြီး	t AC ɕ AJ ɪ AL ɴ AG d AC ʑ AJ i AL
ကျင်ချောင်း	t AC ɕ AJ ɪ AL ɴ AG t AC ɕʰ BA a AL ʊ AM ɴ AG
ကျင်စွယ်	t AC ɕ AJ ɪ AL ɴ AG z AJ w AK ɛ AL
ကျဉ်း	t AC ɕ AJ ɪ AL ɴ AG
ကျဉ်းကျပ်	t AC ɕ AJ ɪ AL ɴ AG t AC ɕ AJ a AL ʔ AC
ကျည်	t AC ɕ AJ i AL
ကျည်ကပ်	t AC ɕ AJ i AL ɡ AC a AL ʔ AC
ကျည်ဖူး	t AC ɕ AJ i AL b AH u AM
ကျနော်	t AC ɕ AJ ə AL n AG ɔ AM
ကျန်	t AC ɕ AJ a AL ɴ AG
ကျန်း	t AC ɕ AJ a AL ɴ AG
ကျန်းမာရေး	t AC ɕ AJ a AL ɴ AG m AF a AL j AB e AL
ကျပ်	t AC ɕ AJ a AL ʔ AC
ကျပ်သား	t AC ɕ AJ a AL ʔ AC θ AJ a AL
ကျမ	t AC ɕ AJ ə AL m AF a̰ AL
ကျယ်	t AC ɕ AJ ɛ AL
ကျယ်ဝန်း	t AC ɕ AJ ɛ AL w AK ʊ AM ɴ AG
ကျား	t AC ɕ AJ a AL
ကျားကျားလျားလျား	t AC ɕ AJ a AL d AC ʑ AJ a AL j AB a AL j AB a AL
ကျားမ	t AC ɕ AJ a AL m AF a̰ AL
ကျားမျက်လုံး	t AC ɕ AJ a AL m AF j AB ɛ AL ʔ AC l AE o AM ʊ AM ɴ AG
ကျားလက်သည်း	t AC ɕ AJ a AL l AE ɛ AL ʔ AC θ AJ ɛ AL
ကျားလျှာ	t AC ɕ AJ a AL ʃ AJ a AL
ကျားသစ်	t AC ɕ AJ ə AL θ AJ ɪ AL ʔ AC
ကျိန္တလီ	t AC ɕ AJ e AL ɪ AL ɴ AG t AC a̰ AL l AE i AL
ကျိန်း	t AC ɕ AJ e AL ɪ AL ɴ AG
ကျို	t AC ɕ AJ o AM
ကျိုက္ခမီ	t AC ɕ AJ a AL ɪ AL ʔ AC kʰ AD ə AL m AF i AL
ကျိုက်ထို	t AC ɕ AJ a AL ɪ AL ʔ AC tʰ AD o AM
ကျိုက်ထီးရိုး	t AC ɕ AJ a AL ɪ AL ʔ AC tʰ AD i AL j AB o AM
ကျိုက်မရော	t AC ɕ AJ a AL ɪ AL ʔ AC m AF ə AL ɹ AB ɔ AM
ကျိုင်းတုံ	t AC ɕ AJ a AL ɪ AL ɴ AG t AC o AM ʊ AM ɴ AG
ကျီး	t AC ɕ AJ i AL
ကျီးအ	t AC ɕ AJ i AL ʔ AC a̰ AL
ကျုပ်	t AC ɕ AJ o AM ʊ AM ʔ AC
ကျုပ်တို့	t AC ɕ AJ o AM ʊ AM ʔ AC t AC o̰ AM
ကျူးဘား	t AC ɕ AJ u AM b AH a AL
ကျော	t AC ɕ AJ ɔ AM
ကျောက်	t AC ɕ AJ a AL ʊ AM ʔ AC
ကျောက်ကပ်	t AC ɕ AJ a AL ʊ AM ʔ AC k AC a AL ʔ AC
ကျောက်ကြီး	t AC ɕ AJ a AL ʊ AM ʔ AC t AC ɕ AJ i AL
ကျောက်ဂွမ်း	t AC ɕ AJ a AL ʊ AM ʔ AC ɡ AC ʊ AM ɴ AG
ကျောက်စိမ်း	t AC ɕ AJ a AL ʊ AM ʔ AC s AJ e AL ɪ AL ɴ AG
ကျောက်နီ	t AC ɕ AJ a AL ʊ AM ʔ AC n AG i AL
ကျောက်ပွင့်သုပ်	t AC ɕ AJ a AL ʊ AM ʔ AC p AH w AK ɪ̰ AL ɴ AG θ AJ o AM ʊ AM ʔ AC
ကျောက်ဖရုံ	t AC ɕ AJ a AL ʊ AM ʔ AC pʰ AI ə AL j AB o AM ʊ AM ɴ AG
ကျောက်ဖြူ	t AC ɕ AJ a AL ʊ AM ʔ AC pʰ AI j AB u AM
ကျောက်မီး	t AC ɕ AJ a AL ʊ AM ʔ AC m AF i AL
ကျောက်မီးသွေး	t AC ɕ AJ a AL ʊ AM ʔ AC m AF i AL ð AJ w AK e AL
ကျောက်သင်ပုန်း	t AC ɕ AJ a AL ʊ AM ʔ AC θ AJ ɪ AL ɴ AG b AH o AM ʊ AM ɴ AG
ကျောင်း	t AC ɕ AJ a AL ʊ AM ɴ AG
ကျောင်းနေဖက်	t AC ɕ AJ a AL ʊ AM ɴ AG n AG e AL b AH ɛ AL ʔ AC
ကျောင်းသား	t AC ɕ AJ a AL ʊ AM ɴ AG ð AJ a AL
ကျောင်းသုံးစာအုပ်	t AC ɕ AJ a AL ʊ AM ɴ AG ð AJ o AM ʊ AM ɴ AG s AJ a AL ʔ AC o AM ʊ AM ʔ AC
ကျောင်းသူ	t AC ɕ AJ a AL ʊ AM ɴ AG ð AJ u AM
ကျောပိုးအိတ်	t AC ɕ AJ ɔ AM b AH o AM ʔ AC e AL ɪ AL ʔ AC
ကျောရိုး	t AC ɕ AJ ɔ AM j AB o AM
ကျေးဇူး	t AC ɕ AJ e AL z AJ u AM
ကျေးဇူးတင်	t AC ɕ AJ e AL z AJ u AM t AC ɪ AL ɴ AG
ကျေးဇူးတင်ပါတယ်	t AC ɕ AJ e AL z AJ u AM t AC ɪ AL ɴ AG b AH a AL d AC ɛ AL
ကျေးဇူးပြု၍	t AC ɕ AJ e AL z AJ u AM p AH j AB ṵ j AB w AK ḛ
ကျေးဇူးရှင်	t AC ɕ AJ e AL z AJ u AM ʃ AJ ɪ AL ɴ AG
ကျဲ	t AC ɕ AJ ɛ AL
ကျွန်	t AC ɕ AJ ʊ AM ɴ AG
ကျွန်တော့်	t AC ɕ AJ ʊ AM ɴ AG d AC ɔ̰ AM
ကျွန်တော်	t AC ɕ AJ ʊ AM ɴ AG d AC ɔ AM
ကျွန်တော်တို့	t AC ɕ AJ ʊ AM ɴ AG d AC ɔ AM d AC o̰ AM
ကျွန်မ	t AC ɕ AJ ʊ AM ɴ AG m AF a̰ AL
ကျွန်မတို့	t AC ɕ AJ ʊ AM ɴ AG m AF a̰ AL d AC o̰ AM
ကျွန်း	t AC ɕ AJ ʊ AM ɴ AG
ကျွန်းကလေး	t AC ɕ AJ ʊ AM ɴ AG ɡ AC ə AL l AE e AL
ကျွန်းကိုင်းမှီကိုင်းကျွန်းမှီ	t AC ɕ AJ ʊ AM ɴ AG k AC a AL ɪ AL ɴ AG m̥ AF i AL k AC a AL ɪ AL ɴ AG t AC ɕ AJ ʊ AM ɴ AG m̥ AF i AL
ကျွန်းဆွယ်	t AC ɕ AJ ʊ AM ɴ AG z AJ w AK ɛ AL
ကျွဲ	t AC ɕ AJ w AK ɛ AL
ကျွဲကော	t AC ɕ AJ w AK ɛ AL ɡ AC ɔ AM
ကျွဲပြည့်စင်	t AC ɕ AJ w AK ɛ AL p AH j AB ḭ z AJ ɪ AL ɴ AG
ကြက်	t AC ɕ AJ ɛ AL ʔ AC
ကြက်ခြေ	t AC ɕ AJ ɛ AL ʔ AC t AC ɕʰ BA e AL
ကြက်ခြေနီ	t AC ɕ AJ ɛ AL ʔ AC t AC ɕʰ BA e AL n AG i AL
ကြက်ခြေနီအသင်း	t AC ɕ AJ ɛ AL ʔ AC t AC ɕʰ BA e AL n AG i AL ʔ AC ə AL θ AJ ɪ AL ɴ AG
ကြက်ဆင်	t AC ɕ AJ ɛ AL ʔ AC sʰ BA ɪ AL ɴ AG
ကြက်ဆီထမင်း	t AC ɕ AJ ɛ AL ʔ AC sʰ BA i AL tʰ AD ə AL m AF ɪ AL ɴ AG
ကြက်ဆူ	t AC ɕ AJ ɛ AL ʔ AC sʰ BA u AM
ကြက်တူရွေး	t AC ɕ AJ ɛ AL ʔ AC t AC u AM j AB w AK e AL
ကြက်ဖ	t AC ɕ AJ ɛ AL ʔ AC pʰ AI a̰ AL
ကြက်မ	t AC ɕ AJ ɛ AL ʔ AC m AF a̰ AL
ကြက်မောက်	t AC ɕ AJ ɛ AL ʔ AC m AF a AL ʊ AM ʔ AC
ကြက်မောက်သီး	t AC ɕ AJ ɛ AL ʔ AC m AF a AL ʊ AM ʔ AC θ AJ i AL
ကြက်သား	t AC ɕ AJ ɛ AL ʔ AC θ AJ a AL
ကြက်သီးထ	t AC ɕ AJ ɛ AL ʔ AC θ AJ e AL ɪ AL ɴ AG tʰ AD a̰ AL
ကြက်သီးမွေးညင်းထ	t AC ɕ AJ ɛ AL ʔ AC θ AJ e AL ɪ AL ɴ AG m AF w AK e AL ɲ AG ɪ AL ɴ AG tʰ AD a̰ AL
ကြက်သွန်	t AC ɕ AJ ɛ AL ʔ AC θ AJ ʊ AM ɴ AG
ကြက်သွန်နီ	t AC ɕ AJ ɛ AL ʔ AC θ AJ ʊ AM ɴ AG n AG i AL
ကြက်သွန်ဖြူ	t AC ɕ AJ ɛ AL ʔ AC θ AJ ʊ AM ɴ AG b AH j AB u AM
