't	t
adrias	ʔ a AD d ɾ i AD a AD s
adyenda	ɑ AD dʲ ɛ AD n d ɑ AD
afam	a AD f a AD m
agamahan	ʔ a AD ɡ a AD m a AD h AA a AD n
agapay	ʔ a AD ɡ a AD p a AD i AD
agaran	ʔ a AD ɡ a AD ɾ a AD n
agbarog	ʔ a AD ɡ b a AD ɾ o AF ɡ
agbarugan	ʔ a AD ɡ b a AD ɾ u AF ɡ a AD n
aghamwika	a AD ɡ h AA a AD m w AC i AD k a AD ʔ
aghimo	ʔ a AD ɡ h AA i AD m o AF ʔ
aghimuan	ʔ a AD ɡ h AA i AD m u AF ʔ a AD n
aghimuin	ʔ a AD ɡ h AA i AD m u AF ʔ i AD n
agila	ʔ a AD ɡ i AD l a AD
agimat	ʔ a AD ɡ i AD m a AD t
agimatan	ʔ a AD ɡ i AD m a AD t a AD n
agiw	ʔ a AD ɡ i AD u AF
agosto	a AD ɡ o AF s t o AF
agrabyado	ʔ a AD ɡ ɾ a AD b j AB a AD d o AF
agsikap	ʔ a AD ɡ s i AD k a AD p
agsikapan	ʔ a AD ɡ s i AD k a AD p a AD n
aguas	ʔ a AD ɡ u AF a AD s
aguda	ʔ a AD ɡ u AF d a AD
aguilera	ʔ a AD ɡ i AD l ɛ AD ɾ a AD
aguirre	ʔ a AD ɡ i AD ɾ ɛ AD
agustin	ʔ a AD ɡ u AF s t i AD n
agwa	a AD ɡ w AC ɐ AF
agwat	ʔ a AD ɡ w AC a AD t
ahensya	ɑ AD ɦ AA ɛ AD n ɕ ɑ AD
aklat	ɐ AF k l a AD t
aklatan	ɐ AF k l aː AE t ɐ AF n
aksayado	ʔ a AD k s a AD j AB a AD d o AF
alam	ɐ AF l a AD m
alambre	ʔ a AD l a AD m b ɾ ɛ AD
alamin	ʔ a AD l a AD m i AD n
alcaide	ʔ a AD l k a AD i AD d ɛ AD
aldover	ʔ a AD l d o AF b ɛ AD ɾ
alegre	ʔ a AD l ɛ AD ɡ ɾ ɛ AD
alfaro	a AD l f a AD ɾ o AF
alila	ʔ a AD l i AD l a AD ʔ
alimasag	ʔ a AD l i AD m a AD s a AD ɡ
alimuom	a AD l i AD m u AF o AF m
alipin	ʔ a AD l i AD p i AD n
alis	ʔ a AD l i AD s
almaden	ʔ a AD l m a AD d ɛ AD n
almarez	ʔ a AD l m a AD ɾ ɛ AD s
almario	ʔ a AD l m a AD ɾ i AD o AF
almendrala	ʔ a AD l m ɛ AD n d ɾ a AD l a AD
almirol	ʔ a AD l m i AD ɾ o AF l
almohadilya	a AD l m o AF h AA a AD d i AD l j AB a AD ʔ
alonte	ʔ a AD l o AF n t ɛ AD
alonto	ʔ a AD l o AF n t o AF
alperes	ʔ a AD l p ɛ AD ɾ ɛ AD s
altapresyon	ʔ a AD l t a AD p ɾ ɛ AD s j AB o AF n
alulod	ɐ AF l u AF l ɔ AF d
alusitha	ʔ a AD l u AF s i AD t h AA a AD ʔ
alviar	ʔ a AD l b j AB a AD ɾ
alzaga	a AD l s a AD ɡ a AD
amante	ʔ a AD m a AD n t ɛ AD
ambag	ʔ a AD m b a AD ɡ
amerikana	ʔ a AD m ɛ AD ɾ i AD k a AD n a AD
amin	ʔ a AD m i AD n
aminado	ʔ a AD m i AD n a AD d o AF
aming	a AD m i AD ŋ
aminin	a AD m i AD n i AD n
amo	ʔ a AD m o AF
amon	ʔ a AD m o AF n
amoranto	ʔ a AD m o AF ɾ a AD n t o AF
ampaw	ʔ a AD m p a AD u AF
amurao	ʔ a AD m u AF ɾ a AD u AF
analisis	ʔ a AD n a AD l i AD s i AD s
anatomiya	ʔ a AD n a AD t o AF m i AD a AD
anay	ʔ a AD n a AD i AD
anayin	ʔ a AD n a AD j AB i AD n
anda	a AD n d a AD
andal	ʔ a AD n d a AD l
andaya	a AD n d a AD y AF a AD
ang	a AD ŋ
anga	ʔ a AD ŋ a AD
angaw	a AD ŋ a AD w AC
anggo	ʔ a AD ŋ ɡ o AF
anghel	ʔ a AD ŋ h AA ɛ AD l
angis	ʔ a AD ŋ i AD s
angkla	ʔ a AD ŋ k l a AD
ango	ʔ a AD ŋ o AF
angot	ʔ a AD ŋ o AF t
anim	ʔ a AD n i AD m
animnapu	a AD n i AD m n a AD p u AF ʔ
anis	ʔ a AD n i AD s
ano	a AD n o AF
anos	ʔ a AD n o AF s
anta	ʔ a AD n t a AD
antas	ʔ a AD n t a AD s
antipona	ʔ a AD n t i AD p o AF n a AD
antok	ʔ a AD n t o AF k
antukin	ʔ a AD n t u AF k i AD n
anunsyo	ɑ AD n u AF n ɕ ɔ AF
anyayahan	ʔ a AD n j AB a AD j AB a AD h AA a AD n
apahap	ʔ a AD p a AD h AA a AD p
apalit	ʔ a AD p a AD l i AD t
apat	a AD p a AD t
apatnapu	a AD p a AD t n a AD p u AF ʔ
apatnaraan	a AD p a AD t n a AD r a AD a AD n
apela	ʔ a AD p ɛ AD l a AD
apilado	ʔ a AD p i AD l a AD d o AF
apostasiya	ʔ a AD p o AF s t a AD s i AD a AD
aral	a AD ɾ ɐ AF l
aranda	ʔ a AD ɾ a AD n d a AD
araw	ɐ AF ɾ a AD w AC
aray	ʔ a AD ɾ a AD i AD
arañas	ʔ a AD ɾ a AD ɲ a AD s
arce	ʔ a AD ɾ s ɛ AD
arcega	ʔ a AD ɾ s ɛ AD ɡ a AD
arceo	ʔ a AD ɾ s ɛ AD o AF
arcilla	ʔ a AD ɾ s i AD l l a AD
arcillas	ʔ a AD ɾ s i AD l l a AD s
arcinas	ʔ a AD ɾ s i AD n a AD s
arenas	ʔ a AD ɾ ɛ AD n a AD s
arevalo	ʔ a AD ɾ ɛ AD b a AD l o AF
argente	ʔ a AD ɾ ɡ ɛ AD n t ɛ AD
arguelles	a AD ɾ ɡ w AC e AD l j AB e AD s
arkila	ʔ a AD ɾ k i AD l a AD
arlene	a AD r l i AD n
arnibal	a AD r n i AD b a AD l
arquiza	ʔ a AD ɾ k i AD s a AD
arriola	ʔ a AD ɾ i AD o AF l a AD
arrogante	ʔ a AD ɾ o AF ɡ a AD n t ɛ AD
artiaga	ʔ a AD ɾ t j AB a AD ɡ a AD
artista	a AD r t i AD s t a AD
arzadon	ʔ a AD ɾ s a AD d o AF n
ashley	a AD ʃ l i AD
asilo	ʔ a AD s i AD l o AF
asinta	ʔ a AD s i AD n t a AD
aso	a AD s o AF
asukal	a AD s uː AG k a AD l
asul	ʔ a AD s u AF l
asungot	ʔ a AD s u AF ŋ o AF t
at	ʔ a AD t
ataul	ʔ a AD t a AD ʔ u AF l
atendido	ʔ a AD t ɛ AD n d i AD d o AF
atip	a AD t i AD p
auyong	a AD w AC j AB ɔ AF ŋ
avanceña	ʔ a AD b a AD n s ɛ AD ɲ a AD
avendaño	ʔ a AD b ɛ AD n d a AD ɲ o AF
awat	ʔ a AD w AC a AD t
away	a AD w AC a AD j AB
awayin	a AD w AC a AD j AB i AD n
awyoung	a AD w AC j AB ɐ AF ŋ
ay	ʔ a AD i AD
ayam	a AD y AF a AD m
ayson	ʔ a AD i AD s o AF n
azaña	ʔ a AD s a AD ɲ a AD
azucena	ʔ a AD s u AF s ɛ AD n a AD
ba	b a AD
ba't	b a AD t
babae	b a AD b a AD ʔ ɛ AD
babaero	b a AD b a AD ʔ ɛ AD ɾ o AF
babaihin	b a AD b a AD i AD h AA i AD n
babao	b a AD b a AD u AF
babasa	b a AD b a AD s a AD
babasagin	b a AD b a AD s a AD ɡ i AD n
babasahin	b a AD b a AD s a AD h AA i AD n
bacani	b a AD k a AD n i AD
baclig	b a AD k l i AD ɡ
bacsa	b a AD k s a AD
bactol	b a AD k t o AF l
baculi	b a AD k u AF l i AD
badayos	b a AD d a AD j AB o AF s
baga	b a AD ɡ a AD ʔ
bagaman	b a AD ɡ a AD m a AD n
bagamat	b a AD ɡ a AD m a AD t
bagang	b a AD ɡ ʔ a AD ŋ
bagaoisan	b a AD ɡ a AD w AC i AD s a AD n
baging	b a AD ɡ i AD ŋ
bagon	b a AD ɡ o AF n
bagsak	b a AD ɡ s a AD k
bagsik	b a AD ɡ s i AD k
bagsit	b a AD ɡ s i AD t
bagunsakupin	b a AD ɡ u AF n s a AD k u AF p i AD n
bahaghari	b a AD h AA a AD ɡ h AA a AD ɾ i AD ʔ
bahaw	b a AD h AA a AD w AC
bahay	b a AD h AA a AD j AB
bahing	b a AD h AA i AD ŋ
bahon	b a AD h AA o AF n
baka	b ɐ AF k a AD ʔ
bakahan	b a AD k a AD h AA a AD n
bakas	b a AD k a AD s
bakasyon	b a AD k a AD ʃ o AF n
bakit	b a AD k ɛ AD t
baklad	b a AD k l a AD d
bakulaw	b a AD k u AF l a AD u AF
bakuna	b a AD k u AF n a AD
bakunahan	b a AD k u AF n a AD h AA a AD n
bakuran	b a AD k u AF ɾ a AD n
balae	b a AD l a AD ʔ ɛ AD
balaguer	b a AD l a AD ɡ ɛ AD ɾ
balahak	b a AD l a AD h AA a AD k
balahakan	b a AD l a AD h AA a AD k a AD n
balahibo	b a AD l a AD h AA i AD b o AF
balakubak	b a AD l a AD k u AF b a AD k
balani	b ɐ AF l a AD n i AD ʔ
balasa	b a AD l a AD s a AD
balasabas	b a AD l a AD s a AD b a AD s
balat	b a AD l a AD t
balato	b a AD l a AD t o AF
balatong	b a AD l a AD t o AF ŋ
balbas	b a AD l b a AD s
balde	b a AD l d e AD
baldonado	b a AD l d o AF n a AD d o AF
baldosa	b ɐ AF l d o AF s ɐ AF
bali	b a AD l i AD ʔ
baligtad	b a AD l i AD ɡ t a AD d
balik	b a AD l i AD k
balimbing	b ɐ AF l i AD m b i AD ŋ
balingit	b a AD l i AD ŋ i AD t
balisa	b a AD l i AD s a AD ʔ
balisacan	b a AD l i AD s a AD k a AD n
balisungsong	b a AD l i AD s u AF ŋ s ɔ AF ŋ
balita	b ɐ AF l i AD t a AD ʔ
balite	b a AD l i AD t ɛ AD
balnian	b a AD l n i AD a AD n
balo	b a AD l o AF ʔ
balon	b a AD l o AF n
baluga	b a AD l u AF ɡ a AD ʔ
balukay	b a AD l u AF k a AD j AB
baluktot	b a AD l u AF k t o AF t
balwarte	b a AD l w AC a AD ɾ t ɛ AD
banawa	b a AD n a AD w AC a AD
bandila	b a AD n d i AD l a AD ʔ
bangaw	b a AD ŋ a AD u AF
bangkay	b a AD ŋ k a AD i AD
bangkiling	b a AD ŋ k i AD l i AD ŋ
bango	b a AD ŋ o AF
baniaga	b a AD n j AB a AD ɡ a AD
banig	b a AD n i AD ɡ
banlaw	b a AD n l a AD u AF
banta	b a AD n t a AD ʔ
bantay	b a AD n t a AD i AD
bantayog	b a AD n t a AD j AB o AF ɡ
bantog	b a AD n t o AF ɡ
banyaga	b a AD n j AB a AD ɡ a AD ʔ
banyuhay	b ɐ AF n y AF u AF h AA ɐ AF j AB
bao	b a AD o AF
baog	b a AD ʔ o AF ɡ
baon	b a AD ʔ o AF n
baquiran	b a AD k i AD ɾ a AD n
bara	b a AD ɾ a AD
barado	b a AD ɾ a AD d o AF
baraha	b a AD ɾ a AD h AA a AD
barangay	b a AD r a AD ŋ ɡ a AD j AB
barbosa	b a AD ɾ b o AF s a AD
barquilla	b a AD ɾ k i AD l l a AD
barrios	b a AD ɾ j AB o AF s
bartolome	b a AD ɾ t o AF l o AF m ɛ AD
barya	b a AD ɾ j AB a AD
basa	b a AD s a AD
basag	b a AD s a AD ɡ
basahan	b a AD s a AD h AA a AD n
basakay	b a AD s a AD k a AD j AB
basallote	b ɐ AF s ɐ AF l j AB o AF t ɛ AD
basco	b a AD s k o AF
base	b a AD s ɛ AD
basehan	b a AD s ɛ AD h AA a AD n
basilan	b a AD s i AD l a AD n
basta	b a AD s t a AD
bastos	b a AD s t o AF s
basurahan	b a AD s u AF ɾ a AD h AA a AD n
basurero	b a AD s u AF ɾ ɛ AD ɾ o AF
basyo	b a AD ʃ o AF
basyuhin	b a AD ʃ u AF h AA i AD n
bata	b ɐ AF t a AD
batallones	b a AD t a AD l l o AF n ɛ AD s
batalyon	b a AD t a AD l j AB o AF n
batangas	b a AD t a AD n ɡ a AD s
batas	b a AD t a AD s
bathalaan	b a AD t h AA a AD l a AD ʔ a AD n
bati	b a AD t i AD ʔ
bato	b a AD t o AF ʔ
batok	b a AD t o AF k
batugan	b a AD t u AF ɡ a AD n
batukan	b a AD t u AF k a AD n
batya	b a AD t j AB a AD ʔ
batyaw	b a AD tʲ a AD w AC
baunan	b a AD ʔ u AF n a AD n
bauzon	b a AD u AF s o AF n
bawang	b aː AE w AC a AD ŋ
bayabas	b a AD j AB a AD b a AD s
bayad	b a AD j AB a AD d
bayanihan	b a AD j AB ɐ AF n ɪ AD h AA a AD n
bayarin	b a AD y AF a AD r i AD n
bayawak	b a AD j AB a AD w AC a AD k
bayna	b a AD j AB n a AD
bayong	b a AD j AB o AF ŋ
bayugo	b a AD j AB u AF ɡ o AF
baywang	b ɛ AD w AC a AD ŋ
bañaga	b a AD ɲ a AD ɡ a AD
bebot	b ɛː AE b ɔ AF t
bejasa	b ɛ AD d ʒ a AD s a AD
belhiko	b ɛ AD l h AA i AD k o AF
belmonte	b ɛ AD l m o AF n t ɛ AD
beltran	b ɛ AD l t ɾ a AD n
benepisyo	b ɛ AD n ɛ AD p i AD s j AB o AF
benipayo	b ɛ AD n i AD p a AD j AB o AF
benta	b e AD n t a AD
berde	b ɛ AD ɾ d ɛ AD
bergonia	b ɛ AD ɾ ɡ o AF n j AB a AD
beripikahin	b ɛ AD r i AD p i AD k a AD h AA i AD n
bermudez	b ɛ AD ɾ m u AF d ɛ AD s
beshie	b e AD s h AA i AD
bibe	b i AD b e AD
bibili	b i AD b i AD l i AD
bibingka	b i AD b i AD ŋ k a AD
bigat	b i AD ɡ ʔ a AD t
bigo	b i AD ɡ o AF ʔ
bigote	b i AD ɡ ɔ AF t ɛ AD
bigti	b i AD ɡ t i AD ʔ
biguin	b i AD ɡ u AF i AD n
bihag	b i AD h AA a AD ɡ
bihira	b i AD h AA i AD ɾ a AD ʔ
bihis	b i AD h AA i AD s
biik	b i AD i AD k
bilang	b iː AE l a AD ŋ
bilangguan	b i AD l a AD ŋ ɡ u AF ʔ a AD n
bilao	b i AD l a AD o AF
bilas	b i AD l a AD s
bilhan	b i AD l h AA a AD n
bilhin	b i AD l h AA i AD n
bili	b i AD l i AD
bilog	b i AD l ɔ AF ɡ
bilot	b i AD l o AF t
biloy	b i AD l o AF j AB
bilubilo	b i AD l u AF b i AD l o AF
bilugan	b i AD l u AF ɡ a AD n
binabae	b i AD n a AD b a AD ʔ ɛ AD
binatilyo	b i AD n a AD t i AD l j AB o AF
binaysok	b i AD n a AD j AB s o AF k
bingwit	b i AD ŋ w AC i AD t
bintag	b i AD n t a AD ɡ
bintana	b i AD n t a AD n a AD
bintang	b i AD n t a AD ŋ
bintog	b i AD n t o AF ɡ
binutil	b i AD n u AF t i AD l
binuya	b i AD n u AF j AB a AD
biro	b iː AE ɾ o AF ʔ
bisaya	b i AD s a AD j AB a AD ʔ
biscocho	b i AD s k o AF t ʃ o AF
bisikleta	b i AD s i AD k l ɛ AD t a AD
bisita	b i AD s i AD t a AD
bisitahin	b i AD s i AD t a AD h AA i AD n
bitamina	b ɪ AD t ɐ AF m i AD n ɐ AF
bitay	b i AD t a AD i AD
biyas	b i AD a AD s
biyaya	b i AD a AD j AB a AD ʔ
biyernes	b j AB ɛ AD ɾ n ɛ AD s
biyolohiya	b i AD j AB o AF l o AF h AA i AD j AB ɐ AF
biyuda	b i AD u AF d a AD
bobadilla	b o AF b a AD d i AD l l a AD
bobo	b o AF b o AF
bobotante	b ɔ AF b ɔ AF t a AD n t ɛ AD
bodega	b o AF d ɛ AD ɡ a AD
boksing	b o AF k s i AD ŋ
bolante	b o AF l a AD n t ɛ AD
bolaños	b o AF l a AD ɲ o AF s
bolpen	b o AF l p ɛ AD n
boluntaryo	b o AF l u AF n t a AD ɾ j AB o AF
bonifacio	b o AF n i AD f a AD ʃ o AF
bonilla	b o AF n i AD l l a AD
boongaling	b o AF o AF ŋ ɡ a AD l i AD ŋ
borbon	b o AF ɾ b o AF n
borillo	b o AF ɾ i AD l l o AF
borlaza	b o AF ɾ l a AD s a AD
boso	b o AF s o AF
botante	b o AF t a AD n t ɛ AD
bote	b o AF t ɛ AD
botelya	b o AF t ɛ AD l j AB a AD
botika	b o AF t i AD k a AD
botohan	b o AF t o AF h AA a AD n
braso	b ɾ a AD s o AF
brillantes	b ɾ i AD l l a AD n t ɛ AD s
bruha	b ɾ u AF h AA a AD
bubo	b u AF b o AF ʔ
bubog	b u AF b o AF ɡ
bubuli	b u AF b u AF l i AD
budhi	b u AF d h AA i AD ʔ
buenafe	b u AF ɛ AD n a AD p ɛ AD
buga	b u AF ɡ a AD
bugarin	b u AF ɡ a AD ɾ i AD n
bugat	b u AF ɡ a AD t
bugaw	b u AF ɡ a AD u AF
bugayong	b u AF ɡ a AD j AB o AF ŋ
bughaw	b u AF ɡ h AA a AD w AC
bugnit	b u AF ɡ n i AD t
bugtong	b u AF ɡ t o AF ŋ
buhag	b u AF h AA a AD ɡ
buhaghag	b u AF h AA a AD ɡ h AA a AD ɡ
buhagsigan	b u AF h AA a AD ɡ s i AD ɡ a AD n
buhagsigwasan	b u AF h AA a AD ɡ s i AD ɡ w AC a AD s a AD n
buhagtigilan	b u AF h AA a AD ɡ t i AD ɡ i AD l a AD n
buhawi	b u AF h AA a AD w AC i AD ʔ
buhok	b u AF h AA o AF k
bukambibig	b u AF k a AD m b i AD b i AD ɡ
bukas	b u AF k a AD s
bukbok	b u AF k b o AF k
buking	b u AF k i AD ŋ
bukot	b u AF k o AF t
bula	b u AF l a AD ʔ
bulaan	b u AF l a AD ʔ a AD n
bulahaw	b u AF l a AD h AA a AD u AF
bulalakaw	b u AF l a AD l a AD k a AD u AF
bulalay	b u AF l a AD l a AD j AB
bulanadi	b u AF l a AD n a AD d i AD
bulandal	b u AF l a AD n d a AD l
bulanhagui	b u AF l a AD n h AA a AD ɡ i AD
bulati	b u AF l a AD t i AD
bulatlat	b u AF l a AD t l a AD t
bulaw	b u AF l a AD u AF
bulbol	b u AF l b o AF l
bulig	b u AF l i AD ɡ
bulok	b u AF l o AF k
bulutong	b u AF l u AF t o AF ŋ
bulyaw	b u AF l j AB a AD u AF
bumaba	b u AF m a AD b a AD ʔ
bumagsak	b u AF m a AD ɡ s a AD k
bumagyo	l u AF m i AD w AC a AD n a AD ɡ
bumaha	b u AF m a AD h AA a AD ʔ
bumahin	b u AF m a AD h AA i AD n
bumahing	b u AF m a AD h AA i AD ŋ
bumalik	b u AF m a AD l i AD k
bumalintong	b u AF m a AD l i AD n t ɔ AF ŋ
bumbunan	b u AF m b u AF n a AD n
bumibili	b u AF m i AD b i AD l i AD
bumili	b u AF m i AD l i AD
bumilis	b u AF m i AD l i AD s
bumisita	b u AF m i AD s i AD t a AD
bumiyahe	b u AF m j AB a AD h AA ɛ AD
bumuo	b u AF m u AF ʔ o AF ʔ
bumuwelta	b u AF m u AF w AC ɛ AD l t a AD
bunag	b u AF n a AD ɡ
bunga	b u AF ŋ a AD
bungkos	b u AF ŋ k o AF s
bungo	b u AF ŋ o AF ʔ
bungot	b u AF ŋ ɔ AF t
buno	b u AF n o AF ʔ
bunso	b u AF ŋ s o AF ʔ
bunto	b u AF n t o AF ʔ
bunyi	b u AF n j AB i AD
buo	b u AF o AF ʔ
buol	b u AF ʔ o AF l
buquid	b u AF k i AD d
bura	b u AF ɾ aː AE
burahin	b u AF r a AD h AA i AD n
burgis	b u AF ɾ ɡ i AD s
buryong	b u AF ɾ j AB o AF ŋ
bus	b u AF s
buson	b u AF s o AF n
butac	b u AF t a AD k
butaka	b u AF t a AD k a AD
butang	b u AF t a AD ŋ
butas	b u AF t a AD s
buto	b u AF t ʔ o AF
butod	b u AF t o AF d
butudkaphay	b u AF t o AF d k a AD p h AA a AD j AB
butudkilos	b u AF t o AF d k i AD l o AF s
buturan	b u AF t u AF ɾ a AD n
buuin	b u AF ʔ u AF ʔ i AD n
buwag	b u AF a AD ɡ
buwakaw	b w AC a AD k a AD u AF
buwanan	b u AF a AD n a AD n
buwaya	b u AF a AD j AB a AD
buwelta	b w AC ɛ AD l t a AD
buweltahan	b w AC ɛ AD l t a AD h AA a AD n
buwisit	b u AF i AD s i AD t
buyo	b u AF j AB o AF
cabahug	k a AD b a AD h AA u AF ɡ
cabanayan	k a AD b a AD n a AD j AB a AD n
cabanlit	k a AD b a AD n l i AD t
cabasag	k a AD b a AD s a AD ɡ
cabiling	k a AD b i AD l i AD ŋ
cabral	k a AD b ɾ a AD l
cabuhat	k a AD b u AF h AA a AD t
cabungcal	k a AD b u AF ŋ k a AD l
cacdac	k a AD k d a AD k
cadano	k a AD d a AD n o AF
cadapan	k a AD d a AD p a AD n
cadayona	k a AD d a AD j AB o AF n a AD
cagalingan	k a AD ɡ a AD l i AD ŋ a AD n
caguiat	k a AD ɡ j AB a AD t
caguioa	k a AD ɡ i AD w AC a AD
calalo	k a AD l a AD l o AF
calaunan	k a AD l a AD ʔ u AF n a AD n
calaycay	k a AD l a AD i AD k a AD i AD
calinawan	k a AD l i AD n a AD w AC a AD n
calingasan	k a AD l i AD ŋ a AD s a AD n
calinisan	k a AD l i AD n i AD s a AD n
calma	k a AD l m a AD
campo	k a AD m p o AF
cancio	k a AD n s i AD o AF
canicosa	k a AD n i AD k o AF s a AD
canilao	k a AD n i AD l a AD u AF
cantiveros	k a AD n t i AD b ɛ AD ɾ o AF s
cantos	k a AD n t o AF s
caparas	k a AD p a AD ɾ a AD s
capinpin	k a AD p i AD n p i AD n
cardiño	k a AD ɾ d i AD ɲ o AF
cariaso	k a AD ɾ j AB a AD s o AF
carillo	k a AD ɾ i AD l l o AF
carlos	k ɐ AF ɾ l ɔ AF s
carrillo	k a AD ɾ ɾ i AD l l o AF
casal	k a AD s a AD l
casanova	k a AD s a AD n o AF b a AD
casao	k a AD s a AD o AF
caseda	k a AD s ɛ AD d a AD
castañeda	k a AD s t a AD ɲ ɛ AD d a AD
castrence	k a AD s t ɾ ɛ AD n s ɛ AD
catapang	k a AD t a AD p a AD ŋ
catibog	k a AD t i AD b o AF ɡ
catimbang	k a AD t i AD m b a AD ŋ
catipon	k a AD t i AD p o AF n
catral	k a AD t ɾ a AD l
cauilan	k a AD w AC i AD l a AD n
caw	k a AD w AC
cedeño	s ɛ AD d ɛ AD ɲ o AF
cenizal	s ɛ AD n i AD s a AD l
cereno	s ɛ AD ɾ ɛ AD n o AF
cerillo	s ɛ AD ɾ i AD l l o AF
chan	t ʃ a AD n
cheng	c h AA ɛ AD ŋ
chi	t ʃ i AD
ching	t ʃ i AD ŋ
chong	t ʃ o AF ŋ
chu	t ʃ ʊ AF
chua	t ʃ w AC a AD
chung	t ʃ ʊ AF ŋ
cinco	s i AD n k o AF
closa	k l o AF s a AD
co	k ɔ AF
collado	k o AF l l a AD d o AF
cometa	k o AF m ɛ AD t a AD
comia	k o AF m i AD a AD
condez	k o AF n d ɛ AD s
coo	k uː AG
coquia	k o AF k i AD a AD
corcuera	k o AF ɾ k w AC ɛ AD ɾ a AD
cornejo	k o AF ɾ n ɛ AD d ʒ o AF
coronel	k o AF ɾ o AF n ɛ AD l
corrales	k o AF ɾ ɾ a AD l ɛ AD s
correa	k o AF ɾ ɾ ɛ AD a AD
corro	k o AF ɾ ɾ o AF
cosico	k o AF s i AD k o AF
cruzat	k ɾ u AF s a AD t
cua	k w AC a AD
cuasay	k w AC a AD s a AD i AD
cubacub	k u AF b a AD k u AF b
cueto	k w AC ɛ AD t o AF
cuizon	k u AF i AD s o AF n
custodio	k u AF s t o AF d j AB o AF
daan	d a AD ʔ a AD n
dabarkads	d a AD b a AD r k a AD d s
dacanay	d a AD k a AD n a AD i AD
dado	d a AD d o AF
daga	d a AD ɡ a AD ʔ
dagadagaan	d a AD ɡ a AD d a AD ɡ a AD ʔ a AD n
dagat	d a AD ɡ a AD t
dagipik	d a AD ɡ i AD p i AD k
dagisikan	d a AD ɡ i AD s i AD k a AD n
dagitban	d a AD ɡ i AD t b a AD n
dagitigilan	d a AD ɡ i AD t i AD ɡ i AD l a AD n
dagitsigan	d a AD ɡ i AD t s i AD ɡ a AD n
dagta	d a AD ɡ t a AD ʔ
dahas	d a AD h AA a AD s
dahilan	d a AD h AA i AD l a AD n
dahilig	d a AD h AA i AD l i AD ɡ
dahon	d a AD h AA o AF n
dakip	d a AD k i AD p
daktao	d a AD k t a AD ʔ ɔ AF
daktinig	d a AD k t i AD n i AD ɡ
dalagita	d a AD l a AD ɡ i AD t a AD
dalang	d a AD l a AD ŋ
dalaw	d a AD l a AD u AF
dalawa	d a AD l a AD w AC a AD
dalawampu	d a AD l a AD w AC a AD m p u AF ʔ
dalawit	d a AD l a AD w AC i AD t
dalmasya	d ɑ AD l m ɑ AD ɕ ɑ AD
dalubhasa	d a AD l u AF b h AA a AD s a AD ʔ
dalubituinan	d a AD l u AF b b i AD t u AF i AD n a AD n
dalubtalaan	d a AD l u AF b t a AD l a AD ʔ a AD n
