ँ	ə̃ AN
अंधाधुंध	ə̃ AN n̪ AF d̪ʱ AC äː d̪ʱ AC ʊ̃ AM n̪ AF d̪ʱ AC
अंधेरा	ə̃ AN n̪ AF d̪ʱ AC eː AJ ɾ BA äː
अंबर	ə̃ AN m AE b AG ə AJ ɾ BA
अंबा	ə̃ AN m AE b AG äː
अंबु	ə̃ AN m AE b AG uː AK
अंश	ə̃ AN n̪ AF ʃ AB
अंशकालिक	ə̃ AN n̪ AF ʃ AB k AB äː l̪ AD ɪ AJ k AB
अंशतः	ə̃ AN n̪ AF ʃ AB t̪ AB ə AJ ɦ AL
अंशुक	ə̃ AN n̪ AF ʃ AB ʊ AK k AB
अकड़न	ə AJ k AB ɽ BA ə̃ AN n̪ AF
अकड़ना	ə AJ k AB ə AJ ɽ BA n̪ AF äː
अकर्मण्यता	ə AJ k AB ə AJ ɾ BA m AE ə̃ AN ɳ AF j AA ə AJ t̪ AB äː
अकस्मात्	ə AJ k AB ə AJ s̪ AB m AE äː t̪ AB
अक़्ल	ə AJ q AB ə AJ l̪ AD
अक़्लमंद	ə AJ q AB ə AJ l̪ AD m AE ə̃ AN n̪ AF d̪ AB
अकाज	ə AJ k AB äː d AB ʒ AB
अकादमिक	ə AJ k AB äː d̪ AB m AE ɪ AJ k AB
अकादमी	ə AJ k AB äː d̪ AB m AE iː AJ
अकारण	ə AJ k AB äː ɾ BA ə̃ AN ɳ AF
अकारथ	ə AJ k AB äː ɾ BA ə AJ t̪ʰ AC
अकाल	ə AJ k AB äː l̪ AD
अकेला	ə AJ k AB eː AJ l̪ AD äː
अकेलापन	ə AJ k AB eː AJ l̪ AD äː p AG ə̃ AN n̪ AF
अक्खड़	ə AJ k̚ kʰ AC ə AJ ɽ BA
अक्खा	ə AJ k̚ kʰ AC äː
अक्षत	ə AJ k AB ʃ AB ə AJ t̪ AB
अक्षम्य	ə AJ k AB ʃ AB ə̃ AN m AE j AA
अक्षर	ə AJ k AB ʃ AB ə AJ ɾ BA
अक्षरारंभ	ə AJ k AB ʃ AB ə AJ ɾ BA äː ɾ BA ə̃ AN m AE bʱ AH
अक्स	ə AJ k AB s̪ AB
अक्सर	ə AJ k AB s̪ AB ə AJ ɾ BA
अखंड	ə AJ kʰ AC ə̃ AN ɳ AF ɖ AB
अखंडता	ə AJ kʰ AC ə̃ AN ɳ AF ɖ AB t̪ AB äː
अखबार	ə AJ x AB b AG äː ɾ BA
अखरना	ə AJ kʰ AC ə AJ ɾ BA n̪ AF äː
अख़बार	ə AJ x AB b AG äː ɾ BA
अख़बारवाला	ə AJ x AB b AG äː ɾ BA ʋ AI äː l̪ AD äː
अखाड़ा	ə AJ kʰ AC äː ɽ BA äː
अखिल	ə AJ kʰ AC ɪ AJ l̪ AD
अखिलेश	ə AJ kʰ AC ɪ AJ l̪ AD eː AJ ʃ AB
अगरतला	ə AJ ɡ AB ə AJ ɾ BA t̪ AB ə AJ l̪ AD äː
अगरबत्ती	ə AJ ɡ AB ə AJ ɾ BA b AG ə AJ t̪̚ t̪ AB iː AJ
अगला	ə AJ ɡ AB l̪ AD äː
अगवानी	ə AJ ɡ AB ʋ AI äː n̪ AF iː AJ
अगस्त	ə AJ ɡ AB ə AJ s̪ AB t̪ AB
अगाऊ	ə AJ ɡ AB äː uː AK
अगिन	ə AJ ɡ AB ɪ̃ AN n̪ AF
अगुआ	ə AJ ɡ AB ʊ AK äː
अग्नि	ə AJ ɡ AB n̪ AF iː AJ
अग्निपरीक्षा	ə AJ ɡ AB n̪ AF ɪ AJ p AG ə AJ ɾ BA iː AJ k AB ʃ AB äː
अग्निशस्त्र	ə AJ ɡ AB n̪ AF ɪ AJ ʃ AB ə AJ s̪ AB t̪ AB ɾ BA
अग्निशामक	ə AJ ɡ AB n̪ AF ɪ AJ ʃ AB äː m AE ə AJ k AB
अग्न्याशय	ə AJ ɡ AB n̪ AF j AA äː ʃ AB ə AJ j AA
अग्रवाल	ə AJ ɡ AB ɾ BA ʋ AI äː l̪ AD
अग्रहायण	ə AJ ɡ AB ɾ BA ə AJ ɦ AL äː j AA ə̃ AN ɳ AF
अग्रिम	ə AJ ɡ AB ɾ BA ɪ̃ AN m AE
अग्रिमता	ə AJ ɡ AB ɾ BA ɪ̃ AN m AE t̪ AB äː
अचंभा	ə AJ t AB ʃ AB ə̃ AN m AE bʱ AH äː
अचकन	ə AJ t AB ʃ AB k AB ə̃ AN n̪ AF
अचानक	ə AJ t AB ʃ AB äː n̪ AF ə AJ k AB
अच्छा	ə AJ t̚ t AB ʃʰ AC äː
अच्छाई	ə AJ t̚ t AB ʃʰ AC äː iː AJ
अच्छापन	ə AJ t̚ t AB ʃʰ AC äː p AG ə̃ AN n̪ AF
अछना	ə AJ t AB ʃʰ AC n̪ AF äː
अछूता	ə AJ t AB ʃʰ AC uː AK t̪ AB äː
अजनबियत	ə AJ d AB ʒ AB n̪ AF ə AJ b AG i AJ j AA ə AJ t̪ AB
अजनबी	ə AJ d AB ʒ AB n̪ AF ə AJ b AG iː AJ
अजवाइन	ə AJ d AB ʒ AB ʋ AI äː ɪ̃ AN n̪ AF
अज़दहा	ə AJ z AB d̪ AB ə AJ ɦ AL äː
अज़रबैजान	ə AJ z AB ə AJ ɾ BA b AG ɛː AJ d AB ʒ AB ä̃ː n̪ AF
अज़ान	ə AJ z AB ä̃ː n̪ AF
अज़ाब	ə AJ z AB äː b AG
अज़ीम	ə AJ z AB ĩː m AE
अजाइब	ə AJ d AB ʒ AB äː ɪ AJ b AG
अजान	ə AJ d AB ʒ AB ä̃ː n̪ AF
अजायबघर	ə AJ d AB ʒ AB äː j AA ə AJ b AG ɡʱ AC ə AJ ɾ BA
अजिल्द	ə AJ d AB ʒ AB ɪ AJ l̪ AD d̪ AB
अजूबा	ə AJ d AB ʒ AB uː AK b AG äː
अजेंडा	ə AJ d AB ʒ AB ẽː ɳ AF ɖ AB äː
अज्ञात	ə AJ ɡ AB j AA äː t̪ AB
अज्ञानपन	ə AJ ɡ AB j AA ä̃ː n̪ AF p AG ə̃ AN n̪ AF
अज्ञेयवाद	ə AJ ɡ AB j AA eː AJ j AA ʋ AI äː d̪ AB
अज्ञेयवादी	ə AJ ɡ AB j AA eː AJ j AA ʋ AI äː d̪ AB iː AJ
अझ़दहा	ə AJ ʒ AB d̪ AB ə AJ ɦ AL äː
अटकना	ə AJ ʈ AB ə AJ k AB n̪ AF äː
अटकल	ə AJ ʈ AB k AB ə AJ l̪ AD
अटकलपच्चू	ə AJ ʈ AB k AB ə AJ l̪ AD p AG ə AJ t̚ t AB ʃ AB uː AK
अटकाना	ə AJ ʈ AB k AB äː n̪ AF äː
अटकाव	ə AJ ʈ AB k AB äː ʋ AI
अटपटा	ə AJ ʈ AB p AG ə AJ ʈ AB äː
अटल	ə AJ ʈ AB ə AJ l̪ AD
अटारी	ə AJ ʈ AB äː ɾ BA iː AJ
अट्टालिका	ə AJ ʈ̚ ʈ AB äː l̪ AD ɪ AJ k AB äː
अट्ठा	ə AJ ʈ̚ ʈʰ AC äː
अट्ठाईस	ə AJ ʈ̚ ʈʰ AC äː iː AJ s̪ AB
अट्ठानवे	ə AJ ʈ̚ ʈʰ AC ä̃ː n̪ AF w AI eː AJ
अट्ठावन	ə AJ ʈ̚ ʈʰ AC äː ʋ AI ə̃ AN n̪ AF
अट्ठासी	ə AJ ʈ̚ ʈʰ AC äː s̪ AB iː AJ
अठन्नी	ə AJ ʈʰ AC ə̃ AN n̪ AF n̪ AF iː AJ
अठपहिया	ə AJ ʈʰ AC p AG ə AJ ɦ AL i AJ j AA äː
अठहत्तर	ə AJ ʈʰ AC ɦ AL ə AJ t̪̚ t̪ AB ə AJ ɾ BA
अठारह	ə AJ ʈʰ AC äː ɾ BA ə AJ ɦ AL
अड़ंगा	ə AJ ɽ BA ə̃ AN ŋ AF ɡ AB äː
अड़चन	ə AJ ɽ BA t AB ʃ AB ə̃ AN n̪ AF
अड़तालीस	ə AJ ɽ BA t̪ AB äː l̪ AD iː AJ s̪ AB
अड़तीस	ə AJ ɽ BA t̪ AB iː AJ s̪ AB
अड़ना	ə AJ ɽ BA n̪ AF äː
अड़सठ	ə AJ ɽ BA s̪ AB ə AJ ʈʰ AC
अड़ाना	ə AJ ɽ BA äː n̪ AF äː
अड़ियल	ə AJ ɽ BA i AJ j AA ə AJ l̪ AD
अण्डा	ə̃ AN ɳ AF ɖ AB äː
अतिकाल	ə AJ t̪ AB ɪ AJ k AB äː l̪ AD
अतिवाद	ə AJ t̪ AB ɪ AJ ʋ AI äː d̪ AB
अतिवादी	ə AJ t̪ AB ɪ AJ ʋ AI äː d̪ AB iː AJ
अतिसंवेदनशील	ə AJ t̪ AB ɪ AJ s̪ AB ə̃ AN m AE w AI eː AJ d̪ AB ə̃ AN n̪ AF ʃ AB iː AJ l̪ AD
अतिसार	ə AJ t̪ AB ɪ AJ s̪ AB äː ɾ BA
अतुलित	ə AJ t̪ AB ʊ AK l̪ AD ɪ AJ t̪ AB
अतुल्य	ə AJ t̪ AB ʊ AK l̪ AD j AA
अत्फ़ाल	ə AJ t̪ AB pʰ AH äː l̪ AD
अत्यंत	ə AJ t̪ AB j AA ə̃ AN n̪ AF t̪ AB
अत्यन्त	ə AJ t̪ AB j AA ə̃ AN n̪ AF t̪ AB
अत्याचार	ə AJ t̪ AB j AA äː t AB ʃ AB äː ɾ BA
अत्याचारी	ə AJ t̪ AB j AA äː t AB ʃ AB äː ɾ BA iː AJ
अत्यावश्यक	ə AJ t̪ AB j AA äː ʋ AI ə AJ ʃ AB j AA ə AJ k AB
अत्युत्तम	ə AJ t̪ AB j AA ʊ AK t̪̚ t̪ AB ə̃ AN m AE
अथवा	ə AJ t̪ʰ AC ʋ AI äː
अथाह	ə AJ t̪ʰ AC äː ɦ AL
अदहन	ə AJ d̪ AB ɦ AL ə̃ AN n̪ AF
अदा	ə AJ d̪ AB äː
अदाकार	ə AJ d̪ AB äː k AB äː ɾ BA
अदालत	ə AJ d̪ AB äː l̪ AD ə AJ t̪ AB
अदालती	ə AJ d̪ AB äː l̪ AD ə AJ t̪ AB iː AJ
अदावत	ə AJ d̪ AB äː ʋ AI ə AJ t̪ AB
अद्यतन	ə AJ d̪ AB j AA ə AJ t̪ AB ə̃ AN n̪ AF
अद्यापि	ə AJ d̪ AB j AA äː p AG iː AJ
अधिकतम	ə AJ d̪ʱ AC ɪ AJ k AB t̪ AB ə̃ AN m AE
अधिकता	ə AJ d̪ʱ AC ɪ AJ k AB t̪ AB äː
अधिकरण	ə AJ d̪ʱ AC ɪ AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
अधिकार	ə AJ d̪ʱ AC ɪ AJ k AB äː ɾ BA
अधिकारिणी	ə AJ d̪ʱ AC ɪ AJ k AB äː ɾ BA ɪ AJ ɳ AF iː AJ
अधिकारिता	ə AJ d̪ʱ AC ɪ AJ k AB äː ɾ BA ɪ AJ t̪ AB äː
अधिकारी	ə AJ d̪ʱ AC ɪ AJ k AB äː ɾ BA iː AJ
अधिनायक	ə AJ d̪ʱ AC ɪ AJ n̪ AF äː j AA ə AJ k AB
अधिनियम	ə AJ d̪ʱ AC ɪ AJ n̪ AF i AJ j AA ə̃ AN m AE
अधिभार	ə AJ d̪ʱ AC ɪ AJ bʱ AH äː ɾ BA
अधिमास	ə AJ d̪ʱ AC ɪ AJ m AE äː s̪ AB
अधिलाभ	ə AJ d̪ʱ AC ɪ AJ l̪ AD äː bʱ AH
अधिवक्ता	ə AJ d̪ʱ AC ɪ AJ ʋ AI ə AJ k AB t̪ AB äː
अधिवार्षिकी	ə AJ d̪ʱ AC ɪ AJ ʋ AI äː ɾ BA ʃ AB ɪ AJ k AB iː AJ
अधिवेशन	ə AJ d̪ʱ AC ɪ AJ ʋ AI eː AJ ʃ AB ə̃ AN n̪ AF
अधिसूचना	ə AJ d̪ʱ AC ɪ AJ s̪ AB uː AK t AB ʃ AB n̪ AF äː
अधिसूचित	ə AJ d̪ʱ AC ɪ AJ s̪ AB uː AK t AB ʃ AB ɪ AJ t̪ AB
अधीक्षक	ə AJ d̪ʱ AC iː AJ k AB ʃ AB ə AJ k AB
अधीक्षण	ə AJ d̪ʱ AC iː AJ k AB ʃ AB ə̃ AN ɳ AF
अधीन	ə AJ d̪ʱ AC ĩː n̪ AF
अधीनता	ə AJ d̪ʱ AC ĩː n̪ AF t̪ AB äː
अधीरता	ə AJ d̪ʱ AC iː AJ ɾ BA t̪ AB äː
अधुना	ə AJ d̪ʱ AC ʊ AK n̪ AF äː
अधूरा	ə AJ d̪ʱ AC uː AK ɾ BA äː
अधोहस्ताक्षरी	ə AJ d̪ʱ AC oː AK ɦ AL ə AJ s̪ AB t̪ AB äː k AB ʃ AB ə AJ ɾ BA iː AJ
अध्यक्ष	ə AJ d̪ʱ AC j AA ə AJ k AB ʃ AB
अध्यक्षता	ə AJ d̪ʱ AC j AA ə AJ k AB ʃ AB t̪ AB äː
अध्ययन	ə AJ d̪ʱ AC j AA ə̃ AN n̪ AF
अध्यादेश	ə AJ d̪ʱ AC j AA äː d̪ AB eː AJ ʃ AB
अध्यापक	ə AJ d̪ʱ AC j AA äː p AG ə AJ k AB
अध्यापिका	ə AJ d̪ʱ AC j AA äː p AG ɪ AJ k AB äː
अध्याय	ə AJ d̪ʱ AC j AA äː j AA
अनंतपुर	ə AJ n̪ AF ə̃ AN n̪ AF t̪ AB p AG ʊ AK ɾ BA
अनकटा	ə̃ AN n̪ AF k AB ə AJ ʈ AB äː
अनकहा	ə̃ AN n̪ AF k AB ə AJ ɦ AL äː
अनखिला	ə̃ AN n̪ AF kʰ AC ɪ AJ l̪ AD äː
अनगढ़	ə̃ AN n̪ AF ɡ AB ə AJ ɽʱ BB
अनगिनत	ə̃ AN n̪ AF ɡ AB ɪ AJ n̪ AF ə AJ t̪ AB
अनचखा	ə̃ AN n̪ AF t AB ʃ AB ə AJ kʰ AC äː
अनचाहा	ə̃ AN n̪ AF t AB ʃ AB äː ɦ AL äː
अनजाना	ə̃ AN n̪ AF d AB ʒ AB äː n̪ AF äː
अनजाने	ə̃ AN n̪ AF d AB ʒ AB äː n̪ AF eː AJ
अनदेखा	ə̃ AN n̪ AF d̪ AB eː AJ kʰ AC äː
अननुमेय	ə̃ AN n̪ AF n̪ AF ʊ AK m AE eː AJ j AA
अनन्नास	ə AJ n̪ AF ə̃ AN n̪ AF n̪ AF äː s̪ AB
अनपच	ə̃ AN n̪ AF p AG ə AJ t AB ʃ AB
अनपढ़	ə̃ AN n̪ AF p AG ə AJ ɽʱ BB
अनब्याहा	ə̃ AN n̪ AF b AG j AA äː ɦ AL äː
अनमना	ə̃ AN n̪ AF m AE ə AJ n̪ AF äː
अनमोल	ə̃ AN n̪ AF m AE oː AK l̪ AD
अनर्थ	ə AJ n̪ AF ə AJ ɾ BA t̪ʰ AC
अनशन	ə̃ AN n̪ AF ʃ AB ə̃ AN n̪ AF
अनसुना	ə̃ AN n̪ AF s̪ AB ʊ AK n̪ AF äː
अनस्तित्व	ə AJ n̪ AF ə AJ s̪ AB t̪ AB ɪ AJ t̪ AB w AI
अनहोनी	ə̃ AN n̪ AF ɦ AL oː AK n̪ AF iː AJ
अनाचार	ə AJ n̪ AF äː t AB ʃ AB äː ɾ BA
अनाज	ə AJ n̪ AF äː d AB ʒ AB
अनाड़ी	ə AJ n̪ AF äː ɽ BA iː AJ
अनातोली	ə AJ n̪ AF äː t̪ AB oː AK l̪ AD iː AJ
अनाथालय	ə AJ n̪ AF äː t̪ʰ AC äː l̪ AD ə AJ j AA
अनाधिकारिक	ə AJ n̪ AF äː d̪ʱ AC ɪ AJ k AB äː ɾ BA ɪ AJ k AB
अनाम	ə AJ n̪ AF ä̃ː m AE
अनामिका	ə AJ n̪ AF äː m AE ɪ AJ k AB äː
अनार	ə AJ n̪ AF äː ɾ BA
अनारदाना	ə AJ n̪ AF äː ɾ BA d̪ AB äː n̪ AF äː
अनावश्यक	ə AJ n̪ AF äː ʋ AI ə AJ ʃ AB j AA ə AJ k AB
अनिच्छा	ə AJ n̪ AF ɪ AJ t̚ t AB ʃʰ AC äː
अनिद्रा	ə AJ n̪ AF ɪ AJ d̪ AB ɾ BA äː
अनियंत्रित	ə AJ n̪ AF i AJ j AA ə̃ AN n̪ AF t̪ AB ɾ BA ɪ AJ t̪ AB
अनियमित	ə AJ n̪ AF i AJ j AA ə AJ m AE ɪ AJ t̪ AB
अनियमितता	ə AJ n̪ AF i AJ j AA ə AJ m AE ɪ AJ t̪̚ t̪ AB äː
अनिवार्य	ə AJ n̪ AF ɪ AJ ʋ AI äː ɾ BA j AA
अनिवार्यतः	ə AJ n̪ AF ɪ AJ ʋ AI äː ɾ BA j AA ə AJ t̪ AB ə AJ ɦ AL
अनिश्चित	ə AJ n̪ AF ɪ AJ ʃ AB t AB ʃ AB ɪ AJ t̪ AB
अनिश्चितता	ə AJ n̪ AF ɪ AJ ʃ AB t AB ʃ AB ɪ AJ t̪̚ t̪ AB äː
अनुकरण	ə AJ n̪ AF ʊ AK k AB ə AJ ɾ BA ə̃ AN ɳ AF
अनुकूल	ə AJ n̪ AF ʊ AK k AB uː AK l̪ AD
अनुकूलन	ə AJ n̪ AF ʊ AK k AB uː AK l̪ AD ə̃ AN n̪ AF
अनुगृहीत	ə AJ n̪ AF ʊ AK ɡ AB ɾ BA ɪ AJ ɦ AL iː AJ t̪ AB
अनुग्रह	ə AJ n̪ AF ʊ AK ɡ AB ɾ BA ə AJ ɦ AL
अनुचित	ə AJ n̪ AF ʊ AK t AB ʃ AB ɪ AJ t̪ AB
अनुच्छेद	ə AJ n̪ AF ʊ AK t̚ t AB ʃʰ AC eː AJ d̪ AB
अनुज्ञप्ति	ə AJ n̪ AF ʊ AK ɡ AB j AA ə AJ p AG t̪ AB iː AJ
अनुदान	ə AJ n̪ AF ʊ AK d̪ AB ä̃ː n̪ AF
अनुनय	ə AJ n̪ AF ʊ AK n̪ AF ə AJ j AA
अनुनाद	ə AJ n̪ AF ʊ AK n̪ AF äː d̪ AB
अनुनासिक	ə AJ n̪ AF ʊ AK n̪ AF äː s̪ AB ɪ AJ k AB
अनुनासिकता	ə AJ n̪ AF ʊ AK n̪ AF äː s̪ AB ɪ AJ k AB t̪ AB äː
अनुपजाऊ	ə AJ n̪ AF ʊ AK p AG d AB ʒ AB äː uː AK
अनुपम	ə AJ n̪ AF ʊ AK p AG ə̃ AN m AE
अनुपयोगी	ə AJ n̪ AF ʊ AK p AG j AA oː AK ɡ AB iː AJ
अनुपस्थित	ə AJ n̪ AF ʊ AK p AG ə AJ s̪ AB t̪ʰ AC ɪ AJ t̪ AB
अनुपस्थिति	ə AJ n̪ AF ʊ AK p AG ə AJ s̪ AB t̪ʰ AC ɪ AJ t̪ AB iː AJ
अनुपात	ə AJ n̪ AF ʊ AK p AG äː t̪ AB
अनुपूरक	ə AJ n̪ AF ʊ AK p AG uː AK ɾ BA ə AJ k AB
अनुप्रयुक्त	ə AJ n̪ AF ʊ AK p AG ɾ BA ə AJ j AA ʊ AK k AB t̪ AB
अनुप्रास	ə AJ n̪ AF ʊ AK p AG ɾ BA äː s̪ AB
अनुभव	ə AJ n̪ AF ʊ AK bʱ AH ə AJ ʋ AI
अनुभवी	ə AJ n̪ AF ʊ AK bʱ AH ə AJ ʋ AI iː AJ
अनुभूति	ə AJ n̪ AF ʊ AK bʱ AH uː AK t̪ AB iː AJ
