Ⴁ	b
აბრეშუმი	ɑ AB b r ɛ AB ʃ u AC m i AB
აბრუნებს	ɑ AB b r u AC n ɛ AB b s
აბრძანდება	ɑ AB b r d z ɑ AB n d ɛ AB b ɑ AB
აბსოლუტიზმი	ɑ AB b s ɔ AC l u AC tʼ i AB z m i AB
აბსოლუტურად	ɑ AB b s ɔ AC l u AC tʼ u AC r ɑ AB d
აბსოლუტური	ɑ AB b s ɔ AC l u AC tʼ u AC r i AB
აბსტრაქტულად	ɑ AB b s tʼ r ɑ AB kʰ tʼ u AC l ɑ AB d
აბსტრაქტული	ɑ AB b s tʼ r ɑ AB kʰ tʼ u AC l i AB
აბსტრაქცია	ɑ AB b s tʼ r ɑ AB kʰ t s i AB ɑ AB
აბსურდულად	ɑ AB b s u AC r d u AC l ɑ AB d
აბსურდული	ɑ AB b s u AC r d u AC l i AB
აბსურდულობა	ɑ AB b s u AC r d u AC l ɔ AC b ɑ AB
აბულაშვილი	ɑ AB b u AC l ɑ AB ʃ v i AB l i AB
აბურძგნილი	ɑ AB b u AC r d z ɡ n i AB l i AB
აბუსერიძე	ɑ AB b u AC s ɛ AB r i AB d z ɛ AB
აბშილავა	ɑ AB b ʃ i AB l ɑ AB v ɑ AB
აბჯარი	ɑ AB b d ʒ ɑ AB r i AB
აგავა	ɑ AB ɡ ɑ AB v ɑ AB
აგარა	ɑ AB ɡ ɑ AB r ɑ AB
აგბობს	ɑ AB ɡ b ɔ AC b s
აგდება	ɑ AB ɡ d ɛ AB b ɑ AB
აგდებს	ɑ AB ɡ d ɛ AB b s
აგდებულად	ɑ AB ɡ d ɛ AB b u AC l ɑ AB d
აგდებული	ɑ AB ɡ d ɛ AB b u AC l i AB
აგება	ɑ AB ɡ ɛ AB b ɑ AB
აგებინებს	ɑ AB ɡ ɛ AB b i AB n ɛ AB b s
აგებს	ɑ AB ɡ ɛ AB b s
აგეგმვა	ɑ AB ɡ ɛ AB ɡ m v ɑ AB
აგენტად	ɑ AB ɡ ɛ AB n tʼ ɑ AB d
აგენტი	ɑ AB ɡ ɛ AB n tʼ i AB
აგენტით	ɑ AB ɡ ɛ AB n tʼ i AB tʰ
აგენტის	ɑ AB ɡ ɛ AB n tʼ i AB s
აგენტმა	ɑ AB ɡ ɛ AB n tʼ m ɑ AB
აგენტო	ɑ AB ɡ ɛ AB n tʼ ɔ AC
აგენტს	ɑ AB ɡ ɛ AB n tʼ s
აგენტურა	ɑ AB ɡ ɛ AB n tʼ u AC r ɑ AB
აგვირგვინებს	ɑ AB ɡ v i AB r ɡ v i AB n ɛ AB b s
აგვისტო	ɑ AB ɡ v i AB s tʼ ɔ AC
აგვისტოდ	ɑ AB ɡ v i AB s tʼ ɔ AC d
აგვისტოთი	ɑ AB ɡ v i AB s tʼ ɔ AC tʰ i AB
აგვისტომ	ɑ AB ɡ v i AB s tʼ ɔ AC m
აგვისტოს	ɑ AB ɡ v i AB s tʼ ɔ AC s
აგზნებადობა	ɑ AB ɡ z n ɛ AB b ɑ AB d ɔ AC b ɑ AB
აგზნებულად	ɑ AB ɡ z n ɛ AB b u AC l ɑ AB d
აგიდელი	ɑ AB ɡ i AB d ɛ AB l i AB
აგიზგიზება	ɑ AB ɡ i AB z ɡ i AB z ɛ AB b ɑ AB
აგიზგიზებული	ɑ AB ɡ i AB z ɡ i AB z ɛ AB b u AC l i AB
აგინებს	ɑ AB ɡ i AB n ɛ AB b s
აგიტატორი	ɑ AB ɡ i AB tʼ ɑ AB tʼ ɔ AC r i AB
აგლომერაცია	ɑ AB ɡ l ɔ AC m ɛ AB r ɑ AB t s i AB ɑ AB
აგნებს	ɑ AB ɡ n ɛ AB b s
აგნოსტიკური	ɑ AB ɡ n ɔ AC s tʼ i AB kʼ u AC r i AB
აგნოსტიციზმი	ɑ AB ɡ n ɔ AC s tʼ i AB t s i AB z m i AB
აგონდება	ɑ AB ɡ ɔ AC n d ɛ AB b ɑ AB
აგონია	ɑ AB ɡ ɔ AC n i AB ɑ AB
აგორებს	ɑ AB ɡ ɔ AC r ɛ AB b s
აგრეთვე	ɑ AB ɡ r ɛ AB tʰ v ɛ AB
აგრესიულად	ɑ AB ɡ r ɛ AB s i AB u AC l ɑ AB d
აგრესიული	ɑ AB ɡ r ɛ AB s i AB u AC l i AB
აგრესიულობა	ɑ AB ɡ r ɛ AB s i AB u AC l ɔ AC b ɑ AB
აგრესორი	ɑ AB ɡ r ɛ AB s ɔ AC r i AB
აგროვებს	ɑ AB ɡ r ɔ AC v ɛ AB b s
აგრძელებ	ɑ AB ɡ r d z ɛ AB l ɛ AB b
აგრძელებს	ɑ AB ɡ r d z ɛ AB l ɛ AB b s
აგულაშვილი	ɑ AB ɡ u AC l ɑ AB ʃ v i AB l i AB
აგური	ɑ AB ɡ u AC r i AB
ადათი	ɑ AB d ɑ AB tʰ i AB
ადამაშვილი	ɑ AB d ɑ AB m ɑ AB ʃ v i AB l i AB
ადამი	ɑ AB d ɑ AB m i AB
ადამიანად	ɑ AB d ɑ AB m i AB ɑ AB n ɑ AB d
ადამიანები	ɑ AB d ɑ AB m i AB ɑ AB n ɛ AB b i AB
ადამიანი	ɑ AB d ɑ AB m i AB ɑ AB n i AB
ადამიანით	ɑ AB d ɑ AB m i AB ɑ AB n i AB tʰ
ადამიანის	ɑ AB d ɑ AB m i AB ɑ AB n i AB s
ადამიანმა	ɑ AB d ɑ AB m i AB ɑ AB n m ɑ AB
ადამიანს	ɑ AB d ɑ AB m i AB ɑ AB n s
ადამიანურად	ɑ AB d ɑ AB m i AB ɑ AB n u AC r ɑ AB d
ადამიანური	ɑ AB d ɑ AB m i AB ɑ AB n u AC r i AB
ადაპტაცია	ɑ AB d ɑ AB pʼ tʼ ɑ AB t s i AB ɑ AB
ადარებს	ɑ AB d ɑ AB r ɛ AB b s
ადარნასე	ɑ AB d ɑ AB r n ɑ AB s ɛ AB
ადგენს	ɑ AB d ɡ ɛ AB n s
ადგილას	ɑ AB d ɡ i AB l ɑ AB s
ადგილი	ɑ AB d ɡ i AB l i AB
ადგილობრივად	ɑ AB d ɡ i AB l ɔ AC b r i AB v ɑ AB d
ადგილობრივი	ɑ AB d ɡ i AB l ɔ AC b r i AB v i AB
ადევნებს	ɑ AB d ɛ AB v n ɛ AB b s
ადეიშვილი	ɑ AB d ɛ AB i AB ʃ v i AB l i AB
ადეკვატურად	ɑ AB d ɛ AB kʼ v ɑ AB tʼ u AC r ɑ AB d
ადეკვატური	ɑ AB d ɛ AB kʼ v ɑ AB tʼ u AC r i AB
ადეკვატურობა	ɑ AB d ɛ AB kʼ v ɑ AB tʼ u AC r ɔ AC b ɑ AB
ადენოიდური	ɑ AB d ɛ AB n ɔ AC i AB d u AC r i AB
ადეპტი	ɑ AB d ɛ AB pʼ tʼ i AB
ადვილად	ɑ AB d v i AB l ɑ AB d
ადვილი	ɑ AB d v i AB l i AB
ადიდებს	ɑ AB d i AB d ɛ AB b s
ადის	ɑ AB d i AB s
ადიულტერი	ɑ AB d i AB u AC l tʼ ɛ AB r i AB
ადიუტანტი	ɑ AB d i AB u AC tʼ ɑ AB n tʼ i AB
ადმინისტრაციულად	ɑ AB d m i AB n i AB s tʼ r ɑ AB t s i AB u AC l ɑ AB d
ადმინისტრაციული	ɑ AB d m i AB n i AB s tʼ r ɑ AB t s i AB u AC l i AB
ადმირალი	ɑ AB d m i AB r ɑ AB l i AB
ადრე	ɑ AB d r ɛ AB
ადრენალინი	ɑ AB d r ɛ AB n ɑ AB l i AB n i AB
ადრესატი	ɑ AB d r ɛ AB s ɑ AB tʼ i AB
ადრეული	ɑ AB d r ɛ AB u AC l i AB
ადრიანე	ɑ AB d r i AB ɑ AB n ɛ AB
ადრიანი	ɑ AB d r i AB ɑ AB n i AB
ადუღება	ɑ AB d u AC ɣ ɛ AB b ɑ AB
ადუღებს	ɑ AB d u AC ɣ ɛ AB b s
აეროდინამიკა	ɑ AB ɛ AB r ɔ AC d i AB n ɑ AB m i AB kʼ ɑ AB
აეროდრომი	ɑ AB ɛ AB r ɔ AC d r ɔ AC m i AB
აეროზოლი	ɑ AB ɛ AB r ɔ AC z ɔ AC l i AB
აეროპორტი	ɑ AB ɛ AB r ɔ AC pʼ ɔ AC r tʼ i AB
აეშლება	ɑ AB ɛ AB ʃ l ɛ AB b ɑ AB
აეხსნა	ɑ AB ɛ AB x s n ɑ AB
ავად	ɑ AB v ɑ AB d
ავადმყოფი	ɑ AB v ɑ AB d m qʼ ɔ AC pʰ i AB
ავადმყოფობა	ɑ AB v ɑ AB d m qʼ ɔ AC pʰ ɔ AC b ɑ AB
ავადმყოფობს	ɑ AB v ɑ AB d m qʼ ɔ AC pʰ ɔ AC b s
ავადმყოფურად	ɑ AB v ɑ AB d m qʼ ɔ AC pʰ u AC r ɑ AB d
ავადმყოფური	ɑ AB v ɑ AB d m qʼ ɔ AC pʰ u AC r i AB
ავაზა	ɑ AB v ɑ AB z ɑ AB
ავაზანი	ɑ AB v ɑ AB z ɑ AB n i AB
ავალდებულებს	ɑ AB v ɑ AB l d ɛ AB b u AC l ɛ AB b s
ავანგარდი	ɑ AB v ɑ AB n ɡ ɑ AB r d i AB
ავანპოსტი	ɑ AB v ɑ AB n pʼ ɔ AC s tʼ i AB
ავანტიურული	ɑ AB v ɑ AB n tʼ i AB u AC r u AC l i AB
ავარდება	ɑ AB v ɑ AB r d ɛ AB b ɑ AB
ავარია	ɑ AB v ɑ AB r i AB ɑ AB
ავბედითი	ɑ AB v b ɛ AB d i AB tʰ i AB
ავდარი	ɑ AB v d ɑ AB r i AB
ავეჯი	ɑ AB v ɛ AB d ʒ i AB
ავზი	ɑ AB v z i AB
ავზნიანი	ɑ AB v z n i AB ɑ AB n i AB
ავთვისებიანი	ɑ AB v tʰ v i AB s ɛ AB b i AB ɑ AB n i AB
ავი	ɑ AB v i AB
ავიაკომპანია	ɑ AB v i AB ɑ AB kʼ ɔ AC m pʼ ɑ AB n i AB ɑ AB
ავიატორი	ɑ AB v i AB ɑ AB tʼ ɔ AC r i AB
ავიაქარხანა	ɑ AB v i AB ɑ AB kʰ ɑ AB r x ɑ AB n ɑ AB
ავიაცია	ɑ AB v i AB ɑ AB t s i AB ɑ AB
ავიახაზი	ɑ AB v i AB ɑ AB x ɑ AB z i AB
ავინიონი	ɑ AB v i AB n i AB ɔ AC n i AB
ავისმომასწავებლად	ɑ AB v i AB s m ɔ AC m ɑ AB s t sʼ ɑ AB v ɛ AB b l ɑ AB d
ავიწროვებს	ɑ AB v i AB t sʼ r ɔ AC v ɛ AB b s
ავკაცი	ɑ AB v kʼ ɑ AB t s i AB
ავლაბარი	ɑ AB v l ɑ AB b ɑ AB r i AB
ავლებს	ɑ AB v l ɛ AB b s
ავოკადო	ɑ AB v ɔ AC kʼ ɑ AB d ɔ AC
ავრორა	ɑ AB v r ɔ AC r ɑ AB
ავრცელებს	ɑ AB v r t s ɛ AB l ɛ AB b s
ავრცობს	ɑ AB v r t s ɔ AC b s
ავსებული	ɑ AB v s ɛ AB b u AC l i AB
ავსტრალია	ɑ AB v s tʼ r ɑ AB l i AB ɑ AB
ავსტრალიური	ɑ AB v s tʼ r ɑ AB l i AB u AC r i AB
ავსტრია	ɑ AB v s tʼ r i AB ɑ AB
ავსტრიული	ɑ AB v s tʼ r i AB u AC l i AB
ავტოგრაფი	ɑ AB v tʼ ɔ AC ɡ r ɑ AB pʰ i AB
ავტოკალამი	ɑ AB v tʼ ɔ AC kʼ ɑ AB l ɑ AB m i AB
ავტოკოლონა	ɑ AB v tʼ ɔ AC kʼ ɔ AC l ɔ AC n ɑ AB
ავტოკრატია	ɑ AB v tʼ ɔ AC kʼ r ɑ AB tʼ i AB ɑ AB
ავტოკრატიული	ɑ AB v tʼ ɔ AC kʼ r ɑ AB tʼ i AB u AC l i AB
ავტომატი	ɑ AB v tʼ ɔ AC m ɑ AB tʼ i AB
ავტომატურად	ɑ AB v tʼ ɔ AC m ɑ AB tʼ u AC r ɑ AB d
ავტომატური	ɑ AB v tʼ ɔ AC m ɑ AB tʼ u AC r i AB
ავტონომია	ɑ AB v tʼ ɔ AC n ɔ AC m i AB ɑ AB
ავტონომიური	ɑ AB v tʼ ɔ AC n ɔ AC m i AB u AC r i AB
ავტორად	ɑ AB v tʼ ɔ AC r ɑ AB d
ავტორები	ɑ AB v tʼ ɔ AC r ɛ AB b i AB
ავტორი	ɑ AB v tʼ ɔ AC r i AB
ავტორით	ɑ AB v tʼ ɔ AC r i AB tʰ
ავტორის	ɑ AB v tʼ ɔ AC r i AB s
ავტორიტარული	ɑ AB v tʼ ɔ AC r i AB tʼ ɑ AB r u AC l i AB
ავტორიტეტულად	ɑ AB v tʼ ɔ AC r i AB tʼ ɛ AB tʼ u AC l ɑ AB d
ავტორმა	ɑ AB v tʼ ɔ AC r m ɑ AB
ავტორო	ɑ AB v tʼ ɔ AC r ɔ AC
ავტორობა	ɑ AB v tʼ ɔ AC r ɔ AC b ɑ AB
ავტორს	ɑ AB v tʼ ɔ AC r s
ავტოსადგომი	ɑ AB v tʼ ɔ AC s ɑ AB d ɡ ɔ AC m i AB
ავტოსტოპად	ɑ AB v tʼ ɔ AC s tʼ ɔ AC pʼ ɑ AB d
ავტოსტოპი	ɑ AB v tʼ ɔ AC s tʼ ɔ AC pʼ i AB
ავტოსტოპით	ɑ AB v tʼ ɔ AC s tʼ ɔ AC pʼ i AB tʰ
ავტოსტოპის	ɑ AB v tʼ ɔ AC s tʼ ɔ AC pʼ i AB s
ავტოსტოპმა	ɑ AB v tʼ ɔ AC s tʼ ɔ AC pʼ m ɑ AB
ავტოსტოპს	ɑ AB v tʼ ɔ AC s tʼ ɔ AC pʼ s
ავტოსტრადა	ɑ AB v tʼ ɔ AC s tʼ r ɑ AB d ɑ AB
ავღანეთი	ɑ AB v ɣ ɑ AB n ɛ AB tʰ i AB
ავღანელი	ɑ AB v ɣ ɑ AB n ɛ AB l i AB
ავღანური	ɑ AB v ɣ ɑ AB n u AC r i AB
ავყია	ɑ AB v qʼ i AB ɑ AB
ავყიობა	ɑ AB v qʼ i AB ɔ AC b ɑ AB
ავხორცად	ɑ AB v x ɔ AC r t s ɑ AB d
ავხორცი	ɑ AB v x ɔ AC r t s i AB
ავხორცობა	ɑ AB v x ɔ AC r t s ɔ AC b ɑ AB
ავხორცულად	ɑ AB v x ɔ AC r t s u AC l ɑ AB d
აზარტული	ɑ AB z ɑ AB r tʼ u AC l i AB
აზბესტი	ɑ AB z b ɛ AB s tʼ i AB
აზერბაიჯანი	ɑ AB z ɛ AB r b ɑ AB i AB d ʒ ɑ AB n i AB
აზვიადებს	ɑ AB z v i AB ɑ AB d ɛ AB b s
აზვირთებული	ɑ AB z v i AB r tʰ ɛ AB b u AC l i AB
აზიმუტი	ɑ AB z i AB m u AC tʼ i AB
აზიური	ɑ AB z i AB u AC r i AB
აზნაური	ɑ AB z n ɑ AB u AC r i AB
აზოტი	ɑ AB z ɔ AC tʼ i AB
აზოტური	ɑ AB z ɔ AC tʼ u AC r i AB
აზრად	ɑ AB z r ɑ AB d
აზრი	ɑ AB z r i AB
აზრიანად	ɑ AB z r i AB ɑ AB n ɑ AB d
აზრიანი	ɑ AB z r i AB ɑ AB n i AB
აზრით	ɑ AB z r i AB tʰ
აზრის	ɑ AB z r i AB s
აზრმა	ɑ AB z r m ɑ AB
აზროვნება	ɑ AB z r ɔ AC v n ɛ AB b ɑ AB
აზრს	ɑ AB z r s
აზღუდი	ɑ AB z ɣ u AC d i AB
ათავისუფლებს	ɑ AB tʰ ɑ AB v i AB s u AC pʰ l ɛ AB b s
ათარიღებს	ɑ AB tʰ ɑ AB r i AB ɣ ɛ AB b s
ათასი	ɑ AB tʰ ɑ AB s i AB
ათასწლეული	ɑ AB tʰ ɑ AB s t sʼ l ɛ AB u AC l i AB
ათასწლოვანი	ɑ AB tʰ ɑ AB s t sʼ l ɔ AC v ɑ AB n i AB
ათაშანგი	ɑ AB tʰ ɑ AB ʃ ɑ AB n ɡ i AB
ათბობს	ɑ AB tʰ b ɔ AC b s
ათეიზმი	ɑ AB tʰ ɛ AB i AB z m i AB
ათეისტი	ɑ AB tʰ ɛ AB i AB s tʼ i AB
ათეისტური	ɑ AB tʰ ɛ AB i AB s tʼ u AC r i AB
ათენი	ɑ AB tʰ ɛ AB n i AB
ათენური	ɑ AB tʰ ɛ AB n u AC r i AB
ათესვა	ɑ AB tʰ ɛ AB s v ɑ AB
ათესვინებს	ɑ AB tʰ ɛ AB s v i AB n ɛ AB b s
ათეული	ɑ AB tʰ ɛ AB u AC l i AB
ათვალიერებს	ɑ AB tʰ v ɑ AB l i AB ɛ AB r ɛ AB b s
ათი	ɑ AB tʰ i AB
ათლეტი	ɑ AB tʰ l ɛ AB tʼ i AB
ათლეტიკა	ɑ AB tʰ l ɛ AB tʼ i AB kʼ ɑ AB
ათლეტის	ɑ AB tʰ l ɛ AB tʼ i AB s
ათლეტური	ɑ AB tʰ l ɛ AB tʼ u AC r i AB
ათმარცვლიანი	ɑ AB tʰ m ɑ AB r t s v l i AB ɑ AB n i AB
ათობითი	ɑ AB tʰ ɔ AC b i AB tʰ i AB
ათრევს	ɑ AB tʰ r ɛ AB v s
ათქვეფილი	ɑ AB tʰ kʰ v ɛ AB pʰ i AB l i AB
ათხოვებს	ɑ AB tʰ x ɔ AC v ɛ AB b s
ათჯერადი	ɑ AB tʰ d ʒ ɛ AB r ɑ AB d i AB
აი	ɑ AB i AB
აიაფებს	ɑ AB i AB ɑ AB pʰ ɛ AB b s
აიდა	ɑ AB i AB d ɑ AB
აივანი	ɑ AB i AB v ɑ AB n i AB
აივნიანი	ɑ AB i AB v n i AB ɑ AB n i AB
აინტერესებს	ɑ AB i AB n tʼ ɛ AB r ɛ AB s ɛ AB b s
აინშტაინიუმი	ɑ AB i AB n ʃ tʼ ɑ AB i AB n i AB u AC m i AB
აირადი	ɑ AB i AB r ɑ AB d i AB
აირი	ɑ AB i AB r i AB
აირღუმელი	ɑ AB i AB r ɣ u AC m ɛ AB l i AB
აირწინაღი	ɑ AB i AB r t sʼ i AB n ɑ AB ɣ i AB
აისბერგი	ɑ AB i AB s b ɛ AB r ɡ i AB
აისი	ɑ AB i AB s i AB
აკადემია	ɑ AB kʼ ɑ AB d ɛ AB m i AB ɑ AB
აკადემიად	ɑ AB kʼ ɑ AB d ɛ AB m i AB ɑ AB d
აკადემიამ	ɑ AB kʼ ɑ AB d ɛ AB m i AB ɑ AB m
აკადემიას	ɑ AB kʼ ɑ AB d ɛ AB m i AB ɑ AB s
აკადემიით	ɑ AB kʼ ɑ AB d ɛ AB m i AB i AB tʰ
აკადემიის	ɑ AB kʼ ɑ AB d ɛ AB m i AB i AB s
აკადემიკოსი	ɑ AB kʼ ɑ AB d ɛ AB m i AB kʼ ɔ AC s i AB
აკადემიურად	ɑ AB kʼ ɑ AB d ɛ AB m i AB u AC r ɑ AB d
აკადემიური	ɑ AB kʼ ɑ AB d ɛ AB m i AB u AC r i AB
აკაზმულობა	ɑ AB kʼ ɑ AB z m u AC l ɔ AC b ɑ AB
აკაკი	ɑ AB kʼ ɑ AB kʼ i AB
აკაკუნებს	ɑ AB kʼ ɑ AB kʼ u AC n ɛ AB b s
აკანკალებული	ɑ AB kʼ ɑ AB n kʼ ɑ AB l ɛ AB b u AC l i AB
აკაჟუ	ɑ AB kʼ ɑ AB ʒ u AC
აკაცია	ɑ AB kʼ ɑ AB t s i AB ɑ AB
აკეთებს	ɑ AB kʼ ɛ AB tʰ ɛ AB b s
აკერებს	ɑ AB kʼ ɛ AB r ɛ AB b s
აკვალანგი	ɑ AB kʼ v ɑ AB l ɑ AB n ɡ i AB
აკვამარინი	ɑ AB kʼ v ɑ AB m ɑ AB r i AB n i AB
აკვანთა	ɑ AB kʼ v ɑ AB n tʰ ɑ AB
აკვანი	ɑ AB kʼ v ɑ AB n i AB
აკვანმა	ɑ AB kʼ v ɑ AB n m ɑ AB
აკვანნი	ɑ AB kʼ v ɑ AB n n i AB
აკვანნო	ɑ AB kʼ v ɑ AB n n ɔ AC
აკვანო	ɑ AB kʼ v ɑ AB n ɔ AC
აკვანს	ɑ AB kʼ v ɑ AB n s
აკვარელი	ɑ AB kʼ v ɑ AB r ɛ AB l i AB
აკვარელისტი	ɑ AB kʼ v ɑ AB r ɛ AB l i AB s tʼ i AB
აკვარიუმი	ɑ AB kʼ v ɑ AB r i AB u AC m i AB
აკვდება	ɑ AB kʼ v d ɛ AB b ɑ AB
აკვედუკი	ɑ AB kʼ v ɛ AB d u AC kʼ i AB
აკვიატება	ɑ AB kʼ v i AB ɑ AB tʼ ɛ AB b ɑ AB
აკვიატებულად	ɑ AB kʼ v i AB ɑ AB tʼ ɛ AB b u AC l ɑ AB d
აკვიატებული	ɑ AB kʼ v i AB ɑ AB tʼ ɛ AB b u AC l i AB
აკვირვებს	ɑ AB kʼ v i AB r v ɛ AB b s
აკვნად	ɑ AB kʼ v n ɑ AB d
აკვნებად	ɑ AB kʼ v n ɛ AB b ɑ AB d
აკვნები	ɑ AB kʼ v n ɛ AB b i AB
აკვნებით	ɑ AB kʼ v n ɛ AB b i AB tʰ
აკვნების	ɑ AB kʼ v n ɛ AB b i AB s
აკვნებმა	ɑ AB kʼ v n ɛ AB b m ɑ AB
აკვნებო	ɑ AB kʼ v n ɛ AB b ɔ AC
აკვნებს	ɑ AB kʼ v n ɛ AB b s
აკვნით	ɑ AB kʼ v n i AB tʰ
აკვნის	ɑ AB kʼ v n i AB s
აკვრევინებს	ɑ AB kʼ v r ɛ AB v i AB n ɛ AB b s
აკლდამა	ɑ AB kʼ l d ɑ AB m ɑ AB
აკლებს	ɑ AB kʼ l ɛ AB b s
აკლია	ɑ AB kʼ l i AB ɑ AB
აკორდეონი	ɑ AB kʼ ɔ AC r d ɛ AB ɔ AC n i AB
აკრავს	ɑ AB kʼ r ɑ AB v s
აკრი	ɑ AB kʼ r i AB
აკრისტალებს	ɑ AB kʼ r i AB s tʼ ɑ AB l ɛ AB b s
აკრიფეთ	ɑ AB kʼ r i AB pʰ ɛ AB tʰ
აკრობატი	ɑ AB kʼ r ɔ AC b ɑ AB tʼ i AB
აკრობატიკა	ɑ AB kʼ r ɔ AC b ɑ AB tʼ i AB kʼ ɑ AB
აკროპოლისი	ɑ AB kʼ r ɔ AC pʼ ɔ AC l i AB s i AB
აკროსტიქი	ɑ AB kʼ r ɔ AC s tʼ i AB kʰ i AB
აკრძალვა	ɑ AB kʼ r d z ɑ AB l v ɑ AB
აკრძალვითად	ɑ AB kʼ r d z ɑ AB l v i AB tʰ ɑ AB d
აკრძალვითი	ɑ AB kʼ r d z ɑ AB l v i AB tʰ i AB
აკრძალული	ɑ AB kʼ r d z ɑ AB l u AC l i AB
აკუთა	ɑ AB kʼ u AC tʰ ɑ AB
აკუმულატორი	ɑ AB kʼ u AC m u AC l ɑ AB tʼ ɔ AC r i AB
აკურატულად	ɑ AB kʼ u AC r ɑ AB tʼ u AC l ɑ AB d
აკურატული	ɑ AB kʼ u AC r ɑ AB tʼ u AC l i AB
აკურატულობა	ɑ AB kʼ u AC r ɑ AB tʼ u AC l ɔ AC b ɑ AB
აკურთხებს	ɑ AB kʼ u AC r tʰ x ɛ AB b s
აკუსტიკა	ɑ AB kʼ u AC s tʼ i AB kʼ ɑ AB
აკუსტიკური	ɑ AB kʼ u AC s tʼ i AB kʼ u AC r i AB
ალაგებს	ɑ AB l ɑ AB ɡ ɛ AB b s
ალაგი	ɑ AB l ɑ AB ɡ i AB
ალადასტური	ɑ AB l ɑ AB d ɑ AB s tʼ u AC r i AB
ალადინი	ɑ AB l ɑ AB d i AB n i AB
ალავერდი	ɑ AB l ɑ AB v ɛ AB r d i AB
ალაზანი	ɑ AB l ɑ AB z ɑ AB n i AB
ალალბედზე	ɑ AB l ɑ AB l b ɛ AB d z ɛ AB
ალალი	ɑ AB l ɑ AB l i AB
ალალმართლად	ɑ AB l ɑ AB l m ɑ AB r tʰ l ɑ AB d
ალალმართლობა	ɑ AB l ɑ AB l m ɑ AB r tʰ l ɔ AC b ɑ AB
ალამი	ɑ AB l ɑ AB m i AB
ალაო	ɑ AB l ɑ AB ɔ AC
ალასანია	ɑ AB l ɑ AB s ɑ AB n i AB ɑ AB
ალაფი	ɑ AB l ɑ AB pʰ i AB
ალაჰი	ɑ AB l ɑ AB h AA i AB
ალბათ	ɑ AB l b ɑ AB tʰ
ალბათობა	ɑ AB l b ɑ AB tʰ ɔ AC b ɑ AB
ალბანეთი	ɑ AB l b ɑ AB n ɛ AB tʰ i AB
ალბანური	ɑ AB l b ɑ AB n u AC r i AB
ალბატროსი	ɑ AB l b ɑ AB tʼ r ɔ AC s i AB
ალბერტი	ɑ AB l b ɛ AB r tʼ i AB
